t,value
1598451372,0
1598451373,0
1598451374,0
1598451375,0
1598451376,0
1598451377,0
1598451378,0
1598451379,0
1598451380,0
1598451381,0
1598451382,24181
1598451383,24181
1598451384,24181
1598451385,24181
1598451386,24181
1598451387,24181
1598451388,24181
1598451389,24181
1598451390,24181
1598451391,24181
1598451392,453544
1598451393,453544
1598451394,453544
1598451395,453544
1598451396,453544
1598451397,453544
1598451398,453544
1598451399,453544
1598451400,453544
1598451401,453544
1598451402,822650
1598451403,822650
1598451404,822650
1598451407,822650
1598451407,822650
1598451407,822650
1598451408,822650
1598451409,822650
1598451410,822650
1598451411,822650
1598451414,822650
1598451414,822650
1598451414,822650
1598451415,822650
1598451416,822650
1598451417,822650
1598451418,822650
1598451419,822650
1598451420,822650
1598451421,822650
1598451423,353006970
1598451423,353006970
1598451424,353006970
1598451425,353006970
1598451426,353006970
1598451427,353006970
1598451428,353006970
1598451429,353006970
1598451433,353006970
1598451433,353006970
1598451433,353006970
1598451433,353006970
1598451434,353006970
1598451435,353006970
1598451436,353006970
1598451437,353006970
1598451438,353006970
1598451439,353006970
1598451440,353006970
1598451441,353006970
1598451442,705886435
1598451443,705886435
1598451444,705886435
1598451445,705886435
1598451446,705886435
1598451447,705886435
1598451448,705886435
1598451449,705886435
1598451450,705886435
1598451451,705886435
1598451452,1582731442
1598451453,1582731442
1598451454,1582731442
1598451455,1582731442
1598451456,1582731442
1598451457,1582731442
1598451458,1582731442
1598451459,1582731442
1598451460,1582731442
1598451461,1582731442
1598451462,1043102329
1598451463,1043102329
1598451464,1043102329
1598451465,1043102329
1598451466,1043102329
1598451467,1043102329
1598451468,1043102329
1598451469,1043102329
1598451470,1043102329
1598451471,1043102329
1598451472,1043209259
1598451473,1043209259
1598451474,1043209259
1598451475,1043209259
1598451476,1043209259
1598451477,1043209259
1598451478,1043209259
1598451479,1043209259
1598451480,1043209259
1598451481,1043209259
1598451482,1043284068
1598451483,1043284068
1598451484,1043284068
1598451485,1043284068
1598451486,1043284068
1598451487,1043284068
1598451488,1043284068
1598451489,1043284068
1598451490,1043284068
1598451491,1043284068
1598451492,1043361713
1598451493,1043361713
1598451494,1043361713
1598451495,1043361713
1598451496,1043361713
1598451497,1043361713
1598451498,1043361713
1598451499,1043361713
1598451500,1043361713
1598451501,1043361713
1598451502,1043148633
1598451503,1043148633
1598451504,1043148633
1598451505,1043148633
1598451506,1043148633
1598451507,1043148633
1598451508,1043148633
1598451509,1043148633
1598451510,1043148633
1598451511,1043148633
1598451512,1043274720
1598451513,1043274720
1598451514,1043274720
1598451515,1043274720
1598451516,1043274720
1598451517,1043274720
1598451518,1043274720
1598451519,1043274720
1598451520,1043274720
1598451521,1043274720
1598451522,1043362311
1598451523,1043362311
1598451524,1043362311
1598451525,1043362311
1598451526,1043362311
1598451527,1043362311
1598451528,1043362311
1598451529,1043362311
1598451530,1043362311
1598451531,1043362311
1598451532,1043091417
1598451533,1043091417
1598451534,1043091417
1598451535,1043091417
1598451536,1043091417
1598451537,1043091417
1598451538,1043091417
1598451539,1043091417
1598451540,1043091417
1598451541,1043091417
1598451542,1043231928
1598451543,1043231928
1598451544,1043231928
1598451545,1043231928
1598451546,1043231928
1598451547,1043231928
1598451548,1043231928
1598451549,1043231928
1598451550,1043231928
1598451551,1043231928
1598451552,1043329111
1598451553,1043329111
1598451554,1043329111
1598451555,1043329111
1598451556,1043329111
1598451557,1043329111
1598451558,1043329111
1598451559,1043329111
1598451560,1043329111
1598451561,1043329111
1598451562,1043144728
1598451563,1043144728
1598451564,1043144728
1598451565,1043144728
1598451566,1043144728
1598451567,1043144728
1598451568,1043144728
1598451569,1043144728
1598451570,1043144728
1598451571,1043144728
1598451572,1043248819
1598451573,1043248819
1598451574,1043248819
1598451575,1043248819
1598451576,1043248819
1598451577,1043248819
1598451578,1043248819
1598451579,1043248819
1598451580,1043248819
1598451581,1043248819
1598451582,1043410163
1598451583,1043410163
1598451584,1043410163
1598451585,1043410163
1598451586,1043410163
1598451587,1043410163
1598451588,1043410163
1598451589,1043410163
1598451590,1043410163
1598451591,1043410163
1598451592,1043577806
1598451593,1043577806
1598451594,1043577806
1598451595,1043577806
1598451596,1043577806
1598451597,1043577806
1598451598,1043577806
1598451599,1043577806
1598451600,1043577806
1598451601,1043577806
1598451602,1043497704
1598451603,1043497704
1598451604,1043497704
1598451605,1043497704
1598451606,1043497704
1598451607,1043497704
1598451608,1043497704
1598451609,1043497704
1598451610,1043497704
1598451611,1043497704
1598451612,1043472598
1598451613,1043472598
1598451614,1043472598
1598451615,1043472598
1598451616,1043472598
1598451617,1043472598
1598451618,1043472598
1598451619,1043472598
1598451620,1043472598
1598451621,1043472598
1598451622,1043475824
1598451623,1043475824
1598451624,1043475824
1598451625,1043475824
1598451626,1043475824
1598451627,1043475824
1598451628,1043475824
1598451629,1043475824
1598451630,1043475824
1598451631,1043475824
1598451632,1045637014
1598451633,1045637014
1598451634,1045637014
1598451635,1045637014
1598451636,1045637014
1598451637,1045637014
1598451638,1045637014
1598451639,1045637014
1598451640,1045637014
1598451641,1045637014
1598451642,1043573741
1598451643,1043573741
1598451644,1043573741
1598451645,1043573741
1598451646,1043573741
1598451647,1043573741
1598451648,1043573741
1598451649,1043573741
1598451650,1043573741
1598451651,1043573741
1598451652,1043609827
1598451653,1043609827
1598451654,1043609827
1598451655,1043609827
1598451656,1043609827
1598451657,1043609827
1598451658,1043609827
1598451659,1043609827
1598451660,1043609827
1598451661,1043609827
1598451662,1043543536
1598451663,1043543536
1598451664,1043543536
1598451665,1043543536
1598451666,1043543536
1598451667,1043543536
1598451668,1043543536
1598451669,1043543536
1598451670,1043543536
1598451671,1043543536
1598451672,1043579565
