t,value
1598451371,8558
1598451372,16576
1598451373,16576
1598451374,16576
1598451375,16576
1598451376,16576
1598451377,16576
1598451378,16576
1598451379,16576
1598451380,16576
1598451381,16576
1598451382,16576
1598451383,16576
1598451384,16576
1598451385,16576
1598451386,16576
1598451387,16576
1598451388,16576
1598451389,16576
1598451390,16576
1598451391,16576
1598451392,16576
1598451393,16576
1598451394,16576
1598451395,16576
1598451396,16576
1598451397,16576
1598451398,16576
1598451399,16576
1598451400,16576
1598451401,16576
1598451402,16576
1598451403,16576
1598451404,16576
1598451405,16576
1598451406,16576
1598451407,16576
1598451408,16576
1598451409,16576
1598451410,16576
1598451411,16576
1598451412,16576
1598451413,16576
1598451414,16576
1598451415,16576
1598451416,16576
1598451417,16576
1598451418,16576
1598451419,16421
1598451420,16253
1598451421,16085
1598451422,15916
1598451423,15748
1598451424,15412
1598451425,15244
1598451426,15244
1598451427,15244
1598451428,15244
1598451429,15244
1598451430,15121
1598451431,15121
1598451432,15121
1598451433,15121
1598451434,15121
1598451435,15121
1598451436,14953
1598451437,14953
1598451438,14953
1598451439,14616
1598451440,14448
1598451441,14448
1598451442,14448
1598451443,14448
1598451444,14448
1598451445,14448
1598451446,14448
1598451447,14448
1598451448,14309
1598451449,14159
1598451450,12772
1598451451,10963
1598451452,10465
1598451453,9775
1598451454,9785
1598451455,9776
1598451456,9675
1598451457,9630
1598451458,12057
1598451459,12057
1598451460,12057
1598451461,12002
1598451462,11938
1598451463,12057
1598451464,12057
1598451465,12057
1598451466,11966
1598451467,10091
1598451468,12057
1598451469,12057
1598451470,12002
1598451471,11938
1598451472,12057
1598451473,12057
1598451474,12057
1598451475,11965
1598451476,10091
1598451477,12057
1598451478,12057
1598451479,12002
1598451480,11744
1598451481,12057
1598451482,12057
1598451483,12057
1598451484,11938
1598451485,12057
1598451486,12057
1598451487,12057
1598451488,11965
1598451489,10296
1598451490,12057
1598451491,12057
1598451492,12020
1598451493,11938
1598451494,12057
1598451495,12057
1598451496,12057
1598451497,11966
1598451498,9884
1598451499,12057
1598451500,12057
1598451501,12002
1598451502,11938
1598451503,12057
1598451504,12057
1598451505,12057
1598451506,11947
1598451507,12057
1598451508,12057
1598451509,12057
1598451510,11965
1598451511,9531
1598451512,12057
1598451513,12057
1598451514,12002
1598451515,11744
1598451516,12057
1598451517,12057
1598451518,12057
1598451519,11938
1598451520,12057
1598451521,12057
1598451522,12057
1598451523,11965
1598451524,10090
1598451525,12057
1598451526,12057
1598451527,12002
1598451528,10916
1598451529,12057
1598451530,12057
1598451531,12021
1598451532,11938
1598451533,12057
1598451534,12057
1598451535,12057
1598451536,11947
1598451537,12057
1598451538,12057
1598451539,12057
1598451540,11965
1598451541,12057
1598451542,12057
1598451543,12057
1598451544,11965
1598451545,12057
1598451546,12057
1598451547,12057
1598451548,11974
1598451549,12057
1598451550,12057
1598451551,12057
1598451552,11993
1598451553,12057
1598451554,12057
1598451555,12057
1598451556,11974
1598451557,12057
1598451558,12057
1598451559,12057
1598451560,11966
1598451561,12057
1598451562,12057
1598451563,12057
1598451564,11966
1598451565,12057
1598451566,12057
1598451567,12057
1598451568,11965
1598451569,12057
1598451570,12057
1598451571,12057
1598451572,11965
1598451573,12057
1598451574,12057
1598451575,12057
1598451576,11938
1598451577,12057
1598451578,12057
1598451579,12020
1598451580,11938
1598451581,12057
1598451582,12057
1598451583,12002
1598451584,12057
1598451585,12056
1598451586,12056
1598451587,11974
1598451588,12056
1598451589,12056
1598451590,12056
1598451591,11965
1598451592,12056
1598451593,12056
1598451594,12056
1598451595,11938
1598451596,12057
1598451597,12057
1598451598,12002
1598451599,9530
1598451600,12056
1598451601,12056
1598451602,11974
1598451603,12056
1598451604,12056
1598451605,12056
1598451606,11946
1598451607,12057
1598451608,12057
1598451609,12020
1598451610,10915
1598451611,12056
1598451612,12056
1598451613,11992
1598451614,12056
1598451615,12056
1598451616,12056
1598451617,11965
1598451618,12057
1598451619,12057
1598451620,12020
1598451621,9530
1598451622,12056
1598451623,12056
1598451624,11974
1598451625,12056
1598451626,12056
1598451627,12056
1598451628,11946
1598451629,12056
1598451630,12056
1598451631,12001
1598451632,12056
1598451633,12056
1598451634,12056
1598451635,11965
1598451636,12056
1598451637,12056
1598451638,12056
1598451639,11947
1598451640,12056
1598451641,12056
1598451642,12001
1598451643,12056
1598451644,12056
1598451645,12056
1598451646,11974
1598451647,12056
1598451648,12056
1598451649,12056
1598451650,11946
1598451651,12056
1598451652,12056
1598451653,12020
1598451654,12056
1598451655,12056
1598451656,12056
1598451657,11965
1598451658,12056
1598451659,12056
1598451660,12056
1598451661,11937
1598451662,12056
1598451663,12056
1598451664,12001
1598451665,12056
1598451666,12056
1598451667,12056
1598451668,11965
1598451669,12056
1598451670,12056
1598451671,12056
1598451672,11946
1598451673,12056
1598451674,12056
1598451675,12047
1598451676,11331
1598451677,12056
1598451678,12056
1598451679,12001
1598451680,12056
1598451681,12056
1598451682,12056
1598451683,11965
1598451684,12056
1598451685,12056
1598451686,12056
1598451687,11124
1598451688,12056
1598451689,12056
1598451690,12001
1598451691,12056
1598451692,12056
1598451693,12056
1598451694,11965
1598451695,12056
1598451696,12056
1598451697,12019
1598451698,12056
1598451699,12056
1598451700,12056
1598451701,11974
