t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1598451370,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598451371,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598451372,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598451373,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598451374,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1598451375,2,2306,1443.000000,580,863.000000,2306.000000,2306.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451376,2,2306,1443.000000,580,863.000000,2306.000000,2306.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451377,2,2306,1443.000000,580,863.000000,2306.000000,2306.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451378,2,2306,1443.000000,580,863.000000,2306.000000,2306.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451379,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451380,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451381,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451382,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451383,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451384,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451385,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451386,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451387,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451388,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451389,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451390,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451391,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
1598451392,4,2306,1181.124787,558,706.259871,1311.000000,1311.000000,2306.000000,2306.000000,2306.000000,2306.000000
