t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1598451371,3,6.511971,2.972367,0.152932,2.645540,2.252199,6.511971,6.511971,6.511971,6.511971,6.511971,1.136562,0.000000,0.000000,0.000000,calls/second,milliseconds
1598451372,11,6.511971,1.398023,0.057856,2.050418,0.248494,2.252199,6.511971,6.511971,6.511971,6.511971,3.053384,0.000000,0.000000,0.000000,calls/second,milliseconds
1598451373,11,6.511971,1.398023,0.057856,2.050418,0.248494,2.252199,6.511971,6.511971,6.511971,6.511971,2.393275,0.000000,0.000000,0.000000,calls/second,milliseconds
1598451374,12,6.561320,1.841927,0.057856,2.436744,0.652212,4.398378,6.561320,6.561320,6.561320,6.561320,2.145151,2.200000,2.200000,2.200000,calls/second,milliseconds
1598451375,18,6.561320,1.233062,0.053084,2.145951,0.089231,0.902483,6.561320,6.561320,6.561320,6.561320,2.729469,2.200000,2.200000,2.200000,calls/second,milliseconds
1598451376,19,6.561320,1.171331,0.053084,2.100716,0.111978,0.902483,6.561320,6.561320,6.561320,6.561320,2.501660,2.200000,2.200000,2.200000,calls/second,milliseconds
1598451377,19,6.561320,1.171331,0.053084,2.100716,0.111978,0.902483,6.561320,6.561320,6.561320,6.561320,2.209655,2.200000,2.200000,2.200000,calls/second,milliseconds
1598451378,20,6.561320,1.113003,0.053084,2.058358,0.089231,0.652212,6.561320,6.561320,6.561320,6.561320,2.084300,2.200000,2.200000,2.200000,calls/second,milliseconds
1598451379,37,6.561320,0.610316,0.024044,1.573613,0.082084,0.125475,6.511971,6.561320,6.561320,6.561320,3.491990,2.247973,2.209917,2.203324,calls/second,milliseconds
1598451380,38,6.561320,0.596092,0.024044,1.553435,0.082084,0.125475,4.398378,6.561320,6.561320,6.561320,3.277557,2.247973,2.209917,2.203324,calls/second,milliseconds
