t,value
1598451370,4
1598451371,5
1598451372,5
1598451373,5
1598451374,7
1598451375,7
1598451376,7
1598451377,7
1598451378,7
1598451379,7
1598451380,7
1598451381,7
1598451382,7
1598451383,7
1598451384,7
1598451385,7
1598451386,7
1598451387,7
1598451388,7
1598451389,7
1598451390,7
1598451391,7
1598451392,7
1598451393,7
1598451394,7
1598451395,7
1598451396,7
1598451397,7
1598451398,7
1598451399,7
1598451400,7
1598451401,7
1598451402,7
1598451403,7
1598451404,7
1598451405,7
1598451406,7
1598451407,7
1598451408,7
1598451409,7
1598451410,7
1598451411,7
1598451412,7
1598451413,7
1598451414,7
1598451415,7
1598451416,7
1598451417,7
1598451418,7
1598451419,7
1598451420,7
1598451421,7
1598451422,7
1598451423,7
1598451424,7
1598451425,7
1598451426,7
1598451427,7
1598451428,7
1598451429,7
1598451430,7
1598451431,7
1598451432,7
1598451433,7
1598451434,7
1598451435,7
1598451436,7
1598451437,7
1598451438,7
1598451439,7
1598451440,7
1598451441,7
1598451442,7
1598451443,7
1598451444,7
1598451445,7
1598451446,7
1598451447,7
1598451448,8
1598451449,8
1598451450,8
1598451451,8
1598451452,8
1598451453,8
1598451454,8
1598451455,8
1598451456,8
1598451457,8
1598451458,8
1598451459,8
1598451460,8
1598451461,8
1598451462,8
1598451463,8
1598451464,8
1598451465,8
1598451466,8
1598451467,8
1598451468,8
1598451469,8
1598451470,8
1598451471,8
1598451472,8
1598451473,8
1598451474,8
1598451475,8
1598451476,8
1598451477,8
1598451478,8
1598451479,8
1598451480,8
1598451481,8
1598451482,8
1598451483,8
1598451484,8
1598451485,8
1598451486,8
1598451487,8
1598451488,8
1598451489,8
1598451490,8
1598451491,8
1598451492,9
1598451493,9
1598451494,9
1598451495,9
1598451496,9
1598451497,9
1598451498,9
1598451499,9
1598451500,9
1598451501,9
1598451502,9
1598451503,9
1598451504,9
1598451505,9
1598451506,9
1598451507,9
1598451508,9
1598451509,9
1598451510,9
1598451511,9
1598451512,9
1598451513,9
1598451514,9
1598451515,9
1598451516,9
1598451517,9
1598451518,9
1598451519,9
1598451520,9
1598451521,9
1598451522,9
1598451523,9
1598451524,9
1598451525,9
1598451526,9
1598451527,9
1598451528,9
1598451529,10
1598451530,10
1598451531,10
1598451532,10
1598451533,10
1598451534,10
1598451535,10
1598451536,10
1598451537,10
1598451538,10
1598451539,10
1598451540,10
1598451541,10
1598451542,10
1598451543,10
1598451544,10
1598451545,10
1598451546,10
1598451547,10
1598451548,10
1598451549,10
1598451550,10
1598451551,10
1598451552,10
1598451553,10
1598451554,10
1598451555,10
1598451556,10
1598451557,11
1598451558,11
1598451559,11
1598451560,11
1598451561,11
1598451562,11
1598451563,11
1598451564,11
1598451565,11
1598451566,11
1598451567,11
1598451568,11
1598451569,11
1598451570,11
1598451571,11
1598451572,11
1598451573,11
1598451574,11
1598451575,11
1598451576,11
1598451577,11
1598451578,11
1598451579,11
1598451580,11
1598451581,12
1598451582,12
1598451583,12
1598451584,12
1598451585,12
1598451586,12
1598451587,12
1598451588,12
1598451589,12
1598451590,12
1598451591,12
1598451592,12
1598451593,12
1598451594,12
1598451595,13
1598451596,13
1598451597,13
1598451598,13
1598451599,13
1598451600,13
1598451601,13
1598451602,13
1598451603,13
1598451604,13
1598451605,13
1598451606,13
1598451607,14
1598451608,14
1598451609,14
1598451610,14
1598451611,14
1598451612,14
1598451613,14
1598451614,14
1598451615,14
1598451616,14
1598451617,14
1598451618,15
1598451619,15
1598451620,15
1598451621,15
1598451622,15
1598451623,15
1598451624,15
1598451625,15
1598451626,15
1598451627,15
1598451628,15
1598451629,16
1598451630,16
1598451631,16
1598451632,16
1598451633,16
1598451634,16
1598451635,16
1598451636,16
1598451637,16
1598451638,16
1598451639,17
1598451640,17
1598451641,17
1598451642,17
1598451643,17
1598451644,17
1598451645,17
1598451646,17
1598451647,18
1598451648,18
1598451649,18
1598451650,18
1598451651,18
1598451652,18
1598451653,18
1598451654,18
1598451655,19
1598451656,19
1598451657,19
1598451658,19
1598451659,19
1598451660,19
1598451661,19
1598451662,20
1598451663,20
1598451664,20
1598451665,20
1598451666,20
1598451667,20
1598451668,20
1598451669,21
1598451670,21
1598451671,21
1598451672,21
1598451673,21
1598451674,21
1598451675,21
1598451676,21
1598451677,22
1598451678,22
1598451679,22
1598451680,23
1598451681,23
1598451682,23
1598451683,23
1598451684,23
1598451685,23
1598451686,23
1598451687,23
1598451688,24
1598451689,24
1598451690,24
1598451691,25
1598451692,25
1598451693,25
1598451694,25
1598451695,25
1598451696,25
1598451697,25
1598451698,25
1598451699,26
1598451700,26
1598451701,26
1598451702,27
1598451703,27
1598451704,27
1598451705,27
1598451706,28
1598451707,28
1598451708,28
1598451709,28
1598451710,28
1598451711,28
1598451712,28
1598451713,29
1598451714,29
1598451715,29
1598451716,29
1598451717,30
1598451718,30
1598451719,30
1598451720,30
1598451721,31
1598451722,31
1598451723,31
1598451724,32
1598451725,32
1598451726,32
1598451727,32
1598451728,33
1598451729,33
1598451730,33
1598451731,33
1598451732,34
1598451733,34
1598451734,34
1598451735,34
1598451736,35
1598451737,35
1598451738,35
1598451739,36
1598451740,36
1598451741,36
1598451742,36
1598451743,37
1598451744,37
