t,value
1598451370,351272960
1598451371,351272960
1598451372,351272960
1598451373,351272960
1598451374,351272960
1598451375,351272960
1598451376,351272960
1598451377,351272960
1598451378,351272960
1598451379,351272960
1598451380,351272960
1598451381,351272960
1598451382,351272960
1598451383,351272960
1598451384,351272960
1598451385,351272960
1598451386,351272960
1598451387,351272960
1598451388,351272960
1598451389,351272960
1598451390,351272960
1598451391,351272960
1598451392,351272960
1598451393,351272960
1598451394,351272960
1598451395,351272960
1598451396,351272960
1598451397,351272960
1598451398,351272960
1598451399,351272960
1598451400,351272960
1598451401,351272960
1598451402,351272960
1598451403,351272960
1598451404,351272960
1598451405,351272960
1598451406,351272960
1598451407,351272960
1598451408,351272960
1598451409,351272960
1598451410,351272960
1598451411,351272960
1598451412,351272960
1598451413,351272960
1598451414,351272960
1598451415,351272960
1598451416,351272960
1598451417,351272960
1598451418,351272960
1598451419,351272960
1598451420,351272960
1598451421,351272960
1598451422,351272960
1598451423,351272960
1598451424,351272960
1598451425,351272960
1598451426,351272960
1598451427,351272960
1598451428,351272960
1598451429,351272960
1598451430,351272960
1598451431,351272960
1598451432,351272960
1598451433,351272960
1598451434,351272960
1598451435,351272960
1598451436,351272960
1598451437,351272960
1598451438,351272960
1598451439,351272960
1598451440,351272960
1598451441,351272960
1598451442,351272960
1598451443,351272960
1598451444,351272960
1598451445,351272960
1598451446,351272960
1598451447,351272960
1598451448,351272960
1598451449,351272960
1598451450,351272960
1598451451,351272960
1598451452,351272960
1598451453,351272960
1598451454,351272960
1598451455,351272960
1598451456,351272960
1598451457,351272960
1598451458,351272960
1598451459,351272960
1598451460,351272960
1598451461,351272960
1598451462,351272960
1598451463,351272960
1598451464,351272960
1598451465,351272960
1598451466,351272960
1598451467,351272960
1598451468,351272960
1598451469,351272960
1598451470,351272960
1598451471,351272960
1598451472,351272960
1598451473,351272960
1598451474,351272960
1598451475,351272960
1598451476,351272960
1598451477,351272960
1598451478,351272960
1598451479,351272960
1598451480,351272960
1598451481,351272960
1598451482,351272960
1598451483,351272960
1598451484,351272960
1598451485,351272960
1598451486,351272960
1598451487,351272960
1598451488,351272960
1598451489,351272960
1598451490,351272960
1598451491,351272960
1598451492,351272960
1598451493,351272960
1598451494,351272960
1598451495,351272960
1598451496,351272960
1598451497,351272960
1598451498,351272960
1598451499,351272960
1598451500,351272960
1598451501,351272960
1598451502,351272960
1598451503,351272960
1598451504,351272960
1598451505,351272960
1598451506,351272960
1598451507,351272960
1598451508,351272960
1598451509,351272960
1598451510,351272960
1598451511,351272960
1598451512,351272960
1598451513,351272960
1598451514,351272960
1598451515,351272960
1598451516,351272960
1598451517,351272960
1598451518,351272960
1598451519,351272960
1598451520,351272960
1598451521,351272960
1598451522,351272960
1598451523,351272960
1598451524,351272960
1598451525,351272960
1598451526,351272960
1598451527,351272960
1598451528,351272960
1598451529,351272960
1598451530,351272960
1598451531,351272960
1598451532,351272960
1598451533,351272960
1598451534,351272960
1598451535,351272960
1598451536,351272960
1598451537,351272960
1598451538,351272960
1598451539,351272960
1598451540,351272960
1598451541,351272960
1598451542,351272960
1598451543,351272960
1598451544,351272960
1598451545,351272960
1598451546,351272960
1598451547,351272960
1598451548,351272960
1598451549,351272960
1598451550,351272960
1598451551,351272960
1598451552,351272960
1598451553,351272960
1598451554,351272960
1598451555,351272960
1598451556,351272960
1598451557,351272960
1598451558,351272960
1598451559,351272960
1598451560,351272960
1598451561,351272960
1598451562,351272960
1598451563,351272960
1598451564,351272960
1598451565,351272960
1598451566,351272960
1598451567,351272960
1598451568,351272960
1598451569,351272960
1598451570,351272960
1598451571,351272960
1598451572,351272960
1598451573,351272960
1598451574,351272960
1598451575,351272960
1598451576,351272960
1598451577,351272960
1598451578,351272960
1598451579,351272960
1598451580,351272960
1598451581,351272960
1598451582,351272960
1598451583,351272960
1598451584,351272960
1598451585,351272960
1598451586,351272960
1598451587,351272960
1598451588,351272960
1598451589,351272960
1598451590,351272960
1598451591,351272960
1598451592,351272960
1598451593,351272960
1598451594,351272960
1598451595,351272960
1598451596,351272960
1598451597,351272960
1598451598,351272960
1598451599,351272960
1598451600,351272960
1598451601,351272960
1598451602,351272960
1598451603,351272960
1598451604,351272960
1598451605,351272960
1598451606,351272960
1598451607,351272960
1598451608,351272960
1598451609,351272960
1598451610,351272960
1598451611,351272960
1598451612,351272960
1598451613,351272960
1598451614,351272960
1598451615,351272960
1598451616,351272960
1598451617,351272960
1598451618,351272960
1598451619,351272960
1598451620,351272960
1598451621,351272960
1598451622,351272960
1598451623,351272960
1598451624,351272960
1598451625,351272960
1598451626,351272960
1598451627,351272960
1598451628,351272960
1598451629,351272960
1598451630,351272960
1598451631,351272960
1598451632,351272960
1598451633,351272960
1598451634,351272960
1598451635,351272960
1598451636,351272960
1598451637,351272960
1598451638,351272960
1598451639,351272960
1598451640,351272960
1598451641,351272960
1598451642,351272960
1598451643,351272960
1598451644,351272960
1598451645,351272960
1598451646,351272960
1598451647,351272960
1598451648,351272960
1598451649,351272960
1598451650,351272960
1598451651,351272960
1598451652,351272960
1598451653,351272960
1598451654,351272960
1598451655,351272960
1598451656,351272960
1598451657,351272960
1598451658,351272960
1598451659,351272960
1598451660,351272960
1598451661,351272960
1598451662,351272960
1598451663,351272960
1598451664,351272960
1598451665,351272960
1598451666,351272960
1598451667,351272960
1598451668,351272960
1598451669,351272960
1598451670,351272960
1598451671,351272960
1598451672,351272960
1598451673,351272960
1598451674,351272960
1598451675,351272960
1598451676,351272960
1598451677,351272960
1598451678,351272960
1598451679,351272960
1598451680,351272960
1598451681,351272960
1598451682,351272960
1598451683,351272960
1598451684,351272960
1598451685,351272960
1598451686,351272960
1598451687,351272960
1598451688,351272960
1598451689,351272960
1598451690,351272960
1598451691,351272960
1598451692,351272960
1598451693,351272960
1598451694,351272960
1598451695,351272960
1598451696,351272960
1598451697,351272960
1598451698,351272960
1598451699,351272960
1598451700,351272960
1598451701,351272960
1598451702,351272960
1598451703,351272960
1598451704,351272960
1598451705,351272960
1598451706,351272960
1598451707,351272960
1598451708,351272960
1598451709,351272960
1598451710,351272960
1598451711,351272960
1598451712,351272960
1598451713,351272960
1598451714,351272960
1598451715,351272960
1598451716,351272960
1598451717,351272960
1598451718,351272960
1598451719,351272960
1598451720,351272960
1598451721,351272960
1598451722,351272960
1598451723,351272960
1598451724,351272960
1598451725,351272960
1598451726,351272960
1598451727,351272960
1598451728,351272960
1598451729,351272960
1598451730,351272960
1598451731,351272960
1598451732,351272960
1598451733,351272960
1598451734,351272960
1598451735,351272960
1598451736,351272960
1598451737,351272960
1598451738,351272960
1598451739,351272960
1598451740,351272960
1598451741,351272960
1598451742,351272960
1598451743,351272960
1598451744,351272960
1598451745,351272960
1598451746,351272960
1598451747,351272960
1598451748,351272960
1598451749,351272960
1598451750,351272960
1598451751,351272960
1598451752,351272960
1598451753,351272960
1598451754,351272960
1598451755,351272960
1598451756,351272960
1598451757,351272960
1598451758,351272960
1598451759,351272960
1598451760,351272960
1598451761,351272960
1598451762,351272960
1598451763,351272960
1598451764,351272960
1598451765,351272960
1598451766,351272960
1598451767,351272960
1598451768,351272960
1598451769,351272960
1598451770,351272960
1598451771,351272960
1598451772,351272960
1598451773,351272960
1598451774,351272960
1598451775,351272960
1598451776,351272960
1598451777,351272960
1598451778,351272960
1598451779,351272960
1598451780,351272960
1598451781,351272960
1598451782,351272960
1598451783,351272960
1598451784,351272960
1598451785,351272960
1598451786,351272960
1598451787,351272960
1598451788,351272960
1598451789,351272960
1598451790,351272960
1598451791,351272960
1598451792,351272960
1598451793,351272960
1598451794,351272960
1598451795,351272960
1598451796,351272960
1598451797,351272960
1598451798,351272960
1598451799,351272960
1598451800,351272960
1598451801,351272960
1598451802,351272960
1598451803,351272960
1598451804,351272960
1598451805,351272960
1598451806,351272960
1598451807,351272960
1598451808,351272960
1598451809,351272960
1598451810,351272960
1598451811,351272960
1598451812,351272960
1598451813,351272960
1598451814,351272960
1598451815,351272960
1598451816,351272960
1598451817,351272960
1598451818,351272960
1598451819,351272960
1598451820,351272960
1598451821,351272960
1598451822,351272960
1598451823,351272960
1598451824,351272960
1598451825,351272960
1598451826,351272960
1598451827,351272960
1598451828,351272960
1598451829,351272960
1598451830,351272960
1598451831,351272960
1598451832,351272960
1598451833,351272960
1598451834,351272960
1598451835,351272960
1598451836,351272960
1598451837,351272960
1598451838,351272960
1598451839,351272960
1598451840,351272960
1598451840,351272960
