t,value
1598451370,20971520
1598451371,21495808
1598451372,21495808
1598451373,21495808
1598451374,33554432
1598451375,33554432
1598451376,33554432
1598451377,33554432
1598451378,33554432
1598451379,33554432
1598451380,33554432
1598451381,33554432
1598451382,33554432
1598451383,33554432
1598451384,33554432
1598451385,33554432
1598451386,33554432
1598451387,33554432
1598451388,33554432
1598451389,33554432
1598451390,33554432
1598451391,33554432
1598451392,33554432
1598451393,33554432
1598451394,33554432
1598451395,33554432
1598451396,33554432
1598451397,33554432
1598451398,33554432
1598451399,33554432
1598451400,33554432
1598451401,33554432
1598451402,33554432
1598451403,33554432
1598451404,33554432
1598451405,33554432
1598451406,33554432
1598451407,33554432
1598451408,33554432
1598451409,33554432
1598451410,33554432
1598451411,33554432
1598451412,33554432
1598451413,33554432
1598451414,33554432
1598451415,33554432
1598451416,33554432
1598451417,33554432
1598451418,33554432
1598451419,33554432
1598451420,33554432
1598451421,33554432
1598451422,33554432
1598451423,33554432
1598451424,33554432
1598451425,33554432
1598451426,33554432
1598451427,33554432
1598451428,33554432
1598451429,33554432
1598451430,33554432
1598451431,33554432
1598451432,33554432
1598451433,33554432
1598451434,33554432
1598451435,33554432
1598451436,33554432
1598451437,33554432
1598451438,33554432
1598451439,33554432
1598451440,33554432
1598451441,33554432
1598451442,33554432
1598451443,33554432
1598451444,33554432
1598451445,33554432
1598451446,33554432
1598451447,33554432
1598451448,18350080
1598451449,18350080
1598451450,18350080
1598451451,18350080
1598451452,18350080
1598451453,18350080
1598451454,18350080
1598451455,18350080
1598451456,18350080
1598451457,18350080
1598451458,18350080
1598451459,18350080
1598451460,18350080
1598451461,18350080
1598451462,18350080
1598451463,18350080
1598451464,18350080
1598451465,18350080
1598451466,18350080
1598451467,18350080
1598451468,18350080
1598451469,18350080
1598451470,18350080
1598451471,18350080
1598451472,18350080
1598451473,18350080
1598451474,18350080
1598451475,18350080
1598451476,18350080
1598451477,18350080
1598451478,18350080
1598451479,18350080
1598451480,18350080
1598451481,18350080
1598451482,18350080
1598451483,18350080
1598451484,18350080
1598451485,18350080
1598451486,18350080
1598451487,18350080
1598451488,18350080
1598451489,18350080
1598451490,18350080
1598451491,18350080
1598451492,30408704
1598451493,30408704
1598451494,30408704
1598451495,30408704
1598451496,30408704
1598451497,30408704
1598451498,30408704
1598451499,30408704
1598451500,30408704
1598451501,30408704
1598451502,30408704
1598451503,30408704
1598451504,30408704
1598451505,30408704
1598451506,30408704
1598451507,30408704
1598451508,30408704
1598451509,30408704
1598451510,30408704
1598451511,30408704
1598451512,30408704
1598451513,30408704
1598451514,30408704
1598451515,30408704
1598451516,30408704
1598451517,30408704
1598451518,30408704
1598451519,30408704
1598451520,30408704
1598451521,30408704
1598451522,30408704
1598451523,30408704
1598451524,30408704
1598451525,30408704
1598451526,30408704
1598451527,30408704
1598451528,30408704
1598451529,21495808
1598451530,21495808
1598451531,21495808
1598451532,21495808
1598451533,21495808
1598451534,21495808
1598451535,21495808
1598451536,21495808
1598451537,21495808
1598451538,21495808
1598451539,21495808
1598451540,21495808
1598451541,21495808
1598451542,21495808
1598451543,21495808
1598451544,21495808
1598451545,21495808
1598451546,21495808
1598451547,21495808
1598451548,21495808
1598451549,21495808
1598451550,21495808
1598451551,21495808
1598451552,21495808
1598451553,21495808
1598451554,21495808
1598451555,21495808
1598451556,21495808
1598451557,28835840
1598451558,28835840
1598451559,28835840
1598451560,28835840
1598451561,28835840
1598451562,28835840
1598451563,28835840
1598451564,28835840
1598451565,28835840
1598451566,28835840
1598451567,28835840
1598451568,28835840
1598451569,28835840
1598451570,28835840
1598451571,28835840
1598451572,28835840
1598451573,28835840
1598451574,28835840
1598451575,28835840
1598451576,28835840
1598451577,28835840
1598451578,28835840
1598451579,28835840
1598451580,9961472
1598451581,9961472
1598451582,9961472
1598451583,9961472
1598451584,9961472
1598451585,9961472
1598451586,9961472
1598451587,9961472
1598451588,9961472
1598451589,9961472
1598451590,9961472
1598451591,9961472
1598451592,9961472
1598451593,9961472
1598451594,9961472
1598451595,19398656
1598451596,19398656
1598451597,19398656
1598451598,19398656
1598451599,19398656
1598451600,19398656
1598451601,19398656
1598451602,19398656
1598451603,19398656
1598451604,19398656
1598451605,19398656
1598451606,19398656
1598451607,30408704
1598451608,30408704
1598451609,30408704
1598451610,30408704
1598451611,30408704
