t,value
1598451894,50331648
1598451895,50331648
1598451896,50331648
1598451897,50331648
1598451898,67108864
1598451899,67108864
1598451900,67108864
1598451901,67108864
1598451902,67108864
1598451903,67108864
1598451904,67108864
1598451905,67108864
1598451906,67108864
1598451907,67108864
1598451908,67108864
1598451909,67108864
1598451910,67108864
1598451911,67108864
1598451912,67108864
1598451913,67108864
1598451914,67108864
1598451915,67108864
1598451916,67108864
1598451917,67108864
1598451918,67108864
1598451919,67108864
1598451920,67108864
1598451921,67108864
1598451922,67108864
1598451923,67108864
1598451924,67108864
1598451925,67108864
1598451926,67108864
1598451929,67108864
1598451929,67108864
1598451929,67108864
1598451930,67108864
1598451931,67108864
1598451932,67108864
1598451936,67108864
1598451936,67108864
1598451936,67108864
1598451936,67108864
1598451937,67108864
1598451938,67108864
1598451939,67108864
1598451940,67108864
1598451943,67108864
1598451943,67108864
1598451943,67108864
1598451944,67108864
1598451945,67108864
1598451946,67108864
1598451947,67108864
1598451948,67108864
1598451949,67108864
1598451950,67108864
1598451951,67108864
1598451952,67108864
1598451953,67108864
1598451954,67108864
1598451955,67108864
1598451956,67108864
1598451960,67108864
1598451960,67108864
1598451960,67108864
1598451960,67108864
1598451961,67108864
1598451962,67108864
1598451963,67108864
1598451964,67108864
1598451965,67108864
1598451966,67108864
1598451967,67108864
1598451968,67108864
1598451969,67108864
1598451970,67108864
1598451971,67108864
1598451972,100663296
1598451973,100663296
1598451974,83886080
1598451975,83886080
1598451976,83886080
1598451977,83886080
1598451978,83886080
1598451979,100663296
1598451980,100663296
1598451981,117440512
1598451982,117440512
1598451983,117440512
1598451984,117440512
1598451985,100663296
1598451986,100663296
1598451987,100663296
1598451988,117440512
1598451989,83886080
1598451990,100663296
1598451991,100663296
1598451992,100663296
1598451993,100663296
1598451994,83886080
1598451995,83886080
1598451996,83886080
1598451997,100663296
1598451998,117440512
1598451999,117440512
1598452000,117440512
1598452001,83886080
1598452002,83886080
1598452003,83886080
1598452004,83886080
1598452005,83886080
1598452006,83886080
1598452007,83886080
1598452008,83886080
1598452009,100663296
1598452010,100663296
1598452011,100663296
1598452012,100663296
1598452013,100663296
1598452014,100663296
1598452015,100663296
1598452016,100663296
1598452017,100663296
1598452018,117440512
1598452019,117440512
