t,count
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,0
1598451904,0
1598451905,0
1598451906,0
1598451907,0
1598451908,0
1598451909,0
1598451910,0
1598451911,0
1598451912,0
1598451913,0
1598451914,0
1598451915,0
1598451916,0
1598451917,0
1598451918,0
1598451919,0
1598451920,0
1598451921,0
1598451922,0
1598451923,0
1598451924,0
1598451925,0
1598451926,0
1598451929,0
1598451929,0
1598451929,0
1598451930,0
1598451931,0
1598451932,0
1598451936,0
1598451936,0
1598451936,0
1598451936,0
1598451937,0
1598451938,0
1598451939,0
1598451940,0
1598451943,0
1598451943,0
1598451943,0
1598451944,0
1598451945,0
1598451946,0
1598451947,0
1598451948,0
1598451949,0
1598451950,0
1598451951,0
1598451952,0
1598451953,0
1598451954,0
1598451955,0
1598451956,0
1598451960,0
1598451960,0
1598451960,0
1598451960,0
1598451961,0
1598451962,0
1598451963,0
1598451964,0
1598451965,0
1598451966,0
1598451967,0
1598451968,0
1598451969,0
1598451970,0
1598451971,0
1598451972,0
1598451973,40
1598451974,80
1598451975,80
1598451976,80
1598451977,122
1598451978,122
1598451979,143
1598451980,163
1598451981,219
1598451982,237
1598451983,237
1598451984,237
1598451985,277
1598451986,304
1598451987,304
1598451988,304
1598451989,344
1598451990,371
1598451991,371
1598451992,371
1598451993,411
1598451994,438
1598451995,438
1598451996,438
1598451997,468
1598451998,505
1598451999,505
1598452000,505
1598452001,535
1598452002,572
1598452003,572
1598452004,572
1598452005,602
1598452006,639
1598452007,639
1598452008,639
1598452009,659
1598452010,706
1598452011,706
1598452012,706
1598452013,736
1598452014,773
1598452015,773
1598452016,773
1598452017,803
1598452018,840
1598452019,840
1598452020,840
1598452021,870
1598452022,907
1598452023,907
1598452024,907
1598452025,937
1598452026,974
1598452027,974
1598452028,974
1598452029,1014
1598452030,1041
1598452031,1041
1598452032,1041
1598452033,1081
1598452034,1108
1598452035,1108
1598452036,1108
1598452037,1148
1598452038,1175
1598452039,1175
1598452040,1175
1598452041,1215
1598452042,1242
1598452043,1242
1598452044,1242
1598452045,1282
1598452046,1309
1598452047,1309
1598452048,1309
1598452049,1358
1598452050,1376
1598452051,1376
1598452052,1376
1598452053,1443
1598452054,1443
1598452055,1443
1598452056,1463
1598452057,1510
1598452058,1510
1598452059,1510
1598452060,1530
1598452061,1577
1598452062,1577
1598452063,1577
1598452064,1617
1598452065,1644
1598452066,1644
1598452067,1654
1598452068,1711
1598452069,1711
1598452070,1711
1598452071,1731
1598452072,1778
1598452073,1778
1598452074,1778
1598452075,1836
1598452076,1845
1598452077,1845
1598452078,1845
1598452079,1912
1598452080,1912
1598452081,1912
1598452082,1932
1598452083,1979
1598452084,1979
1598452085,1979
1598452086,2046
1598452087,2046
1598452088,2046
1598452089,2066
1598452090,2113
1598452091,2113
1598452092,2113
1598452093,2180
1598452094,2180
1598452095,2180
1598452096,2200
1598452097,2247
1598452098,2247
1598452099,2247
1598452100,2314
1598452101,2314
1598452102,2314
1598452103,2344
1598452104,2381
1598452105,2381
1598452106,2391
1598452107,2448
1598452108,2448
1598452109,2448
1598452110,2515
1598452111,2515
1598452112,2515
1598452113,2535
1598452114,2582
1598452115,2582
1598452116,2582
1598452117,2649
1598452118,2649
1598452119,2649
1598452120,2689
1598452121,2716
1598452122,2716
1598452123,2736
1598452124,2783
1598452125,2783
1598452126,2783
1598452127,2850
1598452128,2850
1598452129,2850
1598452130,2890
1598452131,2917
1598452132,2917
1598452133,2937
1598452134,2984
1598452135,2984
1598452136,2984
1598452137,3051
1598452138,3051
1598452139,3051
1598452140,3091
1598452141,3118
1598452142,3118
1598452143,3138
1598452144,3185
1598452145,3185
1598452146,3185
1598452147,3252
1598452148,3252
1598452149,3252
1598452150,3272
1598452151,3319
1598452152,3319
1598452153,3329
1598452154,3386
1598452155,3386
1598452156,3386
1598452157,3453
1598452158,3453
1598452159,3453
1598452160,3483
1598452161,3520
1598452162,3520
1598452163,3530
1598452164,3587
1598452165,3587
1598452166,3587
1598452167,3654
1598452168,3654
1598452169,3654
1598452170,3674
1598452171,3721
1598452172,3721
1598452173,3721
1598452174,3788
1598452175,3788
1598452176,3788
1598452177,3808
1598452178,3855
1598452179,3855
1598452180,3865
1598452181,3922
1598452182,3922
1598452183,3922
1598452184,3989
1598452185,3989
1598452186,3989
1598452187,4009
1598452188,4056
1598452189,4056
1598452190,4056
1598452191,4123
1598452192,4123
1598452193,4123
1598452194,4163
1598452195,4190
1598452196,4190
1598452197,4210
1598452198,4257
1598452199,4257
1598452200,4257
1598452201,4324
1598452202,4324
1598452203,4324
1598452204,4354
1598452205,4391
1598452206,4391
1598452207,4411
1598452208,4458
1598452209,4458
1598452210,4458
1598452211,4525
1598452212,4525
1598452213,4525
1598452214,4545
1598452215,4592
1598452216,4592
1598452217,4602
1598452218,4659
1598452219,4659
1598452220,4659
1598452221,4726
1598452222,4726
1598452223,4726
1598452224,4746
1598452225,4793
1598452226,4793
1598452227,4803
1598452228,4860
1598452229,4860
1598452230,4860
1598452231,4927
1598452232,4927
1598452233,4927
1598452234,4947
1598452235,4994
1598452236,4994
1598452237,4994
1598452238,5061
1598452239,5061
1598452240,5061
1598452241,5119
1598452242,5128
1598452243,5128
1598452244,5148
1598452245,5195
1598452246,5195
1598452247,5195
1598452248,5262
1598452249,5262
1598452250,5262
1598452251,5292
1598452252,5329
1598452253,5329
1598452254,5349
1598452255,5396
1598452256,5396
1598452257,5396
1598452258,5463
1598452259,5463
1598452260,5463
1598452261,5483
1598452262,5530
1598452263,5530
1598452264,5540
1598452265,5597
1598452266,5597
1598452267,5597
1598452268,5664
1598452269,5664
1598452270,5664
1598452271,5684
1598452272,5731
1598452273,5731
1598452274,5731
1598452275,5771
1598452276,5798
1598452277,5798
1598452278,5818
1598452279,5865
1598452280,5865
1598452281,5865
1598452282,5932
1598452283,5932
1598452284,5932
1598452285,5990
1598452286,5999
1598452287,5999
1598452288,6019
1598452289,6066
1598452290,6066
1598452291,6066
1598452292,6133
1598452293,6133
1598452294,6133
1598452295,6163
1598452296,6200
1598452297,6200
1598452298,6220
1598452299,6267
1598452300,6267
1598452301,6267
1598452302,6334
1598452303,6334
1598452304,6334
1598452305,6354
1598452306,6401
1598452307,6401
1598452308,6411
1598452309,6468
1598452310,6468
1598452311,6468
1598452312,6535
1598452313,6535
1598452314,6535
1598452315,6555
1598452316,6602
1598452317,6602
1598452318,6602
1598452319,6669
1598452320,6669
1598452321,6669
1598452322,6669
1598452323,6736
1598452324,6736
1598452325,6736
1598452326,6776
1598452327,6803
1598452328,6803
1598452329,6803
1598452330,6870
1598452331,6870
1598452332,6870
