t,value
1598451894,20573800
1598451895,28261184
1598451896,39553264
1598451897,17063480
1598451898,157581288
1598451899,103568800
1598451900,99102472
1598451901,205395240
1598451902,36732664
1598451903,38817832
1598451904,407498888
1598451905,203420224
1598451906,521539192
1598451907,720392240
1598451908,93747816
1598451909,64973248
1598451910,886026320
1598451911,822834064
1598451912,786098672
1598451913,644516136
1598451914,525024560
1598451915,310210056
1598451916,51760024
1598451917,89485456
1598451918,91337632
1598451919,93160456
1598451920,94959000
1598451921,99237600
1598451922,814018048
1598451923,224960512
1598451924,325479032
1598451925,529267496
1598451926,910754080
1598451929,553727848
1598451929,555657960
1598451929,741823296
1598451930,906577616
1598451931,1438093880
1598451932,984060944
1598451936,881508696
1598451936,892426184
1598451936,894254744
1598451936,940446232
1598451937,1004419688
1598451938,1039844568
1598451939,1327223144
1598451940,2147504344
1598451943,1155656192
1598451943,1157516608
1598451943,1398918312
1598451944,2041700232
1598451945,2026969616
1598451946,1674808944
1598451947,1426817344
1598451948,2046300328
1598451949,1524865984
1598451950,1687213960
1598451951,1588217120
1598451952,2034764184
1598451953,1972876848
1598451954,1989205312
1598451955,2007822792
1598451956,1989165936
1598451960,944391976
1598451960,946221696
1598451960,948001824
1598451960,949832120
1598451961,1018036232
1598451962,1321630928
1598451963,1323431408
1598451964,1325591008
1598451965,1412351784
1598451966,1298189456
1598451967,1598701696
1598451968,1121941640
1598451969,1328255920
1598451970,1094963728
1598451971,1463034704
1598451972,1169695824
1598451973,1320335824
1598451974,1706329592
1598451975,1354501120
1598451976,1954504936
1598451977,1434830216
1598451978,1690200504
1598451979,1475588320
1598451980,1445920112
1598451981,1557783584
1598451982,1700266936
1598451983,1487548960
1598451984,1920931736
1598451985,1637531408
1598451986,1566175056
1598451987,1498312032
1598451988,1912269448
1598451989,1578192040
1598451990,1967203488
1598451991,1729398648
1598451992,2062518384
1598451993,1484746920
1598451994,1794800320
1598451995,2115098872
1598451996,1557837888
1598451997,1576598552
1598451998,1814162328
1598451999,2034537248
1598452000,2264796528
1598452001,2079676872
1598452002,2172369200
1598452003,2275316312
1598452004,1543524424
1598452005,2143863704
1598452006,2233818192
1598452007,2212499992
1598452008,1420624784
1598452009,2022886176
1598452010,2039622088
1598452011,1920841368
1598452012,2003916840
1598452013,1556973272
1598452014,1532375736
1598452015,2392657584
1598452016,2351772264
1598452017,1906967328
1598452018,1745221712
1598452019,2556304408
1598452020,2448436232
1598452021,1875887384
1598452022,1757053464
1598452023,2492030312
1598452024,2386903136
1598452025,1685157736
1598452026,1573618384
1598452027,2281963432
1598452028,2064503992
1598452029,2436886032
1598452030,2372329536
1598452031,1681427472
1598452032,1478272880
1598452033,1764515184
1598452034,1594067920
1598452035,2222180400
1598452036,1994184384
1598452037,2314732800
1598452038,2347788496
1598452039,1599547112
1598452040,2611203096
1598452041,1499856144
1598452042,2660738000
1598452043,2010453352
1598452044,1783650016
1598452045,2176984056
1598452046,2244180888
1598452047,1428787264
1598452048,2434940160
1598452049,1509516680
1598452050,1717229328
1598452051,2093898592
1598452052,1914062504
1598452053,2118220720
1598452054,1449025472
1598452055,1456697368
1598452056,2668812216
1598452057,2551452520
1598452058,2052505296
1598452059,1990940440
1598452060,2010189960
1598452061,2104826024
1598452062,2690098152
1598452063,2422223648
1598452064,2684564184
1598452065,1750295664
1598452066,1968542600
1598452067,1941662128
1598452068,1847128160
1598452069,2655242072
1598452070,2577743080
1598452071,2700586504
1598452072,1464687928
1598452073,1963232968
1598452074,1735869264
1598452075,1958498656
1598452076,1464797408
1598452077,2276602248
1598452078,2100731584
1598452079,2077661432
1598452080,1689053872
1598452081,1609405152
1598452082,1605510552
1598452083,1757035168
1598452084,2218616472
1598452085,1962262880
1598452086,2120089952
1598452087,1555068656
1598452088,1656472000
1598452089,1564589880
1598452090,1928582432
1598452091,2405706464
1598452092,2099639704
1598452093,2220323976
1598452094,1810679712
1598452095,1781933024
1598452096,1693627208
1598452097,2112547280
1598452098,2481628992
1598452099,2291274016
1598452100,2460714336
1598452101,1963644736
1598452102,1869423576
1598452103,2037514288
1598452104,2440805392
1598452105,1453570640
1598452106,2563672480
1598452107,1564595536
1598452108,2255585296
1598452109,2007975584
1598452110,2149728528
1598452111,1717147768
1598452112,1699867688
1598452113,1622861976
1598452114,2148207256
1598452115,2448210808
1598452116,2120753928
1598452117,2333677560
1598452118,1790074648
1598452119,1700458704
1598452120,1808080560
1598452121,2468799744
1598452122,2625416808
1598452123,2460302104
1598452124,1571627400
1598452125,2038070312
1598452126,1675117992
1598452127,1765917544
1598452128,2600151976
1598452129,2513544392
1598452130,2609227056
1598452131,1868502208
