t,value
1598451894,34078720
1598451895,34340864
1598451896,34865152
1598451897,36962304
1598451898,48234496
1598451899,58851328
1598451900,66060288
1598451901,78774272
1598451902,80347136
1598451903,80609280
1598451904,81264640
1598451905,81264640
1598451906,81264640
1598451907,81264640
1598451908,81264640
1598451909,81264640
1598451910,81264640
1598451911,81264640
1598451912,81264640
1598451913,81264640
1598451914,81264640
1598451915,81264640
1598451916,81264640
1598451917,81264640
1598451918,81264640
1598451919,81264640
1598451920,81264640
1598451921,81264640
1598451922,82182144
1598451923,82182144
1598451924,82182144
1598451925,82182144
1598451926,82182144
1598451929,82182144
1598451929,82182144
1598451929,82182144
1598451930,82182144
1598451931,82182144
1598451932,82182144
1598451936,82182144
1598451936,82182144
1598451936,82182144
1598451936,82182144
1598451937,82182144
1598451938,82182144
1598451939,82182144
1598451940,82182144
1598451943,82182144
1598451943,82182144
1598451943,82182144
1598451944,82182144
1598451945,82182144
1598451946,82182144
1598451947,82182144
1598451948,82182144
1598451949,82182144
1598451950,82182144
1598451951,82182144
1598451952,82182144
1598451953,82182144
1598451954,82182144
1598451955,82182144
1598451956,82182144
1598451960,82182144
1598451960,82182144
1598451960,82182144
1598451960,82182144
1598451961,82182144
1598451962,82182144
1598451963,82182144
1598451964,82182144
1598451965,84410368
1598451966,86638592
1598451967,86638592
1598451968,86638592
1598451969,86638592
1598451970,86638592
1598451971,86638592
1598451972,89522176
1598451973,90177536
1598451974,90177536
1598451975,90439680
1598451976,90439680
1598451977,90439680
1598451978,90439680
1598451979,90701824
1598451980,90963968
1598451981,91095040
1598451982,91357184
1598451983,91357184
1598451984,91357184
1598451985,91357184
1598451986,91619328
1598451987,91619328
1598451988,91619328
1598451989,91619328
1598451990,91619328
1598451991,91619328
1598451992,91619328
1598451993,91881472
1598451994,91881472
1598451995,91881472
1598451996,91881472
1598451997,91881472
1598451998,91881472
1598451999,91881472
1598452000,91881472
1598452001,91881472
1598452002,91881472
1598452003,91881472
1598452004,91881472
1598452005,91881472
1598452006,92143616
1598452007,92143616
1598452008,92143616
1598452009,92143616
1598452010,92143616
1598452011,92143616
1598452012,92143616
