t,count
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,0
1598451904,0
1598451905,0
1598451906,0
1598451907,0
1598451908,0
1598451909,0
1598451910,0
1598451911,0
1598451912,0
1598451913,0
1598451914,0
1598451915,0
1598451916,0
1598451917,0
1598451918,0
1598451919,0
1598451920,0
1598451921,0
1598451922,0
1598451923,0
1598451924,0
1598451925,0
1598451926,0
1598451929,0
1598451929,0
1598451929,0
1598451930,0
1598451931,0
1598451932,0
1598451935,0
1598451935,0
1598451935,0
1598451936,0
1598451937,0
1598451938,0
1598451942,0
1598451942,0
1598451942,0
1598451942,0
1598451943,0
1598451944,0
1598451945,0
1598451946,0
1598451947,0
1598451948,0
1598451949,0
1598451952,0
1598451952,0
1598451952,0
1598451953,0
1598451954,0
1598451955,0
1598451956,0
1598451957,0
1598451958,0
1598451959,0
1598451963,0
1598451963,0
1598451963,0
1598451963,0
1598451964,0
1598451965,0
1598451966,0
1598451967,0
1598451968,0
1598451969,0
1598451970,0
1598451971,0
1598451972,0
1598451973,0
1598451974,0
1598451975,0
1598451976,0
1598451977,0
1598451978,0
1598451979,0
1598451980,0
1598451981,106
1598451982,126
1598451983,126
1598451984,126
1598451985,144
1598451986,404
1598451987,404
1598451988,404
1598451989,430
1598451990,755
1598451991,755
1598451992,755
1598451993,758
1598451994,1029
1598451995,1029
1598451996,1029
1598451997,1042
1598451998,1376
1598451999,1376
1598452000,1376
1598452001,1377
1598452002,1704
1598452003,1704
1598452004,1704
1598452005,1708
1598452006,2035
1598452007,2035
1598452008,2035
1598452009,2062
1598452010,2370
1598452011,2370
1598452012,2370
1598452013,2385
1598452014,2667
1598452015,2667
1598452016,2667
1598452017,2700
1598452018,2982
1598452019,2982
1598452020,2982
1598452021,2997
1598452022,3313
1598452023,3313
1598452024,3313
1598452025,3328
1598452026,3596
1598452027,3596
1598452028,3596
1598452029,3612
1598452030,3857
1598452031,3857
1598452032,3857
1598452033,3870
1598452034,4146
1598452035,4146
1598452036,4146
1598452037,4147
1598452038,4371
1598452039,4371
1598452040,4371
1598452041,4387
1598452042,4644
1598452043,4644
1598452044,4644
1598452045,4650
1598452046,4923
1598452047,4923
1598452048,4923
1598452049,4987
1598452050,5197
1598452051,5197
1598452052,5197
1598452053,5497
1598452054,5501
1598452055,5501
1598452056,5509
1598452057,5749
1598452058,5749
1598452059,5749
1598452060,5785
1598452061,5967
1598452062,5967
1598452063,5967
1598452064,5998
1598452065,6126
1598452066,6126
1598452067,6132
1598452068,6293
1598452069,6293
1598452070,6293
1598452071,6331
1598452072,6487
1598452073,6487
1598452074,6487
1598452075,6642
1598452076,6654
1598452077,6654
1598452078,6654
1598452079,6790
1598452080,6790
1598452081,6790
1598452082,6811
1598452083,6946
1598452084,6946
1598452085,6946
1598452086,7088
1598452087,7088
1598452088,7088
1598452089,7113
1598452090,7226
1598452091,7226
1598452092,7226
1598452093,7341
1598452094,7341
1598452095,7341
1598452096,7342
1598452097,7437
1598452098,7437
1598452099,7437
1598452100,7564
1598452101,7564
1598452102,7564
1598452103,7616
1598452104,7693
1598452105,7693
1598452106,7733
1598452107,7782
1598452108,7782
1598452109,7782
1598452110,7854
1598452111,7854
1598452112,7854
1598452113,7893
1598452114,7936
1598452115,7936
1598452116,7936
1598452117,7986
1598452118,7986
1598452119,7986
1598452120,8006
1598452121,8042
1598452122,8042
1598452123,8068
1598452124,8121
1598452125,8121
1598452126,8121
1598452127,8172
1598452128,8172
1598452129,8172
1598452130,8195
1598452131,8234
1598452132,8234
1598452133,8247
1598452134,8297
1598452135,8297
1598452136,8297
1598452137,8396
1598452138,8396
1598452139,8396
1598452140,8442
1598452141,8477
1598452142,8477
1598452143,8477
1598452144,8524
1598452145,8524
1598452146,8524
1598452147,8610
1598452148,8610
1598452149,8610
1598452150,8645
1598452151,8685
1598452152,8685
1598452153,8741
1598452154,8786
1598452155,8786
1598452156,8786
1598452157,8862
1598452158,8862
1598452159,8862
1598452160,8868
1598452161,8908
1598452162,8908
1598452163,8908
1598452164,8961
1598452165,8961
1598452166,8961
1598452167,9020
1598452168,9020
1598452169,9020
1598452170,9063
1598452171,9110
1598452172,9110
1598452173,9110
1598452174,9172
1598452175,9172
1598452176,9172
1598452177,9175
1598452178,9222
1598452179,9222
1598452180,9246
1598452181,9319
1598452182,9319
1598452183,9319
1598452184,9438
1598452185,9438
1598452186,9438
1598452187,9481
1598452188,9519
1598452189,9519
1598452190,9519
1598452191,9620
1598452192,9620
1598452193,9620
1598452194,9688
1598452195,9736
1598452196,9736
1598452197,9770
1598452198,9824
1598452199,9824
1598452200,9824
1598452201,9899
1598452202,9899
1598452203,9899
1598452204,9942
1598452205,9980
1598452206,9980
1598452207,9980
1598452208,10029
1598452209,10029
1598452210,10029
1598452211,10104
1598452212,10104
1598452213,10104
1598452214,10123
1598452215,10154
1598452216,10154
1598452217,10183
1598452218,10215
1598452219,10215
1598452220,10215
1598452221,10273
1598452222,10273
1598452223,10273
1598452224,10306
1598452225,10347
1598452226,10347
1598452227,10347
1598452228,10389
1598452229,10389
1598452230,10389
1598452231,10474
1598452232,10474
1598452233,10474
1598452234,10494
1598452235,10541
1598452236,10541
1598452237,10541
1598452238,10612
1598452239,10612
1598452240,10612
1598452241,10689
1598452242,10689
1598452243,10689
1598452244,10711
1598452245,10754
1598452246,10754
1598452247,10754
1598452248,10810
1598452249,10810
1598452250,10810
1598452251,10849
1598452252,10898
1598452253,10898
1598452254,10915
1598452255,10965
1598452256,10965
1598452257,10965
1598452258,10999
1598452259,10999
1598452260,10999
1598452261,11003
1598452262,11042
1598452263,11042
1598452264,11042
1598452265,11129
1598452266,11129
1598452267,11129
1598452268,11177
1598452269,11177
1598452270,11177
1598452271,11208
1598452272,11256
1598452273,11256
1598452274,11256
1598452275,11277
1598452276,11311
1598452277,11311
1598452278,11353
1598452279,11407
1598452280,11407
1598452281,11407
1598452282,11491
1598452283,11491
1598452284,11491
1598452285,11507
1598452286,11547
1598452287,11547
1598452288,11587
1598452289,11627
1598452290,11627
1598452291,11627
1598452292,11696
1598452293,11696
1598452294,11696
1598452295,11734
1598452296,11779
1598452297,11779
1598452298,11808
1598452299,11859
1598452300,11859
1598452301,11859
1598452302,11916
1598452303,11916
1598452304,11916
1598452305,11925
1598452306,11967
1598452307,11967
1598452308,11967
1598452309,12030
1598452310,12030
1598452311,12030
1598452312,12099
1598452313,12099
1598452314,12099
1598452315,12127
1598452316,12177
1598452317,12177
1598452318,12177
1598452319,12233
1598452320,12233
1598452321,12233
1598452322,12233
1598452323,12288
1598452324,12288
1598452325,12288
1598452326,12331
1598452327,12781
1598452328,12781
1598452329,12781
1598452330,12858
1598452331,12858
1598452332,12858
