t,value
1598451894,337117184
1598451895,337117184
1598451896,337117184
1598451897,337117184
1598451898,337117184
1598451899,337117184
1598451900,337117184
1598451901,337117184
1598451902,337117184
1598451903,468713472
1598451904,705167360
1598451905,705167360
1598451906,705167360
1598451907,705691648
1598451908,812122112
1598451909,890765312
1598451910,972554240
1598451911,976224256
1598451912,1069547520
1598451913,1166016512
1598451914,1169686528
1598451915,1169686528
1598451916,1169686528
1598451917,1169686528
1598451918,1169686528
1598451919,1169686528
1598451920,1169686528
1598451921,1169686528
1598451922,1240989696
1598451923,1440219136
1598451924,1703411712
1598451925,1629487104
1598451926,1429209088
1598451929,1818230784
1598451929,1818230784
1598451929,1930428416
1598451930,1922039808
1598451931,1934098432
1598451932,1949302784
1598451935,2414346240
1598451935,2414346240
1598451935,2411724800
1598451936,2432696320
1598451937,2432696320
1598451938,2432696320
1598451942,2760900608
1598451942,2760900608
1598451942,2760900608
1598451942,2924478464
1598451943,2913992704
1598451944,2925002752
1598451945,2833252352
1598451946,2681733120
1598451947,2748841984
1598451948,2760376320
1598451949,2770862080
1598451952,2537029632
1598451952,2537029632
1598451952,2547515392
1598451953,2547515392
1598451954,2565865472
1598451955,2607808512
1598451956,2651324416
1598451957,2651324416
1598451958,2651324416
1598451959,2606235648
1598451963,3032481792
1598451963,3032481792
1598451963,3032481792
1598451963,3032481792
1598451964,2723676160
1598451965,2723676160
1598451966,3029336064
1598451967,3012558848
1598451968,3007315968
1598451969,3014131712
1598451970,2995781632
1598451971,3011510272
1598451972,3011510272
1598451973,2995781632
1598451974,3006791680
1598451975,3024093184
1598451976,3073900544
1598451977,3042443264
1598451978,3014656000
1598451979,2993684480
1598451980,3019374592
1598451981,2880438272
1598451982,2954887168
1598451983,2952790016
1598451984,2952790016
1598451985,2826960896
1598451986,2613575680
1598451987,2570059776
1598451988,2927624192
1598451989,2905079808
1598451990,2888302592
1598451991,2611478528
1598451992,2826436608
1598451993,2659713024
1598451994,2826960896
1598451995,2801795072
1598451996,2792882176
1598451997,2802843648
1598451998,2793930752
1598451999,2790785024
1598452000,2789212160
1598452001,2792882176
1598452002,2791833600
1598452003,2800222208
1598452004,2804940800
1598452005,2813853696
1598452006,2814377984
1598452007,2820145152
1598452008,2827485184
1598452009,2830106624
1598452010,2829058048
1598452011,2839019520
1598452012,2846359552
1598452013,2847932416
1598452014,2863661056
1598452015,2871001088
1598452016,2880962560
1598452017,2882535424
1598452018,2891448320
1598452019,2899312640
1598452020,2907176960
1598452021,2913468416
1598452022,2917138432
1598452023,2925002752
1598452024,2933391360
1598452025,2939158528
1598452026,2943877120
1598452027,2958557184
1598452028,2976382976
1598452029,2976382976
1598452030,2991587328
1598452031,3006267392
1598452032,3023568896
1598452033,3023568896
1598452034,3035627520
1598452035,3051356160
1598452036,3064987648
1598452037,3064987648
1598452038,3074949120
1598452039,3082813440
1598452040,3084386304
1598452041,3084386304
1598452042,3092774912
1598452043,3100639232
1598452044,3107979264
1598452045,3107979264
1598452046,3116367872
1598452047,3126329344
1598452048,3127377920
1598452049,3127377920
1598452050,3141533696
1598452051,3150970880
1598452052,3153068032
1598452053,3153068032
1598452054,3168272384
1598452055,3181379584
1598452056,3180331008
1598452057,3180331008
1598452058,3191865344
1598452059,3202351104
1598452060,3202875392
1598452061,3222798336
1598452062,3242721280
1598452063,3244294144
1598452064,3244294144
1598452065,3226992640
1598452066,3247439872
1598452067,3235381248
1598452068,3235381248
1598452069,3241148416
1598452070,3215982592
1598452071,3225944064
1598452072,3173515264
1598452073,3232235520
1598452074,3229614080
1598452075,3229614080
1598452076,3232235520
1598452077,3236429824
1598452078,3236429824
1598452079,3235381248
1598452080,3238526976
1598452081,3243245568
1598452082,3241148416
1598452083,3246391296
1598452084,3245342720
1598452085,3242721280
1598452086,3242721280
1598452087,3197108224
1598452088,3243769856
1598452089,3243769856
1598452090,3250061312
1598452091,3253731328
1598452092,3252158464
1598452093,3252158464
1598452094,3260022784
1598452095,3264217088
1598452096,3264217088
1598452097,3266838528
1598452098,3269984256
1598452099,3269984256
1598452100,3273129984
1598452101,3272605696
1598452102,3275227136
1598452103,3275227136
1598452104,3277848576
1598452105,3277848576
1598452106,3277848576
1598452107,3278897152
1598452108,3279945728
1598452109,3279945728
1598452110,3279945728
1598452111,3276800000
1598452112,3274702848
1598452113,3276275712
1598452114,3276800000
1598452115,3277324288
1598452116,3278372864
1598452117,3278372864
1598452118,3264217088
1598452119,3279421440
1598452120,3279421440
1598452121,3280994304
1598452122,3280470016
1598452123,3282042880
1598452124,3282042880
1598452125,3284140032
1598452126,3264217088
1598452127,3264217088
1598452128,3271557120
1598452129,3262644224
1598452130,3247439872
1598452131,3252682752
1598452132,3231711232
1598452133,3229089792
1598452134,3240099840
1598452135,3239575552
1598452136,3223846912
1598452137,3223846912
1598452138,3225944064
1598452139,3231186944
1598452140,3231711232
1598452141,3232759808
1598452142,3234856960
1598452143,3232759808
1598452144,3235381248
1598452145,3240099840
1598452146,3240624128
1598452147,3240624128
1598452148,3240624128
1598452149,3245867008
1598452150,3245867008
1598452151,3247439872
1598452152,3246391296
1598452153,3252682752
1598452154,3251634176
1598452155,3255828480
1598452156,3261595648
1598452157,3261595648
1598452158,3264741376
1598452159,3263168512
1598452160,3252158464
1598452161,3262644224
1598452162,3261071360
1598452163,3255304192
1598452164,3261595648
1598452165,3256877056
1598452166,3253207040
1598452167,3253207040
1598452168,3253207040
1598452169,3257401344
1598452170,3252158464
1598452171,3258974208
1598452172,3254255616
1598452173,3257401344
1598452174,3249012736
1598452175,3250585600
1598452176,3254255616
1598452177,3251109888
1598452178,3256352768
1598452179,3253731328
1598452180,3254255616
1598452181,3254255616
1598452182,3258974208
1598452183,3262119936
1598452184,3265265664
1598452185,3266838528
1598452186,3267362816
1598452187,3267362816
1598452188,3272081408
1598452189,3272605696
1598452190,3272081408
1598452191,3275227136
1598452192,3277848576
1598452193,3276800000
1598452194,3276800000
1598452195,3279945728
1598452196,3280470016
1598452197,3280470016
1598452198,3262644224
1598452199,3266838528
1598452200,3268411392
1598452201,3268411392
1598452202,3236954112
1598452203,3245342720
1598452204,3247439872
1598452205,3231711232
1598452206,3235905536
