t,value
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,0
1598451904,0
1598451905,0
1598451906,0
1598451907,0
1598451908,0
1598451909,0
1598451910,0
1598451911,0
1598451912,0
1598451913,51080432
1598451914,51080432
1598451915,51080432
1598451916,51080432
1598451917,51080432
1598451918,51080432
1598451919,51080432
1598451920,51080432
1598451921,51080432
1598451922,51080432
1598451923,485657288
1598451924,485657288
1598451925,485657288
1598451926,485657288
1598451929,485657288
1598451929,485657288
1598451929,485657288
1598451930,485657288
1598451931,485657288
1598451932,485657288
1598451936,1677651552
1598451936,1677651552
1598451936,1677651552
1598451936,1677651552
1598451937,1677651552
1598451938,1677651552
1598451939,1677651552
1598451940,1677651552
1598451941,1677651552
1598451946,1677651552
1598451946,901680608
1598451946,901680608
1598451946,901680608
1598451946,901680608
1598451947,901680608
1598451948,901680608
1598451949,901680608
1598451950,901680608
1598451951,901680608
1598451952,901680608
1598451953,1725795856
1598451954,1725795856
1598451955,1725795856
1598451956,1725795856
1598451957,1725795856
1598451958,1725795856
1598451959,1725795856
1598451960,1725795856
1598451961,1725795856
1598451962,1725795856
1598451963,1868438144
1598451964,1868438144
1598451965,1868438144
1598451966,1868438144
1598451967,1868438144
1598451968,1868438144
1598451969,1868438144
1598451970,1868438144
1598451971,1868438144
1598451972,1868438144
1598451973,1089857792
1598451974,1089857792
1598451975,1089857792
1598451976,1089857792
1598451977,1089857792
1598451978,1089857792
1598451979,1089857792
1598451980,1089857792
1598451981,1089857792
1598451982,1089857792
1598451983,1449958656
1598451984,1449958656
1598451985,1449958656
1598451986,1449958656
1598451987,1449958656
1598451988,1449958656
1598451989,1449958656
1598451990,1449958656
1598451991,1449958656
1598451992,1449958656
1598451993,1741099120
1598451994,1741099120
1598451995,1741099120
1598451996,1741099120
1598451997,1741099120
1598451998,1741099120
1598451999,1741099120
1598452000,1741099120
1598452001,1741099120
1598452002,1741099120
1598452003,1678087656
1598452004,1678087656
1598452005,1678087656
1598452006,1678087656
1598452007,1678087656
1598452008,1678087656
1598452009,1678087656
1598452010,1678087656
1598452011,1678087656
1598452012,1678087656
1598452013,1871075376
1598452014,1871075376
1598452015,1871075376
1598452016,1871075376
1598452017,1871075376
1598452018,1871075376
1598452019,1871075376
1598452020,1871075376
1598452021,1871075376
1598452022,1871075376
1598452023,1728159576
1598452024,1728159576
1598452025,1728159576
1598452026,1728159576
1598452027,1728159576
1598452028,1728159576
1598452029,1728159576
1598452030,1728159576
1598452031,1728159576
1598452032,1728159576
1598452033,1460848528
1598452034,1460848528
1598452035,1460848528
1598452036,1460848528
1598452037,1460848528
1598452038,1460848528
1598452039,1460848528
1598452040,1460848528
1598452041,1460848528
1598452042,1460848528
1598452043,1118288032
1598452044,1118288032
1598452045,1118288032
1598452046,1118288032
1598452047,1118288032
1598452048,1118288032
1598452049,1118288032
1598452050,1118288032
1598452051,1118288032
1598452052,1118288032
1598452053,1477224008
1598452054,1477224008
1598452055,1477224008
1598452056,1477224008
1598452057,1477224008
1598452058,1477224008
1598452059,1477224008
1598452060,1477224008
1598452061,1477224008
1598452062,1477224008
1598452063,2154846400
1598452064,2154846400
1598452065,2154846400
1598452066,2154846400
1598452067,2154846400
1598452068,2154846400
1598452069,2154846400
1598452070,2154846400
1598452071,2154846400
1598452072,2154846400
1598452073,2186323264
1598452074,2186323264
1598452075,2186323264
1598452076,2186323264
1598452077,2186323264
1598452078,2186323264
1598452079,2186323264
1598452080,2186323264
1598452081,2186323264
1598452082,2186323264
1598452083,2154346720
1598452084,2154346720
1598452085,2154346720
1598452086,2154346720
1598452087,2154346720
1598452088,2154346720
1598452089,2154346720
1598452090,2154346720
1598452091,2154346720
1598452092,2154346720
1598452093,1560353624
1598452094,1560353624
1598452095,1560353624
1598452096,1560353624
1598452097,1560353624
1598452098,1560353624
1598452099,1560353624
1598452100,1560353624
1598452101,1560353624
1598452102,1560353624
1598452103,1343554600
1598452104,1343554600
1598452105,1343554600
1598452106,1343554600
1598452107,1343554600
1598452108,1343554600
1598452109,1343554600
1598452110,1343554600
1598452111,1343554600
1598452112,1343554600
1598452113,2028819704
1598452114,2028819704
1598452115,2028819704
1598452116,2028819704
1598452117,2028819704
1598452118,2028819704
1598452119,2028819704
1598452120,2028819704
1598452121,2028819704
1598452122,2028819704
1598452123,1349021408
1598452124,1349021408
1598452125,1349021408
1598452126,1349021408
1598452127,1349021408
1598452128,1349021408
1598452129,1349021408
1598452130,1349021408
1598452131,1349021408
1598452132,1349021408
1598452133,2035671432
1598452134,2035671432
1598452135,2035671432
1598452136,2035671432
1598452137,2035671432
1598452138,2035671432
1598452139,2035671432
1598452140,2035671432
1598452141,2035671432
1598452142,2035671432
1598452143,1457733984
1598452144,1457733984
1598452145,1457733984
1598452146,1457733984
1598452147,1457733984
1598452148,1457733984
1598452149,1457733984
1598452150,1457733984
1598452151,1457733984
1598452152,1457733984
1598452153,2314338872
1598452154,2314338872
1598452155,2314338872
1598452156,2314338872
1598452157,2314338872
1598452158,2314338872
1598452159,2314338872
1598452160,2314338872
1598452161,2314338872
1598452162,2314338872
1598452163,2118262312
1598452164,2118262312
1598452165,2118262312
1598452166,2118262312
1598452167,2118262312
1598452168,2118262312
1598452169,2118262312
1598452170,2118262312
1598452171,2118262312
1598452172,2118262312
1598452173,1299822808
1598452174,1299822808
1598452175,1299822808
1598452176,1299822808
1598452177,1299822808
1598452178,1299822808
1598452179,1299822808
1598452180,1299822808
1598452181,1299822808
1598452182,1299822808
1598452183,2148833808
1598452184,2148833808
1598452185,2148833808
1598452186,2148833808
1598452187,2148833808
1598452188,2148833808
1598452189,2148833808
1598452190,2148833808
1598452191,2148833808
1598452192,2148833808
1598452193,1734657232
1598452194,1734657232
1598452195,1734657232
1598452196,1734657232
1598452197,1734657232
1598452198,1734657232
1598452199,1734657232
1598452200,1734657232
1598452201,1734657232
1598452202,1734657232
1598452203,1328725512
1598452204,1328725512
1598452205,1328725512
1598452206,1328725512
1598452207,1328725512
1598452208,1328725512
1598452209,1328725512
1598452210,1328725512
1598452211,1328725512
1598452212,1328725512
1598452213,2069736368
1598452214,2069736368
1598452215,2069736368
1598452216,2069736368
1598452217,2069736368
1598452218,2069736368
1598452219,2069736368
1598452220,2069736368
1598452221,2069736368
1598452222,2069736368
1598452223,1522212512
1598452224,1522212512
1598452225,1522212512
1598452226,1522212512
1598452227,1522212512
1598452228,1522212512
1598452229,1522212512
1598452230,1522212512
1598452231,1522212512
1598452232,1522212512
1598452233,2447971888
1598452234,2447971888
1598452235,2447971888
1598452236,2447971888
1598452237,2447971888
1598452238,2447971888
1598452239,2447971888
1598452240,2447971888
1598452241,2447971888
1598452242,2447971888
1598452243,2063027280
1598452244,2063027280
1598452245,2063027280
1598452246,2063027280
1598452247,2063027280
1598452248,2063027280
1598452249,2063027280
1598452250,2063027280
1598452251,2063027280
1598452252,2063027280
1598452253,1370406440
1598452254,1370406440
1598452255,1370406440
1598452256,1370406440
1598452257,1370406440
1598452258,1370406440
1598452259,1370406440
1598452260,1370406440
1598452261,1370406440
1598452262,1370406440
1598452263,2042556864
1598452264,2042556864
1598452265,2042556864
1598452266,2042556864
1598452267,2042556864
1598452268,2042556864
1598452269,2042556864
1598452270,2042556864
1598452271,2042556864
1598452272,2042556864
1598452273,1304214312
1598452274,1304214312
1598452275,1304214312
1598452276,1304214312
1598452277,1304214312
1598452278,1304214312
1598452279,1304214312
1598452280,1304214312
1598452281,1304214312
1598452282,1304214312
1598452283,1750267024
1598452284,1750267024
1598452285,1750267024
1598452286,1750267024
1598452287,1750267024
1598452288,1750267024
1598452289,1750267024
1598452290,1750267024
1598452291,1750267024
1598452292,1750267024
1598452293,2438864848
1598452294,2438864848
1598452295,2438864848
1598452296,2438864848
1598452297,2438864848
1598452298,2438864848
1598452299,2438864848
1598452300,2438864848
1598452301,2438864848
1598452302,2438864848
1598452303,1549017104
1598452304,1549017104
1598452305,1549017104
1598452306,1549017104
1598452307,1549017104
1598452308,1549017104
1598452309,1549017104
1598452310,1549017104
1598452311,1549017104
1598452312,1549017104
1598452313,2020945544
1598452314,2020945544
1598452315,2020945544
1598452316,2020945544
1598452317,2020945544
1598452318,2020945544
1598452319,2020945544
1598452320,2020945544
1598452321,2020945544
1598452322,2020945544
1598452323,2321688616
1598452324,2321688616
1598452325,2321688616
1598452326,2321688616
1598452327,2321688616
1598452328,2321688616
1598452329,2321688616
1598452330,2321688616
1598452331,2321688616
1598452332,2321688616
