t,count
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,0
1598451904,0
1598451905,0
1598451906,0
1598451907,0
1598451908,0
1598451909,0
1598451910,0
1598451911,0
1598451912,0
1598451913,0
1598451914,232
1598451915,464
1598451916,464
1598451917,464
1598451918,476
1598451919,476
1598451920,476
1598451921,476
1598451922,476
1598451923,476
1598451924,476
1598451925,476
1598451926,476
1598451929,476
1598451929,476
1598451929,476
1598451930,476
1598451931,476
1598451932,476
1598451936,476
1598451936,476
1598451936,476
1598451936,476
1598451937,476
1598451938,476
1598451939,476
1598451940,7166
1598451941,7166
1598451946,7166
1598451946,7166
1598451946,7166
1598451946,7166
1598451946,17931
1598451947,17931
1598451948,17931
1598451949,17931
1598451950,17931
1598451951,17931
1598451952,17931
1598451953,17931
1598451954,17931
1598451955,17931
1598451956,17931
1598451957,17931
1598451958,23687
1598451959,23687
1598451960,23687
1598451961,23687
1598451962,23687
1598451963,23687
1598451964,23687
1598451965,23687
1598451966,23909
1598451967,24002
1598451968,24002
1598451969,24497
1598451970,24497
1598451971,24511
1598451972,24511
1598451973,24527
1598451974,24565
1598451975,24565
1598451976,24565
1598451977,24869
1598451978,24869
1598451979,24945
1598451980,25003
1598451981,25044
1598451982,25060
1598451983,25161
1598451984,25204
1598451985,25235
1598451986,25235
1598451987,25277
1598451988,25283
1598451989,25311
1598451990,25323
1598451991,25369
1598451992,25381
1598451993,25393
1598451994,25405
1598451995,25448
1598451996,25461
1598451997,25477
1598451998,25489
1598451999,25525
1598452000,25531
1598452001,25553
1598452002,25553
1598452003,25571
1598452004,25601
1598452005,25621
1598452006,25621
1598452007,25639
1598452008,25663
1598452009,25681
1598452010,25686
1598452011,25724
1598452012,25730
1598452013,25746
1598452014,25758
1598452015,25785
1598452016,25799
1598452017,25806
1598452018,25806
1598452019,25842
1598452020,25849
1598452021,25863
1598452022,25876
1598452023,25898
1598452024,25904
1598452025,25922
1598452026,25934
1598452027,25960
1598452028,25967
1598452029,25979
1598452030,25992
1598452031,26020
1598452032,26026
1598452033,26056
1598452034,26056
1598452035,26086
1598452036,26092
1598452037,26114
1598452038,26126
1598452039,26148
1598452040,26154
1598452041,26168
1598452042,26168
1598452043,26214
1598452044,26224
1598452045,26238
1598452046,26262
1598452047,26280
1598452048,26288
1598452049,26316
1598452050,26330
1598452051,26366
1598452052,26372
1598452053,26381
1598452054,26381
1598452055,26413
1598452056,26418
1598452057,26426
1598452058,26426
1598452059,26450
1598452060,26464
1598452061,26476
1598452062,26496
1598452063,26502
1598452064,26518
1598452065,26518
1598452066,26552
1598452067,26574
1598452068,26574
1598452069,26588
1598452070,26609
1598452071,26623
1598452072,26623
1598452073,26651
1598452074,26658
1598452075,26665
1598452076,26665
1598452077,26693
1598452078,26699
1598452079,26706
1598452080,26712
1598452081,26732
1598452082,26732
1598452083,26744
1598452084,26760
1598452085,26766
1598452086,26782
1598452087,26796
1598452088,26815
1598452089,26834
1598452090,26834
1598452091,26862
1598452092,26868
1598452093,26874
1598452094,26885
1598452095,26901
1598452096,26901
1598452097,26915
1598452098,26935
1598452099,26941
1598452100,26957
1598452101,26969
1598452102,26987
1598452103,26994
1598452104,26994
1598452105,27011
1598452106,27024
1598452107,27024
1598452108,27054
1598452109,27060
1598452110,27072
1598452111,27085
1598452112,27104
1598452113,27104
1598452114,27104
1598452115,27139
1598452116,27146
1598452117,27160
1598452118,27173
1598452119,27192
1598452120,27192
1598452121,27192
1598452122,27223
1598452123,27244
1598452124,27244
1598452125,27270
1598452126,27276
1598452127,27276
1598452128,27281
1598452129,27298
1598452130,27312
1598452131,27312
1598452132,27336
1598452133,27342
1598452134,27348
1598452135,27366
1598452136,27372
1598452137,27386
1598452138,27408
1598452139,27415
1598452140,27415
1598452141,27434
1598452142,27447
1598452143,27465
1598452144,27465
1598452145,27491
1598452146,27497
1598452147,27513
1598452148,27520
1598452149,27541
1598452150,27559
1598452151,27559
1598452152,27587
1598452153,27594
1598452154,27602
1598452155,27622
1598452156,27635
1598452157,27635
1598452158,27650
1598452159,27677
1598452160,27687
1598452161,27687
1598452162,27711
1598452163,27718
1598452164,27724
1598452165,27744
1598452166,27750
1598452167,27766
1598452168,27778
1598452169,27797
1598452170,27804
1598452171,27804
1598452172,27821
1598452173,27834
1598452174,27834
1598452175,27846
1598452176,27874
1598452177,27888
1598452178,27888
1598452179,27914
1598452180,27921
1598452181,27935
1598452182,27953
1598452183,27959
1598452184,27975
1598452185,27987
1598452186,28006
1598452187,28006
1598452188,28013
1598452189,28031
1598452190,28037
1598452191,28053
1598452192,28079
1598452193,28084
1598452194,28091
1598452195,28091
1598452196,28115
1598452197,28121
1598452198,28121
1598452199,28153
1598452200,28159
1598452201,28173
1598452202,28186
1598452203,28205
1598452204,28205
1598452205,28205
1598452206,28236
1598452207,28257
1598452208,28257
1598452209,28283
1598452210,28289
1598452211,28296
1598452212,28303
1598452213,28322
1598452214,28338
1598452215,28338
1598452216,28366
1598452217,28372
1598452218,28388
1598452219,28406
1598452220,28412
1598452221,28430
1598452222,28444
1598452223,28464
1598452224,28464
1598452225,28471
1598452226,28494
1598452227,28508
1598452228,28515
1598452229,28543
1598452230,28549
1598452231,28556
1598452232,28563
1598452233,28582
1598452234,28600
1598452235,28600
1598452236,28626
1598452237,28632
1598452238,28646
1598452239,28674
1598452240,28681
1598452241,28681
1598452242,28681
1598452243,28714
1598452244,28733
1598452245,28733
1598452246,28759
1598452247,28766
1598452248,28780
1598452249,28785
1598452250,28802
1598452251,28816
1598452252,28816
1598452253,28838
1598452254,28844
1598452255,28856
1598452256,28874
1598452257,28880
1598452258,28894
1598452259,28906
1598452260,28924
1598452261,28924
1598452262,28936
1598452263,28956
1598452264,28962
1598452265,28978
1598452266,29004
1598452267,29011
1598452268,29017
1598452269,29024
1598452270,29045
1598452271,29061
1598452272,29061
1598452273,29089
1598452274,29096
1598452275,29103
1598452276,29103
1598452277,29123
1598452278,29145
1598452279,29145
1598452280,29173
1598452281,29179
1598452282,29193
1598452283,29206
1598452284,29225
1598452285,29225
1598452286,29225
1598452287,29255
1598452288,29273
1598452289,29273
1598452290,29297
1598452291,29303
1598452292,29303
1598452293,29310
1598452294,29331
1598452295,29345
1598452296,29345
1598452297,29369
1598452298,29376
1598452299,29384
1598452300,29403
1598452301,29410
1598452302,29424
1598452303,29438
1598452304,29459
1598452305,29459
1598452306,29459
1598452307,29495
1598452308,29508
1598452309,29515
1598452310,29541
1598452311,29547
1598452312,29547
1598452313,29561
1598452314,29591
1598452315,29603
1598452316,29603
1598452317,29631
1598452318,29638
1598452319,29644
1598452320,29650
1598452321,29670
1598452322,29670
1598452323,29684
1598452324,29712
1598452325,29718
1598452326,29718
1598452327,29726
1598452328,29747
1598452329,29754
1598452330,29768
1598452331,29768
1598452332,29768
