t,value
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,2
1598451901,2
1598451902,2
1598451903,2
1598451904,2
1598451905,2
1598451906,2
1598451907,2
1598451908,2
1598451909,2
1598451910,2
1598451911,2
1598451912,2
1598451913,2
1598451914,3
1598451915,3
1598451916,3
1598451917,3
1598451918,3
1598451919,3
1598451920,3
1598451921,3
1598451922,5
1598451923,5
1598451924,5
1598451925,5
1598451926,5
1598451929,5
1598451929,5
1598451929,5
1598451930,5
1598451931,5
1598451932,5
1598451936,5
1598451936,5
1598451936,5
1598451936,5
1598451937,5
1598451938,5
1598451939,5
1598451940,6
1598451941,6
1598451946,6
1598451946,6
1598451946,6
1598451946,6
1598451946,6
1598451947,6
1598451948,6
1598451949,6
1598451950,6
1598451951,6
1598451952,6
1598451953,6
1598451954,6
1598451955,6
1598451956,6
1598451957,6
1598451958,6
1598451959,6
1598451960,6
1598451961,6
1598451962,6
1598451963,6
1598451964,6
1598451965,8
1598451966,10
1598451967,11
1598451968,11
1598451969,12
1598451970,12
1598451971,12
1598451972,14
1598451973,16
1598451974,18
1598451975,20
1598451976,20
1598451977,21
1598451978,21
1598451979,23
1598451980,24
1598451981,27
1598451982,29
1598451983,30
1598451984,32
1598451985,35
1598451986,38
1598451987,39
1598451988,41
1598451989,44
1598451990,47
1598451991,48
1598451992,50
1598451993,51
1598451994,56
1598451995,57
1598451996,59
1598451997,60
1598451998,65
1598451999,66
1598452000,68
1598452001,69
1598452002,74
1598452003,75
1598452004,75
1598452005,78
1598452006,83
1598452007,84
1598452008,84
1598452009,87
1598452010,92
1598452011,93
1598452012,93
1598452013,96
1598452014,101
1598452015,102
1598452016,104
1598452017,105
1598452018,110
1598452019,111
1598452020,113
1598452021,116
1598452022,119
1598452023,120
1598452024,122
1598452025,123
1598452026,128
1598452027,129
1598452028,131
1598452029,132
1598452030,137
1598452031,138
1598452032,140
1598452033,143
1598452034,146
1598452035,147
1598452036,149
1598452037,152
1598452038,155
1598452039,156
1598452040,158
1598452041,159
1598452042,164
1598452043,165
1598452044,167
1598452045,170
1598452046,173
1598452047,174
1598452048,176
1598452049,180
1598452050,182
1598452051,183
1598452052,185
1598452053,189
1598452054,191
1598452055,192
1598452056,195
1598452057,200
1598452058,200
1598452059,201
1598452060,204
1598452061,209
1598452062,210
1598452063,212
1598452064,215
1598452065,218
1598452066,219
1598452067,222
1598452068,227
1598452069,228
1598452070,228
1598452071,231
1598452072,236
1598452073,237
1598452074,239
1598452075,243
1598452076,245
1598452077,246
1598452078,248
1598452079,252
1598452080,255
1598452081,255
1598452082,258
1598452083,263
1598452084,264
1598452085,266
1598452086,270
1598452087,273
1598452088,273
1598452089,276
1598452090,281
1598452091,282
1598452092,284
1598452093,288
1598452094,291
1598452095,291
1598452096,294
1598452097,299
1598452098,300
1598452099,302
1598452100,308
1598452101,309
1598452102,309
1598452103,312
1598452104,317
1598452105,318
1598452106,321
1598452107,326
1598452108,327
1598452109,329
1598452110,333
1598452111,336
1598452112,336
1598452113,339
1598452114,344
1598452115,345
1598452116,347
1598452117,353
1598452118,354
1598452119,354
1598452120,357
1598452121,362
1598452122,363
1598452123,366
1598452124,371
1598452125,372
1598452126,374
1598452127,380
1598452128,381
1598452129,381
1598452130,384
1598452131,389
1598452132,390
1598452133,393
1598452134,398
1598452135,399
1598452136,401
1598452137,407
1598452138,408
1598452139,408
1598452140,413
1598452141,417
1598452142,417
1598452143,420
1598452144,425
1598452145,426
1598452146,428
1598452147,432
1598452148,435
1598452149,435
1598452150,438
1598452151,443
1598452152,444
1598452153,447
1598452154,452
1598452155,453
1598452156,455
1598452157,461
1598452158,462
1598452159,462
1598452160,465
1598452161,470
1598452162,471
1598452163,474
1598452164,479
1598452165,480
1598452166,482
1598452167,488
1598452168,489
1598452169,489
1598452170,492
1598452171,497
1598452172,498
1598452173,500
1598452174,504
1598452175,507
1598452176,507
1598452177,510
1598452178,515
1598452179,516
1598452180,519
1598452181,524
1598452182,525
1598452183,527
1598452184,531
1598452185,534
1598452186,534
1598452187,537
1598452188,542
1598452189,543
1598452190,545
1598452191,551
1598452192,552
1598452193,552
1598452194,557
1598452195,560
1598452196,561
1598452197,564
1598452198,569
1598452199,570
1598452200,572
1598452201,578
1598452202,579
1598452203,579
1598452204,582
1598452205,587
1598452206,588
1598452207,591
1598452208,596
1598452209,597
1598452210,599
1598452211,603
1598452212,606
1598452213,606
1598452214,609
1598452215,614
1598452216,615
1598452217,618
1598452218,623
1598452219,624
1598452220,626
1598452221,630
1598452222,633
1598452223,633
1598452224,636
1598452225,641
1598452226,642
1598452227,645
1598452228,650
1598452229,651
1598452230,653
1598452231,657
1598452232,660
1598452233,660
1598452234,663
1598452235,668
1598452236,669
1598452237,671
1598452238,677
1598452239,678
1598452240,680
1598452241,684
1598452242,686
1598452243,687
1598452244,690
1598452245,695
1598452246,696
1598452247,698
1598452248,704
1598452249,705
1598452250,705
1598452251,708
1598452252,713
1598452253,714
1598452254,717
1598452255,722
1598452256,723
1598452257,725
1598452258,729
1598452259,732
1598452260,732
1598452261,735
1598452262,740
1598452263,741
1598452264,743
1598452265,749
1598452266,750
1598452267,752
1598452268,756
1598452269,759
1598452270,759
1598452271,762
1598452272,767
1598452273,768
1598452274,770
1598452275,773
1598452276,776
1598452277,777
1598452278,780
1598452279,785
1598452280,786
1598452281,788
1598452282,794
1598452283,795
1598452284,797
1598452285,801
1598452286,803
1598452287,804
1598452288,807
1598452289,812
1598452290,813
1598452291,815
1598452292,821
1598452293,822
1598452294,822
1598452295,825
1598452296,830
1598452297,831
1598452298,834
1598452299,839
1598452300,840
1598452301,842
1598452302,846
1598452303,849
1598452304,849
1598452305,852
1598452306,857
1598452307,858
1598452308,861
1598452309,866
1598452310,867
1598452311,869
1598452312,873
1598452313,876
1598452314,876
1598452315,879
1598452316,884
1598452317,885
1598452318,887
1598452319,891
1598452320,894
1598452321,894
1598452322,896
1598452323,902
1598452324,903
1598452325,903
1598452326,908
1598452327,911
1598452328,912
1598452329,914
1598452330,921
1598452331,927
1598452332,927
