t,value
1598451894,23
1598451895,23
1598451896,23
1598451897,23
1598451898,23
1598451899,23
1598451900,23
1598451901,23
1598451902,23
1598451903,27
1598451904,46
1598451905,46
1598451906,46
1598451907,69
1598451908,78
1598451909,84
1598451910,93
1598451911,98
1598451912,103
1598451913,113
1598451914,118
1598451915,118
1598451916,124
1598451917,124
1598451918,130
1598451919,130
1598451920,130
1598451921,130
1598451922,173
1598451923,243
1598451924,351
1598451925,475
1598451926,619
1598451929,932
1598451929,932
1598451929,932
1598451930,1254
1598451931,1441
1598451932,1657
1598451936,2011
1598451936,2011
1598451936,2011
1598451936,2071
1598451937,2071
1598451938,2071
1598451939,2198
1598451940,2239
1598451941,2304
1598451946,2510
1598451946,2510
1598451946,2510
1598451946,2510
1598451946,2510
1598451947,2898
1598451948,3045
1598451949,3213
1598451950,3306
1598451951,3503
1598451952,3739
1598451953,3739
1598451954,3739
1598451955,3739
1598451956,3995
1598451957,4191
1598451958,4191
1598451959,4191
1598451960,4191
1598451961,4191
1598451962,4191
1598451963,4191
1598451964,4191
1598451965,4302
1598451966,4302
1598451967,4496
1598451968,4504
1598451969,4513
1598451970,4518
1598451971,4522
1598451972,4526
1598451973,4533
1598451974,4549
1598451975,4593
1598451976,4686
1598451977,4730
1598451978,4762
1598451979,4776
1598451980,4802
1598451981,4833
1598451982,4876
1598451983,4908
1598451984,4919
1598451985,4938
1598451986,4950
1598451987,4968
1598451988,4975
1598451989,4982
1598451990,4995
1598451991,5014
1598451992,5020
1598451993,5026
1598451994,5037
1598451995,5057
1598451996,5063
1598451997,5071
1598451998,5083
1598451999,5095
1598452000,5101
1598452001,5115
1598452002,5122
1598452003,5133
1598452004,5139
1598452005,5152
1598452006,5159
1598452007,5170
1598452008,5176
1598452009,5190
1598452010,5197
1598452011,5209
1598452012,5215
1598452013,5223
1598452014,5234
1598452015,5246
1598452016,5253
1598452017,5260
1598452018,5266
1598452019,5278
1598452020,5285
1598452021,5292
1598452022,5305
1598452023,5316
1598452024,5322
1598452025,5331
1598452026,5344
1598452027,5350
1598452028,5357
1598452029,5363
1598452030,5376
1598452031,5390
1598452032,5396
1598452033,5411
1598452034,5417
1598452035,5429
1598452036,5429
1598452037,5440
1598452038,5451
1598452039,5457
1598452040,5463
1598452041,5470
1598452042,5483
1598452043,5498
1598452044,5498
1598452045,5505
1598452046,5522
1598452047,5530
1598452048,5537
1598452049,5551
1598452050,5556
1598452051,5569
1598452052,5575
1598452053,5584
1598452054,5590
1598452055,5605
1598452056,5605
1598452057,5613
1598452058,5625
1598452059,5625
1598452060,5632
1598452061,5638
1598452062,5651
1598452063,5651
1598452064,5659
1598452065,5673
1598452066,5679
1598452067,5687
1598452068,5687
1598452069,5701
1598452070,5708
1598452071,5715
1598452072,5722
1598452073,5729
1598452074,5736
1598452075,5743
1598452076,5757
1598452077,5763
1598452078,5763
1598452079,5770
1598452080,5783
1598452081,5788
1598452082,5788
1598452083,5799
1598452084,5805
1598452085,5813
1598452086,5813
1598452087,5827
1598452088,5832
1598452089,5839
1598452090,5846
1598452091,5859
1598452092,5859
1598452093,5865
1598452094,5876
1598452095,5881
1598452096,5881
1598452097,5895
1598452098,5901
1598452099,5909
1598452100,5909
1598452101,5921
1598452102,5927
1598452103,5934
1598452104,5939
1598452105,5946
1598452106,5952
1598452107,5958
1598452108,5970
1598452109,5970
1598452110,5976
1598452111,5989
1598452112,5995
1598452113,5995
1598452114,6009
1598452115,6016
1598452116,6016
1598452117,6023
1598452118,6036
1598452119,6042
1598452120,6042
1598452121,6054
1598452122,6061
1598452123,6068
1598452124,6074
1598452125,6081
1598452126,6087
1598452127,6095
1598452128,6100
1598452129,6106
1598452130,6113
1598452131,6125
1598452132,6131
1598452133,6131
1598452134,6143
1598452135,6149
1598452136,6149
1598452137,6156
1598452138,6167
1598452139,6174
1598452140,6174
1598452141,6187
1598452142,6193
1598452143,6199
1598452144,6206
1598452145,6218
1598452146,6218
1598452147,6226
1598452148,6240
1598452149,6240
1598452150,6249
1598452151,6263
1598452152,6270
1598452153,6270
1598452154,6285
1598452155,6291
1598452156,6298
1598452157,6305
1598452158,6313
1598452159,6319
1598452160,6324
1598452161,6330
1598452162,6343
1598452163,6343
1598452164,6349
1598452165,6362
1598452166,6370
1598452167,6370
1598452168,6382
1598452169,6389
1598452170,6396
1598452171,6401
1598452172,6408
1598452173,6414
1598452174,6414
1598452175,6426
1598452176,6434
1598452177,6441
1598452178,6448
1598452179,6461
1598452180,6461
1598452181,6468
1598452182,6480
1598452183,6480
1598452184,6488
1598452185,6500
1598452186,6507
1598452187,6507
1598452188,6520
1598452189,6526
1598452190,6534
1598452191,6540
1598452192,6547
1598452193,6552
1598452194,6559
1598452195,6565
1598452196,6577
1598452197,6577
1598452198,6584
1598452199,6596
1598452200,6596
1598452201,6603
1598452202,6616
1598452203,6622
1598452204,6622
1598452205,6634
1598452206,6641
1598452207,6648
1598452208,6654
1598452209,6661
1598452210,6667
1598452211,6674
1598452212,6681
1598452213,6687
1598452214,6695
1598452215,6702
1598452216,6715
1598452217,6715
1598452218,6723
1598452219,6735
1598452220,6735
1598452221,6744
1598452222,6758
1598452223,6764
1598452224,6771
1598452225,6779
