t,value
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,0
1598451904,0
1598451905,0
1598451906,10050
1598451907,10050
1598451908,10050
1598451909,10050
1598451910,10050
1598451911,10050
1598451912,10050
1598451913,10050
1598451914,10050
1598451915,10050
1598451916,152407
1598451917,152407
1598451918,152407
1598451919,152407
1598451920,152407
1598451921,152407
1598451922,152407
1598451923,152407
1598451924,152407
1598451925,152407
1598451926,176569
1598451929,176569
1598451929,176569
1598451929,176569
1598451930,176569
1598451931,176569
1598451932,176569
1598451935,176569
1598451935,168377
1598451935,168377
1598451936,168377
1598451937,168377
1598451940,168377
1598451940,168377
1598451940,168377
1598451941,168377
1598451942,168377
1598451943,168377
1598451944,168377
1598451945,168377
1598451946,242648
1598451947,242648
1598451948,242648
1598451949,242648
1598451950,242648
1598451951,242648
1598451952,242648
1598451953,242648
1598451954,242648
1598451955,242648
1598451956,242648
1598451957,242648
1598451958,242648
1598451959,242648
1598451960,242648
1598451961,242648
1598451962,242648
1598451963,242648
1598451964,242648
1598451965,242648
1598451966,242649
1598451967,242649
1598451968,242649
1598451969,242649
1598451970,242649
1598451971,242649
1598451972,242649
1598451973,242649
1598451974,242649
1598451975,242649
1598451976,110522
1598451977,110522
1598451978,110522
1598451979,110522
1598451980,110522
1598451981,110522
1598451982,110522
1598451983,110522
1598451984,110522
1598451985,110522
1598451986,127316
1598451987,127316
1598451988,127316
1598451989,127316
1598451990,127316
1598451991,127316
1598451992,127316
1598451993,127316
1598451994,127316
1598451995,127316
1598451996,127316
1598451997,127316
1598451998,127316
1598451999,127316
1598452000,127316
1598452001,127316
1598452002,127316
1598452003,127316
1598452004,127316
1598452005,127316
1598452006,127316
1598452007,127316
1598452008,127316
1598452009,127316
1598452010,127316
1598452011,127316
1598452012,127316
1598452013,127316
1598452014,127316
1598452015,127316
1598452016,127316
1598452017,127316
1598452018,127316
1598452019,127316
1598452020,127316
1598452021,127316
1598452022,127316
1598452023,127316
1598452024,127316
1598452025,127316
1598452026,127316
1598452027,127316
1598452028,127316
1598452029,127316
1598452030,127316
1598452031,127316
1598452032,127316
1598452033,127316
1598452034,127316
1598452035,127316
1598452036,127316
1598452037,127316
1598452038,127316
1598452039,127316
1598452040,127316
1598452041,127316
1598452042,127316
1598452043,127316
1598452044,127316
1598452045,127316
1598452046,127316
1598452047,127316
1598452048,127316
1598452049,127316
1598452050,127316
1598452051,127316
1598452052,127316
1598452053,127316
1598452054,127316
1598452055,127316
1598452056,127316
1598452057,127316
1598452058,127316
1598452059,127316
1598452060,127316
1598452061,127316
1598452062,127316
1598452063,127316
1598452064,127316
1598452065,127316
1598452066,127316
1598452067,127316
1598452068,127316
1598452069,127316
1598452070,127316
1598452071,127316
1598452072,127316
1598452073,127316
1598452074,127316
1598452075,127316
1598452076,127316
1598452077,127316
1598452078,127316
1598452079,127316
1598452080,127316
1598452081,127316
1598452082,127316
1598452083,127316
1598452084,127316
1598452085,127316
1598452086,127316
1598452087,127316
1598452088,127316
1598452089,127316
1598452090,127316
1598452091,127316
1598452092,127316
1598452093,127316
1598452094,127316
1598452095,127316
1598452096,127316
1598452097,127316
1598452098,127316
1598452099,127316
1598452100,127316
1598452101,127316
1598452102,127316
1598452103,127316
1598452104,127316
1598452105,127316
1598452106,127316
1598452107,127316
1598452108,127316
1598452109,127316
1598452110,127316
1598452111,127316
1598452112,127316
1598452113,127316
1598452114,127316
1598452115,127316
1598452116,127316
1598452117,127316
1598452118,127316
1598452119,127316
1598452120,127316
1598452121,127316
1598452122,127316
1598452123,127316
1598452124,127316
1598452125,127316
1598452126,127316
1598452127,127316
1598452128,127316
1598452129,127316
1598452130,127316
1598452131,127316
1598452132,127316
1598452133,127316
1598452134,127316
1598452135,127316
1598452136,127316
1598452137,127316
1598452138,127316
1598452139,127316
1598452140,127316
1598452141,127316
1598452142,127316
1598452143,127316
1598452144,127316
1598452145,127316
1598452146,127316
1598452147,127316
1598452148,127316
1598452149,127316
1598452150,127316
1598452151,127316
1598452152,127316
1598452153,127316
1598452154,127316
1598452155,127316
1598452156,127316
1598452157,127316
1598452158,127316
1598452159,127316
1598452160,127316
1598452161,127316
1598452162,127316
1598452163,127316
1598452164,127316
1598452165,127316
1598452166,127316
1598452167,127316
1598452168,127316
1598452169,127316
1598452170,127316
1598452171,127316
1598452172,127316
1598452173,127316
1598452174,127316
1598452175,127316
1598452176,127316
1598452177,127316
1598452178,127316
1598452179,127316
1598452180,127316
1598452181,127316
1598452182,127316
1598452183,127316
1598452184,127316
1598452185,127316
1598452186,127316
1598452187,127316
1598452188,127316
1598452189,127316
1598452190,127316
1598452191,127316
1598452192,127316
1598452193,127316
1598452194,127316
1598452195,127316
1598452196,127316
1598452197,127316
1598452198,127316
1598452199,127316
1598452200,127316
1598452201,127316
1598452202,127316
1598452203,127316
1598452204,127316
1598452205,127316
1598452206,127316
1598452207,127316
1598452208,127316
1598452209,127316
1598452210,127316
1598452211,127316
1598452212,127316
1598452213,127316
1598452214,127316
1598452215,127316
1598452216,127316
1598452217,127316
1598452218,127316
1598452219,127316
1598452220,127316
1598452221,127316
1598452222,127316
1598452223,127316
1598452224,127316
1598452225,127316
1598452226,127316
1598452227,127316
1598452228,127316
1598452229,127316
1598452230,127316
1598452231,127316
1598452232,127316
1598452233,127316
1598452234,127316
1598452235,127316
1598452236,127316
1598452237,127316
1598452238,127316
1598452239,127316
1598452240,127316
1598452241,127316
1598452242,127316
1598452243,127316
1598452244,127316
1598452245,127316
1598452246,127316
1598452247,127316
1598452248,127316
1598452249,127316
1598452250,127316
1598452251,127316
1598452252,127316
1598452253,127316
1598452254,127316
1598452255,127316
1598452256,127316
1598452257,127316
1598452258,127316
1598452259,127316
1598452260,127316
1598452261,127316
1598452262,127316
1598452263,127316
1598452264,127316
1598452265,127316
1598452266,127316
1598452267,127316
1598452268,127316
1598452269,127316
1598452270,127316
1598452271,127316
1598452272,127316
1598452273,127316
1598452274,127316
1598452275,127316
1598452276,127316
1598452277,127316
1598452278,127316
1598452279,127316
1598452280,127316
1598452281,127316
1598452282,127316
1598452283,127316
1598452284,127316
1598452285,127316
1598452286,127316
1598452287,127316
1598452288,127316
1598452289,127316
1598452290,127316
1598452291,127316
1598452292,127316
1598452293,127316
1598452294,127316
1598452295,127316
1598452296,127316
1598452297,127316
1598452298,127316
1598452299,127316
1598452300,127316
1598452301,127316
1598452302,127316
1598452303,127316
1598452304,127316
1598452305,127316
1598452306,127316
1598452307,127316
1598452308,127316
1598452309,127316
1598452310,127316
1598452311,127316
1598452312,127316
1598452313,127316
1598452314,127316
1598452315,127316
1598452316,127316
1598452317,127316
1598452318,127316
1598452319,127316
1598452320,127316
1598452321,127316
1598452322,127316
1598452323,127316
1598452324,127316
1598452325,127316
1598452326,127316
1598452327,127316
1598452328,127316
1598452329,127316
1598452330,127316
1598452331,127316
1598452332,127316
