t,value
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,0
1598451904,0
1598451905,0
1598451906,453547
1598451907,453547
1598451908,453547
1598451909,453547
1598451910,453547
1598451911,453547
1598451912,453547
1598451913,453547
1598451914,453547
1598451915,453547
1598451916,453547
1598451917,453547
1598451918,453547
1598451919,453547
1598451920,453547
1598451921,453547
1598451922,453547
1598451923,453547
1598451924,453547
1598451925,453547
1598451926,822653
1598451929,822653
1598451929,822653
1598451929,822653
1598451930,822653
1598451931,822653
1598451932,822653
1598451935,822653
1598451935,822653
1598451935,822653
1598451936,822653
1598451937,822653
1598451940,822653
1598451940,822653
1598451940,822653
1598451941,822653
1598451942,822653
1598451943,822653
1598451944,822653
1598451945,822653
1598451946,340013485
1598451947,340013485
1598451948,340013485
1598451949,340013485
1598451950,340013485
1598451951,340013485
1598451952,340013485
1598451953,340013485
1598451954,340013485
1598451955,340013485
1598451956,340013485
1598451957,340013485
1598451958,340013485
1598451959,340013485
1598451960,340013485
1598451961,340013485
1598451962,340013485
1598451963,340013485
1598451964,340013485
1598451965,340013485
1598451966,516434338
1598451967,516434338
1598451968,516434338
1598451969,516434338
1598451970,516434338
1598451971,516434338
1598451972,516434338
1598451973,516434338
1598451974,516434338
1598451975,516434338
1598451976,1275472506
1598451977,1275472506
1598451978,1275472506
1598451979,1275472506
1598451980,1275472506
1598451981,1275472506
1598451982,1275472506
1598451983,1275472506
1598451984,1275472506
1598451985,1275472506
1598451986,1533835624
1598451987,1533835624
1598451988,1533835624
1598451989,1533835624
1598451990,1533835624
1598451991,1533835624
1598451992,1533835624
1598451993,1533835624
1598451994,1533835624
1598451995,1533835624
1598451996,1328977417
1598451997,1328977417
1598451998,1328977417
1598451999,1328977417
1598452000,1328977417
1598452001,1328977417
1598452002,1328977417
1598452003,1328977417
1598452004,1328977417
1598452005,1328977417
1598452006,1328882490
1598452007,1328882490
1598452008,1328882490
1598452009,1328882490
1598452010,1328882490
1598452011,1328882490
1598452012,1328882490
1598452013,1328882490
1598452014,1328882490
1598452015,1328882490
1598452016,1329045702
1598452017,1329045702
1598452018,1329045702
1598452019,1329045702
1598452020,1329045702
1598452021,1329045702
1598452022,1329045702
1598452023,1329045702
1598452024,1329045702
1598452025,1329045702
1598452026,1331064317
1598452027,1331064317
1598452028,1331064317
1598452029,1331064317
1598452030,1331064317
1598452031,1331064317
1598452032,1331064317
1598452033,1331064317
1598452034,1331064317
1598452035,1331064317
1598452036,1328973545
1598452037,1328973545
1598452038,1328973545
1598452039,1328973545
1598452040,1328973545
1598452041,1328973545
1598452042,1328973545
1598452043,1328973545
1598452044,1328973545
1598452045,1328973545
1598452046,1750012590
1598452047,1750012590
1598452048,1750012590
1598452049,1750012590
1598452050,1750012590
1598452051,1750012590
1598452052,1750012590
1598452053,1750012590
1598452054,1750012590
1598452055,1750012590
1598452056,1328867438
1598452057,1328867438
1598452058,1328867438
1598452059,1328867438
1598452060,1328867438
1598452061,1328867438
1598452062,1328867438
1598452063,1328867438
1598452064,1328867438
1598452065,1328867438
1598452066,1329112390
1598452067,1329112390
1598452068,1329112390
1598452069,1329112390
1598452070,1329112390
1598452071,1329112390
1598452072,1329112390
1598452073,1329112390
1598452074,1329112390
1598452075,1329112390
1598452076,1965633057
1598452077,1965633057
1598452078,1965633057
1598452079,1965633057
1598452080,1965633057
1598452081,1965633057
1598452082,1965633057
1598452083,1965633057
1598452084,1965633057
1598452085,1965633057
1598452086,1329183943
1598452087,1329183943
1598452088,1329183943
1598452089,1329183943
1598452090,1329183943
1598452091,1329183943
1598452092,1329183943
1598452093,1329183943
1598452094,1329183943
1598452095,1329183943
1598452096,1328981240
1598452097,1328981240
1598452098,1328981240
1598452099,1328981240
1598452100,1328981240
1598452101,1328981240
1598452102,1328981240
1598452103,1328981240
1598452104,1328981240
1598452105,1328981240
1598452106,1328992333
1598452107,1328992333
1598452108,1328992333
1598452109,1328992333
1598452110,1328992333
1598452111,1328992333
1598452112,1328992333
1598452113,1328992333
1598452114,1328992333
1598452115,1328992333
1598452116,1329002731
1598452117,1329002731
1598452118,1329002731
1598452119,1329002731
1598452120,1329002731
1598452121,1329002731
1598452122,1329002731
1598452123,1329002731
1598452124,1329002731
1598452125,1329002731
1598452126,1328796387
1598452127,1328796387
1598452128,1328796387
1598452129,1328796387
1598452130,1328796387
1598452131,1328796387
1598452132,1328796387
1598452133,1328796387
1598452134,1328796387
1598452135,1328796387
1598452136,1328910983
1598452137,1328910983
1598452138,1328910983
1598452139,1328910983
1598452140,1328910983
1598452141,1328910983
1598452142,1328910983
1598452143,1328910983
1598452144,1328910983
1598452145,1328910983
1598452146,1328798353
1598452147,1328798353
1598452148,1328798353
1598452149,1328798353
1598452150,1328798353
1598452151,1328798353
1598452152,1328798353
1598452153,1328798353
1598452154,1328798353
1598452155,1328798353
1598452156,1328799369
1598452157,1328799369
1598452158,1328799369
1598452159,1328799369
1598452160,1328799369
1598452161,1328799369
1598452162,1328799369
1598452163,1328799369
1598452164,1328799369
1598452165,1328799369
1598452166,1328800556
1598452167,1328800556
1598452168,1328800556
1598452169,1328800556
1598452170,1328800556
1598452171,1328800556
1598452172,1328800556
1598452173,1328800556
1598452174,1328800556
1598452175,1328800556
1598452176,1328801437
1598452177,1328801437
1598452178,1328801437
1598452179,1328801437
1598452180,1328801437
1598452181,1328801437
1598452182,1328801437
1598452183,1328801437
1598452184,1328801437
1598452185,1328801437
1598452186,1328802515
1598452187,1328802515
1598452188,1328802515
1598452189,1328802515
1598452190,1328802515
1598452191,1328802515
1598452192,1328802515
1598452193,1328802515
1598452194,1328802515
1598452195,1328802515
1598452196,1328803568
1598452197,1328803568
1598452198,1328803568
1598452199,1328803568
1598452200,1328803568
1598452201,1328803568
1598452202,1328803568
1598452203,1328803568
1598452204,1328803568
1598452205,1328803568
1598452206,1328804845
1598452207,1328804845
1598452208,1328804845
1598452209,1328804845
1598452210,1328804845
1598452211,1328804845
1598452212,1328804845
1598452213,1328804845
1598452214,1328804845
1598452215,1328804845
1598452216,1328805509
1598452217,1328805509
1598452218,1328805509
1598452219,1328805509
1598452220,1328805509
1598452221,1328805509
1598452222,1328805509
1598452223,1328805509
1598452224,1328805509
1598452225,1328805509
1598452226,1328806599
1598452227,1328806599
1598452228,1328806599
1598452229,1328806599
1598452230,1328806599
1598452231,1328806599
1598452232,1328806599
1598452233,1328806599
1598452234,1328806599
1598452235,1328806599
1598452236,1328807520
1598452237,1328807520
1598452238,1328807520
1598452239,1328807520
1598452240,1328807520
1598452241,1328807520
1598452242,1328807520
1598452243,1328807520
1598452244,1328807520
1598452245,1328807520
1598452246,1328808721
1598452247,1328808721
1598452248,1328808721
1598452249,1328808721
1598452250,1328808721
1598452251,1328808721
1598452252,1328808721
1598452253,1328808721
1598452254,1328808721
1598452255,1328808721
1598452256,1328809551
1598452257,1328809551
1598452258,1328809551
1598452259,1328809551
1598452260,1328809551
1598452261,1328809551
1598452262,1328809551
1598452263,1328809551
1598452264,1328809551
1598452265,1328809551
1598452266,1328810950
1598452267,1328810950
1598452268,1328810950
1598452269,1328810950
1598452270,1328810950
1598452271,1328810950
1598452272,1328810950
1598452273,1328810950
1598452274,1328810950
1598452275,1328810950
1598452276,1328897583
1598452277,1328897583
1598452278,1328897583
1598452279,1328897583
1598452280,1328897583
1598452281,1328897583
1598452282,1328897583
1598452283,1328897583
1598452284,1328897583
1598452285,1328897583
1598452286,1328948463
1598452287,1328948463
1598452288,1328948463
1598452289,1328948463
1598452290,1328948463
1598452291,1328948463
1598452292,1328948463
1598452293,1328948463
1598452294,1328948463
1598452295,1328948463
1598452296,1749793264
1598452297,1749793264
1598452298,1749793264
1598452299,1749793264
1598452300,1749793264
1598452301,1749793264
1598452302,1749793264
1598452303,1749793264
1598452304,1749793264
1598452305,1749793264
1598452306,1328909198
1598452307,1328909198
1598452308,1328909198
1598452309,1328909198
1598452310,1328909198
1598452311,1328909198
1598452312,1328909198
1598452313,1328909198
1598452314,1328909198
1598452315,1328909198
1598452316,1328912774
1598452317,1328912774
1598452318,1328912774
1598452319,1328912774
1598452320,1328912774
1598452321,1328912774
1598452322,1328912774
1598452323,1328912774
1598452324,1328912774
1598452325,1328912774
1598452326,1328915820
1598452327,1328915820
1598452328,1328915820
1598452329,1328915820
1598452330,1328915820
1598452331,1328915820
1598452332,1328915820
