t,count
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,0
1598451904,0
1598451905,0
1598451906,0
1598451907,0
1598451908,0
1598451909,0
1598451910,0
1598451911,0
1598451912,0
1598451913,0
1598451914,0
1598451915,0
1598451916,0
1598451917,0
1598451918,0
1598451919,0
1598451920,0
1598451921,0
1598451922,0
1598451923,0
1598451924,0
1598451925,0
1598451926,0
1598451929,0
1598451929,0
1598451929,0
1598451930,0
1598451931,0
1598451932,0
1598451935,0
1598451935,0
1598451935,0
1598451936,0
1598451937,0
1598451940,0
1598451940,0
1598451940,0
1598451941,0
1598451942,0
1598451943,0
1598451944,0
1598451945,0
1598451946,0
1598451947,0
1598451948,0
1598451949,0
1598451950,0
1598451951,0
1598451952,0
1598451953,0
1598451954,0
1598451955,0
1598451956,0
1598451957,0
1598451958,0
1598451959,0
1598451960,0
1598451961,0
1598451962,0
1598451963,0
1598451964,0
1598451965,0
1598451966,1531824
1598451967,2408092
1598451968,3193018
1598451969,3193018
1598451970,5027785
1598451971,5027785
1598451972,5027785
1598451973,5027811
1598451974,5027863
1598451975,5027863
1598451976,5778080
1598451977,6675166
1598451978,7572063
1598451979,7572063
1598451980,7572102
1598451981,7572115
1598451982,8322332
1598451983,9219418
1598451984,10116315
1598451985,10116367
1598451986,10116367
1598451987,11763670
1598451988,12660567
1598451989,12660619
1598451990,12660619
1598451991,14307922
1598451992,15204819
1598451993,15204871
1598451994,15204871
1598451995,16852174
1598451996,17749071
1598451997,17749123
1598451998,17749123
1598451999,19396426
1598452000,20293323
1598452001,20293375
1598452002,20293375
1598452003,21043592
1598452004,22837575
1598452005,22837614
1598452006,22837627
1598452007,23587844
1598452008,25381827
1598452009,25381853
1598452010,25381879
1598452011,26132096
1598452012,27926079
1598452013,27926118
1598452014,27926131
1598452015,29573434
1598452016,30470331
1598452017,30470383
1598452018,30470383
1598452019,32117686
1598452020,33014583
1598452021,33014622
1598452022,33014635
1598452023,34661938
1598452024,35558835
1598452025,35558887
1598452026,35558887
1598452027,37206190
1598452028,38103087
1598452029,38103139
1598452030,38103139
1598452031,39750442
1598452032,40647339
1598452033,40647391
1598452034,40647391
1598452035,42294694
1598452036,43191591
1598452037,43191643
1598452038,43191643
1598452039,44838946
1598452040,45735843
1598452041,45735882
1598452042,45735895
1598452043,47383198
1598452044,48280095
1598452045,48280147
1598452046,48280147
1598452047,49927450
1598452048,50824347
1598452049,50824399
1598452050,50824399
1598452051,52471702
1598452052,53368599
1598452053,53368651
1598452054,54118868
1598452055,55912851
1598452056,55912877
1598452057,55912903
1598452058,56663120
1598452059,58457103
1598452060,58457129
1598452061,58457155
1598452062,60104458
1598452063,61001355
1598452064,61001407
1598452065,61751624
1598452066,62648710
1598452067,63545620
1598452068,63545659
1598452069,64295876
1598452070,66089859
1598452071,66089885
1598452072,66089911
1598452073,67737214
1598452074,68634111
1598452075,68634163
1598452076,69384380
1598452077,71178363
1598452078,71178363
1598452079,71178415
1598452080,71928632
1598452081,73722615
1598452082,73722641
1598452083,73722667
1598452084,75369970
1598452085,76266867
1598452086,76266919
1598452087,77017136
1598452088,78811119
1598452089,78811145
1598452090,78811171
1598452091,80458474
1598452092,81355371
1598452093,81355423
1598452094,82105640
1598452095,83899623
1598452096,83899649
1598452097,83899675
1598452098,85546978
1598452099,86443875
1598452100,86443927
1598452101,87194144
1598452102,88988127
1598452103,88988179
1598452104,89738396
1598452105,90635482
1598452106,91532392
1598452107,91532431
1598452108,92282648
1598452109,94076631
1598452110,94076683
1598452111,94826900
1598452112,96620883
1598452113,96620909
1598452114,96620935
1598452115,98268238
1598452116,99165135
1598452117,99165187
1598452118,99915404
1598452119,101709387
1598452120,101709439
1598452121,102459656
1598452122,104253639
1598452123,104253665
1598452124,104253691
1598452125,105900994
1598452126,106797891
1598452127,106797943
1598452128,107548160
1598452129,109342143
1598452130,109342195
1598452131,110092412
1598452132,111886395
1598452133,111886421
1598452134,111886447
1598452135,113533750
1598452136,114430647
1598452137,114430699
1598452138,116078002
1598452139,116974899
1598452140,116974951
1598452141,117725168
1598452142,119519151
1598452143,119519177
1598452144,119519203
1598452145,121166506
1598452146,122063403
1598452147,122063455
1598452148,122813672
1598452149,124607655
1598452150,124607681
1598452151,125357924
1598452152,126255010
1598452153,127151933
1598452154,127151959
1598452155,128799262
1598452156,129696159
1598452157,129696211
1598452158,130446428
1598452159,132240411
1598452160,132240463
1598452161,132990680
1598452162,133887766
1598452163,134784689
1598452164,134784715
1598452165,136432018
1598452166,137328915
1598452167,137328967
1598452168,138079184
1598452169,139873167
1598452170,139873219
1598452171,139873219
1598452172,141520522
1598452173,142417419
1598452174,142417471
1598452175,143167688
1598452176,144961671
1598452177,144961697
1598452178,144961723
1598452179,146609026
1598452180,147505949
1598452181,147505975
1598452182,149153278
1598452183,150050175
1598452184,150050227
1598452185,150800444
1598452186,152594427
1598452187,152594453
1598452188,152594479
1598452189,154241782
1598452190,155138679
1598452191,155138731
1598452192,156786034
1598452193,157682931
1598452194,157682983
1598452195,158433200
1598452196,160227183
1598452197,160227209
1598452198,160227235
1598452199,161874538
1598452200,162771435
1598452201,162771487
1598452202,163521704
1598452203,165315687
1598452204,165315739
1598452205,166065956
1598452206,166963042
1598452207,167859965
1598452208,167859991
1598452209,169507294
1598452210,170404191
1598452211,170404243
1598452212,171154460
1598452213,172948443
1598452214,172948469
1598452215,172948495
1598452216,174595798
1598452217,175492721
1598452218,175492747
1598452219,177140050
1598452220,178036947
1598452221,178036999
1598452222,178787216
1598452223,180581199
1598452224,180581225
1598452225,180581251
1598452226,182228554
1598452227,183125464
1598452228,183125503
1598452229,184772806
1598452230,185669703
1598452231,185669755
1598452232,186419972
1598452233,188213955
1598452234,188213981
1598452235,188214007
1598452236,189861310
1598452237,190758207
1598452238,190758259
1598452239,192405562
1598452240,193302459
1598452241,193302511
1598452242,194052728
1598452243,195846711
1598452244,195846737
1598452245,195846763
1598452246,197494066
1598452247,198390963
1598452248,198391015
1598452249,199141232
1598452250,200935215
1598452251,200935267
1598452252,201685484
1598452253,202582570
1598452254,203479493
1598452255,203479519
1598452256,205126822
1598452257,206023719
1598452258,206023771
1598452259,206773988
1598452260,208567971
1598452261,208567997
1598452262,209318240
1598452263,210215326
1598452264,211112236
1598452265,211112275
1598452266,212759578
1598452267,213656475
1598452268,213656527
1598452269,214406744
1598452270,216200727
1598452271,216200753
1598452272,216200779
1598452273,217848082
1598452274,218744979
1598452275,218745031
1598452276,219495248
1598452277,221289231
1598452278,221289257
1598452279,221289283
1598452280,222936586
1598452281,223833483
1598452282,223833535
1598452283,224583752
1598452284,226377735
1598452285,226377787
1598452286,227128004
1598452287,228921987
1598452288,228922013
1598452289,228922039
1598452290,230569342
1598452291,231466239
1598452292,231466291
1598452293,232216508
1598452294,234010491
1598452295,234010543
1598452296,234760760
1598452297,235657846
1598452298,236554769
1598452299,236554795
1598452300,238202098
1598452301,239098995
1598452302,239099047
1598452303,239849264
1598452304,241643247
1598452305,241643273
1598452306,241643299
1598452307,243290602
1598452308,244187512
1598452309,244187551
1598452310,245834854
1598452311,246731751
1598452312,246731803
1598452313,247482020
1598452314,249276003
1598452315,249276029
1598452316,249276055
1598452317,250923358
1598452318,251820255
1598452319,251820307
1598452320,252570524
1598452321,254364507
1598452322,254364507
1598452323,254364559
1598452324,256011862
1598452325,256908759
1598452326,256908811
1598452327,256908811
1598452328,258556114
1598452329,259453011
1598452330,259453063
1598452331,259453063
1598452332,259453063
