t,value
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,0
1598451904,0
1598451905,0
1598451906,0
1598451907,0
1598451908,0
1598451909,0
1598451910,0
1598451911,0
1598451912,0
1598451913,0
1598451914,0
1598451915,0
1598451916,0
1598451917,0
1598451918,0
1598451919,0
1598451920,0
1598451921,0
1598451922,0
1598451923,0
1598451924,0
1598451925,0
1598451926,0
1598451929,0
1598451929,0
1598451929,0
1598451930,0
1598451931,0
1598451932,0
1598451935,0
1598451935,0
1598451935,0
1598451936,0
1598451937,0
1598451940,0
1598451940,0
1598451940,0
1598451941,0
1598451942,0
1598451943,0
1598451944,0
1598451945,0
1598451946,0
1598451947,0
1598451948,0
1598451949,0
1598451950,0
1598451951,0
1598451952,0
1598451953,0
1598451954,0
1598451955,0
1598451956,0
1598451957,0
1598451958,0
1598451959,0
1598451960,0
1598451961,0
1598451962,0
1598451963,0
1598451964,0
1598451965,0
1598451966,0
1598451967,0
1598451968,0
1598451969,0
1598451970,0
1598451971,0
1598451972,0
1598451973,0
1598451974,0
1598451975,0
1598451976,0
1598451977,0
1598451978,0
1598451979,0
1598451980,0
1598451981,0
1598451982,0
1598451983,0
1598451984,0
1598451985,0
1598451986,0
1598451987,0
1598451988,0
1598451989,0
1598451990,0
1598451991,0
1598451992,0
1598451993,0
1598451994,0
1598451995,0
1598451996,0
1598451997,0
1598451998,0
1598451999,0
1598452000,0
1598452001,0
1598452002,0
1598452003,0
1598452004,0
1598452005,0
1598452006,0
1598452007,0
1598452008,0
1598452009,0
1598452010,0
1598452011,0
1598452012,0
1598452013,0
1598452014,0
1598452015,0
1598452016,0
1598452017,0
1598452018,0
1598452019,0
1598452020,0
1598452021,880937
1598452022,0
1598452023,0
1598452024,0
1598452025,0
1598452026,0
1598452027,0
1598452028,0
1598452029,0
1598452030,0
1598452031,0
1598452032,0
1598452033,0
1598452034,0
1598452035,0
1598452036,0
1598452037,0
1598452038,0
1598452039,0
1598452040,0
1598452041,0
1598452042,0
1598452043,0
1598452044,0
1598452045,0
1598452046,0
1598452047,0
1598452048,0
1598452049,0
1598452050,0
1598452051,0
1598452052,0
1598452053,0
1598452054,0
1598452055,0
1598452056,0
1598452057,0
1598452058,0
1598452059,0
1598452060,0
1598452061,0
1598452062,0
1598452063,0
1598452064,0
1598452065,0
1598452066,0
1598452067,0
1598452068,0
1598452069,0
1598452070,0
1598452071,0
1598452072,0
1598452073,0
1598452074,0
1598452075,0
1598452076,0
1598452077,0
1598452078,0
1598452079,0
1598452080,0
1598452081,0
1598452082,0
1598452083,0
1598452084,0
1598452085,0
1598452086,0
1598452087,0
1598452088,0
1598452089,0
1598452090,0
1598452091,0
1598452092,0
1598452093,0
1598452094,0
1598452095,0
1598452096,0
1598452097,0
1598452098,0
1598452099,0
1598452100,0
1598452101,0
1598452102,0
1598452103,0
1598452104,0
1598452105,0
1598452106,0
1598452107,0
1598452108,0
1598452109,0
1598452110,0
1598452111,0
1598452112,0
1598452113,0
1598452114,0
1598452115,0
1598452116,0
1598452117,0
1598452118,0
1598452119,0
1598452120,0
1598452121,0
1598452122,0
1598452123,0
1598452124,0
1598452125,0
1598452126,0
1598452127,0
1598452128,0
1598452129,0
1598452130,0
1598452131,0
1598452132,0
1598452133,0
1598452134,0
1598452135,0
1598452136,0
1598452137,0
1598452138,0
1598452139,0
1598452140,0
1598452141,0
1598452142,0
1598452143,0
1598452144,0
1598452145,0
1598452146,0
1598452147,0
1598452148,0
1598452149,0
1598452150,0
1598452151,0
1598452152,0
1598452153,0
1598452154,0
1598452155,0
1598452156,0
1598452157,0
1598452158,0
1598452159,0
1598452160,0
1598452161,0
1598452162,0
1598452163,0
1598452164,0
1598452165,0
1598452166,0
1598452167,0
1598452168,0
1598452169,0
1598452170,0
1598452171,0
1598452172,0
1598452173,0
1598452174,0
1598452175,0
1598452176,0
1598452177,0
1598452178,0
1598452179,0
1598452180,0
1598452181,0
1598452182,0
1598452183,0
1598452184,0
1598452185,0
1598452186,0
1598452187,0
1598452188,0
1598452189,0
1598452190,0
1598452191,0
1598452192,0
1598452193,0
1598452194,0
1598452195,0
1598452196,0
1598452197,0
1598452198,0
1598452199,0
1598452200,0
1598452201,0
1598452202,0
1598452203,0
1598452204,0
1598452205,0
1598452206,897353
1598452207,0
1598452208,0
1598452209,0
1598452210,0
1598452211,0
1598452212,0
1598452213,0
1598452214,0
1598452215,0
1598452216,0
1598452217,0
1598452218,0
1598452219,0
1598452220,0
1598452221,0
1598452222,0
1598452223,0
1598452224,0
1598452225,0
1598452226,0
1598452227,0
1598452228,0
1598452229,0
1598452230,0
1598452231,0
1598452232,0
1598452233,0
1598452234,0
1598452235,0
1598452236,0
1598452237,0
1598452238,0
1598452239,0
1598452240,0
1598452241,0
1598452242,0
1598452243,0
1598452244,0
1598452245,0
1598452246,0
1598452247,0
1598452248,0
1598452249,0
1598452250,0
1598452251,0
1598452252,0
1598452253,0
1598452254,0
1598452255,0
1598452256,0
1598452257,0
1598452258,0
1598452259,0
1598452260,0
1598452261,0
1598452262,662554
1598452263,0
1598452264,0
1598452265,0
1598452266,0
1598452267,0
1598452268,0
1598452269,0
1598452270,0
1598452271,0
1598452272,0
1598452273,0
1598452274,0
1598452275,0
1598452276,0
1598452277,0
1598452278,0
1598452279,0
1598452280,0
1598452281,0
1598452282,0
1598452283,0
1598452284,0
1598452285,0
1598452286,0
1598452287,0
1598452288,0
1598452289,0
1598452290,0
1598452291,0
1598452292,0
1598452293,0
1598452294,0
1598452295,0
1598452296,0
1598452297,0
1598452298,0
1598452299,0
1598452300,0
1598452301,0
1598452302,0
1598452303,0
1598452304,0
1598452305,0
1598452306,0
1598452307,0
1598452308,0
1598452309,0
1598452310,0
1598452311,0
1598452312,0
1598452313,0
1598452314,0
1598452315,0
1598452316,0
1598452317,0
1598452318,0
1598452319,0
1598452320,0
1598452321,0
1598452322,0
1598452323,0
1598452324,0
1598452325,0
1598452326,0
1598452327,0
1598452328,0
1598452329,0
1598452330,0
1598452331,0
1598452332,0
