t,value
1598451894,132120576
1598451895,132120576
1598451896,132120576
1598451897,132120576
1598451898,132120576
1598451899,132120576
1598451900,132120576
1598451901,132120576
1598451902,132120576
1598451903,201850880
1598451904,326631424
1598451905,326631424
1598451906,326631424
1598451907,416808960
1598451908,487063552
1598451909,568852480
1598451910,568852480
1598451911,660078592
1598451912,758644736
1598451913,758644736
1598451914,829423616
1598451915,829423616
1598451916,898629632
1598451917,898629632
1598451918,967835648
1598451919,967835648
1598451920,967835648
1598451921,1026031616
1598451922,1070596096
1598451923,1261961216
1598451924,1183842304
1598451925,1064304640
1598451926,929038336
1598451929,813694976
1598451929,813694976
1598451929,813694976
1598451930,829947904
1598451931,894959616
1598451932,930086912
1598451935,930086912
1598451935,930086912
1598451935,930086912
1598451936,934281216
1598451937,934281216
1598451940,817889280
1598451940,817889280
1598451940,817889280
1598451941,817889280
1598451942,747634688
1598451943,593494016
1598451944,477102080
1598451945,555220992
1598451946,608174080
1598451947,633339904
1598451948,588251136
1598451949,545259520
1598451950,545259520
1598451951,545259520
1598451952,477102080
1598451953,477102080
1598451954,477102080
1598451955,477102080
1598451956,477102080
1598451957,477102080
1598451958,477102080
1598451959,477102080
1598451960,477102080
1598451961,477102080
1598451962,477102080
1598451963,477102080
1598451964,477102080
1598451965,477102080
1598451966,477102080
1598451967,477102080
1598451968,477102080
1598451969,477102080
1598451970,477102080
1598451971,477102080
1598451972,477102080
1598451973,477102080
1598451974,484966400
1598451975,514326528
1598451976,477102080
1598451977,477102080
1598451978,501743616
1598451979,501743616
1598451980,546308096
1598451981,546308096
1598451982,595066880
1598451983,625475584
1598451984,649592832
1598451985,668467200
1598451986,685768704
1598451987,702021632
1598451988,715653120
1598451989,728760320
1598451990,741867520
1598451991,756547584
1598451992,756547584
1598451993,768606208
1598451994,780664832
1598451995,807927808
1598451996,807927808
1598451997,819986432
1598451998,831520768
1598451999,846200832
1598452000,846200832
1598452001,855638016
1598452002,868220928
1598452003,881328128
1598452004,894959616
1598452005,907542528
1598452006,907542528
1598452007,921174016
1598452008,934805504
1598452009,943718400
1598452010,943718400
1598452011,958398464
1598452012,972029952
1598452013,981991424
1598452014,981991424
1598452015,996147200
1598452016,1010302976
1598452017,1010302976
1598452018,1024458752
1598452019,1039138816
1598452020,1039138816
1598452021,1049100288
1598452022,1062207488
1598452023,1077411840
1598452024,1077411840
1598452025,1083179008
1598452026,1095237632
1598452027,1095237632
1598452028,1108869120
1598452029,1108869120
1598452030,1122500608
1598452031,1137704960
1598452032,1137704960
1598452033,1152385024
1598452034,1166016512
1598452035,1166016512
1598452036,1180172288
1598452037,1180172288
1598452038,1192755200
1598452039,1210580992
1598452040,1210580992
1598452041,1227358208
1598452042,1227358208
1598452043,1245708288
1598452044,1245708288
1598452045,1255669760
1598452046,1271922688
1598452047,1271922688
1598452048,1271922688
1598452049,1277165568
1598452050,1282932736
1598452051,1282932736
1598452052,1276116992
1598452053,1276116992
1598452054,1276641280
1598452055,1277165568
1598452056,1277165568
1598452057,1277165568
1598452058,1269825536
1598452059,1271922688
1598452060,1271922688
1598452061,1280835584
1598452062,1291321344
1598452063,1291321344
1598452064,1291321344
1598452065,1297612800
1598452066,1302331392
1598452067,1302331392
1598452068,1308098560
1598452069,1311244288
1598452070,1311244288
1598452071,1311244288
1598452072,1294991360
1598452073,1296039936
1598452074,1296039936
1598452075,1289748480
1598452076,1289748480
1598452077,1290797056
1598452078,1290797056
1598452079,1281359872
1598452080,1282932736
1598452081,1282932736
1598452082,1282932736
1598452083,1272971264
1598452084,1275068416
1598452085,1275068416
1598452086,1267204096
1598452087,1270349824
1598452088,1270349824
1598452089,1270349824
1598452090,1278214144
1598452091,1286602752
1598452092,1286602752
1598452093,1291845632
1598452094,1297612800
1598452095,1297612800
1598452096,1297612800
1598452097,1291845632
1598452098,1292894208
1598452099,1292894208
1598452100,1285554176
1598452101,1288699904
1598452102,1288699904
1598452103,1288699904
1598452104,1280311296
1598452105,1282408448
1598452106,1282408448
1598452107,1275068416
1598452108,1278214144
1598452109,1278214144
1598452110,1278214144
1598452111,1279262720
1598452112,1281359872
1598452113,1281359872
1598452114,1285554176
1598452115,1287127040
1598452116,1287127040
1598452117,1287127040
1598452118,1275068416
1598452119,1277165568
1598452120,1277165568
1598452121,1268252672
1598452122,1268776960
1598452123,1268776960
1598452124,1277689856
1598452125,1277689856
1598452126,1277165568
1598452127,1277165568
1598452128,1278738432
1598452129,1278738432
1598452130,1279262720
1598452131,1280311296
1598452132,1280311296
1598452133,1277165568
1598452134,1284505600
1598452135,1284505600
1598452136,1284505600
1598452137,1292894208
1598452138,1298661376
1598452139,1298661376
1598452140,1285554176
1598452141,1287127040
1598452142,1287127040
1598452143,1287127040
1598452144,1278214144
1598452145,1280311296
1598452146,1280311296
1598452147,1288175616
1598452148,1294991360
1598452149,1294991360
1598452150,1294991360
1598452151,1289748480
1598452152,1291845632
1598452153,1291845632
1598452154,1286602752
1598452155,1288699904
1598452156,1288699904
1598452157,1288699904
1598452158,1293942784
1598452159,1300758528
1598452160,1300758528
1598452161,1290797056
1598452162,1291321344
1598452163,1291321344
1598452164,1277165568
1598452165,1277165568
1598452166,1279262720
1598452167,1279262720
1598452168,1285029888
1598452169,1285029888
1598452170,1280311296
1598452171,1280311296
1598452172,1281884160
1598452173,1281884160
1598452174,1272971264
1598452175,1275592704
1598452176,1275592704
1598452177,1283981312
1598452178,1292894208
1598452179,1292894208
1598452180,1294991360
1598452181,1294991360
1598452182,1296039936
1598452183,1296039936
1598452184,1287651328
1598452185,1290272768
1598452186,1290272768
1598452187,1290272768
1598452188,1297612800
1598452189,1302331392
1598452190,1302331392
1598452191,1292894208
1598452192,1293942784
1598452193,1293942784
1598452194,1293942784
1598452195,1282408448
1598452196,1283981312
1598452197,1283981312
1598452198,1280311296
1598452199,1282408448
1598452200,1282408448
1598452201,1282408448
1598452202,1276641280
1598452203,1277165568
1598452204,1277165568
1598452205,1270874112
1598452206,1271398400
1598452207,1271398400
1598452208,1275068416
1598452209,1275068416
1598452210,1278214144
1598452211,1278214144
1598452212,1284505600
1598452213,1284505600
1598452214,1279262720
1598452215,1281359872
1598452216,1281359872
