t,value
1598451894,7035528
1598451895,7035528
1598451896,7035528
1598451897,7035528
1598451898,7035528
1598451899,7035528
1598451900,7035528
1598451901,7035528
1598451902,7035528
1598451903,10204432
1598451904,19796128
1598451905,19796128
1598451906,19796128
1598451907,19796128
1598451908,19796128
1598451909,19796128
1598451910,19796128
1598451911,19796128
1598451912,19796128
1598451913,19796128
1598451914,19796128
1598451915,19796128
1598451916,19796128
1598451917,19796128
1598451918,19796128
1598451919,19796128
1598451920,19796128
1598451921,19796128
1598451922,19796128
1598451923,19796128
1598451924,19796128
1598451925,19796128
1598451926,19796128
1598451929,346991888
1598451929,346991888
1598451929,346991888
1598451930,346991888
1598451931,346991888
1598451932,346991888
1598451935,747043728
1598451935,747043728
1598451935,747043728
1598451936,747043728
1598451937,747043728
1598451940,986717152
1598451940,986717152
1598451940,986717152
1598451941,986717152
1598451942,986717152
1598451943,986717152
1598451944,986717152
1598451945,986717152
1598451946,986717152
1598451947,986717152
1598451948,986717152
1598451949,986717152
1598451950,986717152
1598451951,986717152
1598451952,986717152
1598451953,986717152
1598451954,986717152
1598451955,986717152
1598451956,986717152
1598451957,986717152
1598451958,986717152
1598451959,986717152
1598451960,986717152
1598451961,986717152
1598451962,986717152
1598451963,986717152
1598451964,986717152
1598451965,986717152
1598451966,550232184
1598451967,550232184
1598451968,550232184
1598451969,550232184
1598451970,550232184
1598451971,550232184
1598451972,550232184
1598451973,550232184
1598451974,550232184
1598451975,550232184
1598451976,550232184
1598451977,550232184
1598451978,550232184
1598451979,550232184
1598451980,550232184
1598451981,550232184
1598451982,550232184
1598451983,550232184
1598451984,550232184
1598451985,550232184
1598451986,550232184
1598451987,550232184
1598451988,550232184
1598451989,550232184
1598451990,550232184
1598451991,550232184
1598451992,550232184
1598451993,550232184
1598451994,550232184
1598451995,550232184
1598451996,550232184
1598451997,550232184
1598451998,550232184
1598451999,550232184
1598452000,550232184
1598452001,550232184
1598452002,550232184
1598452003,550232184
1598452004,550232184
1598452005,550232184
1598452006,550232184
1598452007,550232184
1598452008,550232184
1598452009,550232184
1598452010,550232184
1598452011,550232184
1598452012,550232184
1598452013,550232184
1598452014,550232184
1598452015,550232184
1598452016,550232184
1598452017,550232184
1598452018,550232184
1598452019,550232184
1598452020,550232184
1598452021,550232184
1598452022,550232184
1598452023,550232184
1598452024,550232184
1598452025,550232184
1598452026,550232184
1598452027,550232184
1598452028,550232184
1598452029,550232184
1598452030,550232184
1598452031,550232184
1598452032,550232184
1598452033,550232184
1598452034,550232184
1598452035,550232184
1598452036,550232184
1598452037,550232184
1598452038,550232184
1598452039,550232184
1598452040,550232184
1598452041,550232184
1598452042,550232184
1598452043,550232184
1598452044,550232184
1598452045,550232184
1598452046,550232184
1598452047,550232184
1598452048,550232184
1598452049,550232184
1598452050,550232184
1598452051,550232184
1598452052,550232184
1598452053,550232184
1598452054,550232184
1598452055,550232184
1598452056,550232184
1598452057,550232184
1598452058,550232184
1598452059,550232184
1598452060,550232184
1598452061,550232184
1598452062,550232184
1598452063,550232184
1598452064,550232184
1598452065,550232184
1598452066,550232184
1598452067,550232184
1598452068,550232184
1598452069,550232184
1598452070,550232184
1598452071,550232184
1598452072,550232184
1598452073,550232184
1598452074,550232184
1598452075,550232184
1598452076,550232184
1598452077,550232184
1598452078,550232184
1598452079,550232184
1598452080,550232184
1598452081,550232184
1598452082,550232184
1598452083,550232184
1598452084,550232184
1598452085,550232184
1598452086,550232184
1598452087,550232184
1598452088,550232184
1598452089,550232184
1598452090,550232184
1598452091,550232184
1598452092,550232184
1598452093,550232184
1598452094,550232184
1598452095,550232184
1598452096,550232184
1598452097,550232184
1598452098,550232184
1598452099,550232184
1598452100,550232184
1598452101,550232184
1598452102,550232184
