t,value
1598451894,21495808
1598451895,21495808
1598451896,21495808
1598451897,21495808
1598451898,21495808
1598451899,21495808
1598451900,21495808
1598451901,21495808
1598451902,21495808
1598451903,12582912
1598451904,14155776
1598451905,14155776
1598451906,14155776
1598451907,20447232
1598451908,20447232
1598451909,17825792
1598451910,18874368
1598451911,18350080
1598451912,15728640
1598451913,17301504
1598451914,14155776
1598451915,16252928
1598451916,11010048
1598451917,14680064
1598451918,13107200
1598451919,14680064
1598451920,14680064
1598451921,7340032
1598451922,19922944
1598451923,54001664
1598451924,96468992
1598451925,159383552
1598451926,239075328
1598451929,263192576
1598451929,263192576
1598451929,308805632
1598451930,283639808
1598451931,242745344
1598451932,222822400
1598451935,235929600
1598451935,235929600
1598451935,235929600
1598451936,251658240
1598451937,251658240
1598451940,253231104
1598451940,253231104
1598451940,253231104
1598451941,306708480
1598451942,307757056
1598451943,321912832
1598451944,139984896
1598451945,377487360
1598451946,381681664
1598451947,388497408
1598451948,409993216
1598451949,432013312
1598451950,353370112
1598451951,353370112
1598451952,465567744
1598451953,465567744
1598451954,477102080
1598451955,477102080
1598451956,477102080
1598451957,477102080
1598451958,477102080
1598451959,477102080
1598451960,477102080
1598451961,477102080
1598451962,477102080
1598451963,477102080
1598451964,477102080
1598451965,477102080
1598451966,477102080
1598451967,477102080
1598451968,477102080
1598451969,477102080
1598451970,477102080
1598451971,477102080
1598451972,477102080
1598451973,477102080
1598451974,23592960
1598451975,391118848
1598451976,477102080
1598451977,465567744
1598451978,397410304
1598451979,397410304
1598451980,349700096
1598451981,358612992
1598451982,307757056
1598451983,285212672
1598451984,271056896
1598451985,271056896
1598451986,257949696
1598451987,247463936
1598451988,217579520
1598451989,195035136
1598451990,185073664
1598451991,176160768
1598451992,176160768
1598451993,162529280
1598451994,150470656
1598451995,119537664
1598451996,119537664
1598451997,121110528
1598451998,110100480
1598451999,106430464
1598452000,106430464
1598452001,107479040
1598452002,102760448
1598452003,102760448
1598452004,96993280
1598452005,89128960
1598452006,91750400
1598452007,87556096
1598452008,82313216
1598452009,81788928
1598452010,84410368
1598452011,78643200
1598452012,73924608
1598452013,73924608
1598452014,76021760
1598452015,71827456
1598452016,68681728
1598452017,69206016
1598452018,74448896
1598452019,70254592
1598452020,70254592
1598452021,76546048
1598452022,72351744
1598452023,72351744
1598452024,73924608
1598452025,72876032
1598452026,71827456
1598452027,74973184
1598452028,70254592
1598452029,71303168
1598452030,74973184
1598452031,70778880
1598452032,70778880
1598452033,70254592
1598452034,68681728
1598452035,70778880
1598452036,68681728
1598452037,69730304
1598452038,75497472
1598452039,73400320
1598452040,73400320
1598452041,74973184
1598452042,77070336
1598452043,73924608
1598452044,72876032
1598452045,72876032
1598452046,76546048
1598452047,77070336
1598452048,77070336
1598452049,74973184
1598452050,72351744
1598452051,71827456
1598452052,70254592
1598452053,56098816
1598452054,36700160
1598452055,75497472
1598452056,75497472
1598452057,69730304
1598452058,37748736
1598452059,77594624
1598452060,75497472
1598452061,72351744
1598452062,68157440
1598452063,68157440
1598452064,66584576
1598452065,65536000
1598452066,61865984
1598452067,61865984
1598452068,59768832
1598452069,57671680
1598452070,57671680
1598452071,58720256
1598452072,68157440
1598452073,63963136
1598452074,63963136
1598452075,69206016
1598452076,70778880
1598452077,66060288
1598452078,68157440
1598452079,72351744
1598452080,68157440
1598452081,68157440
1598452082,69730304
1598452083,36175872
1598452084,77594624
1598452085,72351744
1598452086,83361792
1598452087,79691776
1598452088,76546048
1598452089,76546048
1598452090,72876032
1598452091,70254592
1598452092,70254592
1598452093,67108864
1598452094,63963136
1598452095,63963136
1598452096,62390272
1598452097,35651584
1598452098,68681728
1598452099,67633152
1598452100,70778880
1598452101,70254592
1598452102,70254592
1598452103,69206016
1598452104,75497472
1598452105,70254592
1598452106,71303168
1598452107,77594624
1598452108,76546048
1598452109,76546048
1598452110,73924608
1598452111,35651584
1598452112,74448896
1598452113,72351744
1598452114,37748736
1598452115,70778880
1598452116,70778880
1598452117,70254592
1598452118,78118912
1598452119,72876032
1598452120,71827456
1598452121,36700160
1598452122,78118912
1598452123,78118912
1598452124,73924608
1598452125,73924608
1598452126,71827456
1598452127,77070336
1598452128,72351744
1598452129,72351744
1598452130,70254592
1598452131,76546048
1598452132,36700160
1598452133,71827456
1598452134,68681728
1598452135,70254592
1598452136,70254592
1598452137,67108864
1598452138,63438848
1598452139,63963136
1598452140,63438848
1598452141,65536000
1598452142,69206016
1598452143,69206016
1598452144,76546048
1598452145,72351744
1598452146,72351744
