t,value
1598451892,0
1598451893,0
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,222927320
1598451904,222927320
1598451905,222927320
1598451906,222927320
1598451907,222927320
1598451908,222927320
1598451909,222927320
1598451910,222927320
1598451911,222927320
1598451912,222927320
1598451913,255697656
1598451914,255697656
1598451915,255697656
1598451916,255697656
1598451917,255697656
1598451918,255697656
1598451919,255697656
1598451920,255697656
1598451921,255697656
1598451922,255697656
1598451923,306185992
1598451924,306185992
1598451925,306185992
1598451926,306185992
1598451927,306185992
1598451928,306185992
1598451929,306185992
1598451930,306185992
1598451931,306185992
1598451932,306185992
1598451933,326200344
1598451934,326200344
1598451935,326200344
1598451936,326200344
1598451937,326200344
1598451938,326200344
1598451939,326200344
1598451940,326200344
1598451941,326200344
1598451942,326200344
1598451943,347512312
1598451944,347512312
1598451945,347512312
1598451946,347512312
1598451947,347512312
1598451948,347512312
1598451949,347512312
1598451950,347512312
1598451951,347512312
1598451952,347512312
1598451953,374837024
1598451954,374837024
1598451955,374837024
1598451956,374837024
1598451957,374837024
1598451958,374837024
1598451959,374837024
1598451960,374837024
1598451961,374837024
1598451962,374837024
1598451963,396444344
1598451964,396444344
1598451965,396444344
1598451966,396444344
1598451967,396444344
1598451968,396444344
1598451969,396444344
1598451970,396444344
1598451971,396444344
1598451972,396444344
1598451973,155058192
1598451974,155058192
1598451975,155058192
1598451976,155058192
1598451977,155058192
1598451978,155058192
1598451979,155058192
1598451980,155058192
1598451981,155058192
1598451982,155058192
1598451983,257030336
1598451984,257030336
1598451985,257030336
1598451986,257030336
1598451987,257030336
1598451988,257030336
1598451989,257030336
1598451990,257030336
1598451991,257030336
1598451992,257030336
1598451993,382467616
1598451994,382467616
1598451995,382467616
1598451996,382467616
1598451997,382467616
1598451998,382467616
1598451999,382467616
1598452000,382467616
1598452001,382467616
1598452002,382467616
1598452003,186971328
1598452004,186971328
1598452005,186971328
1598452006,186971328
1598452007,186971328
1598452008,186971328
1598452009,186971328
1598452010,186971328
1598452011,186971328
1598452012,186971328
1598452013,318524768
1598452014,318524768
1598452015,318524768
1598452016,318524768
1598452017,318524768
1598452018,318524768
1598452019,318524768
1598452020,318524768
1598452021,318524768
1598452022,318524768
1598452023,483361328
1598452024,483361328
1598452025,483361328
1598452026,483361328
1598452027,483361328
1598452028,483361328
1598452029,483361328
1598452030,483361328
1598452031,483361328
1598452032,483361328
1598452033,207621296
1598452034,207621296
1598452035,207621296
1598452036,207621296
1598452037,207621296
1598452038,207621296
1598452039,207621296
1598452040,207621296
1598452041,207621296
1598452042,207621296
1598452043,390899456
1598452044,390899456
1598452045,390899456
1598452046,390899456
1598452047,390899456
1598452048,390899456
1598452049,390899456
1598452050,390899456
1598452051,390899456
1598452052,390899456
1598452053,117104616
1598452054,117104616
1598452055,117104616
1598452056,117104616
1598452057,117104616
1598452058,117104616
1598452059,117104616
1598452060,117104616
1598452061,117104616
1598452062,117104616
1598452063,335468160
1598452064,335468160
1598452065,335468160
1598452066,335468160
1598452067,335468160
1598452068,335468160
1598452069,335468160
1598452070,335468160
1598452071,335468160
1598452072,335468160
1598452073,160922288
1598452074,160922288
1598452075,160922288
1598452076,160922288
1598452077,160922288
1598452078,160922288
1598452079,160922288
1598452080,160922288
1598452081,160922288
1598452082,160922288
1598452083,352941256
1598452084,352941256
1598452085,352941256
1598452086,352941256
1598452087,352941256
1598452088,352941256
1598452089,352941256
1598452090,352941256
1598452091,352941256
1598452092,352941256
1598452093,269249088
1598452094,269249088
1598452095,269249088
1598452096,269249088
1598452097,269249088
1598452098,269249088
1598452099,269249088
1598452100,269249088
1598452101,269249088
1598452102,269249088
1598452103,263504880
1598452104,263504880
1598452105,263504880
1598452106,263504880
1598452107,263504880
1598452108,263504880
1598452109,263504880
1598452110,263504880
1598452111,263504880
1598452112,263504880
1598452113,351136368
1598452114,351136368
1598452115,351136368
1598452116,351136368
1598452117,351136368
1598452118,351136368
1598452119,351136368
1598452120,351136368
1598452121,351136368
1598452122,351136368
1598452123,428746024
1598452124,428746024
1598452125,428746024
1598452126,428746024
1598452127,428746024
1598452128,428746024
1598452129,428746024
1598452130,428746024
1598452131,428746024
1598452132,428746024
1598452133,214323096
1598452134,214323096
1598452135,214323096
1598452136,214323096
1598452137,214323096
1598452138,214323096
1598452139,214323096
1598452140,214323096
1598452141,214323096
1598452142,214323096
1598452143,371163344
1598452144,371163344
1598452145,371163344
1598452146,371163344
1598452147,371163344
1598452148,371163344
1598452149,371163344
1598452150,371163344
1598452151,371163344
1598452152,371163344
1598452153,292839544
1598452154,292839544
1598452155,292839544
1598452156,292839544
1598452157,292839544
1598452158,292839544
1598452159,292839544
1598452160,292839544
1598452161,292839544
1598452162,292839544
1598452163,323410904
1598452164,323410904
1598452165,323410904
1598452166,323410904
1598452167,323410904
1598452168,323410904
1598452169,323410904
1598452170,323410904
1598452171,323410904
1598452172,323410904
1598452173,381210720
1598452174,381210720
1598452175,381210720
1598452176,381210720
1598452177,381210720
1598452178,381210720
1598452179,381210720
1598452180,381210720
1598452181,381210720
1598452182,381210720
1598452183,184615704
1598452184,184615704
1598452185,184615704
1598452186,184615704
1598452187,184615704
1598452188,184615704
1598452189,184615704
1598452190,184615704
1598452191,184615704
1598452192,184615704
1598452193,153923144
1598452194,153923144
1598452195,153923144
1598452196,153923144
1598452197,153923144
1598452198,153923144
1598452199,153923144
1598452200,153923144
1598452201,153923144
1598452202,153923144
1598452203,205495088
1598452204,205495088
1598452205,205495088
1598452206,205495088
1598452207,205495088
1598452208,205495088
1598452209,205495088
1598452210,205495088
1598452211,205495088
1598452212,205495088
1598452213,347385456
1598452214,347385456
1598452215,347385456
1598452216,347385456
1598452217,347385456
1598452218,347385456
1598452219,347385456
1598452220,347385456
1598452221,347385456
1598452222,347385456
1598452223,136468616
1598452224,136468616
1598452225,136468616
1598452226,136468616
1598452227,136468616
1598452228,136468616
1598452229,136468616
1598452230,136468616
1598452231,136468616
1598452232,136468616
1598452233,165110008
1598452234,165110008
1598452235,165110008
1598452236,165110008
1598452237,165110008
1598452238,165110008
1598452239,165110008
1598452240,165110008
1598452241,165110008
1598452242,165110008
1598452243,273743840
1598452244,273743840
1598452245,273743840
1598452246,273743840
1598452247,273743840
1598452248,273743840
1598452249,273743840
1598452250,273743840
1598452251,273743840
1598452252,273743840
1598452253,308245824
1598452254,308245824
1598452255,308245824
1598452256,308245824
1598452257,308245824
1598452258,308245824
1598452259,308245824
1598452260,308245824
1598452261,308245824
1598452262,308245824
1598452263,260977600
1598452264,260977600
1598452265,260977600
1598452266,260977600
1598452267,260977600
1598452268,260977600
1598452269,260977600
1598452270,260977600
1598452271,260977600
1598452272,260977600
1598452273,659912848
1598452274,659912848
1598452275,659912848
1598452276,659912848
1598452277,659912848
1598452278,659912848
1598452279,659912848
1598452280,659912848
1598452281,659912848
1598452282,659912848
1598452283,409699872
1598452284,409699872
