t,value
1598451892,0
1598451893,0
1598451894,0
1598451895,0
1598451896,0
1598451897,0
1598451898,0
1598451899,0
1598451900,0
1598451901,0
1598451902,0
1598451903,8
1598451904,8
1598451905,8
1598451906,8
1598451907,8
1598451908,8
1598451909,8
1598451910,8
1598451911,8
1598451912,8
1598451913,8
1598451914,8
1598451915,8
1598451916,8
1598451917,8
1598451918,8
1598451919,8
1598451920,8
1598451921,8
1598451922,8
1598451923,8
1598451924,8
1598451925,8
1598451926,8
1598451927,8
1598451928,8
1598451929,8
1598451930,8
1598451931,8
1598451932,8
1598451933,8
1598451934,8
1598451935,8
1598451936,8
1598451937,8
1598451938,8
1598451939,8
1598451940,8
1598451941,8
1598451942,8
1598451943,8
1598451944,8
1598451945,8
1598451946,8
1598451947,8
1598451948,8
1598451949,8
1598451950,8
1598451951,8
1598451952,8
1598451953,8
1598451954,8
1598451955,8
1598451956,8
1598451957,8
1598451958,8
1598451959,8
1598451960,8
1598451961,8
1598451962,8
1598451963,8
1598451964,8
1598451965,8
1598451966,8
1598451967,8
1598451968,8
1598451969,8
1598451970,8
1598451971,8
1598451972,8
1598451973,9
1598451974,9
1598451975,9
1598451976,9
1598451977,9
1598451978,9
1598451979,9
1598451980,9
1598451981,9
1598451982,9
1598451983,9
1598451984,9
1598451985,9
1598451986,9
1598451987,9
1598451988,9
1598451989,9
1598451990,9
1598451991,9
1598451992,9
1598451993,9
1598451994,9
1598451995,9
1598451996,9
1598451997,9
1598451998,9
1598451999,9
1598452000,9
1598452001,9
1598452002,9
1598452003,10
1598452004,10
1598452005,10
1598452006,10
1598452007,10
1598452008,10
1598452009,10
1598452010,10
1598452011,10
1598452012,10
1598452013,10
1598452014,10
1598452015,10
1598452016,10
1598452017,10
1598452018,10
1598452019,10
1598452020,10
1598452021,10
1598452022,10
1598452023,10
1598452024,10
1598452025,10
1598452026,10
1598452027,10
1598452028,10
1598452029,10
1598452030,10
1598452031,10
1598452032,10
1598452033,11
1598452034,11
1598452035,11
1598452036,11
1598452037,11
1598452038,11
1598452039,11
1598452040,11
1598452041,11
1598452042,11
1598452043,11
1598452044,11
1598452045,11
1598452046,11
1598452047,11
1598452048,11
1598452049,11
1598452050,11
1598452051,11
1598452052,11
1598452053,12
1598452054,12
1598452055,12
1598452056,12
1598452057,12
1598452058,12
1598452059,12
1598452060,12
1598452061,12
1598452062,12
1598452063,12
1598452064,12
1598452065,12
1598452066,12
1598452067,12
1598452068,12
1598452069,12
1598452070,12
1598452071,12
1598452072,12
1598452073,13
1598452074,13
1598452075,13
1598452076,13
1598452077,13
1598452078,13
1598452079,13
1598452080,13
1598452081,13
1598452082,13
1598452083,13
1598452084,13
1598452085,13
1598452086,13
1598452087,13
1598452088,13
1598452089,13
1598452090,13
1598452091,13
1598452092,13
1598452093,14
1598452094,14
1598452095,14
1598452096,14
1598452097,14
1598452098,14
1598452099,14
1598452100,14
1598452101,14
1598452102,14
1598452103,15
1598452104,15
1598452105,15
1598452106,15
1598452107,15
1598452108,15
1598452109,15
1598452110,15
1598452111,15
1598452112,15
1598452113,16
1598452114,16
1598452115,16
1598452116,16
1598452117,16
1598452118,16
1598452119,16
1598452120,16
1598452121,16
1598452122,16
1598452123,17
1598452124,17
1598452125,17
1598452126,17
1598452127,17
1598452128,17
1598452129,17
1598452130,17
1598452131,17
1598452132,17
1598452133,19
1598452134,19
1598452135,19
1598452136,19
1598452137,19
1598452138,19
1598452139,19
1598452140,19
1598452141,19
1598452142,19
1598452143,20
1598452144,20
1598452145,20
1598452146,20
1598452147,20
1598452148,20
1598452149,20
1598452150,20
1598452151,20
1598452152,20
1598452153,22
1598452154,22
1598452155,22
1598452156,22
1598452157,22
1598452158,22
1598452159,22
1598452160,22
1598452161,22
1598452162,22
1598452163,24
1598452164,24
1598452165,24
1598452166,24
1598452167,24
1598452168,24
1598452169,24
1598452170,24
1598452171,24
1598452172,24
1598452173,26
1598452174,26
1598452175,26
1598452176,26
1598452177,26
1598452178,26
1598452179,26
1598452180,26
1598452181,26
1598452182,26
1598452183,29
1598452184,29
1598452185,29
1598452186,29
1598452187,29
1598452188,29
1598452189,29
1598452190,29
1598452191,29
1598452192,29
1598452193,32
1598452194,32
1598452195,32
1598452196,32
1598452197,32
1598452198,32
1598452199,32
1598452200,32
1598452201,32
1598452202,32
1598452203,35
1598452204,35
1598452205,35
1598452206,35
1598452207,35
1598452208,35
1598452209,35
1598452210,35
1598452211,35
1598452212,35
1598452213,38
1598452214,38
1598452215,38
1598452216,38
1598452217,38
1598452218,38
1598452219,38
1598452220,38
1598452221,38
1598452222,38
1598452223,43
1598452224,43
1598452225,43
1598452226,43
1598452227,43
1598452228,43
1598452229,43
1598452230,43
1598452231,43
1598452232,43
1598452233,47
1598452234,47
1598452235,47
1598452236,47
1598452237,47
1598452238,47
1598452239,47
1598452240,47
1598452241,47
1598452242,47
1598452243,50
1598452244,50
1598452245,50
1598452246,50
1598452247,50
1598452248,50
1598452249,50
1598452250,50
1598452251,50
1598452252,50
1598452253,53
1598452254,53
1598452255,53
1598452256,53
1598452257,53
1598452258,53
1598452259,53
1598452260,53
1598452261,53
1598452262,53
1598452263,56
1598452264,56
1598452265,56
1598452266,56
1598452267,56
1598452268,56
1598452269,56
1598452270,56
1598452271,56
1598452272,56
1598452273,58
1598452274,58
1598452275,58
1598452276,58
1598452277,58
1598452278,58
1598452279,58
1598452280,58
1598452281,58
1598452282,58
1598452283,61
1598452284,61
1598452285,61
1598452286,61
1598452287,61
1598452288,61
1598452289,61
1598452290,61
1598452291,61
1598452292,61
1598452293,64
1598452294,64
1598452295,64
1598452296,64
1598452297,64
1598452298,64
1598452299,64
1598452300,64
1598452301,64
1598452302,64
1598452303,67
1598452304,67
1598452305,67
1598452306,67
1598452307,67
1598452308,67
1598452309,67
1598452310,67
1598452311,67
1598452312,67
1598452313,70
1598452314,70
1598452315,70
1598452316,70
1598452317,70
1598452318,70
1598452319,70
1598452320,70
1598452321,70
1598452322,70
1598452323,73
1598452324,73
1598452325,73
1598452326,73
1598452327,73
1598452328,73
1598452329,73
1598452330,73
1598452331,73
1598452332,73
