t,value
1598451890,5683281920
1598451891,5685379072
1598451892,5693243392
1598451893,5693243392
1598451894,5693243392
1598451895,5680660480
1598451896,5671747584
1598451897,5671747584
1598451898,5671747584
1598451899,5671747584
1598451900,5671747584
1598451901,5671747584
1598451902,5671747584
1598451903,5671747584
1598451904,5671747584
1598451905,5671747584
1598451906,5671747584
1598451907,5671747584
1598451908,5671747584
1598451909,5671747584
1598451910,5671747584
1598451911,5671747584
1598451912,5671747584
1598451913,5671747584
1598451914,5671747584
1598451915,5671747584
1598451916,5671747584
1598451917,5671747584
1598451918,5671747584
1598451919,5671747584
1598451920,5671747584
1598451921,5671747584
1598451922,5671747584
1598451923,5671747584
1598451924,5671747584
1598451925,5671747584
1598451926,5671747584
1598451927,5671747584
1598451928,5671747584
1598451929,5671747584
1598451930,5671747584
1598451931,5671747584
1598451932,5671747584
1598451933,5671747584
1598451934,5671747584
1598451935,5671747584
1598451936,5671747584
1598451937,5671747584
1598451938,5671747584
1598451939,5671747584
1598451940,5671747584
1598451941,5671747584
1598451942,5671747584
1598451943,5671747584
1598451944,5671747584
1598451945,5671747584
1598451946,5671747584
1598451947,5671747584
1598451948,5671747584
1598451949,5671747584
1598451950,5671747584
1598451951,5671747584
1598451952,5671747584
1598451953,5671747584
1598451954,5671747584
1598451955,5671747584
1598451956,5671747584
1598451957,5671747584
1598451958,5671747584
1598451959,5671747584
1598451960,5671747584
1598451961,5671747584
1598451962,5671747584
1598451963,5671747584
1598451964,5671747584
1598451965,5671223296
1598451966,5671223296
1598451967,5671223296
1598451968,5671223296
1598451969,5671223296
1598451970,5671223296
1598451971,5671223296
1598451972,5671223296
1598451973,5671223296
1598451974,5671223296
1598451975,5671223296
1598451976,5671223296
1598451977,5671223296
1598451978,5671223296
1598451979,5671223296
1598451980,5671223296
1598451981,5671223296
1598451982,5671223296
1598451983,5671223296
1598451984,5671223296
1598451985,5671223296
1598451986,5671223296
1598451987,5671223296
1598451988,5671223296
1598451989,5671223296
1598451990,5671223296
1598451991,5671223296
1598451992,5671223296
1598451993,5671223296
1598451994,5671223296
1598451995,5671223296
1598451996,5671223296
1598451997,5671223296
1598451998,5686427648
1598451999,5686427648
1598452000,5686427648
1598452001,5686427648
1598452002,5686427648
1598452003,5686427648
1598452004,5686427648
1598452005,5686427648
1598452006,5686427648
1598452007,5686427648
1598452008,5686427648
1598452009,5686427648
1598452010,5686427648
1598452011,5686427648
1598452012,5686427648
1598452013,5686427648
1598452014,5686427648
1598452015,5686427648
1598452016,5686427648
1598452017,5686427648
1598452018,5686427648
1598452019,5686427648
1598452020,5686427648
1598452021,5686427648
1598452022,5686427648
1598452023,5686427648
1598452024,5686427648
1598452025,5686427648
1598452026,5685379072
1598452027,5685379072
1598452028,5685379072
1598452029,5685379072
1598452030,5685379072
1598452031,5685379072
1598452032,5685379072
1598452033,5685379072
1598452034,5685379072
1598452035,5685379072
1598452036,5685379072
1598452037,5685379072
1598452038,5685379072
1598452039,5685379072
1598452040,5685379072
1598452041,5685379072
1598452042,5685379072
1598452043,5685379072
1598452044,5685379072
1598452045,5685379072
1598452046,5685379072
1598452047,5685379072
1598452048,5685379072
1598452049,5685379072
1598452050,5679611904
1598452051,5679611904
1598452052,5679611904
1598452053,5679611904
1598452054,5679611904
1598452055,5679611904
1598452056,5679611904
1598452057,5679611904
1598452058,5679611904
1598452059,5679611904
1598452060,5679611904
1598452061,5679611904
1598452062,5679611904
1598452063,5679611904
1598452064,5679611904
1598452065,5679611904
1598452066,5679611904
1598452067,5679611904
1598452068,5679611904
1598452069,5679611904
1598452070,5684330496
1598452071,5684330496
1598452072,5684330496
1598452073,5684330496
1598452074,5684330496
1598452075,5684330496
1598452076,5684330496
1598452077,5684330496
1598452078,5684330496
1598452079,5684330496
1598452080,5684330496
1598452081,5684330496
1598452082,5684330496
1598452083,5684330496
1598452084,5684330496
1598452085,5684330496
1598452086,5684330496
1598452087,5675941888
1598452088,5675941888
1598452089,5675941888
1598452090,5675941888
1598452091,5675941888
1598452092,5675941888
1598452093,5675941888
1598452094,5675941888
1598452095,5675941888
1598452096,5675941888
1598452097,5671223296
1598452098,5671223296
1598452099,5671223296
1598452100,5671223296
1598452101,5671223296
1598452102,5671223296
1598452103,5671223296
1598452104,5671223296
1598452105,5671223296
1598452106,5671223296
1598452107,5662310400
1598452108,5662310400
1598452109,5662310400
1598452110,5662310400
1598452111,5662310400
1598452112,5662310400
1598452113,5662310400
1598452114,5662310400
1598452115,5662310400
1598452116,5662310400
1598452117,5662310400
1598452118,5662310400
1598452119,5662310400
1598452120,5662310400
1598452121,5662310400
1598452122,5662310400
1598452123,5662310400
1598452124,5654970368
1598452125,5654970368
1598452126,5654970368
1598452127,5654970368
1598452128,5654970368
1598452129,5654970368
1598452130,5654970368
1598452131,5650776064
1598452132,5650776064
1598452133,5650776064
1598452134,5650776064
1598452135,5650776064
1598452136,5650776064
1598452137,5650776064
1598452138,5642911744
1598452139,5642911744
1598452140,5642911744
1598452141,5642911744
1598452142,5642911744
1598452143,5642911744
1598452144,5639241728
1598452145,5639241728
1598452146,5639241728
1598452147,5639241728
1598452148,5639241728
1598452149,5639241728
1598452150,5632425984
1598452151,5632425984
1598452152,5632425984
1598452153,5632425984
1598452154,5624561664
1598452155,5624561664
1598452156,5624561664
1598452157,5624561664
1598452158,5627707392
1598452159,5627707392
1598452160,5627707392
1598452161,5627707392
1598452162,5627707392
1598452163,5627707392
1598452164,5638193152
1598452165,5638193152
1598452166,5638193152
1598452167,5638193152
1598452168,5616697344
1598452169,5616697344
1598452170,5616697344
1598452171,5616697344
1598452172,5616697344
1598452173,5616697344
1598452174,5616697344
1598452175,5642911744
1598452176,5642911744
1598452177,5642911744
1598452178,5624561664
1598452179,5624561664
1598452180,5624561664
1598452181,5631377408
1598452182,5631377408
1598452183,5631377408
1598452184,5631377408
1598452185,5614075904
1598452186,5614075904
1598452187,5614075904
1598452188,5622988800
1598452189,5622988800
1598452190,5622988800
1598452191,5622988800
1598452192,5604638720
1598452193,5604638720
1598452194,5604638720
1598452195,5595725824
1598452196,5595725824
1598452197,5595725824
1598452198,5594677248
1598452199,5594677248
1598452200,5594677248
1598452201,5594677248
1598452202,5620891648
1598452203,5620891648
1598452204,5620891648
1598452205,5607784448
1598452206,5607784448
1598452207,5607784448
1598452208,5627707392
1598452209,5627707392
1598452210,5627707392
1598452211,5627707392
1598452212,5610405888
1598452213,5610405888
1598452214,5636620288
1598452215,5602541568
1598452216,5602541568
1598452217,5602541568
1598452218,5620891648
1598452219,5620891648
1598452220,5620891648
1598452221,5620891648
1598452222,5597298688
1598452223,5597298688
1598452224,5597298688
1598452225,5597822976
1598452226,5597822976
1598452227,5597822976
1598452228,5596250112
1598452229,5596250112
1598452230,5596250112
1598452231,5596250112
1598452232,5595201536
1598452233,5595201536
1598452234,5595201536
1598452235,5587861504
1598452236,5587861504
1598452237,5587861504
1598452238,5587861504
1598452239,5585764352
1598452240,5585764352
1598452241,5585764352
1598452242,5596774400
1598452243,5596774400
1598452244,5596774400
1598452245,5592580096
1598452246,5592580096
1598452247,5592580096
1598452248,5592580096
1598452249,5600444416
1598452250,5600444416
1598452251,5600444416
1598452252,5596774400
1598452253,5596774400
1598452254,5596774400
1598452255,5605163008
1598452256,5605163008
1598452257,5605163008
1598452258,5605163008
1598452259,5597298688
1598452260,5597298688
1598452261,5597298688
1598452262,5591007232
1598452263,5591007232
1598452264,5591007232
1598452265,5591007232
1598452266,5583142912
1598452267,5583142912
1598452268,5583142912
1598452269,5575278592
1598452270,5575278592
1598452271,5575278592
1598452272,5575278592
1598452273,5575278592
1598452274,5575278592
1598452275,5613551616
1598452276,5613551616
1598452277,5613551616
1598452278,5613551616
1598452279,5586812928
1598452280,5586812928
1598452281,5586812928
1598452282,5618794496
1598452283,5618794496
1598452284,5618794496
1598452285,5618794496
1598452286,5592055808
1598452287,5592055808
1598452288,5592055808
1598452289,5619843072
1598452290,5581045760
1598452291,5581045760
1598452292,5581045760
1598452293,5572132864
1598452294,5572132864
1598452295,5572132864
1598452296,5555879936
1598452297,5555879936
1598452298,5555879936
1598452299,5555879936
1598452300,5548539904
1598452301,5548539904
1598452302,5548539904
1598452303,5555355648
1598452304,5555355648
1598452305,5555355648
1598452306,5553258496
1598452307,5553258496
1598452308,5553258496
1598452309,5553258496
1598452310,5551685632
1598452311,5551685632
1598452312,5551685632
1598452313,5543297024
1598452314,5543297024
1598452315,5543297024
1598452316,5536481280
1598452317,5536481280
1598452318,5536481280
1598452319,5536481280
1598452320,5530189824
1598452321,5530189824
1598452322,5530189824
1598452323,5530189824
1598452324,5522325504
1598452325,5522325504
1598452326,5522325504
1598452327,5512364032
1598452328,5512364032
1598452329,5512364032
1598452330,5512364032
1598452331,5474615296
1598452332,5451022336
