t,value
1598451890,10914016
1598451891,10922208
1598451892,20775864
1598451893,20775864
1598451894,20775864
1598451895,31067280
1598451896,34493776
1598451897,34493776
1598451898,34493776
1598451899,34493776
1598451900,34493776
1598451901,34493776
1598451902,34493776
1598451903,34493776
1598451904,34493776
1598451905,34493776
1598451906,34493776
1598451907,34493776
1598451908,34493776
1598451909,34493776
1598451910,34493776
1598451911,34493776
1598451912,34493776
1598451913,34493776
1598451914,34493776
1598451915,34493776
1598451916,34493776
1598451917,34493776
1598451918,34493776
1598451919,34493776
1598451920,34493776
1598451921,34493776
1598451922,34493776
1598451923,34493776
1598451924,34493776
1598451925,34493776
1598451926,34493776
1598451927,34493776
1598451928,34493776
1598451929,34493776
1598451930,34493776
1598451931,34493776
1598451932,34493776
1598451933,34493776
1598451934,34493776
1598451935,34493776
1598451936,34493776
1598451937,34493776
1598451938,34493776
1598451939,34493776
1598451940,34493776
1598451941,34493776
1598451942,34493776
1598451943,34493776
1598451944,34493776
1598451945,34493776
1598451946,34493776
1598451947,34493776
1598451948,34493776
1598451949,34493776
1598451950,34493776
1598451951,34493776
1598451952,34493776
1598451953,34493776
1598451954,34493776
1598451955,34493776
1598451956,34493776
1598451957,34493776
1598451958,34493776
1598451959,34493776
1598451960,34493776
1598451961,34493776
1598451962,34493776
1598451963,34493776
1598451964,34493776
1598451965,34501968
1598451966,34501968
1598451967,34501968
1598451968,34501968
1598451969,34501968
1598451970,34501968
1598451971,34501968
1598451972,34501968
1598451973,34501968
1598451974,34501968
1598451975,34501968
1598451976,34501968
1598451977,34501968
1598451978,34501968
1598451979,34501968
1598451980,34501968
1598451981,34501968
1598451982,34501968
1598451983,34501968
1598451984,34501968
1598451985,34501968
1598451986,34501968
1598451987,34501968
1598451988,34501968
1598451989,34501968
1598451990,34501968
1598451991,34501968
1598451992,34501968
1598451993,34501968
1598451994,34501968
1598451995,34501968
1598451996,34501968
1598451997,34501968
1598451998,34518352
1598451999,34518352
1598452000,34518352
1598452001,34518352
1598452002,34518352
1598452003,34518352
1598452004,34518352
1598452005,34518352
1598452006,34518352
1598452007,34518352
1598452008,34518352
1598452009,34518352
1598452010,34518352
1598452011,34518352
1598452012,34518352
1598452013,34518352
1598452014,34518352
1598452015,34518352
1598452016,34518352
1598452017,34518352
1598452018,34518352
1598452019,34518352
1598452020,34518352
1598452021,34518352
1598452022,34518352
1598452023,34518352
1598452024,34518352
1598452025,34518352
1598452026,34526544
1598452027,34526544
1598452028,34526544
1598452029,34526544
1598452030,34526544
1598452031,34526544
