t,value
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,0
1598452405,0
1598452406,0
1598452407,0
1598452408,0
1598452409,0
1598452410,3
1598452411,3
1598452412,3
1598452413,3
1598452414,3
1598452415,3
1598452416,3
1598452417,3
1598452418,3
1598452419,3
1598452420,3
1598452421,3
1598452422,3
1598452423,3
1598452424,3
1598452425,3
1598452426,3
1598452427,3
1598452428,3
1598452429,3
1598452430,3
1598452431,3
1598452434,3
1598452434,3
1598452434,3
1598452435,3
1598452436,3
1598452439,3
1598452439,3
1598452439,3
1598452440,5
1598452441,5
1598452442,5
1598452443,5
1598452446,5
1598452446,5
1598452446,5
1598452447,5
1598452448,5
1598452449,5
1598452450,6
1598452451,6
1598452452,6
1598452453,6
1598452454,6
1598452455,6
1598452456,6
1598452457,6
1598452458,6
1598452459,6
1598452462,6
1598452462,6
1598452462,6
1598452463,6
1598452464,6
1598452465,6
1598452466,6
1598452467,6
1598452468,6
1598452469,6
1598452470,7
1598452471,7
1598452472,7
1598452473,7
1598452474,7
1598452475,7
1598452476,7
1598452477,7
1598452478,7
1598452479,7
1598452480,8
1598452481,8
1598452482,8
1598452483,8
1598452484,8
1598452485,8
1598452486,8
1598452487,8
1598452488,8
1598452489,8
1598452490,11
1598452491,11
1598452492,11
1598452493,11
1598452494,11
1598452495,11
1598452496,11
1598452497,11
1598452498,11
1598452499,11
1598452500,13
1598452501,13
1598452502,13
1598452503,13
1598452504,13
1598452505,13
1598452506,13
1598452507,13
1598452508,13
1598452509,13
1598452510,15
1598452511,15
1598452512,15
1598452513,15
1598452514,15
1598452515,15
1598452516,15
1598452517,15
1598452518,15
1598452519,15
1598452520,16
1598452521,16
1598452522,16
1598452523,16
1598452524,16
1598452525,16
1598452526,16
1598452527,16
1598452528,16
1598452529,16
1598452530,17
1598452531,17
1598452532,17
1598452533,17
1598452534,17
1598452535,17
1598452536,17
1598452537,17
1598452538,17
1598452539,17
1598452540,19
1598452541,19
1598452542,19
1598452543,19
1598452544,19
1598452545,19
1598452546,19
1598452547,19
1598452548,19
1598452549,19
1598452550,20
1598452551,20
1598452552,20
1598452553,20
1598452554,20
1598452555,20
1598452556,20
1598452557,20
1598452558,20
1598452559,20
1598452560,20
1598452561,20
1598452562,20
1598452563,20
1598452564,20
1598452565,20
1598452566,20
1598452567,20
1598452568,20
1598452569,20
1598452570,23
1598452571,23
1598452572,23
1598452573,23
1598452574,23
1598452575,23
1598452576,23
1598452577,23
1598452578,23
1598452579,23
1598452580,24
1598452581,24
1598452582,24
1598452583,24
1598452584,24
1598452585,24
1598452586,24
1598452587,24
1598452588,24
1598452589,24
1598452590,25
1598452591,25
1598452592,25
1598452593,25
1598452594,25
1598452595,25
1598452596,25
1598452597,25
1598452598,25
1598452599,25
1598452600,27
1598452601,27
1598452602,27
1598452603,27
1598452604,27
1598452605,27
1598452606,27
1598452607,27
1598452608,27
1598452609,27
1598452610,28
1598452611,28
1598452612,28
1598452613,28
1598452614,28
1598452615,28
1598452616,28
1598452617,28
1598452618,28
1598452619,28
1598452620,29
1598452621,29
1598452622,29
1598452623,29
1598452624,29
1598452625,29
1598452626,29
1598452627,29
1598452628,29
1598452629,29
1598452630,31
1598452631,31
1598452632,31
1598452633,31
1598452634,31
1598452635,31
1598452636,31
1598452637,31
1598452638,31
1598452639,31
1598452640,32
1598452641,32
1598452642,32
1598452643,32
1598452644,32
1598452645,32
1598452646,32
1598452647,32
1598452648,32
1598452649,32
1598452650,33
1598452651,33
1598452652,33
1598452653,33
1598452654,33
1598452655,33
1598452656,33
1598452657,33
1598452658,33
1598452659,33
1598452660,34
1598452661,34
1598452662,34
1598452663,34
1598452664,34
1598452665,34
1598452666,34
1598452667,34
1598452668,34
1598452669,34
1598452670,35
1598452671,35
1598452672,35
1598452673,35
1598452674,35
1598452675,35
1598452676,35
1598452677,35
