t,value
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,0
1598452405,0
1598452406,0
1598452407,0
1598452408,0
1598452409,0
1598452410,166
1598452411,166
1598452412,166
1598452413,166
1598452414,166
1598452415,166
1598452416,166
1598452417,166
1598452418,166
1598452419,166
1598452420,166
1598452421,166
1598452422,166
1598452423,166
1598452424,166
1598452425,166
1598452426,166
1598452427,166
1598452428,166
1598452429,166
1598452430,166
1598452431,166
1598452434,166
1598452434,166
1598452434,166
1598452435,166
1598452436,166
1598452439,166
1598452439,166
1598452439,166
1598452440,4618
1598452441,4618
1598452442,4618
1598452443,4618
1598452446,4618
1598452446,4618
1598452446,4618
1598452447,4618
1598452448,4618
1598452449,4618
1598452450,7190
1598452451,7190
1598452452,7190
1598452453,7190
1598452454,7190
1598452455,7190
1598452456,7190
1598452457,7190
1598452458,7190
1598452459,7190
1598452462,7190
1598452462,7190
1598452462,7190
1598452463,7190
1598452464,7190
1598452465,7190
1598452466,7190
1598452467,7190
1598452468,7190
1598452469,7190
1598452470,9843
1598452471,9843
1598452472,9843
1598452473,9843
1598452474,9843
1598452475,9843
1598452476,9843
1598452477,9843
1598452478,9843
1598452479,9843
1598452480,9907
1598452481,9907
1598452482,9907
1598452483,9907
1598452484,9907
1598452485,9907
1598452486,9907
1598452487,9907
1598452488,9907
1598452489,9907
1598452490,10118
1598452491,10118
1598452492,10118
1598452493,10118
1598452494,10118
1598452495,10118
1598452496,10118
1598452497,10118
1598452498,10118
1598452499,10118
1598452500,10269
1598452501,10269
1598452502,10269
1598452503,10269
1598452504,10269
1598452505,10269
1598452506,10269
1598452507,10269
1598452508,10269
1598452509,10269
1598452510,10428
1598452511,10428
1598452512,10428
1598452513,10428
1598452514,10428
1598452515,10428
1598452516,10428
1598452517,10428
1598452518,10428
1598452519,10428
1598452520,10507
1598452521,10507
1598452522,10507
1598452523,10507
1598452524,10507
1598452525,10507
1598452526,10507
1598452527,10507
1598452528,10507
1598452529,10507
1598452530,10583
1598452531,10583
1598452532,10583
1598452533,10583
1598452534,10583
1598452535,10583
1598452536,10583
1598452537,10583
1598452538,10583
1598452539,10583
1598452540,10730
1598452541,10730
1598452542,10730
1598452543,10730
1598452544,10730
1598452545,10730
1598452546,10730
1598452547,10730
1598452548,10730
1598452549,10730
1598452550,10809
1598452551,10809
1598452552,10809
1598452553,10809
1598452554,10809
1598452555,10809
1598452556,10809
1598452557,10809
1598452558,10809
1598452559,10809
1598452560,10809
1598452561,10809
1598452562,10809
1598452563,10809
1598452564,10809
1598452565,10809
1598452566,10809
1598452567,10809
1598452568,10809
1598452569,10809
1598452570,11043
1598452571,11043
1598452572,11043
1598452573,11043
1598452574,11043
1598452575,11043
1598452576,11043
1598452577,11043
1598452578,11043
1598452579,11043
1598452580,11121
1598452581,11121
1598452582,11121
1598452583,11121
1598452584,11121
1598452585,11121
1598452586,11121
1598452587,11121
1598452588,11121
1598452589,11121
1598452590,11389
1598452591,11389
1598452592,11389
1598452593,11389
1598452594,11389
1598452595,11389
1598452596,11389
1598452597,11389
1598452598,11389
1598452599,11389
1598452600,11544
1598452601,11544
1598452602,11544
1598452603,11544
1598452604,11544
1598452605,11544
1598452606,11544
1598452607,11544
1598452608,11544
1598452609,11544
1598452610,11613
1598452611,11613
1598452612,11613
1598452613,11613
1598452614,11613
1598452615,11613
1598452616,11613
1598452617,11613
1598452618,11613
1598452619,11613
1598452620,11691
1598452621,11691
1598452622,11691
1598452623,11691
1598452624,11691
1598452625,11691
1598452626,11691
1598452627,11691
1598452628,11691
1598452629,11691
1598452630,11846
1598452631,11846
1598452632,11846
1598452633,11846
1598452634,11846
1598452635,11846
1598452636,11846
1598452637,11846
1598452638,11846
1598452639,11846
1598452640,11924
1598452641,11924
1598452642,11924
1598452643,11924
1598452644,11924
1598452645,11924
1598452646,11924
1598452647,11924
