t,value
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,0
1598452405,0
1598452406,0
1598452407,0
1598452408,16777216
1598452409,16777216
1598452410,16777216
1598452411,16777216
1598452412,16777216
1598452413,16777216
1598452414,16777216
1598452415,16777216
1598452416,16777216
1598452417,16777216
1598452418,16777216
1598452419,16777216
1598452420,16777216
1598452421,16777216
1598452422,16777216
1598452423,16777216
1598452424,16777216
1598452425,16777216
1598452426,16777216
1598452427,16777216
1598452428,16777216
1598452429,16777216
1598452430,16777216
1598452431,16777216
1598452434,16777216
1598452434,16777216
1598452434,16777216
1598452435,16777216
1598452436,16777216
1598452439,16777216
1598452439,16777216
1598452439,16777216
1598452440,16777216
1598452441,16777216
1598452442,16777216
1598452443,16777216
1598452446,16777216
1598452446,16777216
1598452446,16777216
1598452447,16777216
1598452448,16777216
1598452449,16777216
1598452450,16777216
1598452451,16777216
1598452452,16777216
1598452453,16777216
1598452454,16777216
1598452455,16777216
1598452456,16777216
1598452457,16777216
1598452458,16777216
1598452459,16777216
1598452462,16777216
1598452462,16777216
1598452462,16777216
1598452463,16777216
1598452464,16777216
1598452465,16777216
1598452466,16777216
1598452467,16777216
1598452468,16777216
1598452469,16777216
1598452470,16777216
1598452471,16777216
1598452472,16777216
1598452473,16777216
1598452474,33554432
1598452475,33554432
1598452476,33554432
1598452477,33554432
1598452478,33554432
1598452479,33554432
1598452480,33554432
1598452481,33554432
1598452482,33554432
1598452483,33554432
1598452484,33554432
1598452485,33554432
1598452486,33554432
1598452487,33554432
1598452488,33554432
1598452489,33554432
1598452490,33554432
1598452491,33554432
1598452492,33554432
1598452493,33554432
1598452494,33554432
1598452495,33554432
1598452496,33554432
1598452497,33554432
1598452498,33554432
1598452499,33554432
1598452500,33554432
1598452501,33554432
1598452502,33554432
1598452503,33554432
1598452504,33554432
1598452505,33554432
1598452506,33554432
1598452507,33554432
1598452508,33554432
1598452509,33554432
1598452510,33554432
1598452511,33554432
1598452512,33554432
1598452513,33554432
1598452514,33554432
1598452515,33554432
1598452516,33554432
1598452517,33554432
1598452518,33554432
1598452519,33554432
1598452520,33554432
1598452521,33554432
1598452522,33554432
1598452523,33554432
1598452524,33554432
1598452525,33554432
1598452526,33554432
1598452527,33554432
1598452528,33554432
1598452529,33554432
1598452530,33554432
1598452531,33554432
1598452532,33554432
1598452533,33554432
1598452534,33554432
1598452535,33554432
1598452536,33554432
1598452537,33554432
1598452538,33554432
1598452539,33554432
1598452540,33554432
1598452541,33554432
1598452542,33554432
1598452543,33554432
1598452544,33554432
1598452545,33554432
1598452546,33554432
1598452547,33554432
1598452548,33554432
1598452549,33554432
1598452550,33554432
1598452551,33554432
1598452552,33554432
1598452553,33554432
1598452554,33554432
1598452555,33554432
1598452556,33554432
1598452557,33554432
1598452558,33554432
1598452559,33554432
1598452560,33554432
1598452561,33554432
1598452562,33554432
1598452563,33554432
1598452564,33554432
1598452565,33554432
1598452566,33554432
1598452567,33554432
1598452568,33554432
1598452569,33554432
1598452570,33554432
1598452571,33554432
1598452572,33554432
1598452573,33554432
1598452574,33554432
1598452575,33554432
1598452576,33554432
1598452577,33554432
1598452578,33554432
1598452579,33554432
1598452580,33554432
1598452581,33554432
1598452582,33554432
1598452583,33554432
1598452584,33554432
1598452585,33554432
1598452586,33554432
1598452587,33554432
1598452588,33554432
1598452589,33554432
1598452590,33554432
1598452591,33554432
1598452592,33554432
1598452593,33554432
1598452594,33554432
1598452595,33554432
1598452596,33554432
1598452597,33554432
1598452598,33554432
1598452599,33554432
1598452600,33554432
1598452601,33554432
1598452602,33554432
1598452603,33554432
1598452604,33554432
1598452605,33554432
1598452606,33554432
1598452607,33554432
1598452608,33554432
1598452609,33554432
1598452610,33554432
1598452611,33554432
1598452612,33554432
1598452613,33554432
1598452614,33554432
1598452615,33554432
1598452616,33554432
1598452617,33554432
