t,count
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,0
1598452405,914804208
1598452406,914804208
1598452407,914804208
1598452408,914804208
1598452409,914804208
1598452410,914804208
1598452411,914804208
1598452412,914804208
1598452413,914804208
1598452414,914804208
1598452415,1220407783
1598452416,1220407783
1598452417,1220407783
1598452418,1220407783
1598452419,1220407783
1598452420,1220407783
1598452421,1220407783
1598452422,1232621647
1598452423,1232621647
1598452424,1232621647
1598452425,1232621647
1598452426,1232621647
1598452427,1232621647
1598452428,1232621647
1598452429,1232621647
1598452430,1232621647
1598452431,1232621647
1598452434,1232621647
1598452434,1232621647
1598452434,1232621647
1598452435,1232621647
1598452436,1232621647
1598452439,1232621647
1598452439,1232621647
1598452439,1232621647
1598452440,1232621647
1598452441,1232621647
1598452442,1232621647
1598452443,1232621647
1598452446,1232621647
1598452446,1232621647
1598452446,1232621647
1598452447,1232621647
1598452448,1232621647
1598452449,1242907798
1598452450,1277360890
1598452451,1277360890
1598452452,1277360890
1598452453,1277360890
1598452454,1277360890
1598452455,1277360890
1598452456,1277360890
1598452457,1277360890
1598452458,1277360890
1598452459,1277360890
1598452462,1277360890
1598452462,1277360890
1598452462,1277360890
1598452463,1277360890
1598452464,1277360890
1598452465,1281333579
1598452466,1281333579
1598452467,1281333579
1598452468,1281333579
1598452469,1281333579
1598452470,1281333579
1598452471,1281333579
1598452472,1281333579
1598452473,1322498166
1598452474,1353998380
1598452475,1356002328
1598452476,1362444156
1598452477,1362444156
1598452478,1362444156
1598452479,1443034149
1598452480,1459583793
1598452481,1462197487
1598452482,1462197487
1598452483,1462197487
1598452484,1462197487
1598452485,1490874166
1598452486,1490874166
1598452487,1490874166
1598452488,1493705589
1598452489,1493705589
1598452490,1519679965
1598452491,1519679965
1598452492,1537327967
1598452493,1540265613
1598452494,1540265613
1598452495,1551905037
1598452496,1554376418
1598452497,1566190044
1598452498,1568249042
1598452499,1582028680
1598452500,1584941627
1598452501,1584941627
1598452502,1584941627
1598452503,1597365407
1598452504,1599391493
1598452505,1611579596
1598452506,1611579596
1598452507,1625711256
1598452508,1627589231
1598452509,1637679986
1598452510,1637679986
1598452511,1654745455
1598452512,1656710608
1598452513,1656710608
1598452514,1669577471
1598452515,1671449083
1598452516,1679330340
1598452517,1681604588
1598452518,1694496103
1598452519,1698361621
1598452520,1698361621
1598452521,1711862028
1598452522,1713683003
1598452523,1722869528
1598452524,1724793248
1598452525,1734925140
1598452526,1736766689
1598452527,1749017088
1598452528,1750771911
1598452529,1750771911
1598452530,1758139767
1598452531,1759757491
1598452532,1773532193
1598452533,1773532193
1598452534,1784296644
1598452535,1786022349
1598452536,1790915196
1598452537,1795907604
1598452538,1797533866
1598452539,1810444825
1598452540,1810444825
1598452541,1820590626
1598452542,1822517981
1598452543,1830311466
1598452544,1832134554
1598452545,1840217609
1598452546,1847084795
1598452547,1847084795
1598452548,1856205148
1598452549,1857875127
1598452550,1864293202
1598452551,1865946899
1598452552,1875484588
1598452553,1877410441
1598452554,1887944807
1598452555,1889696454
1598452556,1889696454
1598452557,1897758874
1598452558,1899556587
1598452559,1913718643
1598452560,1913718643
1598452561,1925331125
1598452562,1926804690
1598452563,1926804690
1598452564,1934041348
1598452565,1935681838
1598452566,1950627266
1598452567,1950627266
1598452568,1959241742
1598452569,1960913881
1598452570,1960913881
1598452571,1968342708
1598452572,1969939224
1598452573,1984242900
1598452574,1984242900
1598452575,1994279216
1598452576,1995905620
1598452577,2002231522
1598452578,2004989072
1598452579,2019213426
1598452580,2021424082
1598452581,2029539548
1598452582,2031185822
1598452583,2031185822
1598452584,2037272328
1598452585,2038753841
1598452586,2050652686
1598452587,2050652686
1598452588,2060195255
1598452589,2061689509
1598452590,2061689509
1598452591,2067974372
1598452592,2069584038
1598452593,2081940469
1598452594,2081940469
1598452595,2091267314
1598452596,2092812249
