t,count
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,0
1598452405,1793
1598452406,1793
1598452407,1793
1598452408,1793
1598452409,1793
1598452410,1793
1598452411,1793
1598452412,1793
1598452413,1793
1598452414,1793
1598452415,2657
1598452416,2657
1598452417,2657
1598452418,2657
1598452419,2657
1598452420,2657
1598452421,2657
1598452422,2669
1598452423,2669
1598452424,2669
1598452425,2669
1598452426,2669
1598452427,2669
1598452428,2669
1598452429,2669
1598452430,2669
1598452431,2669
1598452434,2669
1598452434,2669
1598452434,2669
1598452435,2669
1598452436,2669
1598452439,2669
1598452439,2669
1598452439,2669
1598452440,2669
1598452441,2669
1598452442,2669
1598452443,2669
1598452446,2669
1598452446,2669
1598452446,2669
1598452447,2669
1598452448,2669
1598452449,2717
1598452450,2766
1598452451,2766
1598452452,2766
1598452453,2766
1598452454,2766
1598452455,2766
1598452456,2766
1598452457,2766
1598452458,2766
1598452459,2766
1598452462,2766
1598452462,2766
1598452462,2766
1598452463,2766
1598452464,2766
1598452465,2769
1598452466,2769
1598452467,2769
1598452468,2769
1598452469,2769
1598452470,2769
1598452471,2769
1598452472,2769
1598452473,2844
1598452474,2884
1598452475,2886
1598452476,2891
1598452477,2891
1598452478,2891
1598452479,3013
1598452480,3034
1598452481,3036
1598452482,3036
1598452483,3036
1598452484,3036
1598452485,3085
1598452486,3085
1598452487,3085
1598452488,3087
1598452489,3087
1598452490,3135
1598452491,3135
1598452492,3165
1598452493,3167
1598452494,3167
1598452495,3186
1598452496,3188
1598452497,3212
1598452498,3214
1598452499,3238
1598452500,3240
1598452501,3240
1598452502,3240
1598452503,3262
1598452504,3264
1598452505,3285
1598452506,3285
1598452507,3309
1598452508,3310
1598452509,3329
1598452510,3329
1598452511,3358
1598452512,3359
1598452513,3359
1598452514,3382
1598452515,3383
1598452516,3398
1598452517,3400
1598452518,3422
1598452519,3425
1598452520,3425
1598452521,3507
1598452522,3508
1598452523,3524
1598452524,3525
1598452525,3544
1598452526,3545
1598452527,3569
1598452528,3570
1598452529,3570
1598452530,3584
1598452531,3585
1598452532,3606
1598452533,3606
1598452534,3628
1598452535,3629
1598452536,3638
1598452537,3646
1598452538,3647
1598452539,3668
1598452540,3668
1598452541,3686
1598452542,3687
1598452543,3702
1598452544,3703
1598452545,3714
1598452546,3727
1598452547,3727
1598452548,3745
1598452549,3746
1598452550,3759
1598452551,3760
1598452552,3777
1598452553,3778
1598452554,3798
1598452555,3799
1598452556,3799
1598452557,3813
1598452558,3814
1598452559,3836
1598452560,3836
1598452561,3855
1598452562,3856
1598452563,3856
1598452564,3869
1598452565,3870
1598452566,3895
1598452567,3895
1598452568,3912
1598452569,3913
1598452570,3913
1598452571,3926
1598452572,3927
1598452573,3949
1598452574,3949
1598452575,3967
1598452576,3968
1598452577,3977
1598452578,3984
1598452579,4006
1598452580,4008
1598452581,4022
1598452582,4023
1598452583,4023
1598452584,4035
1598452585,4036
1598452586,4053
1598452587,4053
1598452588,4071
1598452589,4072
1598452590,4072
1598452591,4084
1598452592,4085
1598452593,4105
1598452594,4105
1598452595,4121
1598452596,4122
1598452597,4122
1598452598,4136
1598452599,4137
1598452600,4159
1598452601,4159
1598452602,4177
1598452603,4178
1598452604,4192
1598452605,4192
1598452606,4270
1598452607,4271
1598452608,4287
1598452609,4288
1598452610,4288
1598452611,4303
1598452612,4304
1598452613,4321
1598452614,4321
1598452615,4338
1598452616,4339
1598452617,4339
1598452618,4351
1598452619,4368
1598452620,4370
1598452621,4370
1598452622,4385
1598452623,4386
1598452624,4400
1598452625,4401
1598452626,4422
1598452627,4422
1598452628,4440
1598452629,4441
1598452630,4441
1598452631,4454
1598452632,4455
1598452633,4473
1598452634,4473
1598452635,4490
1598452636,4490
1598452637,4502
1598452638,4503
1598452639,4520
1598452640,4522
1598452641,4539
1598452642,4540
1598452643,4540
