t,value
1598452399,3
1598452400,3
1598452401,3
1598452402,3
1598452403,4
1598452404,5
1598452405,6
1598452406,6
1598452407,6
1598452408,8
1598452409,10
1598452410,12
1598452411,13
1598452412,14
1598452413,15
1598452414,17
1598452415,17
1598452416,18
1598452417,19
1598452418,20
1598452419,21
1598452420,22
1598452421,23
1598452422,23
1598452423,23
1598452424,23
1598452425,23
1598452426,23
1598452427,25
1598452428,27
1598452429,29
1598452430,31
1598452431,34
1598452434,36
1598452434,36
1598452434,36
1598452435,38
1598452436,40
1598452439,43
1598452439,43
1598452439,43
1598452440,45
1598452441,45
1598452442,45
1598452443,46
1598452446,47
1598452446,47
1598452446,47
1598452447,49
1598452448,51
1598452449,53
1598452450,56
1598452451,59
1598452452,61
1598452453,63
1598452454,65
1598452455,67
1598452456,69
1598452457,71
1598452458,71
1598452459,71
1598452462,72
1598452462,72
1598452462,72
1598452463,73
1598452464,75
1598452465,76
1598452466,76
1598452467,76
1598452468,76
1598452469,76
1598452470,77
1598452471,78
1598452472,80
1598452473,82
1598452474,84
1598452475,85
1598452476,86
1598452477,86
1598452478,87
1598452479,89
1598452480,91
1598452481,93
1598452482,97
1598452483,103
1598452484,103
1598452485,104
1598452486,106
1598452487,108
1598452488,109
1598452489,110
1598452490,112
1598452491,114
1598452492,115
1598452493,116
1598452494,120
1598452495,123
1598452496,125
1598452497,127
1598452498,129
1598452499,131
1598452500,131
1598452501,133
1598452502,137
1598452503,140
1598452504,141
1598452505,143
1598452506,145
1598452507,146
1598452508,149
1598452509,153
1598452510,155
1598452511,158
1598452512,159
1598452513,161
1598452514,162
1598452515,165
1598452516,169
1598452517,171
1598452518,173
1598452519,174
1598452520,176
1598452521,177
1598452522,180
1598452523,184
1598452524,186
1598452525,189
1598452526,190
1598452527,191
1598452528,193
1598452529,197
1598452530,200
1598452531,201
1598452532,204
1598452533,205
1598452534,206
1598452535,208
1598452536,212
1598452537,214
1598452538,216
1598452539,218
1598452540,219
1598452541,221
1598452542,224
1598452543,228
1598452544,230
1598452545,232
1598452546,233
1598452547,235
1598452548,236
1598452549,242
1598452550,243
1598452551,245
1598452552,248
1598452553,249
1598452554,251
1598452555,252
1598452556,257
1598452557,260
1598452558,260
1598452559,263
1598452560,264
1598452561,266
1598452562,267
1598452563,272
1598452564,274
1598452565,276
1598452566,278
1598452567,280
1598452568,282
1598452569,284
1598452570,288
1598452571,290
1598452572,292
1598452573,293
1598452574,295
1598452575,297
1598452576,299
1598452577,303
1598452578,306
1598452579,308
1598452580,309
1598452581,311
1598452582,312
1598452583,315
1598452584,319
1598452585,321
1598452586,323
1598452587,325
1598452588,327
1598452589,328
1598452590,332
1598452591,335
1598452592,336
1598452593,338
1598452594,340
1598452595,342
1598452596,344
1598452597,348
1598452598,350
1598452599,352
1598452600,353
1598452601,355
1598452602,357
1598452603,360
1598452604,364
1598452605,366
1598452606,368
1598452607,369
1598452608,371
1598452609,372
1598452610,376
1598452611,379
1598452612,381
1598452613,384
1598452614,385
1598452615,387
1598452616,389
1598452617,393
1598452618,395
1598452619,397
1598452620,398
1598452621,400
1598452622,402
1598452623,405
1598452624,409
1598452625,411
1598452626,413
1598452627,414
1598452628,416
1598452629,418
1598452630,422
1598452631,424
1598452632,426
1598452633,427
1598452634,429
1598452635,431
1598452636,435
1598452637,438
1598452638,439
1598452639,442
1598452640,443
1598452641,445
1598452642,446
1598452643,451
1598452644,454
1598452645,455
1598452646,457
1598452647,458
1598452648,460
1598452649,463
1598452650,467
1598452651,469
1598452652,471
1598452653,472
1598452654,474
1598452655,475
1598452656,480
1598452657,483
1598452658,484
1598452659,486
1598452660,487
1598452661,489
1598452662,492
1598452663,496
1598452664,498
1598452665,500
1598452666,501
1598452667,503
1598452668,504
1598452669,509
1598452670,512
1598452671,513
1598452672,515
1598452673,516
1598452674,518
1598452675,521
1598452676,524
1598452677,527
1598452678,529
1598452679,529
1598452680,531
1598452681,533
1598452682,537
1598452683,540
1598452684,541
1598452685,543
1598452686,545
1598452687,546
1598452688,550
1598452689,554
1598452690,555
1598452691,557
1598452692,559
1598452693,560
1598452694,562
1598452695,567
1598452696,569
1598452697,571
1598452698,572
1598452699,574
1598452700,576
1598452701,580
1598452702,583
1598452703,584
1598452704,586
1598452705,588
1598452706,589
1598452707,593
1598452708,596
1598452709,598
1598452710,600
1598452711,601
1598452712,602
1598452713,605
1598452714,609
1598452715,611
1598452716,613
1598452717,614
1598452718,616
1598452719,618
1598452720,623
1598452721,625
1598452722,627
1598452723,628
1598452724,630
1598452725,631
1598452726,635
1598452727,638
1598452728,640
1598452729,642
1598452730,643
1598452731,644
1598452732,647
1598452733,651
1598452734,653
1598452735,655
1598452736,656
1598452737,657
1598452738,660
1598452739,664
1598452740,666
1598452741,668
1598452742,669
1598452743,671
1598452744,673
1598452745,678
1598452746,680
1598452747,681
1598452748,683
1598452749,685
1598452750,686
1598452751,690
1598452752,693
1598452753,695
1598452754,697
1598452755,698
1598452756,700
1598452757,704
1598452758,707
1598452759,709
1598452760,711
1598452761,712
1598452762,713
1598452763,716
1598452764,720
1598452765,722
1598452766,724
1598452767,726
1598452768,727
1598452769,729
1598452770,734
1598452771,736
1598452772,738
1598452773,739
1598452774,741
1598452775,743
1598452776,747
1598452777,750
1598452778,751
1598452779,753
1598452780,754
1598452781,756
1598452782,759
1598452783,763
1598452784,764
1598452785,767
1598452786,768
1598452787,769
1598452788,772
1598452789,775
1598452790,778
1598452791,779
1598452792,781
1598452793,782
1598452794,785
1598452795,789
1598452796,791
1598452797,793
1598452798,794
1598452799,796
1598452800,797
1598452801,802
1598452802,805
1598452803,806
1598452804,808
1598452805,809
1598452806,811
1598452807,815
1598452808,818
1598452809,820
1598452810,822
1598452811,823
1598452812,824
1598452813,827
1598452814,831
1598452815,833
1598452816,835
1598452817,836
1598452818,837
1598452819,838
1598452820,843
1598452821,845
1598452822,847
1598452823,848
1598452824,850
1598452825,851
1598452826,856
1598452827,859
1598452828,860
1598452829,862
1598452830,863
1598452831,865
1598452832,868
1598452833,871
1598452834,873
1598452835,876
