t,value
1598452398,46268416
1598452399,46727168
1598452400,46792704
1598452401,46858240
1598452402,46923776
1598452403,47054848
1598452404,47054848
1598452405,49020928
1598452406,49545216
1598452407,57933824
1598452409,79560704
1598452409,92209152
1598452410,103546880
1598452411,106233856
1598452412,106758144
1598452413,106889216
1598452414,106954752
1598452415,106954752
1598452416,106954752
1598452417,107020288
1598452418,107020288
1598452419,107151360
1598452420,107151360
1598452421,107151360
1598452422,107151360
1598452423,107151360
1598452424,107151360
1598452425,107151360
1598452426,108658688
1598452427,108658688
1598452428,108658688
1598452429,108658688
1598452431,108658688
1598452433,108658688
1598452433,108658688
1598452433,108658688
1598452435,108658688
1598452435,108658688
1598452436,108658688
1598452437,108658688
1598452441,108658688
1598452441,108658688
1598452441,108658688
1598452441,108789760
1598452442,108789760
1598452443,108986368
1598452444,108986368
1598452447,109248512
1598452447,109248512
1598452447,109969408
1598452448,109969408
1598452449,109969408
1598452451,109969408
1598452451,109969408
1598452452,109969408
1598452453,109969408
1598452455,109969408
1598452456,109969408
1598452456,109969408
1598452457,109969408
1598452458,109969408
1598452459,109969408
1598452460,109969408
1598452461,109969408
1598452462,109969408
1598452463,109969408
1598452464,109969408
1598452465,109969408
1598452466,109969408
1598452467,109969408
1598452468,109969408
1598452469,110231552
1598452470,110362624
1598452471,110362624
1598452472,115081216
1598452473,115539968
1598452474,115539968
1598452475,115605504
1598452476,115605504
1598452477,118882304
1598452478,119996416
1598452479,121831424
1598452480,122683392
1598452481,122748928
1598452482,122748928
1598452483,122748928
1598452484,122748928
1598452485,122748928
1598452486,122748928
1598452487,122748928
1598452488,123076608
1598452489,123535360
1598452491,124125184
1598452491,124387328
1598452492,124387328
1598452493,124518400
1598452494,124518400
1598452495,124518400
1598452496,124977152
1598452497,125108224
1598452498,125108224
1598452499,125108224
1598452500,125108224
1598452501,125108224
1598452502,125173760
1598452503,125370368
1598452504,125632512
1598452505,125894656
1598452506,125894656
1598452507,125894656
1598452508,125894656
1598452509,126025728
1598452510,126222336
1598452511,126484480
1598452512,126615552
1598452513,126681088
1598452514,126681088
1598452515,126746624
1598452516,126746624
1598452517,127008768
1598452518,127139840
1598452519,127336448
1598452520,127336448
1598452521,127336448
1598452522,127336448
1598452523,127336448
1598452524,127664128
1598452525,127795200
1598452526,127860736
1598452527,127860736
1598452528,127860736
1598452529,127926272
1598452530,127926272
1598452531,127991808
1598452533,128122880
1598452533,128253952
1598452534,128253952
1598452535,128253952
1598452536,128253952
1598452537,128253952
1598452538,128253952
1598452539,128385024
1598452540,128385024
1598452541,128385024
1598452542,128385024
1598452543,128385024
1598452544,128581632
1598452545,128647168
1598452546,128712704
1598452547,128712704
1598452548,128712704
1598452549,128974848
1598452550,129302528
1598452551,129499136
1598452552,129564672
1598452553,129630208
1598452554,129630208
1598452555,129630208
1598452556,129695744
1598452557,129695744
1598452558,129826816
1598452559,129892352
1598452560,129892352
1598452561,129892352
1598452562,129892352
1598452563,129892352
1598452564,129892352
1598452565,129957888
1598452566,130023424
1598452567,130154496
1598452568,130220032
1598452569,130220032
1598452570,130285568
1598452571,130285568
1598452572,130416640
1598452573,130482176
1598452574,130547712
1598452575,130547712
1598452576,130547712
1598452577,130547712
1598452578,130547712
1598452579,130547712
1598452580,130547712
1598452581,130547712
1598452582,130875392
1598452583,130875392
1598452584,130875392
1598452585,130940928
1598452586,131072000
1598452587,131072000
1598452588,131072000
1598452589,131072000
1598452590,131661824
1598452591,131727360
1598452592,131727360
