t,value
1598452398,44102376
1598452399,44362584
1598452400,44474040
1598452401,44541856
1598452402,44630296
1598452403,44705296
1598452404,44742528
1598452405,46837640
1598452406,46975048
1598452407,53847576
1598452409,67862328
1598452409,81747088
1598452410,92402960
1598452411,96298176
1598452412,96608576
1598452413,96747472
1598452414,96818176
1598452415,96826424
1598452416,96847568
1598452417,96880816
1598452418,96908800
1598452419,97270080
1598452420,97273048
1598452421,97246296
1598452422,97234080
1598452423,97234688
1598452424,97239112
1598452425,97243840
1598452426,98697256
1598452427,98729256
1598452428,98763512
1598452429,98878008
1598452431,98889904
1598452433,98581312
1598452433,98588736
1598452433,98605456
1598452435,98657752
1598452435,98664256
1598452436,98640000
1598452437,98639168
1598452441,98637912
1598452441,98560984
1598452441,98465304
1598452441,98705120
1598452442,98794336
1598452443,99200720
1598452444,99204752
1598452447,99223656
1598452447,99241104
1598452447,99870504
1598452448,99865320
1598452449,99904496
1598452451,99968168
1598452451,99981648
1598452452,100024024
1598452453,100025816
1598452455,100012888
1598452456,100012888
1598452456,100012888
1598452457,100011312
1598452458,99998088
1598452459,99967864
1598452460,99844936
1598452461,99778720
1598452462,99819216
1598452463,99820272
1598452464,99834616
1598452465,99836664
1598452466,99836664
1598452467,99836664
1598452468,99843488
1598452469,100268360
1598452470,100329208
1598452471,100329208
1598452472,105725304
1598452473,105984976
1598452474,106249240
1598452475,106522392
1598452476,106636392
1598452477,108627448
1598452478,109881144
1598452479,111513912
1598452480,112081544
1598452481,111605792
1598452482,111061264
1598452483,111201768
1598452484,111409568
1598452485,111458496
1598452486,111558520
1598452487,111595944
1598452488,111953016
1598452489,112557480
1598452491,113216336
1598452491,113560880
1598452492,113583720
1598452493,113722360
1598452494,113646072
1598452495,113712504
1598452496,113686160
1598452497,114053840
1598452498,114131496
1598452499,114142784
1598452500,114212336
1598452501,114229704
1598452502,114303088
1598452503,114572048
1598452504,114560792
1598452505,114734896
1598452506,114805408
1598452507,114867808
1598452508,114895040
1598452509,115067072
1598452510,115353824
1598452511,115610216
1598452512,115755352
1598452513,115783776
1598452514,115831912
1598452515,115896384
1598452516,115918000
1598452517,116173264
1598452518,116345352
1598452519,116529736
1598452520,116552288
1598452521,116572648
1598452522,116528480
1598452523,116537504
1598452524,116642984
1598452525,116882632
1598452526,116960120
1598452527,116984960
1598452528,116984832
1598452529,116932464
1598452530,117080176
1598452531,117135544
1598452533,117284968
1598452533,117308840
1598452534,117325040
1598452535,117351592
1598452536,117365344
1598452537,117417264
1598452538,117477000
1598452539,117593096
1598452540,117621840
1598452541,117620064
1598452542,117630712
1598452543,117630712
1598452544,117836880
1598452545,117951024
1598452546,117968440
1598452547,117878712
1598452548,117930072
1598452549,118261792
1598452550,118454104
1598452551,118623040
1598452552,118737096
1598452553,118795040
1598452554,118781480
1598452555,118789120
1598452556,118850776
1598452557,118852504
1598452558,119006112
1598452559,119098864
1598452560,119107952
1598452561,119080696
1598452562,119086336
1598452563,119075328
1598452564,119123144
1598452565,119224352
1598452566,119308968
1598452567,119463664
1598452568,119502424
1598452569,119503640
1598452570,119492120
1598452571,119583968
1598452572,119740344
1598452573,119833592
1598452574,119849888
1598452575,119853016
1598452576,119853336
1598452577,119854040
1598452578,119828992
1598452579,119905016
1598452580,119906480
1598452581,119900272
1598452582,119938416
1598452583,119938928
1598452584,119940016
1598452585,120049088
1598452586,120221160
1598452587,120222120
1598452588,120227304
1598452589,120240456
1598452590,120833128
1598452591,120834088
1598452592,120825624
1598452593,120862232
1598452594,120892040
1598452595,120892808
1598452596,120893256
1598452597,120894792
1598452598,120878056
1598452599,120872120
1598452600,120915528
1598452601,120919272
1598452602,120942992
1598452603,120987296
1598452604,120988256
1598452605,121032856
1598452606,121090344
1598452607,121104104
1598452608,121118760
1598452609,121141984
1598452610,121224648
1598452611,121232840
1598452612,121262160
1598452613,121409344
1598452614,121438888
1598452615,121524016
1598452616,121530648
1598452617,121534440
1598452618,121559128
1598452619,121628224
1598452620,121793488
1598452621,121826080
1598452622,121844344
1598452623,121848816
1598452624,121848816
1598452625,121884624
1598452626,122043880
1598452627,122063912
1598452628,122148424
1598452629,122159016
1598452630,122165712
1598452631,122157768
1598452632,122166504
1598452633,122175856
1598452634,122210744
1598452635,122216944
1598452636,122216112
1598452637,122216112
1598452638,122226312
1598452639,122227408
1598452640,122255888
1598452641,122308088
1598452642,122295544
1598452643,122295544
1598452644,122391728
1598452645,122407648
1598452646,122427416
1598452647,122427416
1598452648,122490128
1598452649,122483656
1598452650,122478600
1598452651,122463192
1598452652,122507208
1598452653,122527080
1598452654,122548640
1598452655,122569888
1598452656,122569888
1598452657,122570512
1598452658,122605752
1598452659,122656944
1598452660,122663384
1598452661,122759912
1598452662,122761840
1598452663,122762672
1598452664,122738712
1598452665,122880512
1598452666,122931376
1598452667,122951584
1598452668,122951584
1598452669,122956184
1598452670,122976424
1598452671,123067944
1598452672,123079288
1598452673,123123376
1598452674,123134800
1598452675,123131088
1598452676,123127184
1598452677,123129848
1598452678,123140200
1598452679,123140200
1598452680,123120824
1598452681,123120824
1598452682,123132552
1598452683,123145048
1598452684,123152336
1598452685,123135584
1598452686,123144232
1598452687,123203128
1598452688,123222840
1598452689,123225632
1598452690,123348784
1598452691,123357008
1598452692,123357712
1598452693,123364640
1598452694,123359584
1598452695,123359584
1598452696,123341208
1598452697,123395048
1598452698,123414696
1598452699,123427880
1598452700,123427880
1598452701,123420200
1598452702,123425960
1598452703,123465640
1598452704,123462184
1598452705,123442600
