t,value
1598452398,7431488
1598452399,7602944
1598452400,7698496
1598452401,7751424
1598452402,7827008
1598452403,7906304
1598452404,7915840
1598452405,9073088
1598452406,9120064
1598452407,9210688
1598452409,10545408
1598452409,13730688
1598452410,13684480
1598452411,14632256
1598452412,14904128
1598452413,15028672
1598452414,15097792
1598452415,15105664
1598452416,15124800
1598452417,15156992
1598452418,15181504
1598452419,15290816
1598452420,15293440
1598452421,15257472
1598452422,15225344
1598452423,15223744
1598452424,15225408
1598452425,15230848
1598452426,15842944
1598452427,15867584
1598452428,15894016
1598452429,15999936
1598452431,16010560
1598452433,16020864
1598452433,16039488
1598452433,16044608
1598452435,16094592
1598452435,16096320
1598452436,16075136
1598452437,16074304
1598452441,16065024
1598452441,15992384
1598452441,15898112
1598452441,16117440
1598452442,16206656
1598452443,16518912
1598452444,16522240
1598452447,16523008
1598452447,16525312
1598452447,16900544
1598452448,16895360
1598452449,16928128
1598452451,16988416
1598452451,16995648
1598452452,17033856
1598452453,17035648
1598452455,17022720
1598452456,17022720
1598452456,17022720
1598452457,17020800
1598452458,17004288
1598452459,16972800
1598452460,16756736
1598452461,16783040
1598452462,16814656
1598452463,16815424
1598452464,16828288
1598452465,16830336
1598452466,16830336
1598452467,16830336
1598452468,16836352
1598452469,16904896
1598452470,16903808
1598452471,16903808
1598452472,18224640
1598452473,18008960
1598452474,18233408
1598452475,18492160
1598452476,18475520
1598452477,18538112
1598452478,19478720
1598452479,20705792
1598452480,21017536
1598452481,21061888
1598452482,20473472
1598452483,20579200
1598452484,20759936
1598452485,20804800
1598452486,20891840
1598452487,20924352
1598452488,21165312
1598452489,21668864
1598452491,22244352
1598452491,22523200
1598452492,22543424
1598452493,22626176
1598452494,22529216
1598452495,22590208
1598452496,22516416
1598452497,22808256
1598452498,22872064
1598452499,22883008
1598452500,22937216
1598452501,22948032
1598452502,23012544
1598452503,23230464
1598452504,23168576
1598452505,23311552
1598452506,23365184
1598452507,23413888
1598452508,23435136
1598452509,23572480
1598452510,23822784
1598452511,24058176
1598452512,24188608
1598452513,24204608
1598452514,24250944
1598452515,24306496
1598452516,24324800
1598452517,24531136
1598452518,24677312
1598452519,24828416
1598452520,24846144
1598452521,24863296
1598452522,24814144
1598452523,24823168
1598452524,24887104
1598452525,25088448
1598452526,25155648
1598452527,25175680
1598452528,25175552
1598452529,25113344
1598452530,25230720
1598452531,25283008
1598452533,25401664
1598452533,25412800
1598452534,25423040
1598452535,25444992
1598452536,25458048
1598452537,25504000
1598452538,25553344
1598452539,25657856
1598452540,25679808
1598452541,25677312
1598452542,25682432
1598452543,25682432
1598452544,25865728
1598452545,25966272
1598452546,25977600
1598452547,25887552
1598452548,25933760
1598452549,26252352
1598452550,26338560
1598452551,26485824
1598452552,26586176
1598452553,26637952
1598452554,26617280
1598452555,26624448
1598452556,26679616
1598452557,26681344
1598452558,26801216
1598452559,26882112
1598452560,26891200
1598452561,26859456
1598452562,26868416
1598452563,26857408
1598452564,26896256
1598452565,26981952
1598452566,27057152
1598452567,27192896
1598452568,27228288
1598452569,27229504
1598452570,27217984
1598452571,27302272
1598452572,27443200
1598452573,27517120
1598452574,27530944
1598452575,27532736
1598452576,27532288
1598452577,27532992
1598452578,27501952
1598452579,27564736
1598452580,27565888
1598452581,27559680
1598452582,27590016
1598452583,27590528
1598452584,27591616
1598452585,27685632
1598452586,27827648
1598452587,27828608
1598452588,27832704
1598452589,27843520
1598452590,28433408
1598452591,28434368
1598452592,28418880
1598452593,28451456
1598452594,28475136
1598452595,28475904
1598452596,28476352
1598452597,28477888
1598452598,28455296
1598452599,28440704
1598452600,28478336
1598452601,28481472
1598452602,28502080
1598452603,28538880
1598452604,28539840
1598452605,28574144
1598452606,28624064
1598452607,28637824
1598452608,28652480
1598452609,28671296
1598452610,28749440
1598452611,28757632
1598452612,28784128
1598452613,28927296
1598452614,28952128
1598452615,29014720
1598452616,29020672
1598452617,29023744
1598452618,29043392
1598452619,29100096
1598452620,29236800
1598452621,29259392
1598452622,29272384
1598452623,29276416
1598452624,29276416
1598452625,29291712
1598452626,29446592
1598452627,29466624
1598452628,29532160
1598452629,29539648
1598452630,29543168
1598452631,29527616
1598452632,29536256
1598452633,29544384
1598452634,29577536
1598452635,29583296
1598452636,29582464
1598452637,29582464
1598452638,29592384
1598452639,29589568
1598452640,29618048
1598452641,29661248
1598452642,29648704
1598452643,29648704
1598452644,29738048
1598452645,29751360
1598452646,29768384
1598452647,29768384
1598452648,29827968
1598452649,29819456
1598452650,29814400
1598452651,29797440
1598452652,29839040
1598452653,29852800
1598452654,29869184
1598452655,29890432
1598452656,29890432
1598452657,29888576
1598452658,29916864
1598452659,29959680
1598452660,29965504
1598452661,30055104
1598452662,30056512
1598452663,30057344
1598452664,30026496
1598452665,30146624
1598452666,30201216
1598452667,30204992
1598452668,30204992
1598452669,30208960
1598452670,30225536
1598452671,30312704
1598452672,30323008
1598452673,30354752
1598452674,30363200
1598452675,30359488
1598452676,30355584
1598452677,30357632
1598452678,30363456
1598452679,30363456
1598452680,30341760
1598452681,30341760
1598452682,30350848
1598452683,30361536
1598452684,30367360
1598452685,30349312
1598452686,30355136
1598452687,30403072
1598452688,30421376
1598452689,30423552
1598452690,30512704
1598452691,30519936
1598452692,30520640
1598452693,30526144
1598452694,30521088
1598452695,30521088
1598452696,30501312
1598452697,30550976
1598452698,30568640
1598452699,30580800
1598452700,30580800
1598452701,30573120
1598452702,30578880
1598452703,30618560
1598452704,30615104
1598452705,30593024
1598452706,30595008
1598452707,30596032
1598452708,30596032
1598452709,30613760
1598452710,30621504
1598452711,30615488
1598452712,30622336
1598452713,30622336
1598452714,30623296
1598452715,30624064
1598452716,30640768
1598452717,30646784
1598452718,30646784
1598452719,30647744
1598452720,30647744
1598452721,30644544
1598452722,30651456
1598452723,30657792
1598452724,30658624
1598452725,30658624
1598452726,30658624
1598452727,30663168
1598452728,30670528
1598452729,30694080
1598452730,30684160
1598452731,30690880
1598452732,30689664
1598452733,30694784
1598452734,30682304
1598452735,30691136
1598452736,30702208
1598452738,30717248
1598452738,30723328
1598452739,30723328
1598452740,30722816
1598452741,30770176
1598452742,30771264
1598452743,30787008
1598452744,30787008
1598452745,30788096
1598452746,30780288
1598452747,30710464
1598452748,30749696
1598452749,30760384
1598452750,30818560
1598452751,30820160
1598452752,30818112
1598452753,30840960
1598452754,30883264
1598452755,30884864
1598452756,31444544
1598452757,31494016
1598452758,31494016
1598452759,31816128
1598452760,31834368
1598452761,31840000
1598452762,31865984
1598452763,31873472
1598452764,31925824
1598452765,31974528
1598452766,32025664
1598452767,32033088
1598452768,32032896
1598452769,32033664
1598452770,32033664
1598452771,32041024
1598452772,32044032
1598452773,32066048
1598452774,32068736
1598452775,32062464
1598452776,32062464
1598452777,32064192
1598452778,32150912
1598452779,32153984
1598452780,32165760
1598452781,32181824
1598452782,32173568
1598452783,32175936
1598452784,32192704
1598452785,32220352
1598452786,32263488
1598452788,32297152
1598452788,32312384
1598452789,32312384
1598452790,32309312
1598452791,32387136
1598452792,32391488
1598452793,32394496
1598452794,32394496
1598452795,32394496
1598452796,32403392
1598452797,32420736
1598452798,32420736
1598452799,32490432
1598452800,32492992
1598452801,32492992
1598452802,32488064
1598452803,32482688
1598452804,32482688
1598452805,32445440
1598452806,32422528
1598452807,32422528
1598452808,32422528
1598452809,32403264
1598452810,32409088
1598452811,32409088
1598452812,32409728
1598452813,32469440
1598452814,32469440
1598452815,32469440
1598452816,32444864
1598452817,32445888
1598452818,32452736
1598452819,32458176
1598452820,32423168
1598452821,32407040
1598452822,32435648
1598452823,32543232
1598452824,32549440
1598452825,32582656
1598452826,32582656
1598452827,32581056
1598452828,32596992
1598452829,32600064
1598452830,32600064
1598452831,32600576
1598452832,32601344
1598452833,32519872
1598452834,32509376
1598452835,32513728
1598452836,32514304
1598452837,32531200
1598452838,32531200
1598452839,32527936
1598452840,32538880
1598452841,32375808
1598452842,32378560
1598452843,32382208
1598452844,32382208
1598452845,32383680
1598452846,32378176
1598452847,32521984
1598452848,32539456
1598452849,32539456
1598452850,32540544
1598452851,32540544
1598452852,32541120
1598452853,32541120
1598452854,32545088
1598452855,32545088
1598452856,32566592
1598452857,32567168
1598452858,32562432
1598452859,32560128
1598452860,32560128
1598452861,32560128
1598452862,32552576
1598452863,32552576
1598452864,32552576
1598452865,32545024
1598452866,32562688
1598452867,32566272
1598452868,32566272
1598452869,32587584
1598452871,32628992
1598452871,32628992
1598452872,32609472
1598452873,32608448
1598452874,32611072
1598452875,32664960
1598452876,32664960
1598452877,32664960
1598452878,32676992
1598452879,32680000
1598452880,32703168
1598452881,32656000
1598452882,32656000
1598452883,32657152
1598452884,32665344
1598452885,32669376
1598452886,32665984
1598452887,32668928
1598452888,32668928
1598452889,32703232
1598452890,32755008
1598452891,32833472
1598452892,32855168
1598452893,32890048
1598452894,32894784
1598452895,32894784
1598452896,32894784
1598452897,32921408
1598452898,32962304
1598452899,32974144
1598452900,32990592
1598452901,32991616
1598452902,32991616
1598452903,32993664
1598452904,32988928
1598452905,33044864
1598452906,33044864
1598452907,33044864
1598452908,33044864
1598452909,33052672
1598452910,33048896
1598452911,33074112
1598452912,33075136
1598452913,33075136
1598452914,33075136
1598452915,33075136
1598452916,33083328
1598452917,33077696
1598452918,33076992
1598452920,33079488
1598452920,33079488
1598452921,33086784
1598452922,33077312
1598452923,33110400
1598452924,33110400
1598452925,33114560
1598452926,33114560
1598452927,33114560
1598452928,33116544
1598452929,33118336
1598452930,33122368
1598452931,33121344
1598452932,33128320
1598452933,33128320
1598452934,33128320
1598452935,33141568
1598452936,33163904
1598452937,33163904
1598452938,33229248
1598452939,33231232
1598452940,33231232
1598452941,33241856
1598452942,33241856
1598452943,33243264
1598452944,33280896
1598452945,33281728
1598452946,33281728
1598452947,33285760
1598452948,33285440
1598452949,33285440
1598452950,33285440
1598452951,33285440
1598452952,33285440
1598452953,33286336
1598452954,33207680
1598452955,33241152
1598452956,33252288
1598452957,33252288
1598452958,33150656
1598452959,33155264
1598452960,33161024
1598452961,33161024
