t,count
1598452398,0
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,0
1598452405,0
1598452406,0
1598452407,0
1598452408,0
1598452409,0
1598452410,0
1598452411,0
1598452412,0
1598452413,0
1598452414,0
1598452415,0
1598452416,0
1598452417,0
1598452418,9140437
1598452419,18338782
1598452420,18338782
1598452421,18338782
1598452422,23572241
1598452423,23572241
1598452424,23572241
1598452425,23572241
1598452426,23572241
1598452428,23572241
1598452428,23572241
1598452429,23572241
1598452430,23572241
1598452433,23572241
1598452433,23572241
1598452433,23572241
1598452435,23572241
1598452435,23572241
1598452439,23572241
1598452439,23572241
1598452439,23572241
1598452439,23572241
1598452440,23572241
1598452441,23572241
1598452442,23572241
1598452443,32821769
1598452444,32821769
1598452449,32821769
1598452449,32821769
1598452449,32821769
1598452449,32821769
1598452449,32821769
1598452450,42020170
1598452451,42020170
1598452452,42020170
1598452453,42020170
1598452454,42020170
1598452455,42020170
1598452456,42020170
1598452457,42020170
1598452459,42020170
1598452459,42020170
1598452460,42020170
1598452461,51218564
1598452462,51218564
1598452463,51218564
1598452464,51218564
1598452465,51218564
1598452466,51218564
1598452467,51218564
1598452468,51218564
1598452469,51218564
1598452470,51218564
1598452471,51218564
1598452472,51218565
1598452473,51218567
1598452474,51218568
1598452475,51218570
1598452476,51218570
1598452477,51218570
1598452478,51218572
1598452479,51218575
1598452480,51218576
1598452481,51218576
1598452483,51218576
1598452483,51218577
1598452484,51218578
1598452485,51218578
1598452486,51218579
1598452487,51218579
1598452488,51218579
1598452489,51218585
1598452491,51218585
1598452492,51218587
1598452492,51218588
1598452493,51218588
1598452494,51218590
1598452495,51218591
1598452496,51218597
1598452498,51218597
1598452498,51218599
1598452499,51218600
1598452500,51218600
1598452501,51218601
1598452502,51218603
1598452503,51218603
1598452504,51218609
1598452505,51218609
1598452506,51218611
1598452507,51218612
1598452508,51218613
1598452509,51218615
1598452510,51218621
1598452511,51218621
1598452512,51218622
1598452513,51218624
1598452514,51218624
1598452515,51218626
1598452516,51218627
1598452517,51218633
1598452518,51218633
1598452520,51218633
1598452520,51218635
1598452521,51218636
1598452522,51218638
1598452523,51218639
1598452524,51218645
1598452525,51218645
1598452526,51218647
1598452527,51218648
1598452528,51218648
1598452529,51218650
1598452530,51218651
1598452531,51218657
1598452532,51218657
1598452533,51218659
1598452534,51218660
1598452535,51218661
1598452536,51218662
1598452537,51218663
1598452538,51218669
1598452539,51218669
1598452540,51218671
1598452541,51218672
1598452542,51218674
1598452543,51218675
1598452544,51218681
1598452545,51218681
1598452546,51218681
1598452547,51218684
1598452548,51218684
1598452549,51218686
1598452550,51218687
1598452551,51218693
1598452553,51218693
1598452553,51218695
1598452554,51218696
1598452555,51218697
1598452556,51218698
1598452557,51218699
1598452558,51218705
1598452559,51218705
1598452560,51218707
1598452561,51218708
1598452562,51218709
1598452563,51218710
1598452564,51218711
1598452565,51218717
1598452566,51218717
1598452567,51218719
1598452568,51218720
1598452569,51218721
1598452570,51218722
1598452571,51218723
1598452572,51218729
1598452573,51218729
1598452574,51218731
1598452575,51218732
1598452576,51218733
1598452577,51218735
1598452578,51218741
1598452579,51218741
1598452580,51218741
1598452581,51218743
1598452582,51218744
1598452583,51218746
1598452584,51218747
1598452585,51218753
1598452586,51218753
1598452587,51218755
1598452588,51218756
1598452589,51218757
1598452590,51218758
1598452591,51218759
1598452592,51218765
1598452593,51218765
1598452594,51218767
1598452595,51218768
1598452596,51218768
1598452597,51218770
1598452598,51218771
1598452599,51218777
1598452600,51218777
1598452601,51218779
1598452602,51218780
1598452603,51218782
1598452604,51218783
1598452605,51218789
1598452606,51218789
1598452607,51218790
1598452608,51218792
1598452609,51218792
1598452610,51218794
1598452611,51218795
1598452612,51218801
1598452613,51218801
1598452614,51218803
1598452615,51218804
1598452616,51218805
1598452617,51218807
1598452618,51218807
1598452619,51218813
1598452620,51218813
1598452621,51218815
1598452622,51218816
1598452623,51218818
1598452624,51218819
1598452625,51218825
1598452626,51218825
1598452627,51218827
1598452628,51218828
1598452629,51218829
1598452630,51218830
1598452631,51218831
1598452632,51218837
1598452633,51218838
1598452634,51218840
1598452635,51218840
1598452636,51218842
1598452637,51218843
1598452638,51218849
1598452639,51218849
1598452640,51218851
1598452641,51218852
1598452642,51218853
1598452643,51218854
1598452644,51218855
1598452645,51218861
1598452646,51218861
1598452647,51218863
1598452649,51218864
1598452649,51218865
1598452650,51218867
1598452651,51218873
1598452652,51218873
1598452654,51218875
1598452654,51218876
1598452655,51218876
1598452656,51218878
1598452657,51218879
1598452658,51218885
1598452659,51218885
1598452660,51218887
1598452661,51218888
1598452662,51218890
1598452663,51218891
1598452664,51218897
1598452665,51218897
1598452666,51218899
1598452667,51218900
1598452668,51218901
1598452669,51218902
1598452670,51218903
1598452671,51218909
1598452673,51218909
1598452673,51218911
1598452674,51218912
1598452675,51218913
1598452676,51218915
1598452677,51218921
1598452678,51218921
1598452679,51218923
1598452680,51218924
1598452681,51218925
1598452682,51218926
1598452683,51218927
1598452684,51218933
1598452685,51218933
1598452686,51218936
1598452687,51218936
1598452688,51218938
1598452689,51218939
1598452690,51218945
1598452691,51218945
1598452692,51218947
1598452694,51218948
1598452694,51218949
1598452695,51218950
1598452696,51218954
1598452697,51218957
1598452698,51218959
1598452699,51218960
1598452700,51218961
1598452701,51218962
1598452702,51218963
1598452703,51218969
1598452704,51218969
1598452705,51218971
1598452706,51218972
1598452707,51218974
1598452708,51218975
1598452709,51218981
1598452710,51218981
1598452711,51218983
1598452712,51218984
1598452713,51218985
1598452714,51218987
1598452715,51218990
1598452716,51218993
1598452717,51218995
1598452718,51218996
1598452719,51218997
1598452720,51218998
1598452721,51218999
1598452722,51219005
1598452723,51219007
1598452724,51219008
1598452725,51219008
1598452726,51219010
1598452727,51219011
1598452728,51219017
1598452729,51219017
1598452730,51219020
1598452731,51219020
1598452732,51219022
1598452733,51219023
1598452734,51219029
1598452735,51219029
1598452736,51219031
1598452737,51219032
1598452738,51219033
1598452739,51219035
1598452740,51219041
1598452741,51219041
1598452742,51219043
1598452743,51219044
1598452744,51219045
1598452745,51219047
1598452746,51219047
1598452747,51219053
1598452749,51219053
1598452749,51219056
1598452750,51219056
1598452751,51219058
1598452752,51219059
1598452753,51219065
1598452754,51219065
1598452755,51219067
1598452756,51219068
1598452757,51219070
1598452758,51219071
1598452759,51219077
1598452760,51219077
1598452761,51219079
1598452762,51219080
1598452763,51219082
1598452764,51219083
1598452765,51219089
1598452766,51219089
1598452767,51219091
1598452768,51219092
1598452769,51219093
1598452770,51219094
1598452771,51219098
1598452772,51219101
1598452773,51219103
1598452774,51219104
1598452775,51219105
1598452776,51219106
1598452777,51219107
1598452778,51219113
1598452779,51219113
1598452780,51219116
1598452781,51219116
1598452782,51219118
1598452783,51219119
1598452784,51219125
1598452785,51219125
1598452786,51219127
1598452787,51219128
1598452788,51219129
1598452789,51219131
1598452790,51219137
1598452791,51219137
1598452792,51219139
1598452793,51219140
1598452794,51219141
1598452795,51219143
1598452796,51219143
1598452797,51219149
1598452798,51219150
1598452799,51219152
1598452800,51219152
1598452801,51219154
1598452802,51219155
1598452803,51219161
1598452804,51219161
1598452805,51219164
1598452806,51219164
1598452807,51219166
1598452808,51219167
1598452809,51219173
1598452810,51219173
1598452811,51219175
1598452812,51219176
1598452813,51219177
1598452814,51219179
1598452815,51219185
1598452816,51219185
1598452817,51219187
1598452818,51219188
1598452819,51219189
1598452820,51219190
1598452821,51219191
1598452822,51219197
1598452823,51219198
1598452824,51219200
1598452825,51219200
1598452826,51219202
1598452827,51219203
1598452828,51219209
1598452829,51219209
1598452830,51219211
