t,count
1598452398,0
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,0
1598452405,0
1598452406,0
1598452407,0
1598452408,0
1598452409,0
1598452410,0
1598452411,0
1598452412,0
1598452413,0
1598452414,0
1598452415,0
1598452416,0
1598452417,0
1598452418,0
1598452419,0
1598452420,0
1598452421,0
1598452422,0
1598452423,0
1598452424,0
1598452425,0
1598452426,0
1598452428,0
1598452428,0
1598452429,0
1598452430,0
1598452433,0
1598452433,0
1598452433,0
1598452435,0
1598452435,0
1598452439,0
1598452439,0
1598452439,0
1598452439,0
1598452440,0
1598452441,0
1598452442,0
1598452443,0
1598452444,0
1598452449,0
1598452449,0
1598452449,0
1598452449,0
1598452449,0
1598452450,0
1598452451,0
1598452452,0
1598452453,0
1598452454,0
1598452455,0
1598452456,0
1598452457,0
1598452459,0
1598452459,0
1598452460,0
1598452461,0
1598452462,0
1598452463,0
1598452464,0
1598452465,0
1598452466,0
1598452467,0
1598452468,0
1598452469,0
1598452470,0
1598452471,0
1598452472,18344445
1598452473,37696806
1598452474,46650995
1598452475,64053063
1598452476,64053063
1598452477,64053063
1598452478,89467668
1598452479,121220743
1598452480,128713749
1598452481,128713749
1598452483,128713749
1598452483,141605392
1598452484,158401288
1598452485,158401288
1598452486,174381856
1598452487,174381856
1598452488,174381856
1598452489,212390741
1598452491,212390741
1598452492,212390741
1598452492,212390741
1598452493,212390741
1598452494,243064022
1598452495,259485677
1598452496,296026265
1598452498,296026265
1598452498,296026265
1598452499,296026265
1598452500,296026265
1598452501,314363125
1598452502,346451843
1598452503,346451843
1598452504,377514759
1598452505,377514759
1598452506,377514759
1598452507,377514759
1598452508,390894374
1598452509,425019852
1598452510,459233093
1598452511,459233093
1598452512,459233093
1598452513,459233093
1598452514,459233093
1598452515,516502151
1598452516,532083648
1598452517,563450322
1598452518,563450322
1598452520,563450322
1598452520,563450322
1598452521,563450322
1598452522,592843056
1598452523,608875964
1598452524,641350037
1598452525,641350037
1598452526,641350037
1598452527,641350037
1598452528,641350037
1598452529,671459667
1598452530,686990443
1598452531,718404611
1598452532,718404611
1598452533,718404611
1598452534,718404611
1598452535,731765130
1598452536,749011158
1598452537,764938791
1598452538,797672572
1598452539,797672572
1598452540,797672572
1598452541,797672572
1598452542,826690767
1598452543,841924776
1598452544,871832847
1598452545,871832847
1598452546,871832847
1598452547,871832847
1598452548,871832847
1598452549,901136060
1598452550,916627324
1598452551,946518993
1598452553,946518993
1598452553,946518993
1598452554,946518993
1598452555,959465188
1598452556,975926734
1598452557,991052583
1598452558,1021985323
1598452559,1021985323
1598452560,1021985323
1598452561,1021985323
1598452562,1034685565
1598452563,1050952949
1598452564,1066177490
1598452565,1098818720
1598452566,1098818720
1598452567,1098818720
1598452568,1098818720
1598452569,1111754749
1598452570,1128036443
1598452571,1146001642
1598452572,1179023477
1598452573,1179023477
1598452574,1179023477
1598452575,1179023477
1598452576,1191653386
1598452577,1223702634
1598452578,1253460081
1598452579,1253460081
1598452580,1253460081
1598452581,1253460081
1598452582,1253460081
1598452583,1282534499
1598452584,1297636378
1598452585,1326478654
1598452586,1326478654
1598452587,1326478654
1598452588,1326478654
1598452589,1339100989
1598452590,1355369456
1598452591,1370678865
1598452592,1401752269
1598452593,1401752269
1598452594,1401752269
1598452595,1401752269
1598452596,1401752269
1598452597,1430825814
1598452598,1445958766
1598452599,1480281121
1598452600,1480281121
1598452601,1480281121
1598452602,1480281121
1598452603,1510451281
1598452604,1525637633
1598452605,1554046275
1598452606,1554046275
1598452607,1554046275
1598452608,1554046275
1598452609,1554046275
1598452610,1583272993
1598452611,1600248484
1598452612,1625898003
1598452613,1625898003
1598452614,1625898003
1598452615,1625898003
1598452616,1638481070
1598452617,1669709505
1598452618,1669709505
1598452619,1693519249
1598452620,1693519249
1598452621,1693519249
1598452622,1693519249
1598452623,1722372140
1598452624,1737587320
1598452625,1761473053
1598452626,1761473053
1598452627,1761473053
1598452628,1761473053
1598452629,1774282893
1598452630,1790622676
1598452631,1805679864
1598452632,1825025212
1598452633,1825025212
1598452634,1825025212
1598452635,1825025212
1598452636,1854698926
1598452637,1869883969
1598452638,1888384165
1598452639,1888384165
1598452640,1888384165
1598452641,1888384165
1598452642,1900905911
1598452643,1919356371
1598452644,1934632104
1598452645,1954012530
1598452646,1954012530
1598452647,1954012530
1598452649,1954012530
1598452649,1966773576
1598452650,1998244137
1598452651,2016527076
1598452652,2016527076
1598452654,2016527076
1598452654,2016527076
1598452655,2016527076
1598452656,2046067160
1598452657,2061421815
1598452658,2078200457
1598452659,2078200457
1598452660,2078200457
1598452661,2078200457
1598452662,2107129232
1598452663,2122190875
1598452664,2138697986
1598452665,2138697986
1598452666,2138697986
1598452667,2138697986
1598452668,2151661400
1598452669,2171377310
1598452670,2186490645
1598452671,2202317724
1598452673,2202317724
1598452673,2202317724
1598452674,2202317724
1598452675,2215102792
1598452676,2250229346
1598452677,2265110158
1598452678,2265110158
1598452679,2265110158
1598452680,2265110158
1598452681,2278265019
1598452682,2294949227
1598452683,2310219114
1598452684,2324838203
1598452685,2324838203
1598452686,2324838203
1598452687,2324838203
1598452688,2355490713
1598452689,2370553474
1598452690,2383453168
1598452691,2383453168
1598452692,2383453168
1598452694,2383453168
1598452694,2398664775
1598452695,2414795807
1598452696,2436092215
1598452697,2443368388
1598452698,2443368388
1598452699,2443368388
1598452700,2456085721
1598452701,2472758023
1598452702,2487800080
1598452703,2500851107
1598452704,2500851107
1598452705,2500851107
1598452706,2500851107
1598452707,2530060610
1598452708,2545180011
1598452709,2555335101
1598452710,2555335101
1598452711,2555335101
1598452712,2555335101
1598452713,2568034130
1598452714,2600764413
1598452715,2605454521
1598452716,2610121714
1598452717,2610121714
1598452718,2610121714
1598452719,2622760873
1598452720,2639148287
1598452721,2654164842
1598452722,2664062697
1598452723,2664062697
1598452724,2664062697
1598452725,2664062697
1598452726,2693423514
1598452727,2708486632
1598452728,2716907598
1598452729,2716907598
1598452730,2716907598
1598452731,2716907598
1598452732,2745898506
1598452733,2760981741
1598452734,2770492562
1598452735,2770492562
1598452736,2770492562
1598452737,2770492562
1598452738,2783186108
1598452739,2814533108
1598452740,2823111449
1598452741,2823111449
1598452742,2823111449
1598452743,2823111449
1598452744,2835665021
1598452745,2868956277
1598452746,2868956277
1598452747,2878280289
1598452749,2878280289
1598452749,2878280289
1598452750,2878280289
1598452751,2907835857
1598452752,2922853524
1598452753,2932560426
1598452754,2932560426
1598452755,2932560426
1598452756,2932560426
1598452757,2964640034
1598452758,2979804357
1598452759,2988575776
1598452760,2988575776
1598452761,2988575776
1598452762,2988575776
1598452763,3017540279
1598452764,3032628019
1598452765,3040724819
1598452766,3040724819
1598452767,3040724819
1598452768,3040724819
1598452769,3053433563
1598452770,3069707798
1598452771,3088964350
1598452772,3093209650
1598452773,3093209650
1598452774,3093209650
1598452775,3106002032
1598452776,3122343566
1598452777,3137485355
1598452778,3146419515
1598452779,3146419515
1598452780,3146419515
1598452781,3146419515
1598452782,3176159902
1598452783,3191134020
1598452784,3199920745
1598452785,3199920745
1598452786,3199920745
1598452787,3199920745
1598452788,3212557367
1598452789,3246289271
1598452790,3256088883
1598452791,3256088883
1598452792,3256088883
1598452793,3256088883
1598452794,3268554372
1598452795,3299476166
1598452796,3299476166
1598452797,3308555065
1598452798,3308555065
1598452799,3308555065
1598452800,3308555065
1598452801,3337922378
1598452802,3353091626
1598452803,3361949018
1598452804,3361949018
1598452805,3361949018
1598452806,3361949018
1598452807,3390654573
1598452808,3405728904
1598452809,3413825808
1598452810,3413825808
1598452811,3413825808
1598452812,3413825808
1598452813,3427399262
1598452814,3458802333
