t,value
1598452398,0
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,2
1598452405,2
1598452406,2
1598452407,2
1598452408,2
1598452409,2
1598452410,2
1598452411,2
1598452412,2
1598452413,2
1598452414,2
1598452415,2
1598452416,2
1598452417,2
1598452418,2
1598452419,1
1598452420,1
1598452421,1
1598452422,0
1598452423,0
1598452424,0
1598452425,0
1598452426,2
1598452428,2
1598452428,2
1598452429,2
1598452430,2
1598452433,2
1598452433,2
1598452433,2
1598452435,2
1598452435,2
1598452439,2
1598452439,2
1598452439,2
1598452439,2
1598452440,2
1598452441,2
1598452442,2
1598452443,2
1598452444,2
1598452449,2
1598452449,2
1598452449,2
1598452449,2
1598452449,2
1598452450,1
1598452451,1
1598452452,1
1598452453,1
1598452454,1
1598452455,1
1598452456,1
1598452457,1
1598452459,1
1598452459,1
1598452460,1
1598452461,0
1598452462,0
1598452463,0
1598452464,0
1598452465,0
1598452466,0
1598452467,0
1598452468,0
1598452469,2
1598452470,2
1598452471,2
1598452472,2
1598452473,2
1598452474,2
1598452475,0
1598452476,0
1598452477,2
1598452478,2
1598452479,1
1598452480,2
1598452481,2
1598452483,2
1598452483,2
1598452484,1
1598452485,1
1598452486,0
1598452487,0
1598452488,2
1598452489,0
1598452491,2
1598452492,1
1598452492,0
1598452493,2
1598452494,1
1598452495,0
1598452496,0
1598452498,2
1598452498,1
1598452499,0
1598452500,2
1598452501,2
1598452502,0
1598452503,2
1598452504,0
1598452505,2
1598452506,1
1598452507,2
1598452508,2
1598452509,0
1598452510,0
1598452511,0
1598452512,2
1598452513,0
1598452514,2
1598452515,1
1598452516,0
1598452517,0
1598452518,2
1598452520,2
1598452520,1
1598452521,2
1598452522,1
1598452523,0
1598452524,0
1598452525,2
1598452526,1
1598452527,2
1598452528,2
1598452529,1
1598452530,2
1598452531,0
1598452532,2
1598452533,1
1598452534,2
1598452535,2
1598452536,1
1598452537,2
1598452538,0
1598452539,2
1598452540,1
1598452541,2
1598452542,1
1598452543,0
1598452544,0
1598452545,2
1598452546,2
1598452547,0
1598452548,2
1598452549,1
1598452550,0
1598452551,0
1598452553,2
1598452553,1
1598452554,2
1598452555,2
1598452556,1
1598452557,2
1598452558,0
1598452559,2
1598452560,1
1598452561,2
1598452562,2
1598452563,1
1598452564,2
1598452565,0
1598452566,2
1598452567,1
1598452568,2
1598452569,2
1598452570,1
1598452571,2
1598452572,0
1598452573,2
1598452574,1
1598452575,2
1598452576,2
1598452577,0
1598452578,0
1598452579,2
1598452580,2
1598452581,1
1598452582,2
1598452583,1
1598452584,0
1598452585,0
1598452586,2
1598452587,1
1598452588,2
1598452589,2
1598452590,1
1598452591,0
1598452592,0
1598452593,2
1598452594,1
1598452595,2
1598452596,2
1598452597,1
1598452598,2
1598452599,0
1598452600,2
1598452601,1
1598452602,2
1598452603,1
1598452604,0
1598452605,0
1598452606,2
1598452607,2
1598452608,0
1598452609,2
1598452610,1
1598452611,2
1598452612,0
1598452613,2
1598452614,1
1598452615,2
1598452616,2
1598452617,0
1598452618,2
1598452619,0
1598452620,2
1598452621,1
1598452622,2
1598452623,1
1598452624,0
1598452625,0
1598452626,2
1598452627,1
1598452628,2
1598452629,2
1598452630,1
1598452631,2
1598452632,0
1598452633,2
1598452634,0
1598452635,2
1598452636,1
1598452637,0
1598452638,0
1598452639,2
1598452640,1
1598452641,2
1598452642,2
1598452643,1
1598452644,2
1598452645,0
1598452646,2
1598452647,1
1598452649,2
1598452649,2
1598452650,0
1598452651,0
1598452652,2
1598452654,1
1598452654,2
1598452655,2
1598452656,1
1598452657,2
1598452658,0
1598452659,2
1598452660,1
1598452661,2
1598452662,1
1598452663,0
1598452664,0
1598452665,2
1598452666,1
1598452667,2
1598452668,2
1598452669,1
1598452670,2
1598452671,0
1598452673,2
1598452673,1
1598452674,2
1598452675,2
1598452676,0
1598452677,0
1598452678,2
1598452679,1
1598452680,2
1598452681,2
1598452682,1
1598452683,2
1598452684,0
1598452685,2
1598452686,0
1598452687,2
1598452688,1
1598452689,0
1598452690,0
1598452691,2
1598452692,1
1598452694,2
1598452694,2
1598452695,1
1598452696,1
1598452697,2
1598452698,1
1598452699,2
1598452700,2
1598452701,1
1598452702,2
1598452703,0
1598452704,2
1598452705,1
1598452706,2
1598452707,1
1598452708,0
1598452709,0
1598452710,2
1598452711,1
1598452712,2
1598452713,2
1598452714,0
1598452715,1
1598452716,2
1598452717,1
1598452718,2
1598452719,2
1598452720,1
1598452721,2
1598452722,0
1598452723,1
1598452724,0
1598452725,2
1598452726,1
1598452727,2
1598452728,0
1598452729,2
1598452730,0
1598452731,2
1598452732,1
1598452733,0
1598452734,0
1598452735,2
1598452736,1
1598452737,2
1598452738,2
1598452739,0
1598452740,0
1598452741,2
1598452742,1
1598452743,2
1598452744,2
1598452745,0
1598452746,2
1598452747,0
1598452749,2
1598452749,2
1598452750,2
1598452751,1
1598452752,2
1598452753,0
1598452754,2
1598452755,1
1598452756,2
1598452757,1
1598452758,0
1598452759,0
1598452760,2
1598452761,1
1598452762,2
1598452763,1
1598452764,0
1598452765,0
1598452766,2
1598452767,1
1598452768,2
1598452769,2
1598452770,1
1598452771,1
1598452772,2
1598452773,1
1598452774,2
1598452775,2
1598452776,1
1598452777,2
1598452778,0
1598452779,2
1598452780,0
1598452781,2
1598452782,1
1598452783,0
1598452784,0
1598452785,2
1598452786,1
1598452787,2
1598452788,2
1598452789,0
1598452790,0
1598452791,2
1598452792,1
1598452793,2
1598452794,2
1598452795,0
1598452796,2
1598452797,0
1598452798,2
1598452799,2
1598452800,2
1598452801,1
1598452802,2
1598452803,0
1598452804,2
1598452805,0
1598452806,2
1598452807,1
1598452808,0
1598452809,0
1598452810,2
1598452811,1
1598452812,2
1598452813,2
1598452814,0
1598452815,0
1598452816,2
1598452817,1
1598452818,2
1598452819,2
1598452820,1
1598452821,2
1598452822,0
1598452823,2
1598452824,2
1598452825,2
1598452826,1
1598452827,2
1598452828,0
1598452829,2
1598452830,1
1598452831,2
1598452832,1
1598452833,0
1598452834,0
1598452835,2
1598452836,1
1598452837,2
1598452838,2
1598452839,0
1598452840,0
1598452841,2
1598452842,1
1598452843,2
1598452844,2
1598452845,1
1598452846,2
1598452847,0
1598452848,2
1598452849,1
1598452850,2
1598452851,1
1598452852,0
1598452853,0
1598452854,2
1598452855,1
1598452857,2
1598452857,2
1598452858,0
1598452859,0
1598452860,2
1598452861,1
1598452862,2
1598452863,2
1598452864,0
1598452865,2
1598452866,0
1598452867,1
1598452868,2
1598452869,2
1598452870,1
1598452871,0
1598452872,0
1598452873,2
1598452874,1
1598452875,2
1598452876,1
1598452877,0
1598452878,0
1598452879,2
1598452880,1
1598452881,2
1598452882,2
1598452883,1
1598452884,2
1598452885,0
1598452886,1
1598452887,2
1598452888,2
1598452889,1
1598452890,2
1598452891,0
1598452892,2
1598452893,1
1598452894,2
1598452895,1
1598452896,0
1598452897,0
1598452898,2
1598452899,1
1598452901,2
1598452901,2
1598452902,1
1598452903,0
1598452904,0
1598452905,2
1598452906,2
1598452907,2
1598452908,1
1598452909,2
1598452910,0
1598452911,2
1598452912,1
1598452913,2
1598452914,1
1598452915,0
1598452916,0
1598452917,2
1598452918,1
1598452919,2
1598452920,2
1598452921,0
1598452922,0
1598452923,2
1598452924,1
1598452925,2
1598452926,2
1598452927,1
1598452928,2
1598452929,0
1598452930,2
1598452931,0
1598452932,2
1598452933,1
1598452934,0
1598452935,0
1598452936,2
1598452937,1
1598452938,2
1598452939,2
1598452940,0
1598452941,0
1598452942,2
1598452943,1
1598452945,2
1598452945,2
1598452946,0
1598452947,2
1598452948,2
1598452950,1
