t,value
1598452398,7471104
1598452399,7667712
1598452400,7733248
1598452401,7798784
1598452402,7864320
1598452403,7995392
1598452404,8060928
1598452405,9502720
1598452406,9568256
1598452407,9764864
1598452408,10616832
1598452409,13500416
1598452410,14745600
1598452411,14745600
1598452412,14942208
1598452413,15073280
1598452414,15204352
1598452415,15204352
1598452416,15204352
1598452417,15269888
1598452418,15663104
1598452419,15728640
1598452420,15728640
1598452421,15794176
1598452422,15794176
1598452423,15859712
1598452424,15859712
1598452425,15859712
1598452426,16580608
1598452428,16580608
1598452428,16580608
1598452429,16580608
1598452430,16580608
1598452433,16580608
1598452433,16580608
1598452433,16580608
1598452435,16580608
1598452435,16580608
1598452439,16580608
1598452439,16580608
1598452439,16580608
1598452439,16580608
1598452440,16580608
1598452441,16580608
1598452442,16580608
1598452443,16777216
1598452444,16777216
1598452449,16777216
1598452449,16777216
1598452449,16777216
1598452449,16777216
1598452449,16973824
1598452450,16973824
1598452451,16973824
1598452452,16973824
1598452453,16973824
1598452454,16973824
1598452455,16973824
1598452456,16973824
1598452457,16973824
1598452459,16973824
1598452459,16973824
1598452460,16973824
1598452461,16973824
1598452462,16973824
1598452463,16973824
1598452464,16973824
1598452465,16973824
1598452466,16973824
1598452467,16973824
1598452468,16973824
1598452469,16973824
1598452470,16973824
1598452471,16973824
1598452472,18153472
1598452473,18350080
1598452474,18350080
1598452475,18546688
1598452476,18546688
1598452477,18808832
1598452478,19726336
1598452479,20185088
1598452480,20381696
1598452481,20512768
1598452483,20643840
1598452483,20971520
1598452484,20971520
1598452485,20971520
1598452486,21037056
1598452487,21037056
1598452488,21364736
1598452489,21364736
1598452491,21692416
1598452492,21757952
1598452492,21757952
1598452493,21889024
1598452494,21889024
1598452495,21954560
1598452496,22347776
1598452498,22347776
1598452498,22544384
1598452499,22609920
1598452500,22675456
1598452501,22806528
1598452502,22806528
1598452503,22872064
1598452504,22872064
1598452505,22872064
1598452506,22937600
1598452507,22937600
1598452508,22937600
1598452509,22937600
1598452510,23003136
1598452511,23003136
1598452512,23068672
1598452513,23134208
1598452514,23134208
1598452515,23265280
1598452516,23265280
1598452517,23396352
1598452518,23396352
1598452520,23658496
1598452520,23724032
1598452521,23789568
1598452522,23789568
1598452523,23855104
1598452524,24051712
1598452525,24051712
1598452526,24051712
1598452527,24117248
1598452528,24117248
1598452529,24117248
1598452530,24182784
1598452531,24248320
1598452532,24379392
1598452533,24444928
1598452534,24510464
1598452535,24576000
1598452536,24641536
1598452537,24707072
1598452538,24707072
1598452539,24838144
1598452540,24838144
1598452541,24838144
1598452542,24838144
1598452543,24838144
1598452544,24838144
1598452545,24838144
1598452546,24838144
1598452547,24838144
1598452548,24838144
1598452549,24838144
1598452550,24838144
1598452551,24838144
1598452553,24969216
1598452553,25034752
1598452554,25034752
1598452555,25034752
1598452556,25886720
1598452557,25952256
1598452558,26017792
1598452559,26017792
1598452560,26017792
1598452561,26017792
1598452562,26148864
1598452563,26148864
1598452564,26214400
1598452565,26279936
1598452566,26345472
1598452567,26411008
1598452568,26411008
1598452569,26476544
1598452570,26476544
1598452571,26542080
1598452572,26542080
1598452573,26607616
1598452574,26607616
1598452575,26673152
1598452576,26673152
1598452577,26673152
1598452578,26738688
1598452579,26804224
1598452580,26869760
1598452581,26869760
1598452582,26935296
1598452583,26935296
1598452584,26935296
1598452585,26935296
1598452586,27066368
1598452587,27066368
1598452588,27066368
1598452589,27066368
1598452590,27066368
1598452591,27131904
1598452592,27131904
1598452593,27197440
1598452594,27262976
1598452595,27262976
1598452596,27262976
1598452597,27262976
1598452598,27394048
1598452599,27394048
1598452600,27394048
1598452601,27459584
1598452602,27459584
1598452603,27459584
1598452604,27459584
1598452605,27590656
1598452606,27590656
1598452607,27656192
1598452608,27656192
1598452609,27721728
1598452610,27721728
1598452611,27721728
1598452612,27852800
1598452613,27852800
1598452614,27852800
1598452615,27983872
1598452616,27983872
1598452617,27983872
1598452618,27983872
1598452619,27983872
1598452620,27983872
1598452621,28049408
1598452622,28049408
1598452623,28049408
1598452624,28049408
1598452625,28246016
1598452626,28246016
1598452627,28246016
1598452628,28246016
1598452629,28246016
1598452630,28246016
1598452631,28311552
1598452632,28311552
1598452633,28311552
1598452634,28311552
1598452635,28311552
1598452636,28311552
1598452637,28311552
1598452638,28377088
1598452639,28377088
1598452640,28377088
1598452641,28442624
1598452642,28442624
1598452643,28442624
1598452644,28442624
1598452645,28508160
1598452646,28508160
1598452647,28508160
1598452649,28508160
1598452649,28508160
1598452650,28508160
1598452651,28508160
1598452652,28508160
1598452654,28508160
1598452654,28573696
1598452655,28573696
1598452656,28573696
1598452657,28573696
1598452658,28573696
1598452659,28639232
1598452660,28639232
1598452661,28639232
1598452662,28770304
1598452663,28770304
1598452664,28835840
1598452665,28901376
1598452666,28901376
1598452667,28901376
1598452668,28901376
1598452669,28901376
1598452670,28966912
1598452671,28966912
1598452673,29032448
1598452673,29032448
1598452674,29097984
1598452675,29097984
1598452676,29097984
1598452677,29097984
1598452678,29163520
1598452679,29163520
1598452680,29229056
1598452681,29360128
1598452682,29360128
1598452683,29360128
1598452684,29360128
1598452685,29425664
1598452686,29425664
1598452687,29425664
1598452688,29425664
1598452689,29425664
1598452690,29491200
1598452691,29491200
1598452692,29491200
1598452694,29556736
1598452694,29556736
1598452695,29556736
1598452696,29556736
1598452697,29556736
1598452698,29556736
1598452699,29556736
1598452700,29556736
1598452701,29622272
1598452702,29622272
1598452703,29687808
1598452704,29687808
1598452705,29687808
1598452706,29687808
1598452707,29687808
1598452708,29687808
1598452709,29753344
1598452710,29753344
1598452711,29753344
1598452712,29753344
1598452713,29753344
1598452714,29753344
1598452715,29753344
1598452716,29753344
1598452717,29818880
1598452718,29818880
1598452719,29818880
1598452720,29818880
1598452721,29818880
1598452722,29818880
1598452723,29818880
1598452724,29818880
1598452725,30015488
1598452726,30015488
1598452727,30015488
1598452728,30015488
1598452729,30015488
1598452730,30015488
1598452731,30015488
1598452732,30015488
1598452733,30015488
1598452734,30081024
1598452735,30081024
1598452736,30081024
1598452737,30146560
1598452738,30146560
1598452739,30146560
1598452740,30146560
1598452741,30146560
1598452742,30146560
1598452743,30146560
1598452744,30146560
1598452745,30146560
1598452746,30277632
1598452747,30277632
1598452749,30277632
1598452749,30343168
1598452750,30343168
1598452751,30343168
1598452752,30343168
1598452753,30408704
1598452754,30408704
1598452755,30408704
1598452756,30408704
1598452757,30408704
1598452758,30408704
1598452759,30408704
1598452760,30408704
1598452761,30408704
1598452762,30408704
1598452763,30408704
1598452764,30408704
1598452765,30408704
1598452766,30408704
1598452767,30408704
1598452768,30474240
1598452769,30474240
1598452770,30474240
1598452771,30474240
1598452772,30474240
1598452773,30474240
1598452774,30474240
1598452775,30474240
1598452776,30474240
1598452777,30474240
1598452778,30474240
1598452779,30474240
1598452780,30474240
1598452781,30539776
1598452782,30539776
1598452783,30539776
1598452784,30605312
1598452785,30605312
1598452786,30605312
1598452787,30670848
1598452788,30670848
1598452789,30670848
1598452790,30670848
1598452791,30670848
1598452792,30670848
1598452793,30670848
1598452794,30670848
1598452795,30670848
1598452796,30670848
1598452797,30670848
1598452798,30736384
1598452799,30736384
1598452800,30736384
1598452801,30736384
1598452802,30736384
1598452803,30801920
1598452804,30801920
1598452805,30801920
1598452806,30801920
1598452807,30801920
1598452808,30801920
1598452809,30801920
1598452810,30801920
1598452811,30801920
1598452812,30801920
1598452813,30932992
1598452814,30932992
1598452815,30932992
1598452816,30932992
1598452817,30932992
1598452818,30932992
1598452819,30932992
1598452820,30932992
1598452821,30932992
1598452822,30932992
1598452823,30932992
1598452824,30932992
1598452825,30932992
1598452826,30932992
1598452827,30932992
1598452828,30932992
1598452829,30932992
1598452830,30932992
1598452831,30932992
1598452832,30932992
1598452833,30932992
1598452834,30932992
1598452835,30998528
1598452836,30998528
1598452837,30998528
1598452838,30998528
1598452839,30998528
1598452840,31064064
1598452841,31064064
1598452842,31064064
1598452843,31064064
1598452844,31064064
1598452845,31064064
1598452846,31064064
1598452847,31064064
1598452848,31064064
1598452849,31064064
1598452850,31064064
1598452851,31064064
1598452852,31064064
1598452853,31064064
1598452854,31064064
1598452855,31064064
1598452857,31195136
1598452857,31195136
1598452858,31195136
1598452859,31195136
1598452860,31195136
1598452861,31195136
1598452862,31195136
1598452863,31195136
1598452864,31195136
1598452865,31195136
1598452866,31195136
1598452867,31195136
1598452868,31195136
1598452869,31195136
1598452870,31195136
1598452871,31195136
1598452872,31195136
1598452873,31195136
1598452874,31195136
1598452875,31260672
1598452876,31260672
1598452877,31260672
1598452878,31260672
1598452879,31260672
1598452880,31260672
1598452881,31260672
1598452882,31260672
1598452883,31260672
1598452884,31260672
1598452885,31260672
1598452886,31850496
1598452887,31850496
1598452888,31850496
1598452889,31850496
1598452890,31850496
1598452891,31850496
1598452892,31916032
1598452893,31916032
1598452894,31916032
1598452895,31916032
1598452896,31916032
1598452897,31916032
1598452898,31916032
1598452899,31916032
1598452901,31916032
1598452901,31916032
1598452902,31916032
1598452903,31916032
1598452904,31916032
1598452905,31916032
1598452906,31916032
1598452907,31916032
1598452908,31916032
1598452909,31916032
1598452910,31916032
1598452911,31981568
1598452912,31981568
1598452913,32047104
1598452914,32047104
1598452915,32047104
1598452916,32047104
1598452917,32047104
1598452918,32047104
1598452919,32047104
1598452920,32047104
1598452921,32047104
1598452922,32047104
1598452923,32047104
1598452924,32047104
1598452925,32047104
1598452926,32047104
1598452927,32047104
1598452928,32047104
1598452929,32047104
1598452930,32047104
1598452931,32047104
1598452932,32047104
1598452933,32047104
1598452934,32047104
1598452935,32047104
1598452936,32112640
1598452937,32112640
1598452938,32178176
1598452939,32178176
1598452940,32178176
1598452941,32178176
1598452942,32178176
1598452943,32178176
1598452945,32178176
1598452945,32178176
1598452946,32178176
1598452947,32178176
1598452948,32178176
1598452950,32178176
1598452950,32243712
1598452951,32243712
1598452952,32243712
1598452953,32309248
1598452954,32309248
1598452955,32309248
1598452956,32309248
1598452957,32309248
1598452958,32309248
1598452959,32309248
1598452960,32440320
1598452961,32505856
1598452962,32505856
1598452964,32505856
1598452964,32505856
1598452965,32571392
1598452966,32636928
1598452967,32636928
1598452968,32636928
1598452969,32636928
1598452970,32636928
1598452971,32636928
1598452972,32636928
1598452973,32636928
1598452974,32636928
1598452975,32636928
1598452976,32636928
1598452977,32636928
1598452978,32702464
1598452979,32702464
1598452980,32702464
1598452981,32702464
1598452982,32702464
1598452983,32702464
1598452984,32702464
1598452985,32702464
1598452986,32702464
1598452987,32833536
1598452989,32833536
1598452989,32833536
1598452990,32833536
1598452991,32899072
1598452992,32899072
1598452993,32899072
1598452994,32899072
1598452995,32899072
1598452996,32899072
1598452997,32899072
1598452998,32964608
1598452999,33030144
1598453000,33030144
1598453001,33030144
1598453002,33030144
1598453003,33030144
1598453004,33030144
1598453005,33030144
1598453006,33030144
1598453008,33030144
1598453009,33030144
1598453009,33030144
