t,value
1598452398,1073741824
1598452399,1073741824
1598452400,1073741824
1598452401,1073741824
1598452402,1073741824
1598452403,1073741824
1598452404,1073741824
1598452405,1073741824
1598452406,1073741824
1598452407,1073741824
1598452408,1073741824
1598452409,1073741824
1598452410,1073741824
1598452411,1073741824
1598452412,1073741824
1598452413,1073741824
1598452414,1073741824
1598452415,1073741824
1598452416,1073741824
1598452417,1073741824
1598452418,1073741824
1598452419,1073741824
1598452420,1073741824
1598452421,1073741824
1598452422,1073741824
1598452423,1073741824
1598452424,1073741824
1598452425,1073741824
1598452426,1073741824
1598452428,1073741824
1598452428,1073741824
1598452429,1073741824
1598452430,1073741824
1598452433,1073741824
1598452433,1073741824
1598452433,1073741824
1598452435,1073741824
1598452435,1073741824
1598452439,1073741824
1598452439,1073741824
1598452439,1073741824
1598452439,1073741824
1598452440,1073741824
1598452441,1073741824
1598452442,1073741824
1598452443,1073741824
1598452444,1073741824
1598452449,1073741824
1598452449,1073741824
1598452449,1073741824
1598452449,1073741824
1598452449,1073741824
1598452450,1073741824
1598452451,1073741824
1598452452,1073741824
1598452453,1073741824
1598452454,1073741824
1598452455,1073741824
1598452456,1073741824
1598452457,1073741824
1598452459,1073741824
1598452459,1073741824
1598452460,1073741824
1598452461,1073741824
1598452462,1073741824
1598452463,1073741824
1598452464,1073741824
1598452465,1073741824
1598452466,1073741824
1598452467,1073741824
1598452468,1073741824
1598452469,1073741824
1598452470,1073741824
1598452471,1073741824
1598452472,1073741824
1598452473,1073741824
1598452474,1073741824
1598452475,1073741824
1598452476,1073741824
1598452477,1073741824
1598452478,1073741824
1598452479,1073741824
1598452480,1073741824
1598452481,1073741824
1598452483,1073741824
1598452483,1073741824
1598452484,1073741824
1598452485,1073741824
1598452486,1073741824
1598452487,1073741824
1598452488,1073741824
1598452489,1073741824
1598452491,1073741824
1598452492,1073741824
1598452492,1073741824
1598452493,1073741824
1598452494,1073741824
1598452495,1073741824
1598452496,1073741824
1598452498,1073741824
1598452498,1073741824
1598452499,1073741824
1598452500,1073741824
1598452501,1073741824
1598452502,1073741824
1598452503,1073741824
1598452504,1073741824
1598452505,1073741824
1598452506,1073741824
1598452507,1073741824
1598452508,1073741824
1598452509,1073741824
1598452510,1073741824
1598452511,1073741824
1598452512,1073741824
1598452513,1073741824
1598452514,1073741824
1598452515,1073741824
1598452516,1073741824
1598452517,1073741824
1598452518,1073741824
1598452520,1073741824
1598452520,1073741824
1598452521,1073741824
1598452522,1073741824
1598452523,1073741824
1598452524,1073741824
1598452525,1073741824
1598452526,1073741824
1598452527,1073741824
1598452528,1073741824
1598452529,1073741824
1598452530,1073741824
1598452531,1073741824
1598452532,1073741824
1598452533,1073741824
1598452534,1073741824
1598452535,1073741824
1598452536,1073741824
1598452537,1073741824
1598452538,1073741824
1598452539,1073741824
1598452540,1073741824
1598452541,1073741824
1598452542,1073741824
1598452543,1073741824
1598452544,1073741824
1598452545,1073741824
1598452546,1073741824
1598452547,1073741824
1598452548,1073741824
1598452549,1073741824
1598452550,1073741824
1598452551,1073741824
1598452553,1073741824
1598452553,1073741824
1598452554,1073741824
1598452555,1073741824
1598452556,1073741824
1598452557,1073741824
1598452558,1073741824
1598452559,1073741824
1598452560,1073741824
1598452561,1073741824
1598452562,1073741824
1598452563,1073741824
1598452564,1073741824
1598452565,1073741824
1598452566,1073741824
1598452567,1073741824
1598452568,1073741824
1598452569,1073741824
1598452570,1073741824
1598452571,1073741824
1598452572,1073741824
1598452573,1073741824
1598452574,1073741824
1598452575,1073741824
1598452576,1073741824
1598452577,1073741824
1598452578,1073741824
1598452579,1073741824
1598452580,1073741824
1598452581,1073741824
1598452582,1073741824
1598452583,1073741824
1598452584,1073741824
1598452585,1073741824
1598452586,1073741824
1598452587,1073741824
1598452588,1073741824
1598452589,1073741824
1598452590,1073741824
1598452591,1073741824
1598452592,1073741824
1598452593,1073741824
1598452594,1073741824
1598452595,1073741824
1598452596,1073741824
1598452597,1073741824
1598452598,1073741824
1598452599,1073741824
1598452600,1073741824
1598452601,1073741824
1598452602,1073741824
1598452603,1073741824
1598452604,1073741824
1598452605,1073741824
1598452606,1073741824
1598452607,1073741824
1598452608,1073741824
1598452609,1073741824
1598452610,1073741824
1598452611,1073741824
1598452612,1073741824
1598452613,1073741824
1598452614,1073741824
1598452615,1073741824
1598452616,1073741824
1598452617,1073741824
1598452618,1073741824
1598452619,1073741824
1598452620,1073741824
1598452621,1073741824
1598452622,1073741824
1598452623,1073741824
1598452624,1073741824
1598452625,1073741824
1598452626,1073741824
1598452627,1073741824
1598452628,1073741824
1598452629,1073741824
1598452630,1073741824
1598452631,1073741824
1598452632,1073741824
1598452633,1073741824
1598452634,1073741824
1598452635,1073741824
1598452636,1073741824
1598452637,1073741824
1598452638,1073741824
1598452639,1073741824
1598452640,1073741824
1598452641,1073741824
1598452642,1073741824
1598452643,1073741824
1598452644,1073741824
1598452645,1073741824
1598452646,1073741824
1598452647,1073741824
1598452649,1073741824
1598452649,1073741824
1598452650,1073741824
1598452651,1073741824
1598452652,1073741824
1598452654,1073741824
1598452654,1073741824
1598452655,1073741824
1598452656,1073741824
1598452657,1073741824
1598452658,1073741824
1598452659,1073741824
1598452660,1073741824
1598452661,1073741824
1598452662,1073741824
1598452663,1073741824
1598452664,1073741824
1598452665,1073741824
1598452666,1073741824
1598452667,1073741824
1598452668,1073741824
1598452669,1073741824
1598452670,1073741824
1598452671,1073741824
1598452673,1073741824
1598452673,1073741824
1598452674,1073741824
1598452675,1073741824
1598452676,1073741824
1598452677,1073741824
1598452678,1073741824
1598452679,1073741824
1598452680,1073741824
1598452681,1073741824
1598452682,1073741824
1598452683,1073741824
1598452684,1073741824
1598452685,1073741824
1598452686,1073741824
1598452687,1073741824
1598452688,1073741824
1598452689,1073741824
1598452690,1073741824
1598452691,1073741824
1598452692,1073741824
1598452694,1073741824
1598452694,1073741824
1598452695,1073741824
1598452696,1073741824
1598452697,1073741824
1598452698,1073741824
1598452699,1073741824
1598452700,1073741824
1598452701,1073741824
1598452702,1073741824
1598452703,1073741824
1598452704,1073741824
1598452705,1073741824
1598452706,1073741824
1598452707,1073741824
1598452708,1073741824
1598452709,1073741824
1598452710,1073741824
1598452711,1073741824
1598452712,1073741824
1598452713,1073741824
1598452714,1073741824
1598452715,1073741824
1598452716,1073741824
1598452717,1073741824
1598452718,1073741824
1598452719,1073741824
1598452720,1073741824
1598452721,1073741824
1598452722,1073741824
1598452723,1073741824
1598452724,1073741824
1598452725,1073741824
1598452726,1073741824
1598452727,1073741824
1598452728,1073741824
1598452729,1073741824
1598452730,1073741824
1598452731,1073741824
1598452732,1073741824
1598452733,1073741824
1598452734,1073741824
1598452735,1073741824
1598452736,1073741824
1598452737,1073741824
1598452738,1073741824
1598452739,1073741824
1598452740,1073741824
1598452741,1073741824
1598452742,1073741824
1598452743,1073741824
1598452744,1073741824
1598452745,1073741824
1598452746,1073741824
1598452747,1073741824
1598452749,1073741824
1598452749,1073741824
1598452750,1073741824
1598452751,1073741824
1598452752,1073741824
1598452753,1073741824
1598452754,1073741824
1598452755,1073741824
1598452756,1073741824
1598452757,1073741824
1598452758,1073741824
1598452759,1073741824
1598452760,1073741824
1598452761,1073741824
1598452762,1073741824
1598452763,1073741824
1598452764,1073741824
1598452765,1073741824
1598452766,1073741824
1598452767,1073741824
1598452768,1073741824
1598452769,1073741824
1598452770,1073741824
1598452771,1073741824
1598452772,1073741824
1598452773,1073741824
1598452774,1073741824
1598452775,1073741824
1598452776,1073741824
1598452777,1073741824
1598452778,1073741824
1598452779,1073741824
1598452780,1073741824
1598452781,1073741824
1598452782,1073741824
1598452783,1073741824
1598452784,1073741824
1598452785,1073741824
1598452786,1073741824
1598452787,1073741824
1598452788,1073741824
1598452789,1073741824
1598452790,1073741824
1598452791,1073741824
1598452792,1073741824
1598452793,1073741824
1598452794,1073741824
1598452795,1073741824
1598452796,1073741824
1598452797,1073741824
1598452798,1073741824
1598452799,1073741824
1598452800,1073741824
1598452801,1073741824
1598452802,1073741824
1598452803,1073741824
1598452804,1073741824
1598452805,1073741824
1598452806,1073741824
1598452807,1073741824
1598452808,1073741824
1598452809,1073741824
1598452810,1073741824
1598452811,1073741824
1598452812,1073741824
1598452813,1073741824
1598452814,1073741824
1598452815,1073741824
1598452816,1073741824
1598452817,1073741824
1598452818,1073741824
1598452819,1073741824
1598452820,1073741824
1598452821,1073741824
1598452822,1073741824
1598452823,1073741824
1598452824,1073741824
1598452825,1073741824
1598452826,1073741824
1598452827,1073741824
1598452828,1073741824
1598452829,1073741824
1598452830,1073741824
1598452831,1073741824
1598452832,1073741824
1598452833,1073741824
1598452834,1073741824
1598452835,1073741824
1598452836,1073741824
1598452837,1073741824
1598452838,1073741824
1598452839,1073741824
1598452840,1073741824
1598452841,1073741824
1598452842,1073741824
1598452843,1073741824
1598452844,1073741824
1598452845,1073741824
1598452846,1073741824
1598452847,1073741824
1598452848,1073741824
1598452849,1073741824
1598452850,1073741824
1598452851,1073741824
1598452852,1073741824
1598452853,1073741824
1598452854,1073741824
1598452855,1073741824
1598452857,1073741824
1598452857,1073741824
1598452858,1073741824
1598452859,1073741824
1598452860,1073741824
1598452861,1073741824
1598452862,1073741824
1598452863,1073741824
1598452864,1073741824
1598452865,1073741824
1598452866,1073741824
1598452867,1073741824
1598452868,1073741824
1598452869,1073741824
1598452870,1073741824
1598452871,1073741824
1598452872,1073741824
1598452873,1073741824
1598452874,1073741824
1598452875,1073741824
1598452876,1073741824
1598452877,1073741824
1598452878,1073741824
1598452879,1073741824
1598452880,1073741824
1598452881,1073741824
1598452882,1073741824
1598452883,1073741824
1598452884,1073741824
1598452885,1073741824
1598452886,1073741824
1598452887,1073741824
1598452888,1073741824
1598452889,1073741824
1598452890,1073741824
1598452891,1073741824
1598452892,1073741824
1598452893,1073741824
1598452894,1073741824
1598452895,1073741824
1598452896,1073741824
1598452897,1073741824
1598452898,1073741824
1598452899,1073741824
1598452901,1073741824
1598452901,1073741824
1598452902,1073741824
1598452903,1073741824
1598452904,1073741824
1598452905,1073741824
1598452906,1073741824
1598452907,1073741824
1598452908,1073741824
1598452909,1073741824
1598452910,1073741824
1598452911,1073741824
1598452912,1073741824
1598452913,1073741824
1598452914,1073741824
1598452915,1073741824
1598452916,1073741824
1598452917,1073741824
1598452918,1073741824
1598452919,1073741824
1598452920,1073741824
1598452921,1073741824
1598452922,1073741824
1598452923,1073741824
1598452924,1073741824
1598452925,1073741824
1598452926,1073741824
1598452927,1073741824
1598452928,1073741824
1598452929,1073741824
1598452930,1073741824
1598452931,1073741824
1598452932,1073741824
1598452933,1073741824
1598452934,1073741824
1598452935,1073741824
1598452936,1073741824
1598452937,1073741824
1598452938,1073741824
1598452939,1073741824
1598452940,1073741824
1598452941,1073741824
1598452942,1073741824
1598452943,1073741824
1598452945,1073741824
1598452945,1073741824
1598452946,1073741824
1598452947,1073741824
1598452948,1073741824
1598452950,1073741824
1598452950,1073741824
1598452951,1073741824
1598452952,1073741824
1598452953,1073741824
1598452954,1073741824
1598452955,1073741824
1598452956,1073741824
1598452957,1073741824
1598452958,1073741824
1598452959,1073741824
1598452960,1073741824
1598452961,1073741824
1598452962,1073741824
1598452964,1073741824
1598452964,1073741824
1598452965,1073741824
1598452966,1073741824
1598452967,1073741824
1598452968,1073741824
1598452969,1073741824
1598452970,1073741824
1598452971,1073741824
1598452972,1073741824
1598452973,1073741824
1598452974,1073741824
1598452975,1073741824
1598452976,1073741824
1598452977,1073741824
1598452978,1073741824
1598452979,1073741824
1598452980,1073741824
1598452981,1073741824
1598452982,1073741824
1598452983,1073741824
1598452984,1073741824
1598452985,1073741824
1598452986,1073741824
1598452987,1073741824
1598452989,1073741824
1598452989,1073741824
1598452990,1073741824
1598452991,1073741824
1598452992,1073741824
1598452993,1073741824
1598452994,1073741824
1598452995,1073741824
1598452996,1073741824
1598452997,1073741824
1598452998,1073741824
1598452999,1073741824
1598453000,1073741824
1598453001,1073741824
1598453002,1073741824
1598453003,1073741824
1598453004,1073741824
1598453005,1073741824
1598453006,1073741824
1598453008,1073741824
1598453009,1073741824
1598453009,1073741824
1598453010,1073741824
1598453011,1073741824
1598453012,1073741824
1598453013,1073741824
1598453014,1073741824
1598453015,1073741824
1598453016,1073741824
1598453017,1073741824
1598453018,1073741824
1598453019,1073741824
1598453020,1073741824
1598453021,1073741824
1598453022,1073741824
1598453023,1073741824
1598453024,1073741824
1598453025,1073741824
1598453026,1073741824
1598453027,1073741824
1598453028,1073741824
1598453029,1073741824
1598453030,1073741824
1598453031,1073741824
1598453032,1073741824
1598453033,1073741824
1598453034,1073741824
1598453035,1073741824
1598453036,1073741824
1598453037,1073741824
1598453038,1073741824
1598453039,1073741824
1598453040,1073741824
1598453041,1073741824
1598453042,1073741824
1598453043,1073741824
1598453044,1073741824
1598453045,1073741824
1598453046,1073741824
1598453047,1073741824
1598453048,1073741824
1598453049,1073741824
1598453050,1073741824
1598453051,1073741824
1598453052,1073741824
1598453053,1073741824
1598453054,1073741824
1598453055,1073741824
1598453056,1073741824
1598453057,1073741824
1598453058,1073741824
1598453059,1073741824
1598453060,1073741824
1598453061,1073741824
1598453062,1073741824
1598453063,1073741824
1598453064,1073741824
1598453065,1073741824
1598453066,1073741824
1598453067,1073741824
1598453068,1073741824
1598453069,1073741824
1598453070,1073741824
1598453071,1073741824
1598453072,1073741824
1598453073,1073741824
1598453074,1073741824
1598453075,1073741824
1598453076,1073741824
1598453077,1073741824
1598453078,1073741824
1598453079,1073741824
1598453080,1073741824
1598453081,1073741824
1598453082,1073741824
1598453083,1073741824
1598453084,1073741824
1598453085,1073741824
1598453086,1073741824
1598453087,1073741824
1598453088,1073741824
1598453089,1073741824
1598453091,1073741824
1598453091,1073741824
1598453092,1073741824
1598453093,1073741824
1598453094,1073741824
1598453095,1073741824
1598453096,1073741824
1598453097,1073741824
1598453098,1073741824
1598453099,1073741824
