t,value
1598452398,2863661056
1598452399,2863661056
1598452400,2863661056
1598452401,2863661056
1598452402,2863661056
1598452403,2863661056
1598452404,2863661056
1598452405,2863661056
1598452406,2863661056
1598452407,2863661056
1598452408,2863661056
1598452409,2863661056
1598452410,2863661056
1598452411,2863661056
1598452412,2863661056
1598452413,2863661056
1598452414,2863661056
1598452415,2863661056
1598452416,2863661056
1598452417,2863661056
1598452418,2863661056
1598452419,2863661056
1598452420,2863661056
1598452421,2863661056
1598452422,2863661056
1598452423,2863661056
1598452424,2863661056
1598452425,2863661056
1598452426,2863661056
1598452428,2863661056
1598452428,2863661056
1598452429,2863661056
1598452430,2863661056
1598452433,2863661056
1598452433,2863661056
1598452433,2863661056
1598452435,2863661056
1598452435,2863661056
1598452439,2863661056
1598452439,2863661056
1598452439,2863661056
1598452439,2863661056
1598452440,2863661056
1598452441,2863661056
1598452442,2863661056
1598452443,2863661056
1598452444,2863661056
1598452449,2863661056
1598452449,2863661056
1598452449,2863661056
1598452449,2863661056
1598452449,2863661056
1598452450,2863661056
1598452451,2863661056
1598452452,2863661056
1598452453,2863661056
1598452454,2863661056
1598452455,2863661056
1598452456,2863661056
1598452457,2863661056
1598452459,2863661056
1598452459,2863661056
1598452460,2863661056
1598452461,2863661056
1598452462,2863661056
1598452463,2863661056
1598452464,2863661056
1598452465,2863661056
1598452466,2863661056
1598452467,2863661056
1598452468,2863661056
1598452469,2863661056
1598452470,2863661056
1598452471,2863661056
1598452472,2863661056
1598452473,2863661056
1598452474,2863661056
1598452475,2863661056
1598452476,2863661056
1598452477,2863661056
1598452478,2863661056
1598452479,2863661056
1598452480,2863661056
1598452481,2863661056
1598452483,2863661056
1598452483,2863661056
1598452484,2863661056
1598452485,2863661056
1598452486,2863661056
1598452487,2863661056
1598452488,2863661056
1598452489,2863661056
1598452491,2863661056
1598452492,2863661056
1598452492,2863661056
1598452493,2863661056
1598452494,2863661056
1598452495,2863661056
1598452496,2863661056
1598452498,2863661056
1598452498,2863661056
1598452499,2863661056
1598452500,2863661056
1598452501,2863661056
1598452502,2863661056
1598452503,2863661056
1598452504,2863661056
1598452505,2863661056
1598452506,2863661056
1598452507,2863661056
1598452508,2863661056
1598452509,2863661056
1598452510,2863661056
1598452511,2863661056
1598452512,2863661056
1598452513,2863661056
1598452514,2863661056
1598452515,2863661056
1598452516,2863661056
1598452517,2863661056
1598452518,2863661056
1598452520,2863661056
1598452520,2863661056
1598452521,2863661056
1598452522,2863661056
1598452523,2863661056
1598452524,2863661056
1598452525,2863661056
1598452526,2863661056
1598452527,2863661056
1598452528,2863661056
1598452529,2863661056
1598452530,2863661056
1598452531,2863661056
1598452532,2863661056
1598452533,2863661056
1598452534,2863661056
1598452535,2863661056
1598452536,2863661056
1598452537,2863661056
1598452538,2863661056
1598452539,2863661056
1598452540,2863661056
1598452541,2863661056
1598452542,2863661056
1598452543,2863661056
1598452544,2863661056
1598452545,2863661056
1598452546,2863661056
1598452547,2863661056
1598452548,2863661056
1598452549,2863661056
1598452550,2863661056
1598452551,2863661056
1598452553,2863661056
1598452553,2863661056
1598452554,2863661056
1598452555,2863661056
1598452556,2863661056
1598452557,2863661056
1598452558,2863661056
1598452559,2863661056
1598452560,2863661056
1598452561,2863661056
1598452562,2863661056
1598452563,2863661056
1598452564,2863661056
1598452565,2863661056
1598452566,2863661056
1598452567,2863661056
1598452568,2863661056
1598452569,2863661056
1598452570,2863661056
1598452571,2863661056
1598452572,2863661056
1598452573,2863661056
1598452574,2863661056
1598452575,2863661056
1598452576,2863661056
1598452577,2863661056
1598452578,2863661056
1598452579,2863661056
1598452580,2863661056
1598452581,2863661056
1598452582,2863661056
1598452583,2863661056
1598452584,2863661056
1598452585,2863661056
1598452586,2863661056
1598452587,2863661056
1598452588,2863661056
1598452589,2863661056
1598452590,2863661056
1598452591,2863661056
1598452592,2863661056
1598452593,2863661056
1598452594,2863661056
1598452595,2863661056
1598452596,2863661056
1598452597,2863661056
1598452598,2863661056
1598452599,2863661056
1598452600,2863661056
1598452601,2863661056
1598452602,2863661056
