t,value
1598452398,70734160
1598452399,73940672
1598452400,75374120
1598452401,78100432
1598452402,79509528
1598452403,82183616
1598452404,85119016
1598452405,102088504
1598452406,103998472
1598452407,215344768
1598452408,112430920
1598452409,251472448
1598452410,387333448
1598452411,499926224
1598452412,496467712
1598452413,353789464
1598452414,595878424
1598452415,171864520
1598452416,340976384
1598452417,371081240
1598452418,320997648
1598452419,310678160
1598452420,290535520
1598452421,221021632
1598452422,171717104
1598452423,1010845392
1598452424,872320936
1598452425,738994608
1598452426,213002416
1598452427,944851472
1598452428,1273170608
1598452429,514306920
1598452430,1087796936
1598452433,625809640
1598452433,627674032
1598452433,1305947088
1598452435,741808120
1598452435,1108870216
1598452438,863991144
1598452438,875231976
1598452438,904885528
1598452439,1589082464
1598452440,1674530264
1598452441,1709846456
1598452442,1711685064
1598452446,1229106192
1598452446,1230900176
1598452446,1240009752
1598452446,1354752864
1598452447,1752535512
1598452448,1783652272
1598452449,2017582720
1598452450,1649884432
1598452451,1718858320
1598452453,1785797392
1598452453,2081390136
1598452455,582525320
1598452455,601987184
1598452457,703971496
1598452457,1258079944
1598452458,1050834200
1598452459,1027409376
1598452460,1356087840
1598452461,1495405024
1598452462,1514030568
1598452463,1271045536
1598452468,694875048
1598452468,696644136
1598452468,698473736
1598452468,712493600
1598452468,777281640
1598452469,1427082448
1598452470,639628392
1598452471,571154368
1598452472,775416552
1598452473,1641277912
1598452474,1521306016
1598452475,1216984584
1598452476,612057584
1598452477,943886232
1598452478,980464288
1598452479,805279800
1598452480,1138535896
1598452481,690900192
1598452482,1710153200
1598452483,1604477224
1598452484,1930567712
1598452485,751267320
1598452486,986865760
1598452487,1486255576
1598452488,1487722104
1598452489,1932934584
1598452490,2634970568
1598452491,1290431864
1598452492,1836144160
1598452493,889394056
1598452494,1358545064
1598452495,1366097832
1598452496,1329531912
1598452497,1840293768
1598452498,2087028792
1598452499,2088829272
1598452500,2789389304
1598452501,868317368
1598452502,1407925984
1598452503,1612363840
1598452504,1561284744
1598452505,2259465648
1598452506,2722021592
1598452507,1476399784
1598452508,1460556144
1598452509,575152512
1598452510,790253200
1598452511,792105720
1598452512,1542956040
1598452513,2326832424
1598452514,599266056
1598452515,967846960
1598452516,1629666536
1598452517,1649724312
1598452518,1653998136
1598452519,2437265544
1598452520,1306321240
1598452521,2001333456
1598452522,2520871424
1598452523,859157608
1598452524,867143928
1598452525,1094456288
1598452526,2160696392
1598452527,2139824608
1598452528,2587304120
1598452529,972935704
1598452530,996827296
1598452531,862595360
1598452532,1269618512
1598452533,2070308896
1598452534,2126723736
1598452535,2686589160
1598452536,568224144
1598452537,835037832
1598452538,885579808
1598452539,1400904736
1598452540,1880547936
1598452541,2612126280
1598452542,2553504456
1598452543,586981216
1598452544,920501096
1598452545,922392312
1598452546,1430302448
1598452547,1390433488
1598452548,2424284200
1598452549,2905671376
1598452550,842657440
1598452551,832993696
1598452552,1121429984
1598452553,1678612016
1598452554,2312501792
1598452555,1067390360
1598452556,1583122328
1598452557,1287380240
1598452558,1718430744
1598452559,1979075792
1598452560,2673685080
1598452561,2758223864
1598452562,825440384
1598452563,1298362208
1598452564,1296836400
1598452565,1701528248
1598452566,2047543576
1598452567,2301879496
1598452568,2559441384
1598452569,1019709320
1598452570,1474637536
1598452571,1716151008
1598452572,1770980864
1598452573,2216159912
1598452574,2874068944
1598452576,603874232
1598452576,1050391760
1598452577,1644392480
1598452578,1402810856
1598452579,1561355960
1598452580,1511761888
1598452581,2434247864
1598452582,698868424
