t,value
1598452396,0
1598452397,0
1598452398,0
1598452399,0
1598452400,0
1598452401,0
1598452402,0
1598452403,0
1598452404,0
1598452405,0
1598452406,0
1598452407,0
1598452408,0
1598452409,0
1598452410,0
1598452411,0
1598452412,0
1598452413,135036528
1598452414,135036528
1598452415,135036528
1598452416,135036528
1598452417,135036528
1598452418,135036528
1598452419,135036528
1598452420,135036528
1598452421,135036528
1598452422,135036528
1598452423,136269272
1598452424,136269272
1598452425,136269272
1598452426,136269272
1598452427,136269272
1598452428,136269272
1598452429,136269272
1598452430,136269272
1598452431,136269272
1598452432,136269272
1598452433,138040808
1598452434,138040808
1598452435,138040808
1598452436,138040808
1598452437,138040808
1598452438,138040808
1598452439,138040808
1598452440,138040808
1598452441,138040808
1598452442,138040808
1598452443,138148920
1598452444,138148920
1598452445,138148920
1598452446,138148920
1598452447,138148920
1598452448,138148920
1598452449,138148920
1598452450,138148920
1598452451,138148920
1598452452,138148920
1598452453,139208408
1598452454,139208408
1598452455,139208408
1598452456,139208408
1598452457,139208408
1598452458,139208408
1598452459,139208408
1598452460,139208408
1598452461,139208408
1598452462,139208408
1598452463,139338928
1598452464,139338928
1598452465,139338928
1598452466,139338928
1598452467,139338928
1598452468,139338928
1598452469,139338928
1598452470,139338928
1598452471,139338928
1598452472,139338928
1598452473,141595688
1598452474,141595688
1598452475,141595688
1598452476,141595688
1598452477,141595688
1598452478,141595688
1598452479,141595688
1598452480,141595688
1598452481,141595688
1598452482,141595688
1598452483,144765432
1598452484,144765432
1598452485,144765432
1598452486,144765432
1598452487,144765432
1598452488,144765432
1598452489,144765432
1598452490,144765432
1598452491,144765432
1598452492,144765432
1598452493,145853872
1598452494,145853872
1598452495,145853872
1598452496,145853872
1598452497,145853872
1598452498,145853872
1598452499,145853872
1598452500,145853872
1598452501,145853872
1598452502,145853872
1598452503,147633648
1598452504,147633648
1598452505,147633648
1598452506,147633648
1598452507,147633648
1598452508,147633648
1598452509,147633648
1598452510,147633648
1598452511,147633648
1598452512,147633648
1598452513,148470928
1598452514,148470928
1598452515,148470928
1598452516,148470928
1598452517,148470928
1598452518,148470928
1598452519,148470928
1598452520,148470928
1598452521,148470928
1598452522,148470928
1598452523,149911464
1598452524,149911464
1598452525,149911464
1598452526,149911464
1598452527,149911464
1598452528,149911464
1598452529,149911464
1598452530,149911464
1598452531,149911464
1598452532,149911464
1598452533,150367752
1598452534,150367752
1598452535,150367752
1598452536,150367752
1598452537,150367752
1598452538,150367752
1598452539,150367752
1598452540,150367752
1598452541,150367752
1598452542,150367752
1598452543,152127416
1598452544,152127416
1598452545,152127416
1598452546,152127416
1598452547,152127416
1598452548,152127416
1598452549,152127416
1598452550,152127416
1598452551,152127416
1598452552,152127416
1598452553,152611240
1598452554,152611240
1598452555,152611240
1598452556,152611240
1598452557,152611240
1598452558,152611240
1598452559,152611240
