t,value
1598452394,2
1598452395,5
1598452396,7
1598452397,15
1598452398,15
1598452399,15
1598452400,15
1598452401,15
1598452402,16
1598452403,16
1598452404,16
1598452405,16
1598452406,16
1598452407,18
1598452408,18
1598452409,18
1598452410,18
1598452411,18
1598452412,18
1598452413,18
1598452414,18
1598452415,18
1598452416,18
1598452417,18
1598452418,18
1598452419,18
1598452420,18
1598452421,18
1598452422,18
1598452423,18
1598452424,18
1598452425,20
1598452426,21
1598452427,21
1598452428,21
1598452429,21
1598452430,21
1598452431,21
1598452432,21
1598452433,21
1598452434,21
1598452435,21
1598452436,21
1598452437,21
1598452438,21
1598452439,21
1598452440,21
1598452441,21
1598452442,21
1598452443,21
1598452444,21
1598452445,21
1598452446,21
1598452447,21
1598452448,21
1598452449,21
1598452450,21
1598452451,21
1598452452,21
1598452453,21
1598452454,21
1598452455,22
1598452456,22
1598452457,22
1598452458,22
1598452459,22
1598452460,22
1598452461,22
1598452462,22
1598452463,22
1598452464,22
1598452465,22
1598452466,22
1598452467,22
1598452468,22
1598452469,22
1598452470,22
1598452471,22
1598452472,22
1598452473,22
1598452474,22
1598452475,22
1598452476,20
1598452477,20
1598452478,20
1598452479,20
1598452480,20
1598452481,20
1598452482,20
1598452483,20
1598452484,20
1598452485,21
1598452486,21
1598452487,21
1598452488,21
1598452489,21
1598452490,21
1598452491,21
1598452492,21
1598452493,21
1598452494,21
1598452495,21
1598452496,21
1598452497,21
1598452498,21
1598452499,21
1598452500,21
1598452501,21
1598452502,21
1598452503,21
1598452504,21
1598452505,21
1598452506,21
1598452507,21
1598452508,21
1598452509,21
1598452510,21
1598452511,21
1598452512,21
1598452513,21
1598452514,21
1598452515,22
1598452516,22
1598452517,22
1598452518,22
1598452519,21
1598452520,21
1598452521,21
1598452522,21
1598452523,21
1598452524,21
1598452525,21
1598452526,21
1598452527,21
1598452528,21
1598452529,21
1598452530,21
1598452531,21
1598452532,21
1598452533,21
1598452534,21
1598452535,21
1598452536,21
1598452537,21
1598452538,21
1598452539,21
1598452540,21
1598452541,21
1598452542,21
1598452543,21
1598452544,21
1598452545,22
