t,value
1598452394,60566168
1598452395,66937856
1598452396,74639576
1598452397,85261320
1598452398,101921496
1598452399,114041016
1598452400,125870864
1598452401,131803056
1598452402,132229856
1598452403,132393200
1598452404,133480264
1598452405,134101192
1598452406,134149904
1598452407,134355872
1598452408,134404104
1598452409,134757544
1598452410,134895408
1598452411,134983288
1598452412,135002312
1598452413,135331672
1598452414,135511240
1598452415,135555960
1598452416,135595288
1598452417,135612120
1598452418,135725808
1598452419,135912568
1598452420,136047352
1598452421,136147344
1598452422,136226384
1598452423,136277864
1598452424,136371200
1598452425,136333632
1598452426,137594536
1598452427,137631720
1598452428,137661048
1598452429,137844248
1598452430,137902912
1598452431,137972944
1598452432,138023608
1598452433,138065552
1598452434,138109440
1598452435,138114048
1598452436,138118960
1598452437,138137128
1598452438,138162792
1598452439,138202672
1598452440,138223336
1598452441,138113768
1598452442,138127808
1598452443,138289088
1598452444,138358760
1598452445,138430992
1598452446,138455096
1598452447,138487880
1598452448,138686976
1598452449,138981520
1598452450,139041552
1598452451,139182192
1598452452,139203800
1598452453,139215048
1598452454,139222920
1598452455,139223368
1598452456,139161352
1598452457,139084976
1598452458,139108120
1598452459,139149632
1598452460,139170368
1598452461,139248232
1598452462,139276584
1598452463,139341936
1598452464,139383584
1598452465,139438784
1598452466,139464704
1598452467,139491136
1598452468,139522784
1598452469,140800880
1598452470,141319008
1598452471,141383144
1598452472,141388848
1598452473,141651544
1598452474,141819664
1598452475,141983232
1598452476,142418080
1598452477,143200432
1598452478,143704960
1598452479,144196304
1598452480,144666096
1598452481,144706024
1598452482,144728792
1598452483,144783176
1598452484,144905336
1598452485,144987808
1598452486,145015504
1598452487,145068672
1598452488,144801472
1598452489,145024080
1598452490,145392416
1598452491,145495048
1598452492,145583264
1598452493,146065328
1598452494,146116216
1598452495,146258264
1598452496,146671072
1598452497,146894328
1598452498,146932864
1598452499,146836184
1598452500,147315864
1598452501,147488040
1598452502,147617560
1598452503,147870376
1598452504,147891280
1598452505,147926904
1598452506,147864792
1598452507,148315584
1598452508,148328128
1598452509,148418688
1598452510,148142072
1598452511,148292192
1598452512,148422816
1598452513,148486552
1598452514,148985600
1598452515,148877568
1598452516,148859728
1598452517,149088776
1598452518,149230272
1598452519,149627512
1598452520,149659984
1598452521,149873368
1598452522,149905384
1598452523,149912872
1598452524,149996784
1598452525,150116720
1598452526,150156464
1598452527,150258920
1598452528,150299336
1598452529,150114936
1598452530,150128944
1598452531,150285472
1598452532,150349256
1598452533,150370760
1598452534,150543288
1598452535,150550336
1598452536,150561080
1598452537,150945888
1598452538,150991496
1598452539,151487552
1598452540,151690720
1598452541,152062272
1598452542,152105720
1598452543,152127416
1598452544,152216872
1598452545,152266640
1598452546,152306248
1598452547,152280232
1598452548,152368456
1598452549,152405512
1598452550,152405512
1598452551,152546032
1598452552,152611240
1598452553,152619064
1598452554,152622776
1598452555,152859008
1598452556,152870016
1598452557,152873600
1598452558,152971712
1598452559,153062608
1598452560,153068816
1598452561,153105528
1598452562,153254376
1598452563,153551888
1598452564,153551888
1598452565,153826168
1598452566,153927424
1598452567,153972928
1598452568,154215960
1598452569,154224544
1598452570,154224544
1598452571,154075240
1598452572,154084136
1598452573,154103120
1598452574,154050832
1598452575,154104928
1598452576,154128816
1598452577,154138544
1598452578,154185296
1598452579,154192760
1598452580,154216576
1598452581,154237672
1598452582,154029984
1598452583,154038496
1598452584,154042016
1598452585,154163064
1598452586,154184968
1598452587,154196736
1598452588,154196736
1598452589,154473968
1598452590,154485104
1598452591,154485808
1598452592,154494928
1598452593,154582592
1598452594,154584064
1598452595,154758600
1598452596,154774280
1598452597,154774280
1598452598,154863928
1598452599,154865912
1598452600,154870944
1598452601,154886408
1598452602,155084784
1598452603,155086832
1598452604,155107824
1598452605,155142424
1598452606,155224400
1598452607,155288696
1598452608,155302328
1598452609,155514528
1598452610,155514528
1598452611,155514528
1598452612,155522392
1598452613,155554904
1598452614,155576320
1598452615,155650560
1598452616,155650560
1598452617,155650264
1598452618,155690968
1598452619,155650312
1598452620,155698992
1598452621,155720432
1598452622,155867640
1598452623,155871272
1598452624,155871272
1598452625,155888168
1598452626,155916656
1598452627,155935216
1598452628,155923768
1598452629,155849912
1598452630,155852600
1598452631,155895760
1598452632,155900496
1598452633,155921872
1598452634,155923984
1598452635,156079920
1598452636,156080624
1598452637,156080624
1598452638,156097776
1598452639,156085936
1598452640,156053208
1598452641,156156760
1598452642,156173968
1598452643,156175504
1598452644,156175504
1598452645,156212664
1598452646,156236624
1598452647,156245712
1598452648,156377200
1598452649,156405840
1598452650,156424760
1598452651,156567528
1598452652,156719656
1598452653,156750048
1598452654,156751328
1598452655,156947344
1598452656,156947344
1598452657,156947344
1598452658,157013136
1598452659,157020688
1598452660,157022856
1598452661,157104752
1598452662,157104752
1598452663,157108648
1598452664,157126936
1598452665,157118992
1598452666,157044000
1598452667,157118680
1598452668,157231592
1598452669,157241768
1598452670,157242600
1598452671,157390144
1598452672,157396088
1598452673,157440632
1598452674,157964216
1598452675,157976312
1598452676,157976312
1598452677,157988920
1598452678,157990712
1598452679,158058064
1598452680,158076432
1598452681,158188040
1598452682,158188040
1598452683,158188040
1598452684,158240720
1598452685,158281816
1598452686,158285272
1598452687,158451864
1598452688,158491096
1598452689,158503768
1598452690,158448440
1598452691,158444600
1598452692,158463672
1598452693,158285400
1598452694,158285400
1598452695,158285912
1598452696,158290200
1598452697,158290712
1598452698,158303984
1598452699,158314992
1598452700,158347336
1598452701,158347336
1598452702,158352904
1598452703,158299080
1598452704,158233088
1598452705,158218624
1598452706,158393712
1598452707,158393712
1598452708,158395312
1598452709,158398448
1598452710,158099200
1598452711,158108480
1598452712,158147584
1598452713,158147584
1598452714,158147584
1598452715,158154432
1598452716,158155584
1598452717,158162072
1598452718,158300560
1598452719,158336936
1598452720,158336936
1598452721,158362536
1598452722,158363496
1598452723,158370072
1598452724,158370072
1598452725,158384544
1598452726,158390624
1598452727,158390624
1598452728,158467528
1598452729,158512432
1598452730,158516016
1598452731,158573200
1598452732,158575032
1598452733,158578296
1598452734,158589776
1598452735,158593808
1598452736,158599568
1598452737,158699584
1598452738,158704192
1598452739,158704192
1598452740,158707472
1598452741,158674608
1598452742,158693352
1598452743,158876104
1598452744,158943920
1598452745,158954992
1598452746,158973088
1598452747,158973088
1598452748,158975328
1598452749,158975968
1598452750,159040408
1598452751,159040408
1598452752,159040408
1598452753,159048960
1598452754,159106896
1598452755,159086288
1598452756,159184888
1598452757,159184888
1598452758,159184888
1598452759,159176560
1598452760,159086664
1598452761,159088200
1598452762,159107520
1598452763,159107520
1598452764,159108352
1598452765,159113408
1598452766,159127424
1598452767,159131712
1598452768,159028032
1598452769,159028032
1598452770,159028032
1598452771,158864928
1598452772,158867424
1598452773,158877704
1598452774,158884488
1598452775,158890496
1598452776,158908680
1598452777,158921200
1598452778,158960928
1598452779,158995840
1598452780,159077440
1598452781,159131720
1598452782,159131720
1598452783,159131656
1598452784,159140504
1598452785,159181304
1598452786,159182264
1598452787,159221392
1598452788,159221392
1598452789,159225424
1598452790,159231376
1598452791,159235664
1598452792,159240912
1598452793,159250808
1598452794,159250808
1598452795,159250808
1598452796,159253408
1598452797,159214256
1598452798,159248656
1598452799,159248656
1598452800,159313456
1598452801,159316984
1598452802,159316984
1598452803,159320568
1598452804,159318424
1598452805,159317016
1598452806,159363560
1598452807,159363560
1598452808,159363560
1598452809,159373136
1598452810,159368976
1598452811,159373776
1598452812,159405200
1598452813,159378640
1598452814,159317712
1598452815,159319872
1598452816,159321504
1598452817,159331720
1598452818,159340488
1598452819,159356832
1598452820,159357408
1598452821,159367392
1598452822,159371744
1598452823,159454288
1598452824,159454288
1598452825,159510032
1598452826,159510032
1598452827,159556624
1598452828,159617888
1598452829,159634328
1598452830,159636696
1598452831,159688200
1598452832,159784712
1598452833,159791672
1598452834,159858640
1598452835,159858640
1598452836,159858640
1598452837,159916112
1598452838,159983056
1598452839,159990224
1598452840,159979216
1598452841,160083088
1598452842,160083088
1598452843,160092656
1598452844,160162736
1598452845,160162736
1598452846,160162736
1598452847,160204656
1598452848,160205360
1598452849,160260272
1598452850,160265320
1598452851,160266920
1598452852,160266920
1598452853,160220568
1598452854,160199032
1598452855,160202040
1598452856,160227504
1598452857,160256240
1598452858,160257968
1598452859,160264048
1598452860,160264048
1598452861,160264944
1598452862,160274096
1598452863,160290168
1598452864,160290168
1598452865,160292456
1598452866,160292456
1598452867,160327560
1598452868,160314376
1598452869,160318120
1598452870,160318120
1598452871,160318120
1598452872,160318120
1598452873,160320392
1598452874,160300232
1598452875,160394728
1598452876,160401240
1598452877,160402648
1598452878,160437680
1598452879,160433480
1598452880,160433480
1598452881,160297856
1598452882,160317656
1598452883,160317656
1598452884,160380592
1598452885,160385456
1598452886,160437208
1598452887,160438744
1598452888,160501888
1598452889,160501888
1598452890,160507864
1598452891,160514048
1598452892,160516160
1598452893,160516864
1598452894,160427992
1598452895,160427992
1598452896,160427992
1598452897,160444968
1598452898,160451160
1598452899,160534168
1598452900,160584064
1598452901,160591040
1598452902,160591040
1598452903,160593088
1598452904,160578352
1598452905,160578264
1598452906,160467704
1598452907,160493520
1598452908,160535248
1598452909,160535248
1598452910,160539640
1598452911,160552792
1598452912,160552792
1598452913,160570720
1598452914,160570720
1598452915,160570720
1598452916,160581600
1598452917,160590304
1598452918,160540576
1598452919,160593360
1598452920,160630480
1598452921,160657296
1598452922,160667352
1598452923,160680696
1598452924,160697088
1598452925,160697088
1598452926,160852864
1598452927,160859136
1598452928,160859136
1598452929,160884352
1598452930,160888128
1598452931,160893056
1598452932,160919936
1598452933,160933992
1598452934,160933992
1598452935,160952552
1598452936,161003176
1598452937,161003176
1598452938,160994200
1598452939,160994200
1598452940,160995736
1598452941,161007352
1598452942,161059640
1598452943,161067384
1598452944,161085240
1598452945,161090104
1598452946,161090104
1598452947,161098104
1598452948,161099704
1598452949,161098552
1598452950,161097400
1598452951,161075128
1598452952,161080120
1598452953,161080120
1598452954,161094200
1598452955,161094200
1598452956,161094200
1598452957,161108568
1598452958,161108568
1598452959,161109080
1598452960,161111648
1598452961,161108448
1598452962,161109856
1598452963,161050912
1598452964,161069792
1598452965,161069792
1598452966,161059232
1598452967,161063136
1598452968,161063136
1598452969,161058672
1598452970,161079456
1598452971,161079456
1598452972,161060896
1598452973,161090912
1598452974,161033632
1598452975,161033632
1598452976,160922848
1598452977,160922848
1598452978,160922848
1598452979,160923936
1598452980,160927736
1598452981,160927736
1598452982,160940400
1598452983,160916576
1598452984,160916576
1598452985,160933792
1598452986,160933792
1598452987,160935632
1598452988,160800096
1598452989,160801056
1598452990,160801056
1598452991,160801632
1598452992,160801632
1598452993,160804952
1598452994,160848920
1598452995,160835224
1598452996,160844408
1598452997,160844408
1598452998,160827432
1598452999,160800472
1598453000,160719128
1598453001,160725168
1598453002,160725168
1598453003,160725168
1598453004,160760328
1598453005,160784264
1598453006,160787016
1598453007,160772248
1598453008,160803224
1598453009,160805656
1598453010,160817952
1598453011,160817952
1598453012,160911768
1598453013,160912472
1598453014,160945704
1598453015,160946408
1598453016,160946408
1598453017,160959600
1598453018,160998792
1598453019,160998792
1598453020,161036648
1598453021,161036648
1598453022,161036648
1598453023,161052064
1598453024,161052064
1598453025,161052064
1598453026,161086592
1598453027,161083904
1598453028,161083904
1598453029,161084512
1598453030,161083552
1598453031,161088152
1598453032,161033416
1598453033,161042696
1598453034,161042696
1598453035,161042696
1598453036,161043720
1598453037,161043336
1598453038,161071176
1598453039,161096520
1598453040,161096520
1598453041,161098296
1598453042,161099160
1598453043,161095256
1598453044,161096600
1598453045,161098968
1598453046,161094408
1598453047,161094408
1598453048,161101120
1598453049,161101120
1598453050,161101120
1598453051,161060024
1598453052,161102712
1598453053,161104872
1598453054,161104872
1598453055,161104872
1598453056,161110544
1598453057,161110544
1598453058,161213880
1598453059,161230512
1598453060,161233712
1598453061,161233712
1598453062,161247896
1598453063,161247896
1598453064,161271624
1598453065,161274376
1598453066,161275976
1598453067,161275976
1598453068,161275976
1598453069,161280520
1598453070,161280520
1598453071,161284992
1598453072,161284992
1598453073,161284992
1598453074,161284992
1598453075,161288576
1598453076,161288576
1598453077,161288984
1598453078,161288984
1598453079,161294912
1598453080,161324960
1598453081,161346496
1598453082,161346496
1598453083,161338304
1598453084,161338304
1598453085,161338304
1598453086,161339968
1598453087,161339968
1598453088,161339968
1598453089,161378552
1598453090,161378552
1598453091,161378552
1598453092,161378552
1598453093,161378552
1598453094,161378552
1598453095,161376248
1598453096,161534456
1598453097,161619960
1598453098,161619960
1598453099,161627768
1598453100,161496664
1598453101,161496664
1598453102,161522416
1598453103,161522416
1598453104,161522416
1598453105,161514992
1598453106,161514992
1598453107,161514992
1598453108,161524280
1598453109,161525240
1598453110,161525240
1598453111,161528184
1598453112,161528760
1598453113,161543536
1598453114,161545008
1598453115,161585008
1598453116,161585008
1598453117,161585008
1598453118,161537200
1598453119,161537968
1598453120,161537968
1598453121,161575080
1598453122,161575080
1598453123,161580904
1598453124,161592424
1598453125,161604208
1598453126,161604208
1598453127,161850560
1598453128,164700400
1598453129,169010672
