t,value
1598452394,208142336
1598452395,208142336
1598452396,309854208
1598452397,309854208
1598452398,309854208
1598452399,309854208
1598452400,429391872
1598452401,429391872
1598452402,429391872
1598452403,429391872
1598452404,429391872
1598452405,429391872
1598452406,429391872
1598452407,429391872
1598452408,429391872
1598452409,429391872
1598452410,429391872
1598452411,429391872
1598452412,429391872
1598452413,429391872
1598452414,429391872
1598452415,429391872
1598452416,429391872
1598452417,429391872
1598452418,429391872
1598452419,429391872
1598452420,429391872
1598452421,429391872
1598452422,429391872
1598452423,429391872
1598452424,429391872
1598452425,429391872
1598452426,429391872
1598452427,429391872
1598452428,429391872
1598452429,429391872
1598452430,429391872
1598452431,429391872
1598452432,429391872
1598452433,429391872
1598452434,429391872
1598452435,429391872
1598452436,429391872
1598452437,429391872
1598452438,429391872
1598452439,429391872
1598452440,429391872
1598452441,429391872
1598452442,429391872
1598452443,429391872
1598452444,429391872
1598452445,429391872
1598452446,429391872
1598452447,429391872
1598452448,429391872
1598452449,429391872
1598452450,429391872
1598452451,429391872
1598452452,429391872
1598452453,429391872
1598452454,429391872
1598452455,429391872
1598452456,429391872
1598452457,429391872
1598452458,429391872
1598452459,429391872
1598452460,429391872
1598452461,429391872
1598452462,429391872
1598452463,429391872
1598452464,429391872
1598452465,429391872
1598452466,429391872
1598452467,429391872
1598452468,429391872
1598452469,429391872
1598452470,429391872
1598452471,429391872
1598452472,429391872
1598452473,429391872
1598452474,429391872
1598452475,429391872
1598452476,429391872
1598452477,429391872
1598452478,429391872
1598452479,429391872
1598452480,429391872
1598452481,429391872
1598452482,429391872
1598452483,429391872
1598452484,429391872
1598452485,429391872
1598452486,429391872
1598452487,429391872
1598452488,429391872
1598452489,429391872
1598452490,429391872
1598452491,429391872
1598452492,429391872
1598452493,429391872
1598452494,429391872
1598452495,429391872
1598452496,429391872
1598452497,429391872
1598452498,429391872
1598452499,429391872
1598452500,429391872
1598452501,429391872
1598452502,429391872
1598452503,429391872
1598452504,429391872
1598452505,429391872
1598452506,429391872
1598452507,429391872
1598452508,429391872
1598452509,429391872
1598452510,429391872
1598452511,429391872
1598452512,429391872
1598452513,429391872
1598452514,429391872
1598452515,429391872
1598452516,429391872
1598452517,429391872
1598452518,429391872
1598452519,500170752
1598452520,500170752
1598452521,500170752
1598452522,500170752
1598452523,500170752
1598452524,500170752
1598452525,500170752
1598452526,500170752
1598452527,500170752
1598452528,500170752
1598452529,500170752
1598452530,500170752
1598452531,500170752
1598452532,500170752
1598452533,500170752
1598452534,500170752
1598452535,500170752
1598452536,500170752
1598452537,500170752
1598452538,500170752
1598452539,500170752
1598452540,500170752
1598452541,500170752
1598452542,500170752
1598452543,500170752
1598452544,500170752
1598452545,500170752
1598452546,500170752
1598452547,500170752
1598452548,500170752
1598452549,500170752
1598452550,500170752
1598452551,500170752
1598452552,500170752
1598452553,500170752
1598452554,500170752
1598452555,500170752
1598452556,500170752
1598452557,500170752
1598452558,500170752
1598452559,500170752
1598452560,500170752
1598452561,500170752
1598452562,500170752
1598452563,500170752
1598452564,500170752
1598452565,487587840
1598452566,487587840
1598452567,487587840
1598452568,487587840
1598452569,487587840
1598452570,487587840
1598452571,487587840
1598452572,487587840
1598452573,487587840
1598452574,487587840
1598452575,487587840
1598452576,487587840
1598452577,487587840
1598452578,487587840
1598452579,487587840
1598452580,487587840
1598452581,487587840
1598452582,487587840
1598452583,487587840
1598452584,487587840
1598452585,487587840
1598452586,487587840
1598452587,487587840
1598452588,487587840
1598452589,487587840
1598452590,487587840
1598452591,487587840
1598452592,487587840
1598452593,487587840
1598452594,487587840
1598452595,487587840
1598452596,487587840
1598452597,487587840
1598452598,487587840
1598452599,487587840
1598452600,487587840
1598452601,487587840
1598452602,487587840
1598452603,487587840
1598452604,487587840
1598452605,475529216
1598452606,475529216
1598452607,475529216
1598452608,475529216
1598452609,475529216
1598452610,475529216
1598452611,475529216
1598452612,475529216
1598452613,475529216
1598452614,475529216
1598452615,475529216
1598452616,475529216
1598452617,475529216
1598452618,475529216
1598452619,475529216
1598452620,475529216
1598452621,475529216
1598452622,475529216
1598452623,475529216
1598452624,475529216
1598452625,475529216
1598452626,475529216
1598452627,475529216
1598452628,475529216
1598452629,475529216
1598452630,475529216
1598452631,475529216
1598452632,475529216
1598452633,475529216
1598452634,475529216
1598452635,475529216
1598452636,475529216
1598452637,475529216
1598452638,475529216
1598452639,475529216
1598452640,475529216
1598452641,475529216
1598452642,463994880
1598452643,463994880
1598452644,463994880
1598452645,463994880
1598452646,463994880
1598452647,463994880
1598452648,463994880
1598452649,463994880
1598452650,463994880
1598452651,463994880
1598452652,463994880
1598452653,463994880
1598452654,463994880
1598452655,463994880
1598452656,463994880
1598452657,463994880
1598452658,463994880
1598452659,463994880
1598452660,463994880
1598452661,463994880
1598452662,463994880
1598452663,463994880
1598452664,463994880
1598452665,463994880
1598452666,463994880
1598452667,463994880
1598452668,463994880
1598452669,463994880
1598452670,463994880
1598452671,463994880
1598452672,452984832
1598452673,452984832
1598452674,452984832
1598452675,452984832
1598452676,452984832
1598452677,452984832
1598452678,452984832
1598452679,452984832
1598452680,452984832
1598452681,452984832
1598452682,452984832
1598452683,452984832
1598452684,452984832
1598452685,452984832
1598452686,452984832
1598452687,452984832
1598452688,452984832
1598452689,452984832
1598452690,452984832
1598452691,452984832
1598452692,452984832
1598452693,442499072
1598452694,442499072
1598452695,442499072
1598452696,442499072
1598452697,442499072
1598452698,442499072
1598452699,442499072
1598452700,442499072
1598452701,442499072
1598452702,442499072
1598452703,442499072
1598452704,442499072
1598452705,442499072
1598452706,442499072
1598452707,442499072
1598452708,442499072
1598452709,442499072
1598452710,432537600
1598452711,432537600
1598452712,432537600
1598452713,432537600
1598452714,432537600
1598452715,432537600
1598452716,432537600
1598452717,432537600
1598452718,432537600
1598452719,432537600
1598452720,432537600
1598452721,432537600
1598452722,432537600
1598452723,432537600
1598452724,432537600
1598452725,422576128
1598452726,422576128
