t,value
1598452394,166511256
1598452395,32940160
1598452396,14687560
1598452397,141390680
1598452398,267691072
1598452399,62667472
1598452400,41116056
1598452401,116855904
1598452402,122864640
1598452403,124989592
1598452404,131200456
1598452405,185919840
1598452406,188044384
1598452407,192129544
1598452408,194148440
1598452409,200049992
1598452410,202174792
1598452411,203945272
1598452412,205715760
1598452413,216659536
1598452414,220229512
1598452415,221999808
1598452416,224132392
1598452417,225910944
1598452418,228409648
1598452419,231123048
1598452420,232893384
1598452421,234663960
1598452422,237791848
1598452423,239868688
1598452424,241655344
1598452425,244661360
1598452426,274242336
1598452427,276020848
1598452428,278145272
1598452429,279915432
1598452430,282039648
1598452431,283826360
1598452432,285613056
1598452433,288053424
1598452434,289823680
1598452435,291593968
1598452436,293718480
1598452437,295488952
1598452438,297613136
1598452439,299704776
1598452440,302902016
1598452441,305042752
1598452442,306837704
1598452443,309954368
1598452444,312111624
1598452445,313890176
1598452446,315676864
1598452447,317834024
1598452448,320664080
1598452449,322727080
1598452450,324834960
1598452451,326984216
1598452452,328779320
1598452453,337266568
1598452454,339061984
1598452455,341999696
1598452456,344156824
1598452457,345951848
1598452458,347746680
1598452459,349879792
1598452460,351666712
1598452461,354042560
1598452462,356191552
1598452463,357978256
1598452464,360127312
1598452465,361930464
1598452466,365136080
1598452467,367276856
1598452468,369071704
1598452469,391838152
1598452470,414296672
1598452471,416091528
1598452472,418232400
1598452473,421835544
1598452474,424221400
1598452475,428280104
1598452476,30165456
1598452477,68333472
1598452478,93523088
1598452479,104372816
1598452480,116938216
1598452481,118386304
1598452482,121573312
1598452483,125901920
1598452484,127876208
1598452485,131966504
1598452486,135849408
1598452487,137575944
1598452488,146627328
1598452489,153225208
1598452490,161029424
1598452491,165919456
1598452492,168880304
1598452493,198685496
1598452494,202410736
1598452495,206020216
1598452496,217780944
1598452497,227431768
1598452498,231782224
1598452499,235800592
1598452500,265346536
1598452501,268597904
1598452502,272523384
1598452503,281874392
1598452504,287679288
1598452505,296848504
1598452506,301738760
1598452507,327169360
1598452508,330614376
1598452509,335304616
1598452510,344980888
1598452511,351799816
1598452512,359839048
1598452513,368145968
1598452514,397038936
1598452515,399869920
1598452516,405260504
1598452517,414081112
1598452518,421266832
1598452519,40819272
1598452520,48145728
1598452521,76006376
1598452522,79828872
1598452523,84086824
1598452524,104755552
1598452525,124653680
1598452526,128050688
1598452527,132568904
1598452528,157640024
1598452529,162455648
1598452530,164633080
1598452531,177550032
1598452532,188251232
1598452533,193986544
1598452534,218768656
1598452535,220952216
1598452536,227230344
1598452537,237238136
1598452538,241402232
1598452539,252353472
1598452540,256656208
1598452541,284676552
1598452542,288492184
1598452543,291282448
1598452544,303873000
1598452545,308296512
1598452546,319241832
1598452547,322516904
1598452548,350699768
1598452549,356175312
1598452550,359243264
1598452551,372617256
1598452552,382363592
1598452553,385385304
1598452554,391480480
1598452555,419331584
1598452556,422954224
1598452557,426569472
1598452558,438845896
1598452559,451016600
1598452560,454007000
1598452561,458728608
1598452562,489302408
1598452563,494020336
1598452564,497617768
1598452565,42778224
1598452566,60904408
1598452567,67383056
1598452568,98453648
1598452569,102938872
1598452570,108245096
1598452571,119347072
1598452572,124484488
1598452573,136879968
1598452574,141668424
1598452575,174195896
1598452576,177809064
1598452577,181665408
1598452578,192655216
1598452579,198372760
1598452580,208781288
1598452581,213087104
1598452582,245928096
1598452583,251403960
1598452584,254467696
1598452585,264362008
1598452586,277930984
1598452587,282477336
1598452588,285863824
1598452589,322530904
1598452590,327039320
1598452591,329807784
1598452592,342254784
1598452593,354443856
1598452594,358223176
1598452595,391475160
1598452596,395809128
1598452597,401028296
1598452598,410042712
1598452599,416115600
1598452600,426543192
1598452601,431535288
1598452602,472419784
1598452603,474668520
1598452604,478929744
1598452605,24577312
1598452606,30511160
1598452607,48103088
1598452608,52032120
1598452609,93201840
1598452610,97981032
1598452611,103091176
1598452612,113110240
1598452613,126909704
1598452614,130612976
1598452615,170426696
1598452616,174243664
1598452617,177657248
1598452618,189419928
1598452619,196568176
1598452620,206063696
1598452621,210158384
1598452622,254845968
1598452623,259242616
1598452624,262853016
1598452625,273381600
1598452626,287953456
1598452627,291824928
1598452628,334711488
1598452629,340166600
1598452630,343310056
1598452631,354298976
1598452632,361377728
1598452633,373775016
1598452634,378716136
1598452635,427264408
1598452636,429942792
1598452637,434149736
1598452638,445176576
1598452639,450556360
1598452640,461300680
1598452641,466647888
1598452642,52091960
1598452643,58942928
1598452644,60942416
1598452645,75869312
1598452646,90351504
1598452647,95372944
1598452648,146799264
1598452649,160081112
1598452650,162086088
1598452651,172027120
1598452652,179739256
1598452653,190689952
1598452654,197683240
1598452655,248826392
1598452656,252293968
1598452657,255833896
1598452658,269797216
1598452659,280315392
1598452660,287303968
1598452661,342589744
1598452662,345794120
1598452663,349976368
1598452664,362515136
1598452665,369460344
1598452666,378146208
1598452667,384681528
1598452668,441890688
1598452669,445212472
1598452670,447806688
1598452671,463875960
1598452672,19470320
1598452673,26477376
1598452674,140119776
1598452675,144066184
1598452676,146898840
1598452677,160503192
1598452678,166933264
1598452679,181149976
1598452680,184299960
1598452681,249523112
1598452682,252560912
1598452683,256259600
1598452684,268066648
1598452685,281893640
1598452686,287468720
1598452687,407753632
1598452688,410740312
1598452689,416542880
1598452690,427208472
1598452691,442430256
1598452692,445613888
1598452693,123654608
1598452694,127892680
1598452695,132172200
1598452696,146038616
1598452697,149869568
1598452698,162964240
1598452699,170467016
1598452700,241833840
1598452701,244136440
1598452702,247993008
1598452703,264238808
1598452704,276126800
1598452705,279326200
1598452706,410372968
1598452707,414192256
1598452708,417781312
1598452709,433815864
1598452710,10330320
1598452711,17742000
1598452712,153277968
1598452713,157024208
1598452714,160309352
1598452715,173411016
1598452716,180147024
1598452717,191362744
1598452718,236787624
1598452719,329520792
1598452720,333522808
1598452721,345663424
1598452722,353856800
1598452723,365396888
1598452724,370981536
1598452725,25978736
1598452726,30760808
1598452727,34255864
1598452728,48328840
1598452729,64297232
1598452730,69055080
1598452731,211548840
1598452732,217680456
1598452733,221260560
1598452734,234303952
1598452735,247003200
1598452736,251801384
1598452737,398821872
1598452738,401070616
1598452739,405442744
1598452740,417616624
1598452741,10248032
1598452742,22846008
1598452743,39230472
1598452744,174979384
1598452745,178834048
1598452746,190840152
1598452747,196568568
1598452748,209403216
1598452749,215365936
1598452750,367162184
1598452751,371287560
1598452752,373565920
1598452753,390915160
1598452754,403379768
1598452755,409097032
1598452756,153550952
1598452757,156925808
1598452758,162385944
1598452759,176640496
1598452760,189718512
1598452761,194795768
1598452762,353480672
1598452763,356680024
1598452764,359904096
1598452765,372892896
1598452766,380406480
1598452767,393065928
1598452768,154695880
1598452769,158050112
1598452770,164749440
1598452771,177183968
1598452772,182423416
1598452773,194448608
1598452774,200589496
1598452775,311978856
1598452776,316535160
1598452777,319188896
1598452778,335806528
1598452779,348347304
1598452780,352503040
1598452781,138295984
1598452782,143606256
1598452783,146256064
1598452784,160580040
1598452785,173964144
1598452786,180296048
1598452787,358940744
1598452788,361556160
1598452789,366767856
1598452790,379758168
1598452791,11631728
1598452792,17173952
1598452793,200519168
1598452794,203474208
1598452795,209891000
1598452796,222520208
1598452797,227299248
1598452798,240220976
1598452799,245849856
1598452800,57964568
1598452801,62494496
1598452802,65525384
1598452803,82507208
1598452804,95417936
1598452805,99546536
1598452806,344563928
1598452807,349606392
1598452808,352092552
1598452809,369457520
1598452810,18724720
1598452811,23963912
1598452812,212540312
1598452813,215728976
1598452814,220371200
1598452815,235096456
1598452816,240954848
1598452817,253043328
1598452818,259932400
1598452819,95118216
1598452820,99907176
1598452821,112025288
1598452822,118951088
1598452823,131849168
1598452824,139070520
1598452825,336908608
1598452826,340973832
1598452827,343766896
1598452828,8457712
1598452829,23183088
1598452830,27745008
1598452831,235152912
1598452832,238454928
1598452833,243174912
1598452834,256362944
1598452835,271911744
1598452836,276538552
1598452837,143067728
1598452838,147024824
1598452839,150735032
1598452840,164363128
1598452841,171460672
1598452842,184038424
1598452843,189429024
1598452844,70003560
1598452845,74562768
1598452846,77679936
1598452847,95970744
1598452848,108600784
1598452849,113186672
1598452850,6368520
1598452851,10592320
1598452852,13671064
1598452853,32522400
1598452854,45474120
1598452855,52385368
1598452856,18001912
1598452857,21441000
1598452858,25106184
1598452859,39585472
1598452860,46472600
1598452861,60153960
1598452862,100698944
1598452863,295917600
1598452864,300690512
1598452865,315936216
1598452866,321037872
1598452867,18345424
1598452868,22809280
1598452869,260142776
1598452870,263923488
1598452871,267924176
1598452872,285053232
1598452873,298821992
1598452874,305413696
1598452875,239537216
1598452876,243232424
1598452877,246593880
1598452878,263380624
1598452879,277230296
1598452880,284117424
1598452881,272425656
1598452882,289251944
1598452883,295476904
1598452884,7906696
1598452885,14652088
1598452886,28496840
1598452887,33029440
1598452888,289810192
1598452889,294909776
1598452890,6414568
1598452891,21284424
