t,value
1598452394,238035056
1598452395,128246712
1598452396,110106760
1598452397,247454488
1598452398,390424088
1598452399,227446024
1598452400,200939152
1598452401,283010264
1598452402,289439672
1598452403,291370456
1598452404,299058384
1598452405,354363136
1598452406,356182432
1598452407,360826528
1598452408,362893656
1598452409,369153968
1598452410,371057288
1598452411,373270440
1598452412,375059184
1598452413,385984248
1598452414,390081864
1598452415,391896880
1598452416,393726544
1598452417,395865232
1598452418,398477528
1598452419,401030856
1598452420,403281848
1598452421,405165152
1598452422,408006216
1598452423,410487664
1598452424,412373576
1598452425,414980320
1598452426,446177984
1598452427,447996960
1598452428,449808288
1598452429,452108256
1598452430,453932976
1598452431,456144000
1598452432,457991952
1598452433,460106064
1598452434,462274232
1598452435,464049128
1598452436,465835184
1598452437,467969432
1598452438,469763016
1598452439,472250032
1598452440,475466464
1598452441,477150208
1598452442,479306696
1598452443,482599624
1598452444,484457472
1598452445,486662352
1598452446,488481280
1598452447,490318720
1598452448,493346592
1598452449,496053344
1598452450,498225832
1598452451,500153496
1598452452,502336288
1598452453,510480736
1598452454,512626736
1598452455,515572384
1598452456,517255280
1598452457,519381240
1598452458,521196056
1598452459,523016512
1598452460,525178224
1598452461,527640112
1598452462,529455224
1598452463,531661328
1598452464,533497984
1598452465,535710432
1598452466,538941928
1598452467,540755080
1598452468,542945736
1598452469,566988920
1598452470,589602768
1598452471,591815832
1598452472,593608336
1598452473,597836408
1598452474,600409136
1598452475,604250424
1598452476,225148384
1598452477,262842128
1598452478,288544608
1598452479,299888192
1598452480,312920872
1598452481,315649184
1598452482,317618664
1598452483,322001656
1598452484,324098104
1598452485,328270872
1598452486,332181472
1598452487,333961176
1598452488,342745360
1598452489,349568224
1598452490,357738400
1598452491,362731064
1598452492,365780128
1598452493,396068536
1598452494,399843512
1598452495,403598024
1598452496,417016864
1598452497,425643232
1598452498,430031648
1598452499,433966776
1598452500,463978960
1598452501,467402504
1598452502,471459488
1598452503,482309616
1598452504,486887128
1598452505,496091968
1598452506,500920112
1598452507,528049792
1598452508,530259064
1598452509,535039864
1598452510,544441760
1598452511,551409656
1598452512,560818544
1598452513,567949080
1598452514,597341096
1598452515,600064048
1598452516,605436792
1598452517,614486448
1598452518,621817568
1598452519,238454216
1598452520,245813144
1598452521,273889920
1598452522,277741688
1598452523,282007128
1598452524,302759768
1598452525,324488296
1598452526,326214584
1598452527,330835256
1598452528,355946792
1598452529,360586648
1598452530,364459768
1598452531,375842936
1598452532,386607920
1598452533,392364736
1598452534,417319376
1598452535,419511776
1598452536,425798856
1598452537,436191456
1598452538,442099656
1598452539,451850120
1598452540,456354360
1598452541,484746256
1598452542,488605336
1598452543,493107624
1598452544,504097304
1598452545,508570584
1598452546,519555512
1598452547,522804568
1598452548,551075656
1598452549,556588256
1598452550,559656208
1598452551,573170720
1598452552,582982264
1598452553,586011800
1598452554,592110688
1598452555,620198024
1598452556,625530168
1598452557,627450504
1598452558,639825040
1598452559,652086640
1598452560,655083248
1598452561,661540064
1598452562,690564216
1598452563,695579656
1598452564,699177088
1598452565,247811960
1598452566,267849560
1598452567,272563552
1598452568,303877176
1598452569,308370984
1598452570,313677208
1598452571,324629880
1598452572,329774208
1598452573,342190656
1598452574,346926824
1598452575,379508392
1598452576,383145448
1598452577,387011520
1598452578,398048080
1598452579,405575056
1598452580,414205432
1598452581,418532344
1598452582,451165648
1598452583,456650024
1598452584,459717280
1598452585,469732640
1598452586,483323520
1598452587,487881640
1598452588,491268128
1598452589,528212440
1598452590,532731992
1598452591,535501160
1598452592,549767440
1598452593,560234016
1598452594,564014808
1598452595,597453744
1598452596,601790976
1598452597,607010144
1598452598,616114208
1598452599,622189080
1598452600,632621704
1598452601,637629264
1598452602,678712136
1598452603,680962920
1598452604,685245136
1598452605,233701192
1598452606,241510072
1598452607,257373240
1598452608,261315904
1598452609,304490840
1598452610,307477016
1598452611,312587160
1598452612,322614088
1598452613,336446064
1598452614,340170752
1598452615,380058712
1598452616,383875680
1598452617,387288968
1598452618,399092352
1598452619,406199944
1598452620,415744144
