t,value
1598407780,189792256
1598407781,189792256
1598407782,189792256
1598407783,189792256
1598407784,189792256
1598407785,189792256
1598407786,189792256
1598407787,265814016
1598407788,265814016
1598407789,265814016
1598407790,265814016
1598407791,265814016
1598407792,265814016
1598407793,265814016
1598407794,265814016
1598407795,350748672
1598407796,350748672
1598407797,350748672
1598407798,350748672
1598407799,350748672
1598407800,350748672
1598407801,350748672
1598407802,350748672
1598407803,350748672
1598407804,350748672
1598407805,350748672
1598407806,350748672
1598407807,350748672
1598407808,350748672
1598407809,350748672
1598407810,350748672
1598407811,350748672
1598407812,350748672
1598407813,350748672
1598407814,350748672
1598407815,350748672
1598407816,350748672
1598407817,350748672
1598407818,350748672
1598407819,350748672
1598407820,350748672
1598407821,350748672
1598407822,350748672
1598407823,350748672
1598407824,350748672
1598407825,350748672
1598407826,350748672
1598407827,350748672
1598407828,350748672
1598407829,350748672
1598407830,350748672
1598407831,350748672
1598407832,350748672
1598407833,350748672
1598407834,350748672
1598407835,350748672
1598407836,350748672
1598407837,350748672
1598407838,350748672
1598407839,350748672
1598407840,350748672
1598407841,350748672
1598407842,350748672
1598407843,350748672
1598407844,350748672
1598407845,350748672
1598407846,350748672
1598407847,350748672
1598407848,350748672
1598407849,350748672
1598407850,350748672
1598407851,350748672
1598407852,350748672
1598407853,350748672
1598407854,350748672
1598407855,350748672
1598407856,350748672
1598407857,350748672
1598407858,350748672
1598407859,350748672
1598407860,350748672
1598407861,350748672
1598407862,350748672
1598407863,350748672
1598407864,350748672
1598407865,350748672
1598407866,350748672
1598407867,350748672
1598407868,350748672
1598407869,350748672
1598407870,350748672
1598407871,350748672
1598407872,350748672
1598407873,350748672
1598407874,350748672
1598407875,350748672
1598407876,350748672
1598407877,350748672
1598407878,350748672
1598407879,350748672
1598407880,350748672
1598407881,350748672
1598407882,350748672
1598407883,350748672
1598407884,350748672
1598407885,350748672
1598407886,350748672
1598407887,350748672
1598407888,350748672
1598407889,350748672
1598407890,350748672
1598407891,350748672
1598407892,350748672
1598407893,350748672
1598407894,350748672
1598407895,350748672
1598407896,350748672
1598407897,350748672
1598407898,350748672
1598407899,350748672
1598407900,350748672
1598407901,350748672
1598407902,350748672
1598407903,350748672
1598407904,350748672
1598407905,350748672
1598407906,350748672
1598407907,350748672
1598407908,350748672
1598407909,350748672
1598407910,350748672
1598407911,350748672
1598407912,350748672
1598407913,350748672
1598407914,350748672
1598407915,350748672
1598407916,350748672
1598407917,350748672
1598407918,350748672
1598407919,350748672
1598407920,350748672
1598407921,350748672
1598407922,350748672
1598407923,350748672
1598407924,350748672
1598407925,350748672
1598407926,350748672
1598407927,350748672
1598407928,350748672
1598407929,350748672
1598407930,350748672
1598407931,350748672
1598407932,350748672
1598407933,350748672
1598407934,350748672
1598407935,350748672
1598407936,350748672
1598407937,350748672
1598407938,350748672
1598407939,350748672
1598407940,350748672
1598407941,350748672
1598407942,350748672
1598407943,350748672
1598407944,350748672
1598407945,350748672
1598407946,350748672
1598407947,350748672
1598407948,350748672
1598407949,350748672
1598407950,350748672
1598407951,350748672
1598407952,350748672
1598407953,350748672
1598407954,350748672
1598407955,350748672
1598407956,350748672
1598407957,350748672
1598407958,350748672
1598407959,350748672
1598407960,350748672
1598407961,350748672
1598407962,350748672
1598407963,350748672
1598407964,350748672
1598407965,350748672
1598407966,350748672
1598407967,350748672
1598407968,350748672
1598407969,350748672
1598407970,350748672
1598407971,350748672
1598407972,350748672
1598407973,350748672
1598407974,350748672
1598407975,350748672
1598407976,350748672
1598407977,350748672
1598407978,350748672
1598407979,350748672
1598407980,350748672
1598407981,350748672
1598407982,350748672
1598407983,350748672
1598407984,350748672
1598407985,350748672
1598407986,350748672
1598407987,350748672
1598407988,350748672
1598407989,350748672
1598407990,350748672
1598407991,350748672
1598407992,350748672
1598407993,350748672
1598407994,350748672
1598407995,350748672
1598407996,350748672
1598407997,350748672
1598407998,350748672
1598407999,350748672
1598408000,350748672
1598408001,350748672
1598408002,350748672
1598408003,350748672
1598408004,350748672
1598408005,350748672
1598408006,350748672
1598408007,350748672
1598408008,350748672
1598408009,350748672
1598408010,350748672
1598408011,350748672
1598408012,350748672
1598408013,350748672
1598408014,350748672
1598408015,350748672
1598408016,350748672
1598408017,350748672
1598408018,350748672
1598408019,350748672
1598408020,350748672
1598408021,350748672
1598408022,350748672
1598408023,350748672
1598408024,350748672
1598408025,350748672
1598408026,350748672
1598408027,350748672
1598408028,350748672
1598408029,350748672
1598408030,350748672
1598408031,350748672
1598408032,350748672
1598408033,350748672
1598408034,350748672
1598408035,350748672
1598408036,350748672
1598408037,350748672
1598408038,350748672
1598408039,350748672
1598408040,350748672
1598408041,350748672
1598408042,350748672
1598408043,350748672
1598408044,350748672
1598408045,350748672
1598408046,708313088
1598408047,708313088
1598408048,708313088
1598408049,708313088
1598408050,708313088
1598408051,708313088
1598408052,708313088
1598408053,708313088
1598408054,708313088
1598408055,708313088
1598408056,708313088
1598408057,708313088
1598408058,708313088
1598408059,708313088
1598408060,708313088
1598408061,708313088
1598408062,708313088
1598408063,708313088
1598408064,708313088
1598408065,708313088
1598408066,708313088
1598408068,1203765248
1598408068,1203765248
1598408069,1203765248
1598408070,1203765248
1598408071,1203765248
1598408072,1203765248
1598408073,1203765248
1598408074,1203765248
1598408075,1203765248
1598408076,1203765248
1598408077,1203765248
1598408078,1203765248
1598408079,1203765248
1598408080,1203765248
1598408081,1203765248
1598408082,1203765248
1598408083,1203765248
1598408084,1203765248
1598408085,1203765248
1598408086,1203765248
1598408087,1203765248
1598408088,1203765248
1598408089,1203765248
1598408090,1203765248
1598408091,1203765248
1598408092,1203765248
1598408093,1203765248
1598408094,1203765248
1598408095,1203765248
1598408096,1203765248
1598408097,1203765248
1598408098,1203765248
1598408099,1203765248
1598408100,1203765248
1598408101,1203765248
1598408102,1203765248
1598408103,1203765248
1598408104,1203765248
1598408105,1203765248
1598408106,1203765248
1598408107,1203765248
1598408108,1203765248
1598408109,1203765248
1598408110,1203765248
1598408111,1203765248
1598408112,1203765248
1598408113,1203765248
1598408114,1203765248
1598408115,1203765248
1598408116,1203765248
1598408117,1203765248
1598408118,1203765248
1598408119,1203765248
1598408120,1203765248
1598408121,1203765248
1598408122,1203765248
1598408123,1203765248
