t,value
1598407780,32332136
1598407781,33038336
1598407782,33263584
1598407783,33281736
1598407784,33296296
1598407785,33301688
1598407786,33382384
1598407787,33458536
1598407788,42613832
1598407789,49615064
1598407790,49615848
1598407791,49761624
1598407792,49780856
1598407793,49781160
1598407794,49822152
1598407795,55053368
1598407796,67134296
1598407797,73045424
1598407798,73408096
1598407799,73810920
1598407800,73823344
1598407801,73884848
1598407802,73944248
1598407803,73951304
1598407804,73951784
1598407805,73980696
1598407806,74000520
1598407807,74002096
1598407808,74010624
1598407809,74059112
1598407810,74074680
1598407811,74103408
1598407812,74118408
1598407813,74121000
1598407814,74124280
1598407815,74158784
1598407816,74185208
1598407817,74192240
1598407818,74195888
1598407819,74215912
1598407820,74220600
1598407821,74223664
1598407822,74249312
1598407823,74253256
1598407824,74258416
1598407825,74286912
1598407826,74288440
1598407827,74291648
1598407828,74292312
1598407829,74331104
1598407830,74345792
1598407831,74349816
1598407832,74352160
1598407833,74355008
1598407834,74368680
1598407835,74425216
1598407836,74428632
1598407837,74433832
1598407838,74433832
1598407839,74444232
1598407840,74447216
1598407841,74447216
1598407842,74665152
1598407843,75779008
1598407844,75815704
1598407845,75815704
1598407846,75823312
1598407847,75834664
1598407848,75841384
1598407849,75848544
1598407850,75850256
1598407851,75887856
1598407852,75946176
1598407853,75946176
1598407854,75946176
1598407855,75949080
1598407856,75953296
1598407857,75953392
1598407858,75954944
1598407859,75960424
1598407860,75966280
1598407861,75966312
1598407862,75966312
1598407863,76001656
1598407864,76002896
1598407865,76002896
1598407866,76018992
1598407867,76018992
1598407868,76018992
1598407869,76020312
1598407870,76020312
1598407871,76030800
1598407872,76032512
1598407873,76033960
1598407874,76035488
1598407875,76035488
1598407876,76037648
1598407877,76044032
1598407878,76044032
1598407879,76046208
1598407880,76048056
1598407881,76050456
1598407882,76058672
1598407883,76062912
1598407884,76063288
1598407885,76063288
1598407886,76063288
1598407887,76066920
1598407888,76066920
1598407889,76070240
1598407890,76072176
1598407891,76072176
1598407892,76083344
1598407893,76083344
1598407894,76083344
1598407895,76083344
1598407896,76083824
1598407897,76091056
1598407898,76092032
1598407899,76098432
1598407900,76108584
1598407901,76110280
1598407902,76114560
1598407903,76114560
1598407904,76115192
1598407905,76118336
1598407906,76118336
1598407907,76120384
1598407908,76122096
1598407909,76126264
1598407910,76129176
1598407911,76129176
1598407912,76129176
1598407913,76130824
1598407914,76131624
1598407915,76132256
1598407916,76133768
1598407917,76134856
1598407918,76142096
1598407919,76144496
1598407920,76144496
1598407921,76152808
1598407922,76152808
1598407923,76153248
1598407924,76153248
1598407925,76153248
1598407926,76155472
1598407927,76155472
1598407928,76155472
1598407929,76167528
1598407930,76167528
1598407931,76167872
1598407932,76167872
1598407933,76170624
1598407934,76180408
1598407935,76180408
1598407936,76180408
1598407937,76180408
1598407938,76180408
1598407939,76180760
1598407940,76180760
1598407941,76180760
1598407942,76180856
1598407943,76180856
1598407944,76181344
1598407945,76182352
1598407946,76182352
1598407947,76182352
1598407948,76186664
1598407949,76191616
1598407950,76196736
1598407951,76196736
1598407952,76196736
1598407953,76196736
1598407954,76198856
1598407955,76198856
1598407956,76201912
1598407957,76201912
1598407958,76201912
1598407959,76203000
1598407960,76203000
1598407961,76203000
1598407962,76203000
1598407963,76203000
1598407964,76203000
1598407965,76206816
1598407966,76206816
1598407967,76210736
1598407968,76210736
1598407969,76211056
1598407970,76211056
1598407971,76214192
1598407972,76215840
1598407973,76215840
1598407974,76215840
1598407975,76215840
1598407976,76215840
1598407977,76215840
1598407978,76215840
1598407979,76215840
1598407980,76215840
1598407981,76218152
1598407982,76218152
1598407983,76226200
1598407984,76226200
1598407985,76226200
1598407986,76226200
1598407987,76226200
1598407988,76226200
1598407989,76228880
1598407990,76228880
1598407991,76228880
1598407992,76230432
1598407993,76230432
1598407994,76232128
1598407995,76232128
1598407996,76232808
1598407997,76238680
1598407998,76238680
1598407999,76239480
1598408000,76240232
1598408001,76240232
1598408002,76240232
1598408003,76240232
1598408004,76240576
1598408005,76240968
1598408006,76240968
1598408007,76240968
1598408008,76240968
1598408009,76243456
1598408010,76246288
1598408011,76247728
1598408012,76247728
1598408013,76253456
1598408014,76253456
1598408015,76253456
1598408016,76253456
1598408017,76254080
1598408018,76254080
1598408019,76258320
1598408020,76258320
1598408021,76258352
1598408022,76258352
1598408023,76258352
1598408024,80849016
1598408025,81886528
1598408026,81889896
1598408027,81889896
1598408028,81897200
1598408029,81904104
1598408030,82308752
1598408031,82312712
1598408032,82363992
1598408033,82363992
1598408034,82376488
1598408035,82434624
1598408036,82449712
1598408037,82483088
1598408038,82484920
1598408039,82494488
1598408040,82494488
1598408041,82555264
1598408042,82560080
1598408043,82588240
1598408045,81271736
1598408045,81271736
1598408046,81273752
1598408047,81280544
1598408048,81280544
1598408049,81284080
1598408050,81284080
1598408051,81349856
1598408052,81349856
1598408053,81349856
1598408054,81349856
1598408055,81349856
1598408056,81369128
1598408057,81379488
1598408058,81379488
1598408059,81379488
1598408060,81379488
1598408061,81459392
1598408062,82745136
1598408063,82847840
1598408064,82856520
1598408065,82869736
1598408066,83204696
1598408068,83057080
1598408068,83057080
1598408069,83090016
1598408070,83095896
1598408071,83120992
1598408072,83156752
1598408073,83183072
1598408074,83223112
1598408075,83264208
1598408076,83265056
1598408077,83285296
1598408078,83285296
1598408079,83285976
1598408080,83286008
1598408081,83286008
1598408082,83286008
1598408083,83286008
1598408084,83286008
1598408085,83286008
1598408086,83286008
1598408087,83286008
1598408088,83286008
1598408089,83286744
1598408090,83286744
1598408091,83286744
1598408092,83286744
1598408093,83286744
1598408094,83286744
1598408095,83286744
1598408096,83286744
1598408097,83286744
1598408098,83287032
1598408099,83287032
1598408100,83287032
1598408101,83287032
1598408102,83287032
1598408103,83287032
1598408104,83287032
1598408105,83287032
1598408106,83287032
1598408107,83287032
1598408108,83287032
1598408109,83287032
1598408110,83287032
1598408111,83287032
1598408112,83287032
1598408113,83287032
1598408114,83287032
1598408115,83287032
1598408116,83287032
1598408117,83287032
1598408118,83287032
1598408119,83287032
1598408120,83289736
1598408121,83289736
1598408122,83289736
1598408123,83289736
1598408124,83289736
1598408125,83289736
1598408126,83290512
1598408127,83303368
1598408128,83303368
1598408129,83304888
1598408130,83304888
1598408131,83304888
1598408132,83304888
1598408133,83304888
1598408134,83304888
1598408135,83304888
1598408136,83304888
1598408137,83305280
1598408138,83305280
1598408139,83308064
1598408140,83308064
1598408141,83308064
1598408142,83308064
1598408143,83308064
1598408144,83308064
1598408145,83308064
1598408146,83308064
1598408147,83308064
1598408148,83308744
1598408149,83313240
1598408150,83313240
1598408151,83315624
1598408152,83315624
1598408153,83315624
1598408154,83315624
1598408155,83315624
1598408156,83315624
1598408157,83315624
1598408158,83315624
1598408159,83317624
1598408160,83317624
1598408161,83317624
1598408162,83317624
1598408163,83318872
1598408164,83320216
1598408165,83320216
1598408166,83320216
1598408167,83320216
1598408168,83320216
1598408169,83320912
1598408170,83325120
1598408171,83327744
1598408172,83327744
1598408173,83328408
1598408174,83328408
1598408175,83328408
1598408176,83329216
1598408177,83329216
1598408178,83329216
1598408179,83329216
1598408180,83329216
1598408181,83329216
1598408182,83329216
1598408183,83329216
1598408184,83329216
1598408185,83329216
1598408186,83329216
1598408187,83329216
1598408188,83329216
1598408189,83329216
1598408190,83329600
1598408191,83329600
1598408192,83329600
1598408193,83329600
1598408194,83329600
1598408195,83329600
1598408196,83329904
1598408197,83329904
1598408198,83329904
1598408199,83329904
1598408200,83329904
1598408201,83329904
1598408202,83329904
1598408203,83329904
1598408204,83348208
1598408205,83379816
1598408206,84076992
1598408207,84076992
1598408208,84076992
1598408211,84068984
1598408211,84069400
1598408211,84072840
1598408212,84072840
1598408213,84072840
1598408214,84072840
1598408215,84072840
1598408216,84072840
1598408217,84256112
1598408218,84256112
1598408219,84257176
1598408220,84263016
1598408221,84276048
1598408222,84276048
1598408223,84307712
1598408224,84342224
1598408225,84418152
1598408225,84445776
