t,value
1598407780,7471104
1598407781,8126464
1598407782,8912896
1598407783,9175040
1598407784,9437184
1598407785,9437184
1598407786,9437184
1598407787,9502720
1598407788,10092544
1598407789,10682368
1598407790,10747904
1598407791,10878976
1598407792,11010048
1598407793,11010048
1598407794,11272192
1598407795,12320768
1598407796,14155776
1598407797,15663104
1598407798,16449536
1598407799,16515072
1598407800,16515072
1598407801,16777216
1598407802,17498112
1598407803,17563648
1598407804,17694720
1598407805,17694720
1598407806,17694720
1598407807,17694720
1598407808,17694720
1598407809,17694720
1598407810,17694720
1598407811,17694720
1598407812,17694720
1598407813,17760256
1598407814,17760256
1598407815,17825792
1598407816,17891328
1598407817,17891328
1598407818,17891328
1598407819,17891328
1598407820,17891328
1598407821,17891328
1598407822,17891328
1598407823,17891328
1598407824,17891328
1598407825,17891328
1598407826,17891328
1598407827,17891328
1598407828,17891328
1598407829,17891328
1598407830,17891328
1598407831,17891328
1598407832,17891328
1598407833,17891328
1598407834,17891328
1598407835,17891328
1598407836,17891328
1598407837,17891328
1598407838,17891328
1598407839,17891328
1598407840,17891328
1598407841,17891328
1598407842,18808832
1598407843,20512768
1598407844,20905984
1598407845,21037056
1598407846,21102592
1598407847,21168128
1598407848,21168128
1598407849,21168128
1598407850,21168128
1598407851,21168128
1598407852,21168128
1598407853,21168128
1598407854,21168128
1598407855,21168128
1598407856,21168128
1598407857,21168128
1598407858,21168128
1598407859,21168128
1598407860,21168128
1598407861,21168128
1598407862,21168128
1598407863,21168128
1598407864,21168128
1598407865,21168128
1598407866,21168128
1598407867,21168128
1598407868,21168128
1598407869,21168128
1598407870,21168128
1598407871,21168128
1598407872,21168128
1598407873,21168128
1598407874,21168128
1598407875,21168128
1598407876,21168128
1598407877,21168128
1598407878,21168128
1598407879,21168128
1598407880,21168128
1598407881,21168128
1598407882,21168128
1598407883,21168128
1598407884,21168128
1598407885,21168128
1598407886,21168128
1598407887,21168128
1598407888,21168128
1598407889,21168128
1598407890,21168128
1598407891,21168128
1598407892,21168128
1598407893,21168128
1598407894,21168128
1598407895,21168128
1598407896,21168128
1598407897,21168128
1598407898,21168128
1598407899,21168128
1598407900,21168128
1598407901,21168128
1598407902,21168128
1598407903,21168128
1598407904,21168128
1598407905,21168128
1598407906,21168128
1598407907,21168128
1598407908,21168128
1598407909,21168128
1598407910,21168128
1598407911,21168128
1598407912,21168128
1598407913,21168128
1598407914,21168128
1598407915,21168128
1598407916,21168128
1598407917,21168128
1598407918,21168128
1598407919,21168128
1598407920,21168128
1598407921,21168128
1598407922,21168128
1598407923,21168128
1598407924,21168128
1598407925,21168128
1598407926,21168128
1598407927,21168128
1598407928,21168128
1598407929,21168128
1598407930,21168128
1598407931,21168128
1598407932,21168128
1598407933,21168128
1598407934,21168128
1598407935,21168128
1598407936,21168128
1598407937,21168128
1598407938,21168128
1598407939,21168128
1598407940,21168128
1598407941,21168128
1598407942,21168128
1598407943,21168128
1598407944,21168128
1598407945,21168128
1598407946,21168128
1598407947,21168128
1598407948,21168128
1598407949,21168128
1598407950,21168128
1598407951,21168128
1598407952,21168128
1598407953,21168128
1598407954,21168128
1598407955,21168128
1598407956,21168128
1598407957,21168128
1598407958,21168128
1598407959,21168128
1598407960,21168128
1598407961,21168128
1598407962,21168128
1598407963,21168128
1598407964,21168128
1598407965,21168128
1598407966,21168128
1598407967,21168128
1598407968,21168128
1598407969,21168128
1598407970,21168128
1598407971,21168128
1598407972,21168128
1598407973,21168128
1598407974,21168128
1598407975,21168128
1598407976,21168128
1598407977,21168128
1598407978,21168128
1598407979,21168128
1598407980,21168128
1598407981,21168128
1598407982,21168128
1598407983,21168128
1598407984,21168128
1598407985,21168128
1598407986,21168128
1598407987,21168128
1598407988,21168128
1598407989,21168128
1598407990,21168128
1598407991,21168128
1598407992,21168128
1598407993,21168128
1598407994,21168128
1598407995,21168128
1598407996,21168128
1598407997,21168128
1598407998,21168128
1598407999,21168128
1598408000,21168128
1598408001,21168128
1598408002,21168128
1598408003,21168128
1598408004,21168128
1598408005,21168128
1598408006,21168128
1598408007,21168128
1598408008,21168128
1598408009,21168128
1598408010,21168128
1598408011,21168128
1598408012,21168128
1598408013,21168128
1598408014,21168128
1598408015,21168128
1598408016,21168128
1598408017,21168128
1598408018,21168128
1598408019,21168128
1598408020,21168128
1598408021,21168128
1598408022,21168128
1598408023,21168128
1598408024,21364736
1598408025,23068672
1598408026,23134208
1598408027,23199744
1598408028,23199744
1598408029,24248320
1598408030,24248320
1598408031,24248320
1598408032,24379392
1598408033,24379392
1598408034,24444928
1598408035,24444928
1598408036,24444928
1598408037,24444928
1598408038,24641536
1598408039,24641536
1598408040,24707072
1598408041,24903680
1598408042,24903680
1598408043,24903680
1598408044,25100288
1598408045,25100288
1598408046,25100288
1598408047,25100288
1598408048,25100288
1598408049,25231360
1598408050,25231360
1598408051,25362432
1598408052,25362432
1598408053,25493504
1598408054,25493504
1598408055,25493504
1598408056,25624576
1598408057,25690112
1598408058,25755648
1598408059,25755648
1598408060,25755648
1598408061,25821184
1598408062,28049408
1598408063,29491200
1598408064,29884416
1598408065,30146560
1598408066,30867456
1598408067,31260672
1598408068,31457280
1598408070,31457280
1598408070,31457280
1598408071,31522816
1598408072,31784960
1598408073,31784960
1598408074,31916032
1598408075,31916032
1598408076,31916032
1598408077,31981568
1598408078,31981568
1598408079,31981568
1598408080,31981568
1598408081,31981568
1598408082,31981568
1598408083,31981568
1598408084,31981568
1598408085,31981568
1598408086,31981568
1598408087,31981568
1598408088,31981568
1598408089,31981568
1598408090,31981568
1598408091,31981568
1598408092,31981568
1598408093,31981568
1598408094,31981568
1598408095,31981568
1598408096,32047104
1598408097,32047104
1598408098,32047104
1598408099,32047104
1598408100,32047104
1598408101,32047104
1598408102,32047104
1598408103,32047104
1598408104,32047104
1598408105,32047104
1598408106,32047104
1598408107,32047104
1598408108,32047104
1598408109,32047104
1598408110,32047104
1598408111,32047104
1598408112,32047104
1598408113,32047104
1598408114,32047104
1598408115,32047104
1598408116,32047104
1598408117,32047104
1598408118,32047104
1598408119,32047104
1598408120,32047104
1598408121,32047104
1598408122,32047104
1598408123,32047104
1598408124,32047104
1598408125,32047104
1598408126,32047104
1598408127,32047104
1598408128,32047104
1598408129,32047104
1598408130,32047104
1598408131,32047104
1598408132,32047104
1598408133,32047104
1598408134,32047104
1598408135,32047104
1598408136,32047104
1598408137,32047104
1598408138,32047104
1598408139,32047104
1598408140,32047104
1598408141,32047104
1598408142,32047104
1598408143,32047104
1598408144,32047104
1598408145,32047104
1598408146,32047104
1598408147,32047104
1598408148,32047104
1598408149,32047104
1598408150,32047104
1598408151,32047104
1598408152,32047104
1598408153,32047104
1598408154,32047104
1598408155,32047104
1598408156,32047104
1598408157,32047104
1598408158,32047104
1598408159,32047104
1598408160,32047104
1598408161,32047104
1598408162,32047104
1598408163,32047104
1598408164,32047104
1598408165,32047104
1598408166,32047104
1598408167,32047104
1598408168,32047104
1598408169,32047104
1598408170,32047104
1598408171,32047104
1598408172,32047104
1598408173,32047104
1598408174,32047104
1598408175,32047104
1598408176,32047104
1598408177,32047104
1598408178,32047104
1598408179,32047104
1598408180,32047104
1598408181,32047104
1598408182,32047104
1598408183,32047104
1598408184,32047104
1598408185,32047104
1598408186,32047104
1598408187,32047104
1598408188,32047104
1598408189,32047104
1598408190,32047104
1598408191,32047104
1598408192,32047104
1598408193,32047104
1598408194,32047104
1598408195,32047104
1598408196,32047104
1598408197,32047104
1598408198,32047104
1598408199,32047104
1598408200,32047104
1598408201,32047104
1598408202,32047104
1598408203,32047104
1598408204,32047104
1598408205,32047104
1598408206,32047104
1598408207,33423360
1598408208,33751040
1598408209,33751040
1598408210,33816576
1598408211,33816576
1598408212,33816576
1598408213,33816576
1598408214,33816576
1598408215,33816576
1598408216,33816576
1598408219,34471936
1598408219,34471936
1598408219,34471936
1598408220,34799616
1598408221,34996224
1598408222,34996224
1598408223,35258368
1598408224,35651584
1598408225,35651584
