t,value
1598407780,73410504
1598407781,87161488
1598407782,89749520
1598407783,96258000
1598407784,98063504
1598407785,101349304
1598407786,102786480
1598407787,114411584
1598407788,249580584
1598407789,180840840
1598407790,183721720
1598407791,188471840
1598407792,190555112
1598407793,191560672
1598407794,208121120
1598407795,132187176
1598407796,244644016
1598407797,358320016
1598407798,323445832
1598407799,370307304
1598407800,236804624
1598407801,181249800
1598407802,429352008
1598407803,526077768
1598407804,611005256
1598407805,566371288
1598407806,360721096
1598407807,690734880
1598407808,418881112
1598407809,179788984
1598407810,383299512
1598407811,676098920
1598407812,757666968
1598407813,788786152
1598407814,829011472
1598407815,256386808
1598407816,382094240
1598407817,549376848
1598407818,882667600
1598407819,289211672
1598407820,709644376
1598407821,293608448
1598407822,718092520
1598407823,200123776
1598407824,500774168
1598407825,673238648
1598407826,944089376
1598407827,380649784
1598407828,472550920
1598407829,748479896
1598407830,919653296
1598407831,306857176
1598407832,488097184
1598407833,1061187024
1598407834,394515240
1598407835,665074392
1598407836,782306328
1598407837,193342472
1598407838,265879664
1598407839,375109344
1598407840,690691416
1598407841,1083419704
1598407842,366610720
1598407843,668821264
1598407844,438820656
1598407845,335563656
1598407846,228315552
1598407847,1141291392
1598407848,995517056
1598407849,839488272
1598407850,626845720
1598407851,403308600
1598407852,166263240
1598407853,1102752600
1598407854,832906312
1598407855,488765992
1598407856,168009176
1598407857,1088058240
1598407858,690281856
1598407859,327151224
1598407860,1269513536
1598407861,829057272
1598407862,416220752
1598407863,1364608136
1598407864,936524672
1598407865,506626552
1598407866,1447993288
1598407867,970542992
1598407868,479768128
1598407869,1381752296
1598407870,918132160
1598407871,423874896
1598407872,1383118304
1598407873,887492512
1598407874,395829280
1598407875,1342162520
1598407876,861413496
1598407877,367921432
1598407878,1329298744
1598407879,847298536
1598407880,311975392
1598407881,1246336944
1598407882,750844928
1598407883,251094872
1598407884,1191193784
1598407885,767670784
1598407886,367191024
1598407887,1305405744
1598407888,969873784
1598407889,674188432
1598407890,420774832
1598407891,206988832
1598407892,1111124424
1598407893,950688680
1598407894,849061712
1598407895,795086760
1598407896,730962960
1598407897,721820816
1598407898,769834288
1598407899,823804776
1598407900,928040192
1598407901,264469912
1598407902,461177744
1598407903,673694704
1598407904,195372904
1598407905,467215624
1598407906,753072488
1598407907,470534416
1598407908,212356888
1598407909,520852912
1598407910,223612384
1598407911,594539304
1598407912,431724832
1598407913,305078712
1598407914,671535320
1598407915,364407736
1598407916,616026096
1598407917,294905160
1598407918,618473480
1598407919,392265056
1598407920,237593648
1598407921,152788864
1598407922,519660520
1598407923,518658152
1598407924,511846208
1598407925,553180320
1598407926,498914408
1598407927,368555560
1598407928,319115440
1598407929,323068736
1598407930,360414368
1598407931,444621120
1598407932,466025632
1598407933,339714392
1598407934,258253240
1598407935,252137768
1598407936,297295640
1598407937,402325552
1598407938,175030880
1598407939,356645672
1598407940,506992656
1598407941,560794184
1598407942,547470856
1598407943,552309128
1598407944,185781880
1598407945,335723464
1598407946,424025752
1598407947,533803264
1598407948,174720248
1598407949,289176952
1598407950,407671976
1598407951,448576136
1598407952,450468976
1598407953,542766688
1598407954,270161280
1598407955,433876072
1598407956,527657728
1598407957,296514176
1598407958,447018840
1598407959,265157960
1598407960,496440960
1598407961,246176264
1598407962,236743376
1598407963,317232456
1598407964,457817080
1598407965,275636808
1598407966,169320440
1598407967,316508544
1598407968,504851544
1598407969,377239216
1598407970,228780752
1598407971,323632864
1598407972,430248048
1598407973,155532912
1598407974,347776168
1598407975,226416272
1598407976,477031376
1598407977,379392768
1598407978,360824272
1598407979,339309664
1598407980,283105368
1598407981,439624184
1598407982,477400312
1598407983,536020896
1598407984,219580904
1598407985,344155472
1598407986,170347096
1598407987,411794440
1598407988,347141496
1598407989,197649336
1598407990,409057920
1598407991,272318568
1598407992,211009528
1598407993,458846432
1598407994,197347168
1598407995,366758456
1598407996,212769696
1598407997,446959192
1598407998,332777232
1598407999,186142728
1598408000,367177448
1598408001,301617904
1598408002,256291664
1598408003,202093040
1598408004,195351400
1598408005,212906520
1598408006,266017856
1598408007,337343400
1598408008,188875256
1598408009,301367848
1598408010,229364880
1598408011,296582064
1598408012,365483768
1598408013,221716800
1598408014,298570296
1598408015,300364664
1598408016,302184264
1598408017,303981280
1598408018,305812464
1598408019,307582728
1598408020,309396864
1598408021,311191912
1598408022,312978184
1598408023,314773320
1598408024,197722336
1598408025,387022872
1598408026,318608128
1598408027,244635936
1598408028,272041000
1598408029,237135856
1598408030,432853240
1598408031,400369592
1598408032,1246383808
1598408033,1406503040
1598408034,315780160
1598408035,480639200
1598408036,917699032
1598408037,878782328
1598408038,747918984
1598408039,1040648592
1598408040,1139514808
1598408041,1297462672
1598408042,976981000
1598408043,1368176888
1598408044,1513213336
1598408045,426904712
1598408046,1726858544
1598408047,454612528
1598408048,652841280
1598408049,514820992
1598408050,503487312
1598408051,1528076840
1598408052,837198888
1598408053,1036157984
1598408054,1815414824
1598408055,1159605208
1598408056,1365303312
1598408057,678887160
1598408058,745447808
1598408059,1342225104
1598408060,1344051728
1598408061,1406429992
1598408062,1741478608
1598408063,995499136
1598408064,1155246168
1598408065,1442276888
1598408066,1900696376
1598408067,1345010472
1598408068,1931484920
1598408070,864875176
1598408070,878794768
1598408071,1310683992
1598408072,1791379712
1598408073,923671880
1598408074,1626407176
1598408075,2063597632
1598408076,1011318584
1598408077,1426784808
1598408078,942932816
1598408079,1579284216
1598408080,1090740840
1598408081,1765547856
1598408082,1275266664
1598408083,1953520064
1598408084,1460962672
1598408085,965968944
1598408086,1648107928
1598408087,1150917272
1598408088,1845786968
1598408089,1336889904
1598408090,2033710472
1598408091,1524008024
1598408092,1013003288
1598408093,1690257192
1598408094,1178180824
1598408095,1860929168
1598408096,1342172008
1598408097,2024290232
1598408098,1487885152
1598408099,990821432
1598408100,1655691616
1598408101,1133949704
1598408102,1825235464
1598408103,1299220952
1598408104,1988304344
1598408105,1483623608
1598408106,990451008
1598408107,1684824960
1598408108,1164605120
1598408109,1853655136
1598408110,1374563832
1598408111,2063899744
1598408112,1585660760
1598408113,1083623960
1598408114,1786229408
1598408115,1296440984
1598408116,1980151928
1598408117,1482844896
1598408118,1015176632
1598408119,1675579648
1598408120,1157072608
1598408121,1834143040
1598408122,1328141736
1598408123,2014087008
1598408124,1473091576
1598408125,944377600
1598408126,1630128960
1598408127,1067040032
1598408128,1754907992
1598408129,1217795320
1598408130,1679639600
1598408131,2030512184
1598408132,1128823384
1598408133,1488500872
1598408134,1833188496
1598408135,938719216
1598408136,1295049016
1598408137,1651502656
1598408138,2007810000
1598408139,1129674856
1598408140,1487637992
1598408141,1845601248
1598408142,942869232
1598408143,1308215720
1598408144,1673451864
1598408145,2038790488
1598408146,1133446584
1598408147,1490584040
1598408148,1871577800
1598408149,944821672
1598408150,1340364872
1598408151,1711283856
1598408152,2082202856
1598408153,1145343048
1598408154,1522522648
1598408155,1899568288
1598408156,971351032
1598408157,1330870424
1598408158,1716087144
1598408159,1717815328
1598408160,1719681728
1598408161,1721409992
1598408162,1723276392
1598408163,1724994344
1598408164,1726747520
1598408165,1728475704
1598408166,1730355376
1598408167,1732083560
1598408168,1733949960
1598408169,1735678144
1598408170,1737544544
1598408171,1739268904
1598408172,1740857720
1598408173,1742585904
1598408174,1744452304
1598408175,1746180488
1598408176,1748062496
1598408177,1749790680
1598408178,1751657080
1598408179,1753385264
1598408180,1755251664
1598408181,1756979848
1598408182,1758847208
1598408183,1760562080
1598408184,1762428480
1598408185,1764156664
1598408186,1766037688
1598408187,1767765872
1598408188,1769632272
1598408189,1771360456
1598408190,1773226856
1598408191,1774955040
1598408192,1776821440
1598408193,1778549624
1598408194,1780416024
1598408195,1782209408
1598408196,1784091064
1598408197,1785819376
1598408198,1787685776
1598408199,1789413960
1598408200,1791280360
1598408201,1793008544
1598408202,1794874944
1598408203,1796603128
1598408204,1089059064
1598408205,1892878208
1598408206,1350184408
1598408207,1865628352
1598408208,1609073400
1598408209,2146148000
1598408210,1837887240
1598408211,2175210824
1598408212,2177023240
1598408213,2178828656
1598408214,2180634072
1598408215,2189708912
1598408216,2191537184
1598408219,1546836544
1598408219,1548964816
1598408219,1551174960
1598408220,1985862688
1598408221,2329600216
1598408222,1566591640
1598408223,1621150024
1598408224,2197322664
1598408225,2258371744
