t,value
1598407780,0
1598407781,0
1598407782,0
1598407783,0
1598407784,0
1598407785,0
1598407786,0
1598407787,0
1598407788,0
1598407789,2
1598407790,2
1598407791,2
1598407792,2
1598407793,2
1598407794,2
1598407795,2
1598407796,2
1598407797,4
1598407798,5
1598407799,5
1598407800,6
1598407801,7
1598407802,8
1598407803,8
1598407804,10
1598407805,11
1598407806,12
1598407807,14
1598407808,16
1598407809,17
1598407810,17
1598407811,19
1598407812,21
1598407813,21
1598407814,22
1598407815,23
1598407816,23
1598407817,25
1598407818,27
1598407819,27
1598407820,28
1598407821,30
1598407822,30
1598407823,32
1598407824,34
1598407825,37
1598407826,38
1598407827,38
1598407828,39
1598407829,40
1598407830,42
1598407831,44
1598407832,45
1598407833,46
1598407834,47
1598407835,50
1598407836,50
1598407837,51
1598407838,52
1598407839,53
1598407840,53
1598407841,53
1598407842,98
1598407843,98
1598407844,98
1598407845,98
1598407846,99
1598407847,99
1598407848,100
1598407849,100
1598407850,101
1598407851,102
1598407852,102
1598407853,102
1598407854,103
1598407855,103
1598407856,103
1598407857,104
1598407858,104
1598407859,105
1598407860,105
1598407861,105
1598407862,106
1598407863,106
1598407864,107
1598407865,107
1598407866,108
1598407867,109
1598407868,109
1598407869,109
1598407870,110
1598407871,110
1598407872,111
1598407873,111
1598407874,111
1598407875,112
1598407876,112
1598407877,113
1598407878,113
1598407879,113
1598407880,114
1598407881,115
1598407882,115
1598407883,115
1598407884,116
1598407885,116
1598407886,117
1598407887,117
1598407888,117
1598407889,118
1598407890,119
1598407891,119
1598407892,119
1598407893,119
1598407894,120
1598407895,121
1598407896,121
1598407897,121
1598407898,121
1598407899,123
1598407900,123
1598407901,123
1598407902,123
1598407903,123
1598407904,123
1598407905,125
1598407906,125
1598407907,125
1598407908,125
1598407909,125
1598407910,127
1598407911,127
1598407912,127
1598407913,128
1598407914,128
1598407915,128
1598407916,129
1598407917,129
1598407918,129
1598407919,131
1598407920,131
1598407921,131
1598407922,131
1598407923,131
1598407924,132
1598407925,133
1598407926,133
1598407927,133
1598407928,133
1598407929,133
1598407930,135
1598407931,135
1598407932,135
1598407933,135
1598407934,136
1598407935,136
1598407936,137
1598407937,137
1598407938,137
1598407939,137
1598407940,138
1598407941,139
1598407942,139
1598407943,139
1598407944,139
1598407945,139
1598407946,140
1598407947,141
1598407948,141
1598407949,141
1598407950,141
1598407951,141
1598407952,142
1598407953,143
1598407954,143
1598407955,143
1598407956,143
1598407957,144
1598407958,144
1598407959,145
1598407960,145
1598407961,145
1598407962,145
1598407963,145
1598407964,146
1598407965,147
1598407966,147
1598407967,147
1598407968,147
1598407969,148
1598407970,148
1598407971,149
1598407972,149
1598407973,149
1598407974,149
1598407975,150
1598407976,151
1598407977,151
1598407978,151
1598407979,151
1598407980,151
1598407981,152
1598407982,153
1598407983,153
1598407984,153
1598407985,153
1598407986,153
1598407987,154
1598407988,155
1598407989,155
1598407990,155
1598407991,155
1598407992,156
1598407993,156
1598407994,157
1598407995,157
1598407996,157
1598407997,157
1598407998,158
1598407999,158
1598408000,158
1598408001,158
1598408002,158
1598408003,158
1598408004,159
1598408005,159
1598408006,159
1598408007,159
1598408008,159
1598408009,159
1598408010,159
1598408011,159
1598408012,159
1598408013,159
1598408014,159
1598408015,159
1598408016,159
1598408017,159
1598408018,159
1598408019,159
1598408020,159
1598408021,159
1598408022,159
1598408023,159
1598408024,159
1598408025,161
1598408026,164
1598408027,165
1598408028,167
1598408029,168
1598408030,169
1598408031,171
1598408032,172
1598408033,172
1598408034,173
1598408035,175
1598408036,179
1598408037,181
1598408038,182
1598408039,184
1598408040,186
1598408041,187
1598408042,190
1598408043,191
1598408044,192
1598408045,194
1598408046,197
1598408047,199
1598408048,199
1598408049,200
1598408050,202
1598408051,203
1598408052,205
1598408053,206
1598408054,209
1598408055,211
1598408056,211
1598408057,212
1598408058,215
1598408059,216
1598408060,216
1598408061,216
1598408062,216
1598408063,216
1598408064,216
1598408065,216
1598408066,216
1598408067,216
1598408069,216
1598408069,216
1598408070,216
1598408071,216
1598408072,216
1598408073,216
1598408074,216
1598408075,216
1598408076,216
1598408077,222
1598408078,222
1598408079,222
1598408080,222
1598408081,222
1598408082,222
1598408083,222
1598408084,222
1598408085,222
1598408086,222
1598408087,222
1598408088,222
1598408089,222
1598408090,222
1598408091,222
1598408092,222
1598408093,222
1598408094,222
1598408095,222
1598408096,222
1598408097,222
1598408098,222
1598408099,222
1598408100,222
1598408101,222
1598408102,222
1598408103,222
1598408104,222
1598408105,222
1598408106,222
1598408107,222
1598408108,222
1598408109,222
1598408110,222
1598408111,222
1598408112,222
1598408113,222
1598408114,222
1598408115,222
1598408116,222
1598408117,222
1598408118,222
1598408119,222
1598408120,222
1598408121,222
1598408122,222
1598408123,223
1598408124,223
1598408125,223
1598408126,223
1598408127,223
1598408128,223
1598408129,223
1598408130,223
1598408131,223
1598408132,223
1598408133,223
1598408134,223
1598408135,223
1598408136,223
1598408137,223
1598408138,223
1598408139,223
1598408140,223
1598408141,223
1598408142,223
1598408143,223
1598408144,223
1598408145,223
1598408146,223
1598408147,223
1598408148,223
1598408149,223
1598408150,223
1598408151,224
1598408152,224
1598408153,224
1598408154,224
1598408155,224
1598408156,224
1598408157,224
1598408158,224
1598408159,224
1598408160,224
1598408161,224
1598408162,224
1598408163,224
1598408164,224
1598408165,224
1598408166,224
1598408167,224
1598408168,224
1598408169,224
1598408170,224
1598408171,224
1598408172,224
1598408173,224
1598408174,224
1598408175,224
1598408176,224
1598408177,224
1598408178,224
1598408179,224
1598408180,224
1598408181,224
1598408182,224
1598408183,224
1598408184,224
1598408185,224
1598408186,224
1598408187,224
1598408188,224
1598408189,224
1598408190,224
1598408191,224
1598408192,224
1598408193,224
1598408194,224
1598408195,224
1598408196,224
1598408197,224
1598408198,224
1598408199,224
1598408200,224
1598408201,224
1598408202,224
1598408203,224
1598408204,224
1598408205,224
1598408206,225
1598408207,226
1598408208,226
1598408209,227
1598408211,227
1598408211,227
1598408212,227
1598408213,227
1598408214,227
1598408215,227
1598408216,227
1598408217,227
1598408218,227
1598408219,227
1598408220,227
1598408221,227
1598408222,227
1598408223,227
1598408224,227
1598408225,227
