t,value
1598407780,4718592
1598407781,4718592
1598407782,4718592
1598407783,4718592
1598407784,4718592
1598407785,4718592
1598407786,4849664
1598407787,4849664
1598407788,5545984
1598407789,7249920
1598407790,7512064
1598407791,7512064
1598407792,7512064
1598407793,7512064
1598407794,7774208
1598407795,8560640
1598407796,10002432
1598407797,10788864
1598407798,10788864
1598407799,10788864
1598407800,10788864
1598407801,10788864
1598407802,10788864
1598407803,10788864
1598407804,10788864
1598407805,10788864
1598407806,10788864
1598407807,10788864
1598407808,10788864
1598407809,10788864
1598407810,10788864
1598407811,10788864
1598407812,10788864
1598407813,10788864
1598407814,10788864
1598407815,10788864
1598407816,10788864
1598407817,10788864
1598407818,10788864
1598407819,10788864
1598407820,10788864
1598407821,10788864
1598407822,10788864
1598407823,10788864
1598407824,10788864
1598407825,10788864
1598407826,10788864
1598407827,10788864
1598407828,10788864
1598407829,10788864
1598407830,10788864
1598407831,10788864
1598407832,10788864
1598407833,10788864
1598407834,10788864
1598407835,10788864
1598407836,10788864
1598407837,10788864
1598407838,10788864
1598407839,10788864
1598407840,10788864
1598407841,10788864
1598407842,11051008
1598407843,11051008
1598407844,11051008
1598407845,11051008
1598407846,11051008
1598407847,11051008
1598407848,11051008
1598407849,11051008
1598407850,11051008
1598407851,11051008
1598407852,11051008
1598407853,11051008
1598407854,11051008
1598407855,11051008
1598407856,11051008
1598407857,11051008
1598407858,11051008
1598407859,11051008
1598407860,11051008
1598407861,11051008
1598407862,11051008
1598407863,11051008
1598407864,11051008
1598407865,11051008
1598407866,11051008
1598407867,11051008
1598407868,11051008
1598407869,11051008
1598407870,11051008
1598407871,11051008
1598407872,11051008
1598407873,11051008
1598407874,11051008
1598407875,11051008
1598407876,11051008
1598407877,11051008
1598407878,11051008
1598407879,11051008
1598407880,11051008
1598407881,11051008
1598407882,11051008
1598407883,11051008
1598407884,11051008
1598407885,11051008
1598407886,11051008
1598407887,11051008
1598407888,11051008
1598407889,11051008
1598407890,11051008
1598407891,11051008
1598407892,11051008
1598407893,11051008
1598407894,11051008
1598407895,11051008
1598407896,11051008
1598407897,11051008
1598407898,11051008
1598407899,11051008
1598407900,11051008
1598407901,11051008
1598407902,11051008
1598407903,11051008
1598407904,11051008
1598407905,11051008
1598407906,11051008
1598407907,11051008
1598407908,11051008
1598407909,11051008
1598407910,11051008
1598407911,11051008
1598407912,11051008
1598407913,11051008
1598407914,11051008
1598407915,11051008
1598407916,11051008
1598407917,11051008
1598407918,11051008
1598407919,11051008
1598407920,11051008
1598407921,11051008
1598407922,11051008
1598407923,11051008
1598407924,11051008
1598407925,11051008
1598407926,11051008
1598407927,11051008
1598407928,11051008
1598407929,11051008
1598407930,11051008
1598407931,11051008
1598407932,11051008
1598407933,11051008
1598407934,11051008
1598407935,11051008
1598407936,11051008
1598407937,11051008
1598407938,11051008
1598407939,11051008
1598407940,11051008
1598407941,11051008
1598407942,11051008
1598407943,11051008
1598407944,11051008
1598407945,11051008
1598407946,11051008
1598407947,11051008
1598407948,11051008
1598407949,11051008
1598407950,11051008
1598407951,11051008
1598407952,11051008
1598407953,11051008
1598407954,11051008
1598407955,11051008
1598407956,11051008
1598407957,11051008
1598407958,11051008
1598407959,11051008
1598407960,11051008
1598407961,11051008
1598407962,11051008
1598407963,11051008
1598407964,11051008
1598407965,11051008
1598407966,11051008
1598407967,11051008
1598407968,11051008
1598407969,11051008
1598407970,11051008
1598407971,11051008
1598407972,11051008
1598407973,11051008
1598407974,11051008
1598407975,11051008
1598407976,11051008
1598407977,11051008
1598407978,11051008
1598407979,11051008
1598407980,11051008
1598407981,11051008
1598407982,11051008
1598407983,11051008
1598407984,11051008
1598407985,11051008
1598407986,11051008
1598407987,11051008
1598407988,11051008
1598407989,11051008
1598407990,11051008
1598407991,11051008
1598407992,11051008
1598407993,11051008
1598407994,11051008
1598407995,11051008
1598407996,11051008
1598407997,11051008
1598407998,11051008
1598407999,11051008
1598408000,11051008
1598408001,11051008
1598408002,11051008
1598408003,11051008
1598408004,11051008
1598408005,11051008
1598408006,11051008
1598408007,11051008
1598408008,11051008
1598408009,11051008
1598408010,11051008
1598408011,11051008
1598408012,11051008
1598408013,11051008
1598408014,11051008
1598408015,11051008
1598408016,11051008
1598408017,11051008
1598408018,11051008
1598408019,11051008
1598408020,11051008
1598408021,11051008
1598408022,11051008
1598408023,11051008
1598408024,12230656
1598408025,12230656
1598408026,12230656
1598408027,12230656
1598408028,12230656
1598408029,12230656
1598408030,12230656
1598408031,12230656
1598408032,12230656
1598408033,12230656
1598408034,12230656
1598408035,12230656
1598408036,12230656
1598408037,12230656
1598408038,12230656
1598408039,12230656
1598408040,12230656
1598408041,12230656
1598408042,12230656
1598408043,12230656
1598408044,12230656
1598408045,12230656
1598408046,12230656
1598408047,12230656
1598408048,12230656
1598408049,12230656
1598408050,12230656
1598408051,12230656
1598408052,12230656
1598408053,12230656
1598408054,12230656
1598408055,12230656
1598408056,12230656
1598408057,12230656
1598408058,12230656
1598408059,12230656
1598408060,12230656
1598408061,12230656
1598408062,12361728
1598408063,12361728
1598408064,12361728
1598408065,12361728
1598408066,12361728
1598408067,12361728
1598408069,12361728
1598408069,12361728
1598408070,12361728
1598408071,12361728
1598408072,12361728
1598408073,12361728
1598408074,12361728
1598408075,12361728
1598408076,12361728
1598408077,12361728
1598408078,12361728
1598408079,12361728
1598408080,12361728
1598408081,12361728
1598408082,12361728
1598408083,12361728
1598408084,12361728
1598408085,12361728
1598408086,12361728
1598408087,12361728
1598408088,12361728
1598408089,12361728
1598408090,12361728
1598408091,12361728
1598408092,12361728
1598408093,12361728
1598408094,12361728
1598408095,12361728
1598408096,12361728
1598408097,12361728
1598408098,12361728
1598408099,12361728
1598408100,12361728
1598408101,12361728
1598408102,12361728
1598408103,12361728
1598408104,12361728
1598408105,12361728
1598408106,12361728
1598408107,12361728
1598408108,12361728
1598408109,12361728
1598408110,12361728
1598408111,12361728
1598408112,12361728
1598408113,12361728
1598408114,12361728
1598408115,12361728
1598408116,12361728
1598408117,12361728
1598408118,12361728
1598408119,12361728
1598408120,12361728
1598408121,12361728
1598408122,12361728
1598408123,12361728
1598408124,12361728
1598408125,12361728
1598408126,12361728
1598408127,12361728
1598408128,12361728
1598408129,12361728
1598408130,12361728
1598408131,12361728
1598408132,12361728
1598408133,12361728
1598408134,12361728
1598408135,12361728
1598408136,12361728
1598408137,12361728
1598408138,12361728
1598408139,12361728
1598408140,12361728
1598408141,12361728
1598408142,12361728
1598408143,12361728
1598408144,12361728
1598408145,12361728
1598408146,12361728
1598408147,12361728
1598408148,12361728
1598408149,12361728
1598408150,12361728
1598408151,12361728
1598408152,12361728
1598408153,12361728
1598408154,12361728
1598408155,12361728
1598408156,12361728
1598408157,12361728
1598408158,12361728
1598408159,12361728
1598408160,12361728
1598408161,12361728
1598408162,12361728
1598408163,12361728
1598408164,12361728
1598408165,12361728
1598408166,12361728
1598408167,12361728
1598408168,12361728
1598408169,12361728
1598408170,12361728
1598408171,12361728
1598408172,12361728
1598408173,12361728
1598408174,12361728
1598408175,12361728
1598408176,12361728
1598408177,12361728
1598408178,12361728
1598408179,12361728
1598408180,12361728
1598408181,12361728
1598408182,12361728
1598408183,12361728
1598408184,12361728
1598408185,12361728
1598408186,12361728
1598408187,12361728
1598408188,12361728
1598408189,12361728
1598408190,12361728
1598408191,12361728
1598408192,12361728
1598408193,12361728
1598408194,12361728
1598408195,12361728
1598408196,12361728
1598408197,12361728
1598408198,12361728
1598408199,12361728
1598408200,12361728
1598408201,12361728
1598408202,12361728
1598408203,12361728
1598408204,12361728
1598408205,12361728
1598408206,12361728
1598408207,12361728
1598408208,12361728
1598408209,12361728
1598408210,12361728
1598408215,12361728
1598408215,12361728
1598408215,12361728
1598408215,12361728
1598408215,12361728
1598408216,12361728
1598408217,12361728
1598408218,12361728
1598408219,12361728
1598408220,12361728
1598408221,12361728
1598408222,12361728
1598408223,12361728
1598408224,12361728
1598408225,12361728
