t,value
1598407780,50331648
1598407781,50331648
1598407782,50331648
1598407783,50331648
1598407784,50331648
1598407785,50331648
1598407786,50331648
1598407787,50331648
1598407788,67108864
1598407789,67108864
1598407790,67108864
1598407791,67108864
1598407792,67108864
1598407793,67108864
1598407794,83886080
1598407795,83886080
1598407796,83886080
1598407797,83886080
1598407798,83886080
1598407799,83886080
1598407800,83886080
1598407801,83886080
1598407802,83886080
1598407803,83886080
1598407804,83886080
1598407805,83886080
1598407806,83886080
1598407807,83886080
1598407808,83886080
1598407809,83886080
1598407810,83886080
1598407811,83886080
1598407812,83886080
1598407813,83886080
1598407814,83886080
1598407815,83886080
1598407816,83886080
1598407817,83886080
1598407818,83886080
1598407819,83886080
1598407820,83886080
1598407821,83886080
1598407822,83886080
1598407823,83886080
1598407824,83886080
1598407825,83886080
1598407826,83886080
1598407827,83886080
1598407828,83886080
1598407829,83886080
1598407830,83886080
1598407831,83886080
1598407832,83886080
1598407833,83886080
1598407834,83886080
1598407835,83886080
1598407836,83886080
1598407837,83886080
1598407838,83886080
1598407839,83886080
1598407840,83886080
1598407841,83886080
1598407842,83886080
1598407843,83886080
1598407844,83886080
1598407845,83886080
1598407846,83886080
1598407847,83886080
1598407848,83886080
1598407849,83886080
1598407850,83886080
1598407851,83886080
1598407852,83886080
1598407853,83886080
1598407854,83886080
1598407855,83886080
1598407856,83886080
1598407857,83886080
1598407858,83886080
1598407859,83886080
1598407860,83886080
1598407861,83886080
1598407862,83886080
1598407863,83886080
1598407864,83886080
1598407865,83886080
1598407866,83886080
1598407867,83886080
1598407868,83886080
1598407869,83886080
1598407870,83886080
1598407871,83886080
1598407872,83886080
1598407873,83886080
1598407874,83886080
1598407875,83886080
1598407876,83886080
1598407877,83886080
1598407878,83886080
1598407879,83886080
1598407880,83886080
1598407881,83886080
1598407882,83886080
1598407883,83886080
1598407884,83886080
1598407885,83886080
1598407886,83886080
1598407887,83886080
1598407888,83886080
1598407889,83886080
1598407890,83886080
1598407891,83886080
1598407892,83886080
1598407893,83886080
1598407894,83886080
1598407895,83886080
1598407896,83886080
1598407897,83886080
1598407898,83886080
1598407899,83886080
1598407900,83886080
1598407901,83886080
1598407902,83886080
1598407903,83886080
1598407904,83886080
1598407905,83886080
1598407906,83886080
1598407907,83886080
1598407908,83886080
1598407909,83886080
1598407910,83886080
1598407911,83886080
1598407912,83886080
1598407913,83886080
1598407914,83886080
1598407915,83886080
1598407916,83886080
1598407917,83886080
1598407918,83886080
1598407919,83886080
1598407920,83886080
1598407921,83886080
1598407922,83886080
1598407923,83886080
1598407924,83886080
1598407925,83886080
1598407926,83886080
1598407927,83886080
1598407928,83886080
1598407929,83886080
1598407930,83886080
1598407931,83886080
1598407932,83886080
1598407933,83886080
1598407934,83886080
1598407935,83886080
1598407936,83886080
1598407937,83886080
1598407938,83886080
1598407939,83886080
1598407940,83886080
1598407941,83886080
1598407942,83886080
1598407943,83886080
1598407944,83886080
1598407945,83886080
1598407946,83886080
1598407947,83886080
1598407948,83886080
1598407949,83886080
1598407950,83886080
1598407951,83886080
1598407952,83886080
1598407953,83886080
1598407954,83886080
1598407955,83886080
1598407956,83886080
1598407957,83886080
1598407958,83886080
1598407959,83886080
1598407960,83886080
1598407961,83886080
1598407962,83886080
1598407963,83886080
1598407964,83886080
1598407965,83886080
1598407966,83886080
1598407967,83886080
1598407968,83886080
1598407969,83886080
1598407970,83886080
1598407971,83886080
1598407972,83886080
1598407973,83886080
1598407974,83886080
1598407975,83886080
1598407976,83886080
1598407977,83886080
1598407978,83886080
1598407979,83886080
1598407980,83886080
1598407981,83886080
1598407982,83886080
1598407983,83886080
1598407984,83886080
1598407985,83886080
1598407986,83886080
1598407987,83886080
1598407988,83886080
1598407989,83886080
1598407990,83886080
1598407991,83886080
1598407992,83886080
1598407993,83886080
1598407994,83886080
1598407995,83886080
1598407996,83886080
1598407997,83886080
1598407998,83886080
1598407999,83886080
1598408000,83886080
1598408001,83886080
1598408002,83886080
1598408003,83886080
1598408004,83886080
1598408005,83886080
1598408006,83886080
1598408007,83886080
1598408008,83886080
1598408009,83886080
1598408010,83886080
1598408011,83886080
1598408012,83886080
1598408013,83886080
1598408014,83886080
1598408015,83886080
1598408016,83886080
1598408017,83886080
1598408018,83886080
1598408019,83886080
1598408020,83886080
1598408021,83886080
1598408022,83886080
1598408023,83886080
1598408024,83886080
1598408025,83886080
1598408026,83886080
1598408027,83886080
1598408028,83886080
1598408029,83886080
1598408030,83886080
1598408031,83886080
1598408032,83886080
1598408033,83886080
1598408034,83886080
1598408035,83886080
1598408036,83886080
1598408037,83886080
1598408038,83886080
1598408039,83886080
1598408040,83886080
1598408041,83886080
1598408042,83886080
1598408043,83886080
1598408044,83886080
1598408045,83886080
1598408046,83886080
1598408048,83886080
1598408048,83886080
1598408049,83886080
1598408050,83886080
1598408051,83886080
1598408052,83886080
1598408053,83886080
1598408054,83886080
1598408055,83886080
1598408056,83886080
1598408057,83886080
1598408058,83886080
1598408059,83886080
1598408060,83886080
1598408061,83886080
1598408062,83886080
1598408063,83886080
1598408064,83886080
1598408065,83886080
1598408066,83886080
1598408067,83886080
1598408068,83886080
1598408069,83886080
1598408070,83886080
1598408071,83886080
1598408072,83886080
1598408073,83886080
1598408074,83886080
1598408076,83886080
1598408076,83886080
1598408077,83886080
1598408078,83886080
1598408079,83886080
1598408080,83886080
1598408081,83886080
1598408082,83886080
1598408083,83886080
1598408084,83886080
1598408085,83886080
1598408086,83886080
1598408087,83886080
1598408088,83886080
1598408089,83886080
1598408090,83886080
1598408091,83886080
1598408092,83886080
1598408093,83886080
1598408094,83886080
1598408095,83886080
1598408096,83886080
1598408097,83886080
1598408098,83886080
1598408099,83886080
1598408100,83886080
1598408101,83886080
1598408102,83886080
1598408103,83886080
1598408104,83886080
1598408105,83886080
1598408106,83886080
1598408107,83886080
1598408108,83886080
1598408109,83886080
1598408110,83886080
