t,count
1598407780,0
1598407781,0
1598407782,0
1598407783,0
1598407784,0
1598407785,0
1598407786,0
1598407787,0
1598407788,4155
1598407789,4368
1598407790,4368
1598407791,4368
1598407792,4368
1598407793,4368
1598407794,4368
1598407795,4368
1598407796,4368
1598407797,4368
1598407798,4368
1598407799,4368
1598407800,4368
1598407801,10012
1598407802,18152
1598407803,18152
1598407804,18152
1598407805,21007
1598407806,21007
1598407807,21007
1598407808,21007
1598407809,28241
1598407810,32688
1598407811,32688
1598407812,32688
1598407813,39871
1598407814,39871
1598407815,39871
1598407816,42776
1598407817,42776
1598407818,42776
1598407819,52003
1598407820,52003
1598407821,52003
1598407822,54709
1598407823,54709
1598407824,59462
1598407825,63288
1598407826,63288
1598407827,63288
1598407828,67116
1598407829,70876
1598407830,70876
1598407831,73573
1598407832,75934
1598407833,75934
1598407834,79012
1598407835,79012
1598407836,79012
1598407837,84870
1598407838,89302
1598407839,89302
1598407840,89302
1598407841,89302
1598407842,89398
1598407843,89398
1598407844,89398
1598407845,89398
1598407846,89398
1598407847,89398
1598407848,89398
1598407849,89398
1598407850,89398
1598407851,89398
1598407852,89398
1598407853,89398
1598407854,89398
1598407855,102177
1598407856,102177
1598407857,116977
1598407858,116977
1598407859,116977
1598407860,116977
1598407861,116977
1598407862,116977
1598407863,116977
1598407864,116977
1598407865,116977
1598407866,116977
1598407867,116977
1598407868,116977
1598407869,116977
1598407870,116977
1598407871,116977
1598407872,133114
1598407873,133114
1598407874,133114
1598407875,150882
1598407876,150882
1598407877,150882
1598407878,150882
1598407879,150882
1598407880,150882
1598407881,150882
1598407882,150882
1598407883,150882
1598407884,150882
1598407885,150882
1598407886,150882
1598407887,150882
1598407888,150882
1598407889,167921
1598407890,167921
1598407891,167921
1598407892,184882
1598407893,184882
1598407894,184882
1598407895,184882
1598407896,184882
1598407897,184882
1598407898,184882
1598407899,184882
1598407900,184882
1598407901,184882
1598407902,184882
1598407903,184882
1598407904,184882
1598407905,184882
1598407906,184882
1598407907,184882
1598407908,184882
1598407909,205340
1598407910,205340
1598407911,205340
1598407912,205340
1598407913,205340
1598407914,205340
1598407915,227717
1598407916,227717
1598407917,227717
1598407918,227717
1598407919,227717
1598407920,227717
1598407921,227717
1598407922,227717
1598407923,227717
1598407924,227717
1598407925,227717
1598407926,227717
1598407927,227717
1598407928,227717
1598407929,227717
1598407930,227717
1598407931,227717
1598407932,250358
1598407933,250358
1598407934,250358
1598407935,250358
1598407936,250358
1598407937,250358
1598407938,273900
1598407939,273900
1598407940,273900
1598407941,273900
1598407942,273900
1598407943,273900
1598407944,273900
1598407945,273900
1598407946,273900
1598407947,273900
1598407948,273900
1598407949,273900
1598407950,273900
1598407951,273900
1598407952,293938
1598407953,293938
1598407954,293938
1598407955,293938
1598407956,293938
1598407957,293938
1598407958,293938
1598407959,293938
1598407960,293938
1598407961,293938
1598407962,293938
1598407963,318869
1598407964,318869
1598407965,318869
1598407966,318869
1598407967,318869
1598407968,318869
1598407969,318869
1598407970,318869
1598407971,318869
1598407972,318869
1598407973,318869
1598407974,318869
1598407975,318869
1598407976,318869
1598407977,318869
1598407978,344769
1598407979,344769
1598407980,344769
1598407981,344769
1598407982,344769
1598407983,344769
1598407984,344769
1598407985,344769
1598407986,344769
1598407987,344769
1598407988,369752
1598407989,369752
1598407990,369752
1598407991,369752
1598407992,369752
1598407993,369752
1598407994,369752
1598407995,369752
1598407996,369752
1598407997,369752
1598407998,369752
1598407999,369752
1598408000,369752
1598408001,393195
1598408002,393195
1598408003,393195
1598408004,393195
1598408005,393195
1598408006,393195
1598408007,393195
1598408008,393195
1598408009,393195
1598408010,414741
1598408011,414741
1598408012,414741
1598408013,414741
1598408014,414741
1598408015,414741
1598408016,414741
1598408017,414741
1598408018,414741
1598408019,414741
1598408020,414741
1598408021,414741
1598408022,414741
1598408023,414741
1598408024,414741
1598408025,414741
1598408026,414741
1598408027,417726
1598408028,421210
1598408029,421210
1598408030,421210
1598408031,421210
1598408032,421210
1598408033,421210
1598408034,427412
1598408035,427412
1598408036,439099
1598408037,439099
1598408038,439099
1598408039,444629
1598408040,444629
1598408041,447260
1598408042,447260
1598408043,450501
1598408044,450501
1598408045,457039
1598408046,457039
1598408047,457039
1598408048,459989
1598408049,459989
1598408050,464324
1598408051,464324
1598408052,466846
1598408053,466846
1598408054,472886
1598408055,472886
1598408056,478786
1598408057,478786
1598408058,478786
1598408059,481975
1598408060,486034
1598408061,486034
1598408062,487911
1598408063,489955
1598408064,490341
1598408065,494041
1598408066,495156
1598408067,497347
1598408068,498941
1598408070,499499
1598408070,499499
1598408071,501592
1598408072,503369
1598408073,505918
1598408074,507843
1598408075,508832
1598408076,511809
1598408077,511820
1598408078,511820
1598408079,511820
1598408080,511820
1598408081,511820
1598408082,511820
1598408083,511820
1598408084,511820
1598408085,511820
1598408086,511820
1598408087,511820
1598408088,511820
1598408089,511820
1598408090,511820
1598408091,511820
1598408092,511820
1598408093,511820
1598408094,511820
1598408095,511820
1598408096,511820
1598408097,511820
1598408098,511820
1598408099,511820
1598408100,511820
1598408101,511820
1598408102,511820
1598408103,511820
1598408104,511820
1598408105,511820
1598408106,511820
1598408107,511820
1598408108,511820
1598408109,511820
1598408110,511820
1598408111,511820
1598408112,511820
1598408113,511820
1598408114,511820
1598408115,511820
1598408116,511820
1598408117,511820
1598408118,511820
1598408119,511820
1598408120,511820
1598408121,511820
1598408122,511820
1598408123,511820
1598408124,511820
1598408125,511820
1598408126,511820
1598408127,511820
1598408128,511820
1598408129,511820
1598408130,511820
1598408131,565533
1598408132,565533
1598408133,565533
1598408134,565533
1598408135,565533
1598408136,565533
1598408137,565533
1598408138,565533
1598408139,565533
1598408140,565533
1598408141,565533
1598408142,565533
1598408143,565533
1598408144,565533
1598408145,565533
1598408146,565533
1598408147,565533
1598408148,636867
1598408149,636867
1598408150,636867
1598408151,636867
1598408152,636867
1598408153,636867
1598408154,636867
1598408155,636867
1598408156,636867
1598408157,636867
1598408158,636867
1598408159,636867
1598408160,636867
1598408161,636867
1598408162,636867
1598408163,636867
1598408164,636867
1598408165,636867
1598408166,636867
1598408167,636867
1598408168,636867
1598408169,636867
1598408170,636867
1598408171,636867
1598408172,636867
1598408173,636867
1598408174,636867
1598408175,636867
1598408176,636867
1598408177,636867
1598408178,636867
1598408179,636867
1598408180,636867
1598408181,636867
1598408182,636867
1598408183,636867
1598408184,636867
1598408185,636867
1598408186,636867
1598408187,636867
1598408188,636867
1598408189,636867
1598408190,636867
1598408191,636867
1598408192,636867
1598408193,636867
1598408194,636867
1598408195,636867
1598408196,636867
1598408197,636867
1598408198,636867
1598408199,636867
1598408200,636867
1598408201,636867
