t,value
1598407780,132120576
1598407781,132120576
1598407782,132120576
1598407783,132120576
1598407784,132120576
1598407785,198180864
1598407786,198180864
1598407787,198180864
1598407788,307757056
1598407789,307757056
1598407790,307757056
1598407791,307757056
1598407792,307757056
1598407793,307757056
1598407794,307757056
1598407795,470810624
1598407796,470810624
1598407797,470810624
1598407798,470810624
1598407799,470810624
1598407800,609746944
1598407801,610271232
1598407802,759693312
1598407803,759693312
1598407804,759693312
1598407805,759693312
1598407806,759693312
1598407807,759693312
1598407808,759693312
1598407809,896532480
1598407810,896532480
1598407811,896532480
1598407812,899678208
1598407813,899678208
1598407814,1022885888
1598407815,1022885888
1598407816,1022885888
1598407817,1022885888
1598407818,1022885888
1598407819,1022885888
1598407820,1093664768
1598407821,1093664768
1598407822,1093664768
1598407823,1093664768
1598407824,1093664768
1598407825,1093664768
1598407826,1093664768
1598407827,1153957888
1598407828,1153957888
1598407829,1153957888
1598407830,1153957888
1598407831,1153957888
1598407832,1153957888
1598407833,1210580992
1598407834,1210580992
1598407835,1210580992
1598407836,1210580992
1598407837,1210580992
1598407838,1210580992
1598407839,1210580992
1598407840,1210580992
1598407841,1210580992
1598407842,1210580992
1598407843,1210580992
1598407844,1263009792
1598407845,1263009792
1598407846,1263009792
1598407847,1263009792
1598407848,1318584320
1598407849,1318584320
1598407850,1318584320
1598407851,1374683136
1598407852,1374683136
1598407853,1374683136
1598407854,1374683136
1598407855,1402994688
1598407856,1402994688
1598407857,1402994688
1598407858,1402994688
1598407859,1405616128
1598407860,1405616128
1598407861,1405616128
1598407862,1405616128
1598407863,1408237568
1598407864,1408237568
1598407865,1408237568
1598407866,1408237568
1598407867,1351090176
1598407868,1351090176
1598407869,1296564224
1598407870,1296564224
1598407871,1244659712
1598407872,1244659712
1598407873,1195376640
1598407874,1195376640
1598407875,1148190720
1598407876,1148190720
1598407877,1103626240
1598407878,1061158912
1598407879,1061158912
1598407880,1020788736
1598407881,981991424
1598407882,981991424
1598407883,945291264
1598407884,910163968
1598407885,876609536
1598407886,844627968
1598407887,844627968
1598407888,814219264
1598407889,785383424
1598407890,757596160
1598407891,731381760
1598407892,706215936
1598407893,682098688
1598407894,659030016
1598407895,637009920
1598407896,616038400
1598407897,596115456
1598407898,576716800
1598407899,558366720
1598407900,541065216
1598407901,508035072
1598407902,492830720
1598407903,478150656
1598407904,450363392
1598407905,424673280
1598407906,412614656
1598407907,390070272
1598407908,369623040
1598407909,350748672
1598407910,341835776
1598407911,355467264
1598407912,369098752
1598407913,350224384
1598407914,332922880
1598407915,346030080
1598407916,359661568
1598407917,341311488
1598407918,324534272
1598407919,337641472
1598407920,321388544
1598407921,335020032
1598407922,318767104
1598407923,303562752
1598407924,347078656
1598407925,361234432
1598407926,342884352
1598407927,326107136
1598407928,310378496
1598407929,295698432
1598407930,308805632
