t,value
1598407780,21
1598407781,21
1598407782,21
1598407783,21
1598407784,21
1598407785,21
1598407786,27
1598407787,27
1598407788,33
1598407789,55
1598407790,55
1598407791,55
1598407792,55
1598407793,76
1598407794,76
1598407795,76
1598407796,91
1598407797,97
1598407798,97
1598407799,104
1598407800,109
1598407801,109
1598407802,115
1598407803,115
1598407804,115
1598407805,123
1598407806,128
1598407807,128
1598407808,128
1598407809,128
1598407810,135
1598407811,135
1598407812,141
1598407813,141
1598407814,147
1598407815,147
1598407816,154
1598407817,154
1598407818,154
1598407819,160
1598407820,160
1598407821,160
1598407822,160
1598407823,167
1598407824,167
1598407825,167
1598407826,167
1598407827,167
1598407828,173
1598407829,173
1598407830,173
1598407831,180
1598407832,180
1598407833,180
1598407834,186
1598407835,186
1598407836,186
1598407837,186
1598407838,186
1598407839,186
1598407840,186
1598407841,186
1598407842,186
1598407843,214
1598407844,214
1598407845,217
1598407846,217
1598407847,220
1598407848,220
1598407849,222
1598407850,222
1598407851,225
1598407852,225
1598407853,228
1598407854,228
1598407855,231
1598407856,231
1598407857,234
1598407858,234
1598407859,237
1598407860,237
1598407861,240
1598407862,240
1598407863,244
1598407864,244
1598407865,244
1598407866,247
1598407867,247
1598407868,250
1598407869,253
1598407870,253
1598407871,256
1598407872,256
1598407873,259
1598407874,259
1598407875,261
1598407876,264
1598407877,264
1598407878,267
1598407879,270
1598407880,270
1598407881,274
1598407882,276
1598407883,279
1598407884,279
1598407885,282
1598407886,286
1598407887,288
1598407888,292
1598407889,292
1598407890,295
1598407891,297
1598407892,300
1598407893,303
1598407894,306
1598407895,311
1598407896,314
1598407897,317
1598407898,319
1598407899,322
1598407900,327
1598407901,330
1598407902,332
1598407903,338
1598407904,341
1598407905,346
1598407906,351
1598407907,354
1598407908,359
1598407909,364
1598407910,369
1598407911,374
1598407912,379
1598407913,386
1598407914,390
1598407915,396
1598407916,401
1598407917,406
1598407918,411
1598407919,416
1598407920,420
1598407921,428
1598407922,433
1598407923,438
1598407924,443
1598407925,448
1598407926,455
1598407927,459
1598407928,464
1598407929,470
1598407930,477
1598407931,482
1598407932,489
1598407933,494
1598407934,499
1598407935,504
1598407936,512
1598407937,517
1598407938,524
1598407939,528
1598407940,535
1598407941,540
1598407942,548
1598407943,552
1598407944,557
1598407945,570
1598407946,575
1598407947,578
1598407948,582
1598407949,585
1598407950,590
1598407951,595
1598407952,597
1598407953,602
1598407954,607
1598407955,612
1598407956,619
1598407957,623
1598407958,627
1598407959,634
1598407960,640
1598407961,646
1598407962,653
1598407963,660
1598407964,664
1598407965,671
1598407966,679
1598407967,687
1598407968,693
1598407969,698
1598407970,705
1598407971,710
1598407972,718
1598407973,723
1598407974,730
1598407975,736
1598407976,744
1598407977,750
1598407978,757
1598407979,762
1598407980,767
1598407981,774
1598407982,781
1598407983,787
1598407984,793
1598407985,799
1598407986,806
1598407987,813
1598407988,821
1598407989,828
1598407990,833
1598407991,841
1598407992,849
1598407993,856
1598407994,863
1598407995,869
1598407996,875
1598407997,881
1598407998,888
1598407999,894
1598408000,899
1598408001,904
1598408002,909
1598408003,914
1598408004,919
1598408005,924
1598408006,932
1598408007,937
1598408008,946
1598408009,951
1598408010,959
1598408011,967
1598408012,974
1598408013,982
1598408014,987
1598408015,995
1598408016,1003
1598408017,1011
1598408018,1016
1598408019,1024
1598408020,1032
1598408021,1040
1598408022,1048
1598408023,1048
1598408024,1051
1598408025,1071
1598408026,1089
1598408027,1111
1598408028,1159
1598408029,1185
1598408030,1185
1598408031,1208
1598408032,1208
1598408033,1220
1598408034,1234
1598408035,1251
1598408036,1265
1598408037,1265
1598408038,1309
1598408039,1330
1598408040,1347
1598408041,1363
1598408042,1382
1598408043,1399
1598408044,1416
1598408046,1460
1598408046,1460
1598408047,1460
1598408048,1471
1598408049,1489
1598408050,1509
1598408051,1509
1598408052,1529
1598408053,1548
1598408054,1548
1598408055,1569
1598408056,1593
1598408057,1593
1598408058,1614
1598408059,1637
1598408060,1657
1598408061,1657
1598408062,1657
1598408063,1699
1598408064,1699
1598408065,1699
1598408066,1699
1598408067,1762
1598408068,1762
1598408069,1762
1598408070,1762
1598408071,1762
1598408073,1835
1598408073,1835
1598408074,1835
1598408075,1859
1598408076,1859
1598408077,1859
1598408078,1880
1598408079,1880
1598408080,1896
1598408081,1896
1598408082,1920
1598408083,1920
1598408084,1938
1598408085,1938
1598408086,1956
1598408087,1956
1598408088,1974
1598408089,1974
1598408090,1991
1598408091,1991
1598408092,2009
1598408093,2009
1598408094,2026
1598408095,2026
1598408096,2043
1598408097,2043
1598408098,2061
1598408099,2061
1598408100,2078
1598408101,2078
1598408102,2078
1598408103,2095
1598408104,2095
1598408105,2112
1598408106,2112
1598408107,2137
1598408108,2137
1598408109,2145
1598408110,2145
1598408111,2149
1598408112,2149
1598408113,2152
1598408114,2152
1598408115,2156
1598408116,2156
1598408117,2160
1598408118,2160
1598408119,2163
1598408120,2163
1598408121,2167
1598408122,2167
1598408123,2170
1598408124,2170
1598408125,2174
1598408126,2174
1598408127,2174
1598408128,2178
1598408129,2178
1598408130,2181
1598408131,2181
1598408132,2184
1598408133,2184
1598408134,2188
1598408135,2188
1598408136,2192
1598408137,2192
1598408138,2192
1598408139,2192
1598408140,2192
1598408141,2192
1598408142,2192
1598408143,2192
1598408144,2192
1598408145,2192
1598408146,2192
1598408147,2192
1598408148,2192
1598408149,2192
1598408150,2192
1598408151,2192
1598408152,2192
1598408153,2192
1598408154,2192
1598408155,2192
1598408156,2192
1598408157,2192
1598408158,2192
1598408159,2192
1598408160,2192
1598408161,2192
1598408162,2192
1598408163,2192
1598408164,2192
1598408165,2192
1598408166,2192
1598408167,2192
1598408168,2192
1598408169,2192
1598408170,2192
1598408171,2192
1598408172,2192
1598408173,2192
1598408174,2192
1598408175,2192
1598408176,2192
1598408177,2192
1598408178,2192
1598408179,2192
1598408180,2192
1598408181,2192
1598408182,2192
1598408183,2192
1598408184,2192
1598408185,2192
1598408186,2192
1598408187,2192
1598408188,2192
1598408189,2192
1598408190,2192
1598408191,2192
1598408192,2192
1598408193,2192
1598408194,2192
1598408195,2192
1598408196,2192
1598408197,2192
1598408198,2192
1598408199,2192
1598408200,2192
1598408201,2192
1598408202,2192
1598408203,2192
1598408204,2213
1598408205,2213
1598408206,2244
1598408207,2244
1598408208,2335
1598408209,2501
1598408210,2622
1598408211,2622
1598408212,2622
1598408213,2622
1598408214,2622
1598408215,2622
1598408216,2622
1598408219,2786
1598408219,2786
1598408219,2786
1598408220,2786
1598408221,2927
1598408222,2927
1598408223,2984
1598408224,3055
1598408225,3055
