t,value
1598407780,46202880
1598407781,47710208
1598407782,48758784
1598407783,49020928
1598407784,49152000
1598407785,49741824
1598407786,51789824
1598407787,64765952
1598407788,74530816
1598407789,76759040
1598407790,76759040
1598407791,77152256
1598407792,77217792
1598407793,83017728
1598407794,89767936
1598407795,104120320
1598407796,111591424
1598407797,112115712
1598407798,112312320
1598407799,112771072
1598407800,112967680
1598407801,113098752
1598407802,113098752
1598407803,113164288
1598407804,113164288
1598407805,113164288
1598407806,113164288
1598407807,113164288
1598407808,113164288
1598407809,113164288
1598407810,113164288
1598407811,113491968
1598407812,113491968
1598407813,113557504
1598407814,113557504
1598407815,113557504
1598407816,113754112
1598407817,113754112
1598407818,113819648
1598407819,113819648
1598407820,113819648
1598407821,113819648
1598407822,113885184
1598407823,113885184
1598407824,113885184
1598407825,113885184
1598407826,113885184
1598407827,113885184
1598407828,114147328
1598407829,114147328
1598407830,114147328
1598407831,114147328
1598407832,114147328
1598407833,114147328
1598407834,114147328
1598407835,114147328
1598407836,114147328
1598407837,114147328
1598407838,114147328
1598407839,114147328
1598407840,114147328
1598407841,114147328
1598407842,116047872
1598407843,118079488
1598407844,118407168
1598407845,118407168
1598407846,118603776
1598407847,118603776
1598407848,118669312
1598407849,118734848
1598407850,118734848
1598407851,118734848
1598407852,118734848
1598407853,118734848
1598407854,118734848
1598407855,118734848
1598407856,118734848
1598407857,118734848
1598407858,118800384
1598407859,119193600
1598407860,119193600
1598407861,119193600
1598407862,119193600
1598407863,119193600
1598407864,119193600
1598407865,119259136
1598407866,119259136
1598407867,119259136
1598407868,119259136
1598407869,119259136
1598407870,119259136
1598407871,119259136
1598407872,119259136
1598407873,119259136
1598407874,119259136
1598407875,119259136
1598407876,119259136
1598407877,119259136
1598407878,119259136
1598407879,119259136
1598407880,119259136
1598407881,119259136
1598407882,119259136
1598407883,119259136
1598407884,119259136
1598407885,119259136
1598407886,119259136
1598407887,119259136
1598407888,119259136
1598407889,119259136
1598407890,119259136
1598407891,119259136
1598407892,119259136
1598407893,119259136
1598407894,119259136
1598407895,119259136
1598407896,119259136
1598407897,119259136
1598407898,119259136
1598407899,119259136
1598407900,119259136
1598407901,119259136
1598407902,119259136
1598407903,119259136
1598407904,119259136
1598407905,119259136
1598407906,119259136
1598407907,119259136
1598407908,119259136
1598407909,119259136
1598407910,119259136
1598407911,119259136
1598407912,119259136
1598407913,119259136
1598407914,119259136
1598407915,119259136
1598407916,119259136
1598407917,119259136
1598407918,119259136
1598407919,119259136
1598407920,119259136
1598407921,119259136
1598407922,119259136
1598407923,119259136
1598407924,119259136
1598407925,119259136
1598407926,119259136
1598407927,119259136
1598407928,119259136
1598407929,119259136
1598407930,119259136
1598407931,119259136
1598407932,119259136
1598407933,119259136
1598407934,119259136
1598407935,119259136
1598407936,119259136
1598407937,119259136
1598407938,119259136
1598407939,119259136
1598407940,119259136
1598407941,119259136
1598407942,119259136
1598407943,119259136
1598407944,119259136
1598407945,119259136
1598407946,119259136
1598407947,119259136
1598407948,119259136
1598407949,119259136
1598407950,119259136
1598407951,119259136
1598407952,119259136
1598407953,119259136
1598407954,119259136
1598407955,119259136
1598407956,119259136
1598407957,119259136
1598407958,119259136
1598407959,119259136
1598407960,119259136
1598407961,119259136
1598407962,119259136
1598407963,119259136
1598407964,119259136
1598407965,119259136
1598407966,119259136
1598407967,119259136
1598407968,119259136
1598407969,119259136
1598407970,119259136
1598407971,119259136
1598407972,119259136
1598407973,119259136
1598407974,119259136
1598407975,119259136
1598407976,119259136
1598407977,119259136
1598407978,119259136
1598407979,119259136
1598407980,119259136
1598407981,119259136
1598407982,119259136
1598407983,119259136
1598407984,119259136
1598407985,119259136
1598407986,119259136
1598407987,119259136
1598407988,119259136
1598407989,119259136
1598407990,119259136
1598407991,119259136
1598407992,119259136
1598407993,119259136
1598407994,119259136
1598407995,119259136
1598407996,119259136
1598407997,119259136
1598407998,119259136
1598407999,119259136
1598408000,119259136
1598408001,119259136
1598408002,119259136
1598408003,119259136
1598408004,119259136
1598408005,119259136
1598408006,119259136
1598408007,119259136
1598408008,119259136
1598408009,119259136
1598408010,119259136
1598408011,119259136
1598408012,119259136
1598408013,119259136
1598408014,119259136
1598408015,119259136
1598408016,119259136
1598408017,119259136
1598408018,119259136
1598408019,119259136
1598408020,119259136
1598408021,119259136
1598408022,119259136
1598408023,119259136
1598408024,127516672
1598408025,129548288
1598408026,129744896
1598408027,129744896
1598408028,130727936
1598408029,130727936
1598408030,130793472
1598408031,130793472
1598408032,130793472
1598408033,130793472
1598408034,130859008
1598408035,131121152
1598408036,131121152
1598408037,131121152
1598408038,131448832
1598408039,131579904
1598408040,131579904
1598408041,131710976
1598408042,131710976
1598408043,131710976
1598408044,131973120
1598408046,131973120
1598408046,131973120
1598408047,131973120
1598408048,131973120
1598408049,132104192
1598408050,132104192
1598408051,132169728
1598408052,132169728
1598408053,132169728
1598408054,132366336
1598408055,132366336
1598408056,132366336
1598408057,132431872
1598408058,132431872
1598408059,132497408
1598408060,132628480
1598408061,132694016
1598408062,135708672
1598408063,136626176
1598408064,136757248
1598408065,137412608
1598408066,137543680
1598408067,137805824
1598408068,137871360
1598408069,137936896
1598408070,137936896
1598408071,138657792
1598408073,138919936
1598408073,139247616
1598408074,139771904
1598408075,140034048
1598408076,140099584
1598408077,140230656
1598408078,140296192
1598408079,140296192
1598408080,140361728
1598408081,140361728
1598408082,140361728
1598408083,140361728
1598408084,140361728
1598408085,140361728
1598408086,140361728
1598408087,140361728
1598408088,140361728
1598408089,140361728
1598408090,140361728
1598408091,140361728
1598408092,140427264
1598408093,140427264
1598408094,140427264
1598408095,140427264
1598408096,140427264
1598408097,140427264
1598408098,140427264
1598408099,140427264
1598408100,140427264
1598408101,140427264
1598408102,140427264
1598408103,140427264
1598408104,140427264
1598408105,140427264
1598408106,140427264
1598408107,140427264
1598408108,140427264
1598408109,140427264
1598408110,140427264
1598408111,140427264
1598408112,140427264
1598408113,140427264
1598408114,140427264
1598408115,140427264
1598408116,140427264
1598408117,140427264
1598408118,140427264
1598408119,140427264
1598408120,140427264
1598408121,140427264
1598408122,140427264
1598408123,140427264
1598408124,140427264
1598408125,140427264
1598408126,140427264
1598408127,140427264
1598408128,140427264
1598408129,140427264
1598408130,140427264
1598408131,140427264
1598408132,140427264
1598408133,140427264
1598408134,140427264
1598408135,140427264
1598408136,140427264
1598408137,140427264
1598408138,140427264
1598408139,140427264
1598408140,140427264
1598408141,140427264
1598408142,140427264
1598408143,140427264
1598408144,140427264
1598408145,140427264
1598408146,140427264
1598408147,140427264
1598408148,140427264
1598408149,140427264
1598408150,140427264
1598408151,140427264
1598408152,140427264
1598408153,140427264
1598408154,140427264
1598408155,140427264
1598408156,140427264
1598408157,140427264
1598408158,140427264
1598408159,140427264
1598408160,140427264
1598408161,140427264
1598408162,140427264
1598408163,140427264
1598408164,140427264
1598408165,140427264
1598408166,140427264
1598408167,140427264
1598408168,140427264
1598408169,140427264
1598408170,140427264
1598408171,140427264
1598408172,140427264
1598408173,140427264
1598408174,140427264
1598408175,140427264
1598408176,140427264
1598408177,140427264
1598408178,140427264
1598408179,140427264
1598408180,140427264
1598408181,140427264
1598408182,140427264
1598408183,140427264
1598408184,140427264
1598408185,140427264
1598408186,140427264
1598408187,140427264
1598408188,140427264
1598408189,140427264
1598408190,140427264
1598408191,140427264
1598408192,140427264
1598408193,140427264
1598408194,140427264
1598408195,140427264
1598408196,140427264
1598408197,140427264
1598408198,140427264
1598408199,140427264
1598408200,140427264
1598408201,140427264
1598408202,140427264
1598408203,140427264
1598408204,140951552
1598408205,140951552
1598408206,142065664
1598408207,143048704
1598408208,143441920
1598408209,143507456
1598408210,144097280
1598408211,144359424
1598408212,144359424
1598408213,144359424
1598408214,144359424
1598408215,144359424
1598408216,144359424
1598408219,144621568
1598408219,144621568
1598408219,144621568
1598408220,145080320
1598408221,145211392
1598408222,145211392
1598408223,145342464
1598408224,145342464
1598408225,145604608
