t,value
1598407780,3
1598407781,3
1598407782,3
1598407783,3
1598407784,3
1598407785,4
1598407786,4
1598407787,5
1598407788,5
1598407789,6
1598407790,6
1598407791,6
1598407792,6
1598407793,6
1598407794,6
1598407795,7
1598407796,7
1598407797,8
1598407798,8
1598407799,9
1598407800,9
1598407801,9
1598407802,10
1598407803,10
1598407804,11
1598407805,11
1598407806,12
1598407807,13
1598407808,13
1598407809,13
1598407810,13
1598407811,13
1598407812,13
1598407813,14
1598407814,14
1598407815,15
1598407816,15
1598407817,15
1598407818,15
1598407819,16
1598407820,16
1598407821,16
1598407822,16
1598407823,17
1598407824,17
1598407825,17
1598407826,17
1598407827,18
1598407828,18
1598407829,18
1598407830,19
1598407831,19
1598407832,19
1598407833,19
1598407834,20
1598407835,20
1598407836,20
1598407837,20
1598407838,21
1598407839,21
1598407840,21
1598407841,21
1598407842,21
1598407843,22
1598407844,22
1598407845,23
1598407846,23
1598407847,24
1598407848,24
1598407849,25
1598407850,26
1598407851,26
1598407852,27
1598407853,27
1598407854,28
1598407855,28
1598407856,29
1598407857,29
1598407858,30
1598407859,30
1598407860,30
1598407861,31
1598407862,31
1598407863,32
1598407864,32
1598407865,33
1598407866,33
1598407867,34
1598407868,34
1598407869,35
1598407870,36
1598407871,36
1598407872,37
1598407873,37
1598407874,38
1598407875,39
1598407876,39
1598407877,40
1598407878,40
1598407879,41
1598407880,42
1598407881,43
1598407882,43
1598407883,44
1598407884,45
1598407885,46
1598407886,47
1598407887,47
1598407888,48
1598407889,49
1598407890,50
1598407891,51
1598407892,52
1598407893,53
1598407894,54
1598407895,55
1598407896,56
1598407897,58
1598407898,59
1598407899,60
1598407900,62
1598407901,63
1598407902,64
1598407903,66
1598407904,68
1598407905,69
1598407906,71
1598407907,73
1598407908,75
1598407909,77
1598407910,79
1598407911,81
1598407912,83
1598407913,86
1598407914,88
1598407915,90
1598407916,92
1598407917,94
1598407918,96
1598407919,99
1598407920,101
1598407921,104
1598407922,106
1598407923,108
1598407924,110
1598407925,112
1598407926,114
1598407927,116
1598407928,118
1598407929,121
1598407930,123
1598407931,126
1598407932,128
1598407933,131
1598407934,133
1598407935,136
1598407936,138
1598407937,141
1598407938,143
1598407939,146
1598407940,148
1598407941,152
1598407942,155
1598407943,157
1598407944,160
1598407945,162
1598407946,164
1598407947,167
1598407948,169
1598407949,172
1598407950,175
1598407951,178
1598407952,181
1598407953,183
1598407954,186
1598407955,189
1598407956,192
1598407957,195
1598407958,197
1598407959,200
1598407960,203
1598407961,206
1598407962,209
1598407963,212
1598407964,214
1598407965,217
1598407966,219
1598407967,222
1598407968,225
1598407969,228
1598407970,231
1598407971,233
1598407972,236
1598407973,239
1598407974,242
1598407975,245
1598407976,247
1598407977,250
1598407978,253
1598407979,256
1598407980,258
1598407981,261
1598407982,264
1598407983,267
1598407984,269
1598407985,272
1598407986,275
1598407987,277
1598407988,281
1598407989,284
1598407990,287
1598407991,291
1598407992,294
1598407993,298
1598407994,300
1598407995,304
1598407996,307
1598407997,310
1598407998,313
1598407999,315
1598408000,317
1598408001,319
1598408002,320
1598408003,322
1598408004,323
1598408005,325
1598408006,326
1598408007,328
1598408008,329
1598408009,331
1598408010,333
1598408011,335
1598408012,337
1598408013,339
1598408014,341
1598408015,343
1598408016,345
1598408017,347
1598408018,350
1598408019,352
1598408020,355
1598408021,357
1598408022,360
1598408023,362
1598408024,363
1598408025,368
1598408026,372
1598408027,375
1598408028,378
1598408029,380
1598408030,381
1598408031,382
1598408032,384
1598408033,385
1598408034,386
1598408035,387
1598408036,389
1598408037,390
1598408038,391
1598408039,392
1598408040,393
1598408041,394
1598408042,394
1598408043,395
1598408044,395
1598408045,396
1598408046,397
1598408047,398
1598408048,399
1598408049,400
1598408050,401
1598408051,402
1598408052,403
1598408053,404
1598408054,404
1598408055,405
1598408056,405
1598408057,406
1598408058,406
1598408059,407
1598408060,407
1598408061,407
1598408062,407
1598408063,408
1598408064,408
1598408065,408
1598408066,408
1598408068,409
1598408068,409
1598408069,409
1598408070,409
1598408071,409
1598408072,410
1598408073,410
1598408074,411
1598408075,411
1598408076,411
1598408077,411
1598408078,412
1598408079,412
1598408080,413
1598408081,413
1598408082,414
1598408083,414
1598408084,415
1598408085,415
1598408086,416
1598408087,416
1598408088,417
1598408089,417
1598408090,417
1598408091,418
1598408092,418
1598408093,419
1598408094,419
1598408095,420
1598408096,420
1598408097,421
1598408098,421
1598408099,422
1598408100,422
1598408101,423
1598408102,423
1598408103,423
1598408104,424
1598408105,424
1598408106,425
1598408107,425
1598408108,426
1598408109,426
1598408110,427
1598408111,427
1598408112,428
1598408113,428
1598408114,428
1598408115,429
1598408116,429
1598408117,430
1598408118,430
1598408119,431
1598408120,431
1598408121,432
1598408122,432
1598408123,433
1598408124,433
1598408125,434
1598408126,434
1598408127,435
1598408128,435
1598408129,435
1598408130,436
1598408131,436
1598408132,437
1598408133,437
1598408134,437
1598408135,438
1598408136,438
1598408137,438
1598408138,438
1598408139,439
1598408140,439
1598408141,439
1598408142,439
1598408143,440
1598408144,440
1598408145,440
1598408146,440
1598408147,440
1598408148,440
1598408149,440
1598408150,440
1598408151,440
1598408152,440
1598408153,440
1598408154,440
1598408155,440
1598408156,440
1598408157,440
1598408158,440
1598408159,440
1598408160,440
1598408161,440
1598408162,440
1598408163,440
1598408164,440
1598408165,440
1598408166,440
1598408167,440
1598408168,440
1598408169,440
1598408170,440
1598408171,440
1598408172,440
1598408173,440
1598408174,440
1598408175,440
1598408176,440
1598408177,440
1598408178,440
1598408179,440
1598408180,440
1598408181,440
1598408182,440
1598408183,440
1598408184,440
1598408185,440
1598408186,440
1598408187,440
1598408188,440
1598408189,440
1598408190,440
1598408191,440
1598408192,440
1598408193,440
1598408194,440
1598408195,440
1598408196,440
1598408197,440
1598408198,440
1598408199,440
1598408200,440
1598408201,440
1598408202,440
1598408203,440
1598408204,441
1598408205,441
1598408206,442
1598408207,442
1598408208,443
1598408209,444
1598408213,446
1598408213,446
1598408213,446
1598408213,446
1598408214,446
1598408215,446
1598408216,446
1598408217,447
1598408218,447
1598408219,447
1598408220,447
1598408221,448
1598408222,448
1598408223,450
1598408224,450
1598408225,450
