t,value
1598407780,30270952
1598407781,42411736
1598407782,46714056
1598407783,49356624
1598407784,51999024
1598407785,18032360
1598407786,58468240
1598407787,27860320
1598407788,171177344
1598407789,132563776
1598407790,142239632
1598407791,146297152
1598407792,148499448
1598407793,150701720
1598407794,181150344
1598407795,154536960
1598407796,254085752
1598407797,330916520
1598407798,417909696
1598407799,117329760
1598407800,246807784
1598407801,455338072
1598407802,168420104
1598407803,409815192
1598407804,129651184
1598407805,518465168
1598407806,239151728
1598407807,83683296
1598407808,285648384
1598407809,330395520
1598407810,394228688
1598407811,562445136
1598407812,668231560
1598407813,322639592
1598407814,676014744
1598407815,57073912
1598407816,239194904
1598407817,550902840
1598407818,729259560
1598407819,100745744
1598407820,357546808
1598407821,509603776
1598407822,923192728
1598407823,222403216
1598407824,482991688
1598407825,678873616
1598407826,827079112
1598407827,71971752
1598407828,406166248
1598407829,932774664
1598407830,276595360
1598407831,422668512
1598407832,675476800
1598407833,973714448
1598407834,318994216
1598407835,582740664
1598407836,707823680
1598407837,893918752
1598407838,205615640
1598407839,334647864
1598407840,711606944
1598407841,740867616
1598407842,915225712
1598407843,171107104
1598407844,776941360
1598407845,309736936
1598407846,974519640
1598407847,515594720
1598407848,1206941616
1598407849,650492352
1598407850,84286608
1598407851,751768888
1598407852,110078072
1598407853,781848240
1598407854,167491968
1598407855,822433152
1598407856,140821368
1598407857,808423200
1598407858,117585568
1598407859,756981328
1598407860,1399663464
1598407861,657273040
1598407862,1295765800
1598407863,566149968
1598407864,1219172200
1598407865,520953976
1598407866,1188333792
1598407867,551903488
1598407868,1206468488
1598407869,647859280
1598407870,125283008
1598407871,760976072
1598407872,274571784
1598407873,908402000
1598407874,444938600
1598407875,54956888
1598407876,712470264
1598407877,335564992
1598407878,977253304
1598407879,660716808
1598407880,350620944
1598407881,95720904
1598407882,758696560
1598407883,536687696
1598407884,357831512
1598407885,206351128
1598407886,50144280
1598407887,668234112
1598407888,564261352
1598407889,490505136
1598407890,434810112
1598407891,415706040
1598407892,402025952
1598407893,414168616
1598407894,426679040
1598407895,487676536
1598407896,561556712
1598407897,108193784
1598407898,238058464
1598407899,373497136
1598407900,44539592
1598407901,233704784
1598407902,439322800
1598407903,220842000
1598407904,62862360
1598407905,313039176
1598407906,219248864
1598407907,161891944
1598407908,126879464
1598407909,125611992
1598407910,139440544
1598407911,202618392
1598407912,243948752
1598407913,71891976
1598407914,183122280
1598407915,238845696
1598407916,239117104
1598407917,262322232
1598407918,317836584
1598407919,122315576
1598407920,226855912
1598407921,105974184
1598407922,196668968
1598407923,207522152
1598407924,253841616
1598407925,238483408
1598407926,228506640
1598407927,252763952
1598407928,299760808
1598407929,113770680
1598407930,229111920
1598407931,71479920
1598407932,185077368
1598407933,75327344
1598407934,223025920
1598407935,63347424
1598407936,206920384
1598407937,78426272
1598407938,193454720
1598407939,108840480
1598407940,255402504
1598407941,42164936
1598407942,74337616
1598407943,266710904
1598407944,100902672
1598407945,125313008
1598407946,220493336
1598407947,90019072
1598407948,237794744
1598407949,184529360
1598407950,159756936
1598407951,165857240
1598407952,54106632
1598407953,195954688
1598407954,124347792
1598407955,85878952
1598407956,77472624
1598407957,83317792
1598407958,224802256
1598407959,140661096
1598407960,100536392
1598407961,93171632
1598407962,115559864
1598407963,109304032
1598407964,218632696
1598407965,84526016
1598407966,229355296
1598407967,176010720
1598407968,149836488
1598407969,165738624
1598407970,135368424
1598407971,254411256
1598407972,165504968
1598407973,101623560
1598407974,94415224
1598407975,62481344
1598407976,224803768
1598407977,191162568
1598407978,191862664
1598407979,147824872
1598407980,253239776
1598407981,156297552
1598407982,76901240
1598407983,50795832
1598407984,198448672
1598407985,94787136
1598407986,46099704
1598407987,245678696
1598407988,49736200
1598407989,90030504
1598407990,158196880
1598407991,108121696
1598407992,45353336
1598407993,46618904
1598407994,231181640
1598407995,46225512
1598407996,79944680
1598407997,90341536
1598407998,53855952
1598407999,255598240
1598408000,253093296
1598408001,91585136
1598408002,189972480
1598408003,59930632
1598408004,164881184
1598408005,51293416
1598408006,166011016
1598408007,88034280
1598408008,225214704
1598408009,168199504
1598408010,137633520
1598408011,119915608
1598408012,95982400
1598408013,84157768
1598408014,86233136
1598408015,101002184
1598408016,133731640
1598408017,177051880
1598408018,78111944
1598408019,145192168
1598408020,78420576
1598408021,162827472
1598408022,125269176
1598408023,110677696
1598408024,84831296
1598408025,212774688
1598408026,305159600
1598408027,559279984
1598408028,330708312
1598408029,375369344
1598408030,803507688
1598408031,930599176
1598408032,583862176
1598408033,1113284776
1598408034,861969088
1598408035,1141305064
1598408036,328481288
1598408037,395770568
1598408038,392970728
1598408039,688755528
1598408040,908092688
1598408041,482754136
1598408042,1212851328
1598408043,290752752
1598408044,1306972176
1598408045,968515016
1598408046,977836048
1598408047,905361112
1598408048,759108968
1598408049,632872608
1598408050,538947608
1598408051,519127664
1598408052,730045144
1598408053,483498920
1598408054,1087059496
1598408055,771804376
1598408056,1380965728
1598408057,776720272
1598408058,1294089712
1598408059,1089933872
1598408060,1116173640
1598408061,1158281168
1598408062,1456392008
1598408063,681687752
1598408064,692798216
1598408065,970120160
1598408066,1341824648
1598408068,639892264
1598408068,641649072
1598408069,1224847592
1598408070,1691707608
