t,value
1598407780,7024248
1598407781,7024248
1598407782,7024248
1598407783,7024248
1598407784,7024248
1598407785,9984616
1598407786,9984616
1598407787,9992808
1598407788,9992808
1598407789,11659064
1598407790,11659064
1598407791,11659064
1598407792,11659064
1598407793,11659064
1598407794,11659064
1598407795,21575416
1598407796,21575416
1598407797,23993912
1598407798,23993912
1598407799,24002104
1598407800,24002104
1598407801,24002104
1598407802,24010296
1598407803,24010296
1598407804,24018488
1598407805,24018488
1598407806,24026680
1598407807,24034872
1598407808,24034872
1598407809,24034872
1598407810,24034872
1598407811,24034872
1598407812,24034872
1598407813,24043064
1598407814,24043064
1598407815,24051256
1598407816,24051256
1598407817,24051256
1598407818,24051256
1598407819,24059448
1598407820,24059448
1598407821,24059448
1598407822,24059448
1598407823,24067640
1598407824,24067640
1598407825,24067640
1598407826,24067640
1598407827,24067640
1598407828,24067640
1598407829,24067640
1598407830,24075832
1598407831,24075832
1598407832,24075832
1598407833,24075832
1598407834,24084024
1598407835,24084024
1598407836,24084024
1598407837,24084024
1598407838,24084024
1598407839,24084024
1598407840,24084024
1598407841,24084024
1598407842,24084024
1598407843,24092216
1598407844,24092216
1598407845,31020656
1598407846,31020656
1598407847,31180432
1598407848,31180432
1598407849,31378384
1598407850,31616680
1598407851,31616680
1598407852,31649448
1598407853,31649448
1598407854,31782520
1598407855,31782520
1598407856,31856248
1598407857,31856248
1598407858,31938168
1598407859,31938168
1598407860,31938168
1598407861,31995512
1598407862,31995512
1598407863,32052856
1598407864,32052856
1598407865,32102008
1598407866,32102008
1598407867,32142968
1598407868,32142968
1598407869,32224888
1598407870,32298616
1598407871,32298616
1598407872,32973248
1598407873,32973248
1598407874,33046976
1598407875,33063360
1598407876,33063360
1598407877,33223552
1598407878,33223552
1598407879,33272704
1598407880,33289088
1598407881,33338240
1598407882,33338240
1598407883,33424704
1598407884,33506624
1598407885,33588544
1598407886,33604928
1598407887,33604928
1598407888,33621312
1598407889,33621312
1598407890,33645888
1598407891,33670464
1598407892,33670464
1598407893,33678656
1598407894,33678656
1598407895,33678656
1598407896,33678656
1598407897,33894608
1598407898,33910992
1598407899,33955360
1598407900,33996320
1598407901,34004512
1598407902,34012704
1598407903,34053664
1598407904,34154816
1598407905,34154816
1598407906,34237568
1598407907,34352256
1598407908,34434176
1598407909,34599024
1598407910,34691328
1598407911,34894320
1598407912,34894320
1598407913,34918896
1598407914,34976240
1598407915,34976240
1598407916,34976240
1598407917,35033584
1598407918,35033584
1598407919,35183008
1598407920,35183008
1598407921,35367984
1598407922,35520536
1598407923,35684392
1598407924,35807288
1598407925,35807288
1598407926,35934376
1598407927,36066456
1598407928,36066456
1598407929,36169888
1598407930,36235424
1598407931,36462272
1598407932,36462272
1598407933,36541312
1598407934,36541312
1598407935,36656016
1598407936,36730448
1598407937,36799920
1598407938,36944960
1598407939,36958912
1598407940,36958912
1598407941,36958912
1598407942,36958912
1598407943,36958912
1598407944,37210816
1598407945,37276352
1598407946,37436160
1598407947,37509888
1598407948,37609152
1598407949,37817336
1598407950,37833720
1598407951,38144568
1598407952,38144568
1598407953,38144568
1598407954,38376432
1598407955,38417392
1598407956,38417392
1598407957,38417392
1598407958,38417392
1598407959,38417392
1598407960,38623680
1598407961,38637608
1598407962,38637608
1598407963,38768696
1598407964,38835392
1598407965,38970688
1598407966,38998296
1598407967,38998296
1598407968,39022872
1598407969,39022872
1598407970,39230312
1598407971,39464472
1598407972,39596376
1598407973,39596376
1598407974,39809800
1598407975,40137088
1598407976,40137088
1598407977,40154512
1598407978,40154512
1598407979,40374272
1598407980,40382464
1598407981,40382464
1598407982,40382464
1598407983,40390656
1598407984,40390656
1598407985,40626368
